Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	57.94	687963.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	58.63	209520.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	39.53	6954.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	52.5	172095.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	51.38	1078538.0
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001	46.75	949533.0
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	57.34	435209.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001	67.05	3378981.0
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001	55.57	2210691.0
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	52.9	128407.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001	46.56	39102.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001	50.16	68676.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_R1_001	58.37	397533.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001	56.17	27746.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_R1_001	67.21	4095248.0
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_R1_001	18.55	3389.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_R1_001	51.55	1603923.0
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_R1_001	53.56	14110.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_R1_001	41.63	5255.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_R1_001	57.63	3483.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_R1_001	51.03	7164.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_R1_001	46.92	2127331.0
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_R1_001	57.78	1249275.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_R1_001	62.37	1706283.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_R1_001	90.16	6921479.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_R1_001	84.88	4163242.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_R1_001	89.66	6243116.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_R1_001	77.7	777698.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_R1_001	89.43	5692038.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_R1_001	92.24	7773879.0
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_R1_001	89.09	6580157.0
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_R1_001	89.64	8674031.0
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_R1_001	51.94	2078568.0
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_R1_001	71.65	4718731.0
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_R1_001	54.75	2552736.0
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_R1_001	50.25	132420.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_R1_001	56.71	3865403.0
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001	39.87	11033.0
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001_trimmed_still3adapt	39.46	10991.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_R1_001	53.33	358133.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_R1_001	43.72	3546605.0
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_R1_001	58.01	3877601.0
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_R1_001	65.8	379796.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_R1_001	35.7	53996.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_R1_001	49.75	69247.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_R1_001	53.37	265327.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_R1_001	53.32	56117.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_R1_001	57.83	81956.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_R1_001	58.56	4386302.0
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_R1_001	70.37	4588509.0
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_R1_001	66.21	4708529.0
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_R1_001	77.9	5180002.0
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_R1_001	70.79	5205206.0
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_R1_001	58.9	3772802.0
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_R1_001	55.09	3714128.0
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_R1_001	61.29	4150297.0
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_R1_001	70.06	4262301.0
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_R1_001	60.53	4598650.0
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_R1_001	73.09	5834022.0
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_R1_001	69.05	5195822.0
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_R1_001	78.54	6549779.0
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_R1_001	65.53	9956.0
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_R1_001	51.98	13068.0
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_R1_001	63.91	4238417.0
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_R1_001	63.03	4005467.0
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_R1_001	57.45	2519506.0
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_R1_001	78.91	6093463.0
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_R1_001	43.46	280935.0
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_R1_001	61.57	4394610.0
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_R1_001	67.52	3788596.0
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_R1_001	68.51	4859944.0
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_R1_001	69.8	4292462.0
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_R1_001	62.24	3600401.0
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_R1_001	72.34	5668884.0
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_R1_001	63.95	2690686.0
209105_HY55YBGXT_TCDM_1_C10_A04_2_3_o_CGTCGC_S75_R1_001	65.22	1293362.0
209106_HY55YBGXT_TCDM_1_D10_A04_2_1_o_ATGGCG_S76_R1_001	67.36	185482.0
209107_HY55YBGXT_TCDM_1_E10_A04_2_1_i_ATTGGT_S77_R1_001	70.75	538303.0
209108_HY55YBGXT_TCDM_1_F10_A04_2_3_i_GCCACA_S78_R1_001	60.22	1142814.0
209109_HY55YBGXT_TCDM_1_G10_A20_2_1_i_CATCTA_S79_R1_001	68.83	4462911.0
209110_HY55YBGXT_TCDM_1_H10_A04_2_2_o_AACAAG_S80_R1_001	51.74	2025541.0
209111_HY55YBGXT_TCDM_1_A11_A04_2_2_i_GCAGCC_S81_R1_001	73.71	4776391.0
