Sample	Unique Reads	Duplicate Reads
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1	741890.0	528808.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1	255569.0	136020.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1	18325.0	548.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1	200614.0	170223.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1	1030197.0	1167019.0
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_trim1	1032046.0	1126636.0
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_trim1	492791.0	346177.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_trim1	2742323.0	2406934.0
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_trim1	1930696.0	2180164.0
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_trim1	159703.0	119299.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_trim1	70401.0	27179.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_trim1	107486.0	55895.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_trim1	437765.0	287082.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_trim1	45059.0	19709.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_trim1	2997166.0	3180172.0
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_trim1	14218.0	3982.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_trim1	1520939.0	1703423.0
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_trim1	24480.0	6417.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_trim1	13264.0	395.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_trim1	6040.0	258.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_trim1	13543.0	2006.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_trim1	1968598.0	2704112.0
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_trim1	1264438.0	990241.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_trim1	1679251.0	1176840.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_trim1	3415451.0	4308600.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_trim1	2210896.0	2748271.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_trim1	3431933.0	3583472.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_trim1	573166.0	450909.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_trim1	2854411.0	3552733.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_trim1	3178467.0	5290994.0
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_trim1	3035808.0	4394907.0
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_trim1	4276085.0	5476685.0
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_trim1	1779080.0	2348825.0
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_trim1	3276878.0	3419681.0
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_trim1	2064666.0	2691627.0
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_trim1	181036.0	113235.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_trim1	2914972.0	4000894.0
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_trim1	27180.0	2183.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_trim1	451340.0	274802.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_trim1	3134138.0	5155693.0
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_trim1	3198632.0	3616367.0
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_trim1	414265.0	200937.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_trim1	154745.0	19368.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_trim1	116356.0	53903.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_trim1	313274.0	257195.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_trim1	89294.0	35196.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_trim1	113182.0	51274.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_trim1	3827155.0	3903623.0
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_trim1	3438861.0	3222262.0
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_trim1	3630818.0	3587677.0
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_trim1	3530951.0	3240572.0
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_trim1	4021973.0	3448059.0
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_trim1	3084208.0	3442956.0
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_trim1	3386345.0	3525151.0
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_trim1	3335482.0	3566499.0
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_trim1	3132668.0	3098586.0
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_trim1	3876634.0	3903954.0
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_trim1	3845976.0	4262207.0
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_trim1	3919670.0	3746173.0
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_trim1	3979487.0	4488589.0
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_trim1	14723.0	1421.0
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_trim1	25985.0	3369.0
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_trim1	3249912.0	3509709.0
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_trim1	3113106.0	3370375.0
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_trim1	2138031.0	2408407.0
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_trim1	3846071.0	3928122.0
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_trim1	295196.0	389578.0
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_trim1	3639873.0	3609732.0
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_trim1	2709830.0	3026679.0
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_trim1	3884392.0	3339603.0
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_trim1	3258460.0	3027828.0
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_trim1	2873960.0	3062754.0
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_trim1	4023031.0	3948855.0
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_trim1	2258381.0	2152817.0
209105_HY55YBGXT_TCDM_1_C10_A04_2_3_o_CGTCGC_S75_trim1	1279669.0	796257.0
209106_HY55YBGXT_TCDM_1_D10_A04_2_1_o_ATGGCG_S76_trim1	205441.0	83173.0
209107_HY55YBGXT_TCDM_1_E10_A04_2_1_i_ATTGGT_S77_trim1	557811.0	245151.0
209108_HY55YBGXT_TCDM_1_F10_A04_2_3_i_GCCACA_S78_trim1	1199603.0	803459.0
209109_HY55YBGXT_TCDM_1_G10_A20_2_1_i_CATCTA_S79_trim1	3294548.0	3319680.0
209110_HY55YBGXT_TCDM_1_H10_A04_2_2_o_AACAAG_S80_trim1	2072869.0	2041549.0
209111_HY55YBGXT_TCDM_1_A11_A04_2_2_i_GCAGCC_S81_trim1	3357663.0	3200828.0
209112_HY55YBGXT_TCDM_1_B11_A20_2_2_o_ACTCTT_S82_trim1	3618185.0	3769545.0
209113_HY55YBGXT_TCDM_1_C11_C17_2_1_i_TGCTAT_S83_trim1	2961967.0	3134379.0
209114_HY55YBGXT_TCDM_1_D11_A03_2_3_i_AAGTGG_S84_trim1	4464266.0	4108616.0
209115_HY55YBGXT_TCDM_1_E11_C14_2_3_i_CTCATA_S85_trim1	1989910.0	2002520.0
209116_HY55YBGXT_TCDM_1_F11_C14_2_1_i_CCGACC_S86_trim1	2754631.0	2384860.0
209117_HY55YBGXT_TCDM_1_G11_A20_2_3_o_GGCCAA_S87_trim1	3231067.0	2962159.0
209118_HY55YBGXT_TCDM_1_H11_C14_2_2_i_AGACCA_S88_trim1	4027956.0	3931854.0
209119_HY55YBGXT_TCDM_1_A12_C14_2_3_o_CGCGGA_S89_trim1	4365933.0	3396170.0
209120_HY55YBGXT_TCDM_1_B12_C17_2_2_i_CCTGCT_S90_trim1	3182810.0	3701036.0
209121_HY55YBGXT_TCDM_1_C12_A03_2_3_o_GCGCTG_S91_trim1	5303538.0	4165908.0
209122_HY55YBGXT_TCDM_1_D12_C17_2_3_i_GAACCT_S92_trim1	2005648.0	1977815.0
209123_HY55YBGXT_TCDM_1_E12_A03_2_2_o_TTCGAG_S93_trim1	3388979.0	2840520.0
209124_HY55YBGXT_TCDM_1_F12_C17_2_2_o_AGAATC_S94_trim1	4051254.0	3273696.0
209125_HY55YBGXT_TCDM_1_G12_X8_415_3_i_AGGCAT_S95_trim1	3947671.0	3450945.0
209126_HY55YBGXT_TCDM_1_H12_X8_415_3_o_ACACGC_S96_trim1	4610315.0	3744225.0
209127_HY5CNBGXT_TCDM_2_A01_X4_46_1_o_CAGCGT_S1_trim1	3002634.0	1910191.0
209128_HY5CNBGXT_TCDM_2_B01_X8_415_2_i_GATCAC_S2_trim1	3522350.0	2813093.0
209129_HY5CNBGXT_TCDM_2_C01_X8_415_2_o_ACCAGT_S3_trim1	3408346.0	2549871.0
209130_HY5CNBGXT_TCDM_2_D01_X4_46_3_o_TGCACG_S4_trim1	3492241.0	2446081.0
209131_HY5CNBGXT_TCDM_2_E01_X4_46_1_i_ACATTA_S5_trim1	4135759.0	2963311.0
209132_HY5CNBGXT_TCDM_2_F01_C14_3_2_o_GTGTAG_S6_trim1	2594704.0	2058697.0
209133_HY5CNBGXT_TCDM_2_G01_A03_3_1_o_CTAGTC_S7_trim1	2470879.0	2046246.0
209134_HY5CNBGXT_TCDM_2_H01_A03_3_3_o_TGTGCA_S8_trim1	2724973.0	3546450.0
