Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1										9.828301019515214	3.050944615756144	6.124195478655137	2.997447379543582	3.566307162936994	1.0468446125316353	0.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1										7.858947547117561	2.5435451081127765	5.775470280259703	2.0315544236151237	2.7571095749062393	0.0	0.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1										0.683516134159911	0.0	0.0	0.0	0.0	0.0	0.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1										11.6692854783544	3.6761389274338883	8.191572808520881	3.260681167767279	2.874416276053821	0.0	0.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1										10.819441933959023	3.7549035319780293	8.643089243210646	3.6783823401915274	6.277431754265926	2.4953544474783187	2.0426719676424354
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_trim1										12.106578352626492	4.237271736265404	7.857581512958473	3.8864747614767103	5.515217049573492	1.8041145792899564	1.251524663872479
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_trim1										10.734006348385552	2.9622780974938707	6.88443136730407	2.500961368871255	2.880346324337458	0.0	0.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_trim1										12.091880754366278	3.916303896794421	7.388455388523181	2.707555036295537	3.515396785605094	0.8751912370056396	0.48465027800120086
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_trim1										11.175160211418097	3.9902055126596987	8.202846184163752	2.8541635701526347	6.525088486280003	1.5157591505716572	2.2564414326317688
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_trim1										12.023584498096012	3.851568905889974	7.920391044798023	2.3214443144017456	0.7931181768292297	0.0	0.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_trim1										7.679852428776389	2.307849969255995	2.9073580651772906	0.0	0.0	0.0	0.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_trim1										9.552305256001246	2.8062155791623886	7.356622293476295	0.0	0.0	0.0	0.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_trim1										9.561890482558475	2.743759182922388	6.747576148168221	1.6932026449971298	3.696705610949351	0.0	0.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_trim1										8.902544466403162	3.8275074110671934	3.196022727272727	1.0282855731225296	0.0	0.0	0.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_trim1										12.475269283072242	4.398109618642667	7.656886055682448	3.044105487255403	4.547344309716999	1.2083460962462576	0.18760120524988444
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_trim1										8.131868131868131	1.8076923076923077	2.423076923076923	0.0	0.0	0.0	0.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_trim1										11.515092635595424	4.074615991531247	7.591737033594077	3.4154954599564524	6.008719520643907	1.6390304689667106	2.0578429439646078
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_trim1										8.19173382529048	0.8350325274298475	1.3723015179467262	0.0	0.0	0.0	0.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_trim1										0.2782048466212753	0.0	0.0	0.0	0.0	0.0	0.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_trim1										0.6510003175611305	0.0	0.0	0.0	0.0	0.0	0.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_trim1										3.7815936716187535	0.0	2.006559907389543	0.0	0.0	0.0	0.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_trim1										12.341064937067477	4.581041090038011	9.710416650300534	3.4442769915749114	7.619284644989767	2.052206257648222	2.055561785237031
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_trim1										10.229275684103863	3.521386811564838	6.616494389244335	1.992712784565504	4.774959012039173	0.7037514600212521	0.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_trim1										9.526774918680038	3.174274727600627	5.879754747618298	1.7396673742922282	4.174046428422079	0.5596719018768931	0.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_trim1										14.549908908287575	4.8242211561348505	8.118688773292913	2.368517421950178	4.091755690004532	0.29159886947214286	0.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_trim1										14.149221016158956	4.397121377670412	8.54042020897729	2.590906612612396	4.0285229126143705	0.8047348513635935	0.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_trim1										14.126644441569812	4.32772144708597	6.629766401670775	1.7233891143533222	1.7770083421920218	0.07484888466087058	0.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_trim1										11.567428391853968	3.5189794322715975	6.788077756418325	1.6661003946650292	2.53173563883162	0.0	0.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_trim1										15.24517015174654	4.645922976453246	7.65501426164544	2.139769491933318	2.350036403874647	0.09913886651768289	0.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_trim1										15.686408557179005	5.418614414687574	10.054197748834712	3.2832652716082515	4.836297323455581	0.72718100084926	0.4532748471531279
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_trim1										14.928037227447854	5.095042237307715	9.020424178248074	2.4487458570503566	4.105924283833866	0.2667897480347172	0.14555491836489573
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_trim1										15.303901621772969	4.599222570051516	8.220656729139934	2.335688344859114	3.192421825021272	0.18300507277192007	0.11804209876488773
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_trim1										12.053106107535632	4.515100572210265	9.268346765169163	3.1093835249151183	7.103346708171099	1.7595331949933495	1.8325211303267257
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_trim1										12.425753719761392	3.9895587346516956	7.329202972371397	2.30407173815691	3.7350305896480087	0.8637012595092232	0.3647193755721003
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_trim1										12.428540639162206	4.351897653498615	8.609991173893707	3.3486763450992845	5.750392928139979	1.692706154192624	1.9440485873015338
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_trim1										9.928314677170736	3.397423230893605	7.361765059481449	2.010108008651451	1.5859411491987294	0.0	0.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_trim1										12.381487077205355	4.4761779632277285	8.190314890737232	3.4923135991998504	5.800162288716265	1.8726020099534477	2.4004884031229405
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_trim1										1.9888975922078806	0.0	0.0	0.0	0.0	0.0	0.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_trim1										9.304116127737014	2.753171153367103	6.357546887370245	2.2578139096343026	2.6204564606872904	0.0	0.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_trim1										12.777990548250884	4.920025725565347	10.74616216860106	3.933474053581794	7.17073053632753	2.443625204905462	3.7643552240186424
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_trim1										12.18083725086727	4.456988846541708	8.438119758840982	2.9927011764299882	5.463339578721944	1.4427755237658233	1.2712406122633266
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_trim1										7.792066675226074	2.490682209755507	4.770819666881974	1.499026248111577	1.9269920205628288	0.0	0.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_trim1										3.22601162425188	0.9954095110486465	0.36896512542869836	0.0	0.0	0.0	0.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_trim1										9.566558406634353	2.475577689764069	5.406089601471026	0.0	0.0	0.0	0.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_trim1										12.216432359533377	3.7925959893615357	7.839395933356775	2.6424157088537346	2.5582690840374434	0.0	0.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_trim1										7.530725359466624	2.783356092858864	4.247730741425014	0.0	1.114145714515222	0.0	0.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_trim1										8.338531729925561	2.777680295580603	4.467487285380317	0.0	0.7597954255516993	0.0	0.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_trim1										11.819580178424609	3.9718940544505887	8.436200485278086	2.8491679305576207	4.8135390199452095	1.5296984183904023	1.3687659126543514
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_trim1										11.72468659816369	3.802782256152226	6.970741540559701	2.3197718295719323	2.979271059605989	0.8647779313424142	0.3209322951273375
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_trim1										11.94607052603964	4.0640451842282905	7.913858319803318	2.314693470550095	4.16037375008953	1.1806569884459774	0.3300877145157688
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_trim1										12.178116420125933	3.7937108771219843	6.489096776748296	2.1454095773166415	2.8838370921103156	0.4785465005801997	0.0
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_trim1										11.349153414033744	3.5847839558366843	6.098828683703497	1.6886829224823117	3.0574809781354357	0.9013134497312071	0.1354189161718064
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_trim1										12.134613641149727	3.9394193427392104	7.465341657838187	2.755759866935932	4.470392910268925	1.0961273658465902	1.2510658504971022
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_trim1										11.98082028977595	4.058994032665476	7.87994956264531	3.003395457959155	4.2210508533737405	1.5152471554273803	0.8901513997149795
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_trim1										11.97486505092616	4.030568930575376	8.420343909577275	2.2534222894309424	4.358623390927792	1.6184757522220687	0.7416593842161547
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_trim1										12.246488058210288	4.110700257309266	7.2055244897403545	2.57303884041699	3.368222748871467	0.9776125400142213	0.16203308469330283
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_trim1										11.44197768234637	4.022075259330355	8.209729751934097	2.641527025846184	5.014925915032869	1.5769264994679677	0.9322587145043595
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_trim1										13.210151127982819	4.401011639483047	8.036602087319219	2.573536498586708	3.9544815527777493	1.0673412636339812	0.2790515881269189
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_trim1										11.84685032302431	3.840047800060354	7.396068588957077	2.070872033702078	3.7854507110663316	1.1944680468247717	0.46033127967563364
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_trim1										13.164347925880767	4.33580398883604	7.255647729486157	2.4371859531697746	3.5829198418469197	0.7970757995940115	0.0
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_trim1										1.2388503468780971	0.0	1.808721506442022	0.0	0.0	0.0	0.0
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_trim1										3.430537575798869	0.0	0.5007835388703413	0.0	0.0	0.0	0.0
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_trim1										12.46100808246457	4.138493507200314	8.077479683086178	2.4415643673022425	4.104258013609791	1.4143459703213217	1.0054805308574264
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_trim1										12.598942966668409	4.384586181900926	8.115800293379102	2.778301616138887	4.399332541976555	1.3851930693280172	0.5845371003775502
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_trim1										11.720754340635844	4.163415077682571	8.259570908443187	3.079833908509768	5.32493509047124	1.7782126454382399	1.1433186685566767
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_trim1										13.37470148377621	4.400609517331657	6.527777938224373	2.379052339402633	3.289273408079487	0.24239004656592375	0.0
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_trim1										13.188147247849919	5.05623902596278	11.756578079071218	4.944341542871945	6.830592422533072	1.9499825170120748	0.0
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_trim1										11.852207388337881	3.8742910535124375	7.589429700207782	2.554660659235442	4.715634097036813	1.660902314791584	0.14290727871883155
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_trim1										12.658059859794513	4.043109979819088	7.738485796004604	2.8254975248449794	3.664216771493468	1.3107466350741586	0.36669185822281847
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_trim1										11.522530966314461	3.8573186886084283	6.261169366016846	2.136635337046746	3.2156150257908673	0.7815323662792308	0.0
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_trim1										11.912096014292255	3.837445862888992	6.927526475454194	2.3669584423774523	3.0034339539265176	1.25069730729305	0.17671502565101013
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_trim1										11.865919174437726	4.060140137346984	8.33053771913866	2.64866743365554	4.004697949056337	1.5165373480146471	0.575569850510035
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_trim1										12.270376710478704	3.8968334145521673	7.072044247604353	2.4772235687501727	2.9084488820034164	1.0264236569760579	0.2957731774946644
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_trim1										11.247788798285532	3.521830604016353	7.3624774998441485	1.8778286613516226	3.557012305118291	1.6241426578488154	0.0
209105_HY55YBGXT_TCDM_1_C10_A04_2_3_o_CGTCGC_S75_trim1										8.832692659902957	3.2685150027564744	5.098152649739647	0.7648155159365077	3.588757199350581	0.0	0.0
209106_HY55YBGXT_TCDM_1_D10_A04_2_1_o_ATGGCG_S76_trim1										7.236900103001605	2.2407034746146057	3.8225400466440234	0.8798792180093334	0.43854959444225067	0.0	0.0
209107_HY55YBGXT_TCDM_1_E10_A04_2_1_i_ATTGGT_S77_trim1										8.072889079041211	2.1568977255340975	3.209618435517806	1.6079467973666277	0.8654699589947129	0.0	0.0
209108_HY55YBGXT_TCDM_1_F10_A04_2_3_i_GCCACA_S78_trim1										9.467408764615518	3.4048642788459342	6.130814301148142	1.137081938282324	3.8721502649220687	0.25176340135508823	0.0
209109_HY55YBGXT_TCDM_1_G10_A20_2_1_i_CATCTA_S79_trim1										12.366634026721417	4.261611435873197	7.708591448875005	2.825435898441256	3.4489030506178144	0.99652986124624	0.3491007800632866
209110_HY55YBGXT_TCDM_1_H10_A04_2_2_o_AACAAG_S80_trim1										10.59740176990264	3.787708872177527	7.773033610795932	2.8762315619065193	4.848499749807054	2.415679997411195	0.6627616083457337
209111_HY55YBGXT_TCDM_1_A11_A04_2_2_i_GCAGCC_S81_trim1										11.90341694027709	3.833240467769245	6.433200993977885	1.9480837383921	3.103702665784002	0.35519196315836327	0.27140490278203305
209112_HY55YBGXT_TCDM_1_B11_A20_2_2_o_ACTCTT_S82_trim1										12.14317358101014	3.8892476309824806	7.1012444333037275	2.1922943190086355	2.8846659819703957	1.0622139240576742	0.3151644713428614
209113_HY55YBGXT_TCDM_1_C11_C17_2_1_i_TGCTAT_S83_trim1										12.954567380634705	4.237325260108721	7.338961897673856	2.6977587868178046	3.463415092985501	1.0663560647821246	0.0
209114_HY55YBGXT_TCDM_1_D11_A03_2_3_i_AAGTGG_S84_trim1										13.41238029629829	4.274820641936388	6.629269762642473	1.9884559627161065	2.743600520567097	0.0	0.0
209115_HY55YBGXT_TCDM_1_E11_C14_2_3_i_CTCATA_S85_trim1										11.782599176151596	3.827805575712648	7.221077669391248	2.308759086503524	4.528714908769974	1.4040223740326687	0.0
209116_HY55YBGXT_TCDM_1_F11_C14_2_1_i_CCGACC_S86_trim1										11.440390313533605	3.5546534660330744	7.056827175682752	1.9381390514666759	2.72952278784857	1.118142813935424	0.19889512450773586
209117_HY55YBGXT_TCDM_1_G11_A20_2_3_o_GGCCAA_S87_trim1										11.39052246703998	3.5397618946939935	6.856884941366924	2.173375381838057	3.439282267619844	1.0490621024855322	0.6335979401775906
209118_HY55YBGXT_TCDM_1_H11_C14_2_2_i_AGACCA_S88_trim1										12.758119250013511	4.063550418942525	7.096964459651131	2.137987394023351	3.5652176120699424	0.6931913435931758	0.0
209119_HY55YBGXT_TCDM_1_A12_C14_2_3_o_CGCGGA_S89_trim1										12.27807383641062	3.5592835839734063	5.725967897764099	2.0555540464903257	1.9386769580023433	0.4132634666265819	0.0
209120_HY55YBGXT_TCDM_1_B12_C17_2_2_i_CCTGCT_S90_trim1										12.463359398162838	4.223709973667286	8.306349965064037	3.0802954368082385	4.801129895152666	1.7838003842434322	1.3900657555569806
209121_HY55YBGXT_TCDM_1_C12_A03_2_3_o_GCGCTG_S91_trim1										12.16063374481829	3.6449858319818977	5.677339799551715	1.4773753308966098	2.0937196990466966	0.17629619613286052	0.0
209122_HY55YBGXT_TCDM_1_D12_C17_2_3_i_GAACCT_S92_trim1										11.80126239664434	3.8335476520831047	7.867826169645921	2.693503123621129	4.131792513826859	1.4647566399263825	0.2601561600282656
209123_HY55YBGXT_TCDM_1_E12_A03_2_2_o_TTCGAG_S93_trim1										11.985422640561184	3.5650459546479647	5.983587576519453	1.8543350349588272	3.211638995956276	0.8037725657678284	0.0
209124_HY55YBGXT_TCDM_1_F12_C17_2_2_o_AGAATC_S94_trim1										11.77478127631429	3.614104913535918	6.272334751976157	1.9518739667988523	2.964784568100911	0.585770007508604	0.0
209125_HY55YBGXT_TCDM_1_G12_X8_415_3_i_AGGCAT_S95_trim1										11.87518354371127	3.8316561504452826	6.653075423838508	2.344678126843412	3.803992581617418	0.4999229451233723	0.2812049534329833
209126_HY55YBGXT_TCDM_1_H12_X8_415_3_o_ACACGC_S96_trim1										11.063881679128173	3.5717972712532853	7.093454862654896	2.161611273133364	3.8144116547946942	1.0924415943426025	0.6046598327785532
209127_HY5CNBGXT_TCDM_2_A01_X4_46_1_o_CAGCGT_S1_trim1										11.182178855235964	2.913127042876542	4.62861526807125	1.3469642091552299	0.9051149820494214	0.0	0.0
209128_HY5CNBGXT_TCDM_2_B01_X8_415_2_i_GATCAC_S2_trim1										12.525072990936367	3.633898427148012	5.82771656279484	1.9029372974257286	1.872098132201348	0.0	0.0
209129_HY5CNBGXT_TCDM_2_C01_X8_415_2_o_ACCAGT_S3_trim1										11.474247294850572	3.433238750464828	6.150100637173693	2.0604910250514874	2.3648380515965326	0.20344568877073346	0.0
