Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1	209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1270698.0	89.9 Mbp	0.0	20-86	48.0	58.38439607927063	70.39758778246286	82	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1	209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	391589.0	26.9 Mbp	0.0	20-86	48.0	65.26457897782672	68.4640324421779	80	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1	209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18873.0	1.3 Mbp	0.0	20-86	38.0	97.09638107349123	72.31770253801727	80	pass	pass	fail	warn	warn	warn	pass	warn	pass	warn	pass
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1	209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	370837.0	24.6 Mbp	0.0	20-86	51.0	54.09738872603944	65.91897248656417	72	pass	pass	pass	pass	fail	fail	pass	warn	warn	fail	pass
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1	209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2197216.0	165.4 Mbp	0.0	20-86	47.0	46.88646306118324	74.88770880969372	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_trim1	209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2158682.0	161 Mbp	0.0	20-86	50.0	47.809036294593206	74.17596663149088	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_trim1	209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	838968.0	57.4 Mbp	0.0	20-86	49.0	58.73772941269313	68.02016286676012	78	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_trim1	209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5149257.0	406.8 Mbp	0.0	20-86	43.0	53.25665990742726	78.67778943641773	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_trim1	209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4110860.0	303.9 Mbp	0.0	20-86	47.0	46.965723593936374	73.54422237682626	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_trim1	209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	279002.0	19.3 Mbp	0.0	20-86	51.0	57.2406717040708	69.01949089970681	82	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_trim1	209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97580.0	6.7 Mbp	0.0	20-86	47.0	72.14695634351301	68.56140602582497	78	pass	pass	warn	pass	warn	warn	pass	warn	pass	warn	pass
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_trim1	209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163381.0	11.1 Mbp	0.0	20-86	48.0	65.78831112558892	68.05393528011213	80	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	pass
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_trim1	209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	724847.0	53.1 Mbp	0.0	20-86	47.0	60.394119252602096	72.88926076813452	84	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_trim1	209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64768.0	3.9 Mbp	0.0	20-86	50.0	69.56984930830039	60.3102766798419	62	pass	pass	fail	pass	warn	fail	pass	warn	warn	fail	pass
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_trim1	209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6177338.0	488.9 Mbp	0.0	20-86	43.0	48.518725890575496	78.81082369136998	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_trim1	209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18200.0	1.3 Mbp	0.0	20-86	47.0	78.12087912087911	72.89813186813187	84	pass	fail	fail	pass	fail	fail	pass	warn	pass	fail	fail
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_trim1	209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3224362.0	246 Mbp	0.0	20-86	48.0	47.17020654810125	75.92295778203564	84	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_trim1	209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30897.0	2 Mbp	0.0	20-86	50.0	79.22775674013658	65.41858432857559	74	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	warn
