Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_trim1	41.61560392072937	48.0	70.39758778246286	82	9.090909090909092	1270698.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_trim1	34.735421022173284	48.0	68.4640324421779	80	9.090909090909092	391589.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_trim1	2.90361892650877	38.0	72.31770253801727	80	9.090909090909092	18873.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_trim1	45.90261127396056	51.0	65.91897248656417	72	27.27272727272727	370837.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_trim1	53.11353693881676	47.0	74.88770880969372	84	18.181818181818183	2197216.0
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_trim1	52.190963705406794	50.0	74.17596663149088	84	18.181818181818183	2158682.0
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_trim1	41.26227058730687	49.0	68.02016286676012	78	9.090909090909092	838968.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_trim1	46.74334009257274	43.0	78.67778943641773	84	9.090909090909092	5149257.0
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_trim1	53.034276406063626	47.0	73.54422237682626	84	18.181818181818183	4110860.0
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_trim1	42.7593282959292	51.0	69.01949089970681	82	9.090909090909092	279002.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_trim1	27.85304365648699	47.0	68.56140602582497	78	0.0	97580.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_trim1	34.21168887441108	48.0	68.05393528011213	80	9.090909090909092	163381.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_trim1	39.605880747397904	47.0	72.88926076813452	84	9.090909090909092	724847.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_trim1	30.43015069169961	50.0	60.3102766798419	62	27.27272727272727	64768.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_trim1	51.481274109424504	43.0	78.81082369136998	84	18.181818181818183	6177338.0
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_trim1	21.87912087912089	47.0	72.89813186813187	84	54.54545454545454	18200.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_trim1	52.82979345189875	48.0	75.92295778203564	84	18.181818181818183	3224362.0
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_trim1	20.772243259863416	50.0	65.41858432857559	74	36.36363636363637	30897.0
