Sample	Top over-represented sequence	Sum of remaining over-represented sequences
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	0.5140339244649546	3.011171404516018
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	0.6839708241134254	4.1799257724234025
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	0.11185113630586202	0.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	1.052783891076192	5.346536502031586
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	0.822967739999903	6.062862858269803
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001	0.641944668215517	4.600229047726662
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	0.5298271033595364	2.1668847247602256
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001	0.4734024696717288	0.5587131217718324
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001	0.463320628728021	3.6476354630326444
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	0.3731054031189859	4.988557426887182
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001	0.2648424138773516	2.5331053017346687
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001	0.2630630836712169	4.697963548606623
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_R1_001	0.45259628464546847	3.5625850195544975
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001	0.897441080163318	4.619261295495277
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_R1_001	0.18464586517931653	0.5470061553435228
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_R1_001	0.9371745921555016	4.629074500646869
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_R1_001	0.5268516578095909	4.202336232930394
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_R1_001	1.133447390932421	2.37382378100941
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_R1_001	0.0	0.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_R1_001	0.2418745275888133	0.7558578987150414
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_R1_001	1.694086984850953	2.5085518814139105
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_R1_001	0.5339303550201081	3.7031776885865604
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_R1_001	0.36701713271375264	2.154619476075172
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_R1_001	0.28311525459227377	1.7900536761013803
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_R1_001	0.0	0.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_R1_001	0.17362547332873743	0.6190090819170939
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_R1_001	0.0	0.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_R1_001	0.44727498854238174	1.8171497249220787
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_R1_001	0.0	0.0
