Sample	Unique Reads	Duplicate Reads
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	811511.0	541318.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	283060.0	144005.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	19106.0	563.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	241393.0	187090.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	1078889.0	1187664.0
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001	1087912.0	1137825.0
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	564965.0	359865.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001	2807515.0	2426298.0
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001	1991329.0	2210297.0
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	172885.0	123814.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001	74507.0	27818.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001	113296.0	61567.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_R1_001	458557.0	294211.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001	51596.0	22615.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_R1_001	3032705.0	3199766.0
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_R1_001	24359.0	7332.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_R1_001	1574867.0	1727201.0
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_R1_001	29575.0	7833.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_R1_001	13797.0	402.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_R1_001	6352.0	263.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_R1_001	15698.0	2719.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_R1_001	2012342.0	2726291.0
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_R1_001	1340077.0	1010222.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_R1_001	1779918.0	1199434.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_R1_001	3427117.0	4322585.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_R1_001	2236699.0	2767751.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_R1_001	3444916.0	3594123.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_R1_001	595863.0	455839.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_R1_001	2868359.0	3564761.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_R1_001	3186972.0	5299505.0
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_R1_001	3046529.0	4400913.0
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_R1_001	4304535.0	5490302.0
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_R1_001	1841317.0	2376399.0
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_R1_001	3338087.0	3446737.0
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_R1_001	2097014.0	2712304.0
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_R1_001	196400.0	117050.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_R1_001	2940030.0	4013971.0
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001	28612.0	2281.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_R1_001	481974.0	284945.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_R1_001	3208074.0	5199025.0
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_R1_001	3240731.0	3647350.0
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_R1_001	448072.0	210277.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_R1_001	162630.0	20983.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_R1_001	121342.0	59328.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_R1_001	341274.0	265115.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_R1_001	98861.0	40077.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_R1_001	124092.0	61420.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_R1_001	3963787.0	3952727.0
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_R1_001	3524200.0	3263942.0
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_R1_001	3673240.0	3610956.0
