Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001										9.351315220111331	2.94225178244331	5.878913093401831	2.827784511246515	3.358645310244341	0.9833539516554428	0.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001										7.780233450750094	2.503111475935877	5.6563359737544046	2.03357234222895	2.528504678960588	0.0	0.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001										0.7321165285474605	0.0	0.0	0.0	0.0	0.0	0.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001										11.207791921842162	3.621664245123118	7.95207271142072	2.835679075141638	2.8417647256537046	0.0	0.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001										10.694886475682763	3.703847274616641	8.549166809814254	3.5951988840543265	6.147474027369763	2.4194660504751377	1.9804779174986762
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001										11.827911419579031	4.127402404577063	7.7889657865617785	3.774614523868998	5.365942903233567	1.7493038711949702	1.2135021603061107
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001										10.09175670676473	2.9478307616438117	6.369497701335858	2.2714345102353524	2.606860074548983	0.0	0.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001										12.018199937625647	3.828558161087716	7.350501753880015	2.6902583427401323	3.460577814556729	0.8609973641246684	0.47680945197731184
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001										11.160039459239435	3.893308560540994	8.148026470977397	2.8199329759612235	6.422894778904728	1.483075506840993	2.2077511539307846
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001										11.844762656216957	3.7875676958392726	7.603532007748743	2.1834969428262996	0.7454111718426987	0.0	0.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001										7.509406303444906	2.266308331297337	2.7979477156120205	0.0	0.0	0.0	0.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001										10.056399347781928	2.9551048247223535	7.210455772322543	0.0	0.0	0.0	0.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_R1_001										9.597396700128439	2.6651081624138597	6.677996542674681	1.6349398123738628	3.561046097337793	0.0	0.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001										9.539017126841035	3.4725310263977036	3.1504763444772337	0.897441080163318	0.0	0.0	0.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_R1_001										12.478127324795677	4.321771338836916	7.660216046135682	3.0430180964740807	4.514344243378764	1.1976834963936078	0.1859619476840352
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_R1_001										8.207377488876968	1.205389542772396	1.9753242245432456	0.0	0.0	0.0	0.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_R1_001										11.413734006006388	4.01798159911408	7.618160833540942	3.352393352625983	5.877534435070887	1.6012933962134799	2.0103103327113807
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_R1_001										8.0571000855432	0.695038494439692	1.537104362703165	0.0	0.0	0.0	0.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_R1_001										0.26762448059722516	0.0	0.0	0.0	0.0	0.0	0.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_R1_001										0.6198034769463341	0.0	0.0	0.0	0.0	0.0	0.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_R1_001										4.626160612477602	0.0	2.2642124124450236	0.0	0.0	0.0	0.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_R1_001										12.27542944759723	4.493261575038683	9.726707505094158	3.4088465721020333	7.5472148195060695	2.023790532600998	2.0272905057466373
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_R1_001										9.991929267004302	3.3019678509953923	6.621165935625503	1.8934666416907493	4.61362861048279	0.67502107181053	0.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_R1_001										9.356497585548244	2.94229572080276	5.807790549346794	1.7626414374817982	4.012775274443469	0.5368159547980024	0.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_R1_001										14.566391214693905	4.814291189266672	8.123484618019843	2.3685831099045345	4.081996352160981	0.2907014989592241	0.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_R1_001										14.130083121953907	4.383387262501949	8.529907036014176	2.581271129486452	3.9978758137535264	0.7975765465526733	0.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_R1_001										14.124010462964467	4.337186224977618	6.619204184613137	1.7255864282865665	1.771810046443946	0.07460403326483366	0.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_R1_001										11.456492399732758	3.4355528024032895	6.6529215900448815	1.6233968285474496	2.4648153787067186	0.0	0.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_R1_001										15.228618372410896	4.652408322647346	7.650726146946855	2.131288660738723	2.340277535830232	0.09869876345012746	0.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_R1_001										15.680567664800392	5.425932007117728	10.056279515376712	3.2773316638706236	4.82748712807886	0.7256233960009728	0.4522965354044714
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_R1_001										14.924327167834917	5.0924794358255125	9.008542913254637	2.4442724554968986	4.098008387616591	0.266196386661728	0.1452311927838247
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_R1_001										15.277817862212363	4.589480788192005	8.214128569483963	2.321160784069706	3.1899741201929057	0.18221538498167392	0.11753273362698341
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_R1_001										11.928905354649151	4.419790365411355	9.231361648694882	3.1041641613862017	6.9974853985025325	1.7225845761342038	1.7942306957465501
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_R1_001										12.368605351500571	3.929767399038901	7.328308640416266	2.307432999824581	3.6931650953622213	0.852497533804454	0.3600180497909807
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_R1_001										12.44155401765761	4.246294589126331	8.636228754609633	3.341907045794011	5.6939420728288965	1.6740350560593908	1.9226886675760562
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_R1_001										9.727435356759658	3.4120480107675615	6.993914888693954	1.902227159813052	1.488713421138157	0.0	0.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_R1_001										12.338376059840366	4.4513658254520205	8.178651142672551	3.484924734602933	5.789234873278452	1.8632525847563375	2.388256337594266
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001										2.003690156346098	0.0	0.0	0.0	0.0	0.0	0.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_R1_001										9.076568366133356	2.821173970866984	6.25435072858173	2.231361373029579	2.481099476566254	0.0	0.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_R1_001										12.420416611188537	4.930303789507475	10.444756820510214	4.080876799681389	7.323310515654405	2.4922528359771787	3.850196388433247
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_R1_001										12.183908238935496	4.39433186363753	8.44093018772705	2.959791473313185	5.462329607771348	1.4281531790916324	1.2583731409499608
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_R1_001										7.6280938454159735	2.4977391435523066	4.7319946553233665	1.5340806575138095	1.8009305145559085	0.0	0.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_R1_001										3.355185352401523	0.9909644319904737	0.3673174827911356	0.0	0.0	0.0	0.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_R1_001										10.054608761038004	2.600468020422555	5.480082325523237	0.0	0.0	0.0	0.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_R1_001										11.974732700204878	3.686123608568898	7.454880102893696	2.4876149061294135	2.4066413152682107	0.0	0.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_R1_001										7.9359138608588005	2.742950092847169	4.707135556867092	0.0	0.9982870057147794	0.0	0.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_R1_001										9.196907455622162	2.8744898744533147	4.908070335160994	0.0	0.7347172225859662	0.0	0.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_R1_001										11.732970581460131	3.941117027977424	8.153743885273691	2.8217219477831508	4.946308406333146	1.4929090446816073	1.3357359869505245
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_R1_001										11.670075696440238	3.807372059541799	6.8124966382140855	2.379804874226323	2.9796770935427	0.8488021189876549	0.31500342721835006
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_R1_001										11.96131280935809	4.051892508982006	7.81985003694154	2.342013980411738	4.181935409453555	1.1701554695950744	0.3271500649082676
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_R1_001										12.11787727279382	3.7479867560103624	6.469171851165593	2.1611562580364585	2.8583412678867854	0.4714794253956278	0.0
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_R1_001										11.352777519438654	3.5747399317117408	6.08855537173804	1.714652547409934	3.0628138626709234	0.8918424921599589	0.13399393544843946
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_R1_001										12.100212334026962	3.916873506732216	7.453265948049519	2.7775035215813793	4.424044332364213	1.0836570756089472	1.2369395218706392
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_R1_001										11.911847980910846	4.057921414740697	7.728972512157959	2.9888130610512476	4.2540159603862016	1.487601902383947	0.8739976006829806
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_R1_001										11.974867131193205	3.9888479573375157	8.206583521781404	2.3486355793510136	4.400536296332481	1.598484669163958	0.7325165456080416
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_R1_001										12.13849343385163	4.078982590564943	7.059580985008103	2.63600488001643	3.349161665356324	0.9547478202673647	0.15824078631886196
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_R1_001										11.39409633954718	3.99617313179961	8.100863398231093	2.6916414681830703	4.974909676201524	1.553170280117654	0.9182531654775826
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_R1_001										13.226356716709969	4.366594638838399	8.002899604290095	2.551508701803174	3.948202183221874	1.0548102236269221	0.27576577374765066
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_R1_001										11.804239080206235	3.8317524550438042	7.2715634843514385	2.1421908045249403	3.793221189366674	1.1775184676491908	0.453774143451145
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_R1_001										13.093870811987138	4.283268093423309	7.277767704800368	2.4289368753709093	3.582988311481747	0.7889659407029972	0.0
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_R1_001										2.0467381729623297	0.39380278770920774	1.513031763303798	0.0	0.0	0.0	0.0
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_R1_001										3.730226278871834	0.21131100871657912	0.431426642796349	0.0	0.0	0.0	0.0
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_R1_001										12.457448089283785	4.169793598814667	7.857588184835501	2.5237157127710996	4.129731309035241	1.3953289580148769	0.9919339613000271
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_R1_001										12.539593539233412	4.345086068515429	7.88668370467006	2.8886566075055513	4.343353510152794	1.3626517800587414	0.5749734722727509
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_R1_001										11.645416368982882	4.03746622135995	8.034695809758112	3.1158389696097086	5.212871368054983	1.728800995372313	1.1115643588024764
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_R1_001										13.353739773950494	4.401178406861774	6.540139114315084	2.3706161123124527	3.277465146251039	0.24139230599519243	0.0
