Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1352829.0	116.3 Mbp	0.0	86.0	48.0	59.9862173991528	86.0	86	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	427065.0	36.7 Mbp	0.0	86.0	48.0	66.28019135481331	86.0	86	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19669.0	1.6 Mbp	0.0	86.0	35.0	97.13254359652245	86.0	86	pass	fail	fail	warn	fail	warn	pass	pass	pass	warn	fail
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	428483.0	36.8 Mbp	0.0	86.0	51.0	56.336646364329866	86.0	86	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2266553.0	194.9 Mbp	0.0	86.0	46.0	47.600431100714616	86.0	86	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001	209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2225737.0	191.4 Mbp	0.0	86.0	49.0	48.87872033073662	86.0	86	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	924830.0	79.5 Mbp	0.0	86.0	49.0	61.08843405459194	86.0	86	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001	209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5233813.0	450.1 Mbp	0.0	86.0	42.0	53.641850125485405	86.0	86	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001	209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4201626.0	361.3 Mbp	0.0	86.0	45.0	47.39423129577741	86.0	86	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	296699.0	25.5 Mbp	0.0	86.0	51.0	58.26926822666112	86.0	86	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
