Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
209031_HY55YBGXT_TCDM_1_A01_A04_1_2_o_CAGCGT_S1_R1_001	40.0137826008472	48.0	86.0	86	27.27272727272727	1352829.0
209032_HY55YBGXT_TCDM_1_B01_A04_1_1_o_GATCAC_S2_R1_001	33.71980864518669	48.0	86.0	86	27.27272727272727	427065.0
209033_HY55YBGXT_TCDM_1_C01_BLANK_ACCAGT_S3_R1_001	2.867456403477547	35.0	86.0	86	36.36363636363637	19669.0
209034_HY55YBGXT_TCDM_1_D01_A04_1_3_i_TGCACG_S4_R1_001	43.663353635670134	51.0	86.0	86	36.36363636363637	428483.0
209035_HY55YBGXT_TCDM_1_E01_A04_1_3_o_ACATTA_S5_R1_001	52.399568899285384	46.0	86.0	86	27.27272727272727	2266553.0
209036_HY55YBGXT_TCDM_1_F01_A27_1_2_i_GTGTAG_S6_R1_001	51.12127966926338	49.0	86.0	86	27.27272727272727	2225737.0
209037_HY55YBGXT_TCDM_1_G01_C17_1_2_o_CTAGTC_S7_R1_001	38.91156594540806	49.0	86.0	86	27.27272727272727	924830.0
209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8_R1_001	46.358149874514595	42.0	86.0	86	9.090909090909092	5233813.0
209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9_R1_001	52.60576870422259	45.0	86.0	86	36.36363636363637	4201626.0
209040_HY55YBGXT_TCDM_1_B02_X9_27_1_i_CGGTTA_S10_R1_001	41.73073177333888	51.0	86.0	86	18.181818181818183	296699.0
209041_HY55YBGXT_TCDM_1_C02_X9_27_2_i_TTAACT_S11_R1_001	27.185927192768148	45.0	86.0	86	27.27272727272727	102325.0
209042_HY55YBGXT_TCDM_1_D02_X9_27_3_o_ATGAAC_S12_R1_001	35.20895649882392	47.0	86.0	86	18.181818181818183	174863.0
209043_HY55YBGXT_TCDM_1_E02_X11_57_2_o_CCTAAG_S13_R1_001	39.083970145378046	46.0	86.0	86	18.181818181818183	752768.0
209044_HY55YBGXT_TCDM_1_F02_X11_57_3_o_AATCCG_S14_R1_001	30.473918960800958	50.0	86.0	86	18.181818181818183	74211.0
209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15_R1_001	51.340257312899254	42.0	86.0	86	18.181818181818183	6232471.0
209046_HY55YBGXT_TCDM_1_H02_X11_57_1_o_TACCTT_S16_R1_001	23.13906156321984	50.0	86.0	86	45.45454545454545	31691.0
209047_HY55YBGXT_TCDM_1_A03_A27_1_1_i_TCTTAA_S17_R1_001	52.30667367838004	46.0	86.0	86	27.27272727272727	3302068.0
209048_HY55YBGXT_TCDM_1_B03_X1_54_2_i_GTCAGG_S18_R1_001	20.939371257485035	50.0	86.0	86	45.45454545454545	37408.0
209049_HY55YBGXT_TCDM_1_C03_X11_57_2_i_ATACTG_S19_R1_001	2.831185294739072	32.0	86.0	86	36.36363636363637	14199.0
209050_HY55YBGXT_TCDM_1_D03_X9_27_3_i_TATGTC_S20_R1_001	3.9758125472411194	41.0	86.0	86	18.181818181818183	6615.0
209051_HY55YBGXT_TCDM_1_E03_C17_1_3_i_GAGTCC_S21_R1_001	14.768963457674971	47.0	86.0	86	45.45454545454545	18417.0
209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22_R1_001	57.53328376433441	47.0	86.0	86	27.27272727272727	4738633.0
209053_HY55YBGXT_TCDM_1_G03_X9_27_1_o_CACACT_S23_R1_001	42.982726260928004	45.0	86.0	86	18.181818181818183	2350299.0
209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24_R1_001	40.258241768827766	44.0	86.0	86	18.181818181818183	2979352.0
209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25_R1_001	55.777441317862994	37.0	86.0	86	27.27272727272727	7749702.0
209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26_R1_001	55.305807118093405	38.0	86.0	86	36.36363636363637	5004450.0
209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27_R1_001	51.05985794952703	37.0	86.0	86	27.27272727272727	7039039.0
209058_HY55YBGXT_TCDM_1_D04_X4_67_3_i_GCTCGA_S28_R1_001	43.34302781373016	41.0	86.0	86	27.27272727272727	1051702.0
209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29_R1_001	55.41264183411849	38.0	86.0	86	27.27272727272727	6433120.0
209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30_R1_001	62.44647267769229	37.0	86.0	86	18.181818181818183	8486477.0
209061_HY55YBGXT_TCDM_1_G04_X4_67_2_i_ACCTAC_S31_R1_001	59.092954292075135	38.0	86.0	86	18.181818181818183	7447442.0
209062_HY55YBGXT_TCDM_1_H04_X4_67_1_i_CGAAGG_S32_R1_001	56.05302384312035	38.0	86.0	86	18.181818181818183	9794837.0
209063_HY55YBGXT_TCDM_1_A05_C64_1_2_i_AGATAG_S33_R1_001	56.343282301410895	45.0	86.0	86	36.36363636363637	4217716.0
209064_HY55YBGXT_TCDM_1_B05_C64_1_1_o_TTGGTA_S34_R1_001	50.80069497085648	41.0	86.0	86	18.181818181818183	6784824.0
209065_HY55YBGXT_TCDM_1_C05_X5_31_3_i_GTTACC_S35_R1_001	56.39687107839384	44.0	86.0	86	36.36363636363637	4809318.0
209066_HY55YBGXT_TCDM_1_D05_X4_67_3_o_CGCAAC_S36_R1_001	37.34258573078251	49.0	86.0	86	18.181818181818183	313450.0
209067_HY55YBGXT_TCDM_1_E05_X5_31_2_i_TGGCGA_S37_R1_001	57.72174937235631	44.0	86.0	86	36.36363636363637	6954001.0
209068_HY55YBGXT_TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001	7.383549671446616	44.0	86.0	86	18.181818181818183	30893.0
209069_HY55YBGXT_TCDM_1_G05_A20_1_1_o_CAACAG_S39_R1_001	37.15453718021824	47.0	86.0	86	27.27272727272727	766919.0
209070_HY55YBGXT_TCDM_1_H05_C17_1_3_o_GATTGT_S40_R1_001	61.84089784970273	45.0	86.0	86	27.27272727272727	8407099.0
209071_HY55YBGXT_TCDM_1_A06_A20_1_1_i_CTCTCG_S41_R1_001	52.95161555694759	44.0	86.0	86	18.181818181818183	6888081.0
209072_HY55YBGXT_TCDM_1_B06_A20_1_2_o_TGACAC_S42_R1_001	31.94005336868075	45.0	86.0	86	27.27272727272727	658349.0
209073_HY55YBGXT_TCDM_1_C06_X5_31_1_o_AAGACA_S43_R1_001	11.42830612535029	30.0	86.0	86	36.36363636363637	183613.0
209074_HY55YBGXT_TCDM_1_D06_X4_67_1_o_ACAGAT_S44_R1_001	32.837881019815214	45.0	86.0	86	18.181818181818183	180670.0
209075_HY55YBGXT_TCDM_1_E06_A27_1_2_o_TAGGCT_S45_R1_001	43.72044478187469	51.0	86.0	86	27.27272727272727	606389.0
209076_HY55YBGXT_TCDM_1_F06_X5_31_3_o_CTCCAT_S46_R1_001	28.845240323021784	49.0	86.0	86	18.181818181818183	138938.0
209077_HY55YBGXT_TCDM_1_G06_X5_31_2_o_GCATGG_S47_R1_001	33.10838566910192	50.0	86.0	86	27.27272727272727	185512.0
209078_HY55YBGXT_TCDM_1_H06_C64_1_3_i_AATAGC_S48_R1_001	49.93014742599793	42.0	86.0	86	18.181818181818183	7916514.0
209079_HY55YBGXT_TCDM_1_A07_A20_1_2_i_GTGCCA_S49_R1_001	48.08300563302505	41.0	86.0	86	18.181818181818183	6788142.0
209080_HY55YBGXT_TCDM_1_B07_A20_1_3_i_TCGAGG_S50_R1_001	49.57247414858773	41.0	86.0	86	9.090909090909092	7284196.0
209081_HY55YBGXT_TCDM_1_C07_A20_1_3_o_CACTAA_S51_R1_001	47.60730717855412	39.0	86.0	86	18.181818181818183	6873226.0
209082_HY55YBGXT_TCDM_1_D07_A27_1_3_o_GGTATA_S52_R1_001	46.109266213346835	40.0	86.0	86	9.090909090909092	7549874.0
209083_HY55YBGXT_TCDM_1_E07_A27_1_1_o_CGCCTG_S53_R1_001	52.59206496152861	43.0	86.0	86	18.181818181818183	6603105.0
209084_HY55YBGXT_TCDM_1_F07_X5_31_1_i_AATGAA_S54_R1_001	50.54265309821105	43.0	86.0	86	27.27272727272727	7038413.0
209085_HY55YBGXT_TCDM_1_G07_X11_57_1_i_ACAACG_S55_R1_001	51.38840376847514	41.0	86.0	86	27.27272727272727	6992043.0
209086_HY55YBGXT_TCDM_1_H07_X2_45_2_i_ATATCC_S56_R1_001	49.25432150779972	41.0	86.0	86	18.181818181818183	6379716.0
209087_HY55YBGXT_TCDM_1_A08_X2_45_2_o_AGTACT_S57_R1_001	49.874627471250065	42.0	86.0	86	9.090909090909092	7899365.0
209088_HY55YBGXT_TCDM_1_B08_X2_45_1_i_ATAAGA_S58_R1_001	52.33629182431869	39.0	86.0	86	27.27272727272727	8204244.0
209089_HY55YBGXT_TCDM_1_C08_X2_45_3_o_GGTGAG_S59_R1_001	48.62408021764655	40.0	86.0	86	18.181818181818183	7777102.0
209090_HY55YBGXT_TCDM_1_D08_X2_45_3_i_TTCCGC_S60_R1_001	52.838940060538064	38.0	86.0	86	18.181818181818183	8559921.0
209091_HY55YBGXT_TCDM_1_E08_X2_45_1_o_GAAGTG_S61_R1_001	10.482408414943777	45.0	86.0	86	36.36363636363637	19299.0
209092_HY55YBGXT_TCDM_1_F08_X11_68_1_o_CAATGC_S62_R1_001	12.467349514278169	44.0	86.0	86	36.36363636363637	34073.0
209093_HY55YBGXT_TCDM_1_G08_X11_68_1_i_ACGTCT_S63_R1_001	51.69722335566115	41.0	86.0	86	27.27272727272727	6850919.0
209094_HY55YBGXT_TCDM_1_H08_X11_68_3_i_CAGGAC_S64_R1_001	51.56212146646815	42.0	86.0	86	27.27272727272727	6591222.0
209095_HY55YBGXT_TCDM_1_A09_X11_68_3_o_AAGCTC_S65_R1_001	52.11275636808737	44.0	86.0	86	36.36363636363637	4682145.0
209096_HY55YBGXT_TCDM_1_B09_X11_68_2_o_GACGAT_S66_R1_001	50.46720913565242	39.0	86.0	86	18.181818181818183	7805905.0
209097_HY55YBGXT_TCDM_1_C09_A20_2_3_o_TCGTTC_S67_R1_001	55.0981926730784	50.0	86.0	86	36.36363636363637	718576.0
209098_HY55YBGXT_TCDM_1_D09_A03_2_1_o_CCAATT_S68_R1_001	49.80212068825461	43.0	86.0	86	9.090909090909092	7300218.0
209099_HY55YBGXT_TCDM_1_E09_C17_2_3_o_AGTTGA_S69_R1_001	52.33827582485952	41.0	86.0	86	27.27272727272727	5854865.0
209100_HY55YBGXT_TCDM_1_F09_A03_2_1_i_AACCGA_S70_R1_001	45.94173650436167	40.0	86.0	86	18.181818181818183	7328056.0
209101_HY55YBGXT_TCDM_1_G09_C14_2_1_i_CAGATG_S71_R1_001	47.644762849174846	41.0	86.0	86	18.181818181818183	6436687.0
209102_HY55YBGXT_TCDM_1_H09_A20_2_2_i_GTAGAA_S72_R1_001	50.94801335090572	42.0	86.0	86	27.27272727272727	6085862.0
209103_HY55YBGXT_TCDM_1_A10_A20_2_1_o_GACATC_S73_R1_001	49.39107894178837	40.0	86.0	86	18.181818181818183	8073282.0
209104_HY55YBGXT_TCDM_1_B10_C14_2_2_o_CGATCT_S74_R1_001	47.4486106624742	43.0	86.0	86	18.181818181818183	4661306.0
209105_HY55YBGXT_TCDM_1_C10_A04_2_3_o_CGTCGC_S75_R1_001	37.22562198554118	43.0	86.0	86	18.181818181818183	2199314.0
209106_HY55YBGXT_TCDM_1_D10_A04_2_1_o_ATGGCG_S76_R1_001	27.698179481726967	44.0	86.0	86	27.27272727272727	311718.0
