sample_ID,fresh_weight_(g),dry_weight_(g),tube_type,dry_date,notes,DMC_estimate,,block,harvest_date,previous_dry_weight_measurement_(g)
A01_1_1_i,8.73,5.77,,7/20/22,,-45.81,,1,5/24/22,
A01_1_1_o,10.85,7.672,,7/20/22,,24.33,,1,5/24/22,
A01_1_2_i,8.07,7.395,white,7/27/22,very small sample,52.46,,1,5/24/22,
A01_1_2_o,10.2,,,,,,,1,5/24/22,
A01_1_3_i,11.4,10,,7/20/22,,70.53,,1,5/24/22,
A01_1_3_o,11.41,8.025,,7/20/22,,28.89,,1,5/24/22,
C65_1_1_i,9.57,6.238,,7/20/22,,-14.11,,1,5/24/22,
C65_1_1_o,10.27,7.102,,7/20/22,,12.49,,1,5/24/22,
C65_1_2_i,10.15,6.782,,7/20/22,,3.77,,1,5/24/22,
C65_1_2_o,11.09,7.284,,7/20/22,,14.28,,1,5/24/22,
C65_1_3_i,10.96,8.12,,7/20/22,,34.11,,1,5/24/22,
C65_1_3_o,13.34,9.865,,7/20/22,,48.06,,1,5/24/22,
X8_33_1_i,14.07,9.896,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),43.75,,1,5/24/22,
X8_33_1_o,13.47,9.292,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),38.74,,1,5/24/22,
X8_33_2_i,11.96,8.917,white,7/27/22,,42.69,,1,5/24/22,
X8_33_2_o,13.16,9.427,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),42.66,,1,5/24/22,
X8_33_3_i,14.37,10.221,white,7/27/22,,46.26,,1,5/24/22,
X8_33_3_o,13.39,9.497,white,7/27/22,,42.24,,1,5/24/22,
X11_57_1_i,12.46,9.493,white,7/27/22,,48.93,,1,5/24/22,
X11_57_1_o,11.94,9.004,white,7/27/22,,44.5,,1,5/24/22,
X11_57_2_i,11.53,9.107,white,7/27/22,,50.35,,1,5/24/22,
X11_57_2_o,13.78,9.514,white,7/27/22,,40.17,,1,5/24/22,
X11_57_3_i,12.67,9.582,white,7/27/22,,48.7,,1,5/24/22,
X11_57_3_o,11.72,8.977,white,7/27/22,,45.9,,1,5/24/22,
X10_52_1_i,13.13,9.47,white,7/27/22,,43.52,,1,5/24/22,
X10_52_1_o,13.42,9.621,white,7/27/22,,43.88,,1,5/24/22,
X10_52_2_i,11.8,8.763,white,7/27/22,,41.03,,1,5/24/22,
X10_52_2_o,12.36,8.719,white,7/27/22,,36.23,,1,5/24/22,
X10_52_3_i,11.26,8.733,white,7/27/22,,45.18,,1,5/24/22,
X10_52_3_o,12.36,8.743,white,7/27/22,,36.65,,1,5/24/22,
X1_54_1_i,12.88,9.672,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),48.51,,1,5/24/22,
X1_54_1_o,13.51,9.611,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),43.16,,1,5/24/22,
X1_54_2_i,12.92,9.712,white,7/27/22,,48.84,,1,5/24/22,
X1_54_2_o,13.13,9.505,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),44.06,,1,5/24/22,
X1_54_3_i,13.43,9.744,white,8/3/22,,45.63,,1,5/24/22,
X1_54_3_o,14.37,10.012,white,7/27/22,lyophilizer condenser was full (bracket next to name on tubes),43.55,,1,5/24/22,
A27_1_1_i,14.14,9.899,white,7/27/22,,43.38,,1,5/24/22,
A27_1_1_o,13.22,9.293,white,6/29/22,,40.23,,1,5/24/22,
A27_1_2_i,11.4,8.727,white,7/27/22,,43.73,,1,5/24/22,
A27_1_2_o,12.25,8.674,white,8/3/22,,36.14,,1,5/24/22,
A27_1_3_i,12.18,9.126,white,8/3/22,,44.77,,1,5/24/22,
A27_1_3_o,14.41,9.652,white,8/3/22,,38.69,,1,5/24/22,
X3_25_1_i,13.44,9.73,white,8/3/22,,45.36,,1,5/24/22,
X3_25_1_o,14.55,10.113,white,8/3/22,,43.84,,1,5/24/22,
X3_25_2_i,14.33,10.245,white,8/3/22,,46.81,,1,5/24/22,
X3_25_2_o,13.62,9.393,white,8/3/22,,39.35,,1,5/24/22,
X3_25_3_i,13.51,9.467,white,8/3/22,,41.06,,1,5/24/22,
X3_25_3_o,14.48,9.777,white,8/3/22,,39.94,,1,5/24/22,
X5_31_1_i,12.28,9.281,white,8/3/22,,46.73,,1,5/24/22,
X5_31_1_o,13.92,9.95,white,8/3/22,,45.39,,1,5/24/22,
X5_31_2_i,14.05,9.956,white,8/3/22,,44.68,,1,5/24/22,
X5_31_2_o,13.39,9.39,white,8/3/22,,40.65,,1,5/24/22,
