BatchName,Date,Genotype,TubeNum,Note
TestBatch,01/27/2023,X1_54_1_i,18,
Plate1.1,02/08/2023,A04_1_2_o,1,
Plate1.1,02/08/2023,A04_1_1_o,2,
Plate1.1,02/08/2023,A04_1_3_i,3,
Plate1.1,02/08/2023,A04_1_3_o,4,
Plate1.1,02/08/2023,A27_1_2_i,5,"sent for QC: ""1_5"""
Plate1.1,02/08/2023,C17_1_2_o,6,
Plate1.1,02/08/2023,X4_67_1_i,7,
Plate1.1,02/08/2023,C17_1_2_i,8,
Plate1.1,02/08/2023,X1_54_2_o,9,
Plate1.1,02/08/2023,X1_54_1_o,10,redo (low concentration)
Plate1.1,02/08/2023,X11_68_1_o,11,
Plate1.1,02/08/2023,X9_27_1_i,12,
Plate1.1,02/08/2023,X9_27_2_i,13,
Plate1.1,02/08/2023,X9_27_3_o,14,"sent for QC: ""1_14"""
Plate1.1,02/08/2023,X1_54_3_o,15,
Plate1.1,02/08/2023,X11_57_1_i,16,re-do; sample had a bunch of salt in it
Plate1.1,02/08/2023,X11_57_2_o,17,
Plate1.1,02/08/2023,X11_57_3_o,18,
Plate1.1,02/08/2023,X9_27_2_o,19,
Plate1.1,02/08/2023,X11_57_1_o,20,
Plate1.1,02/08/2023,A27_1_1_i,21,
Plate1.1,02/08/2023,X1_54_2_i,22,"sent for QC, labeled ""1_21"" (sent sample 22 instead of 21 to get a different genotype)"
Plate1.1,02/08/2023,X11_57_2_i,23,
Plate1.1,02/08/2023,X9_27_3_i,24,
Plate1.1,02/08/2023,C17_1_3_i,25,
Plate1.2,2/22/2023,X11_57_3_i,26,
Plate1.2,2/22/2023,X8_41.5_3_i,27,
Plate1.2,2/22/2023,X8_41.5_2_i,28,
Plate1.2,2/22/2023,X11_68_1_i,29,
Plate1.2,2/22/2023,X9_27_1_o,30,
Plate1.2,2/22/2023,X8_41.5_1_o,31,
Plate1.2,2/22/2023,A04_1_2_o,32,possible duplicate; label verified correct
Plate1.2,2/22/2023,X8_41.5_2_o,33,redo (contamination)
Plate1.2,2/22/2023,X4_67_2_o,34,
Plate1.2,2/22/2023,X11_68_2_i,35,
Plate1.2,2/22/2023,C64_1_2_o,36,
Plate1.2,2/22/2023,X11_68_3_i,37,
Plate1.2,2/22/2023,X11_68_3_o,38,
Plate1.2,2/22/2023,A04_1_1_i,39,
Plate1.2,2/22/2023,X11_68_2_o,40,
Plate1.2,2/22/2023,X4_67_3_i,41,
Plate1.2,2/22/2023,A04_1_2_i,42,
Plate1.2,2/22/2023,C17_1_1_i,43,
Plate1.2,2/22/2023,X4_46_1_o,44,
Plate1.2,2/22/2023,X4_67_2_i,45,
Plate1.2,2/22/2023,X4_67_1_i,46,
Plate1.2,2/22/2023,A01_1_2_i,47,redo (low concentration)
Plate1.2,2/22/2023,C64_1_2_i,48,
Plate 1.3,3/19/2023,C64_1_1_o,49,
Plate 1.3,3/19/2023,X2_24_1_i,50,redo (low concentration)
Plate 1.3,3/19/2023,X5_31_3_i,51,
Plate 1.3,3/19/2023,A27_1_3_o,52,
Plate 1.3,3/19/2023,X4_67_3_o,53,
Plate 1.3,3/19/2023,X5_31_2_i,54,
Plate 1.3,3/19/2023,X2_24_2_i,55,redo (low concentration)
Plate 1.3,3/19/2023,X1_54_3_i,56,redo (low concentration); redo #77 also failed
Plate 1.3,3/19/2023,C17_1_1_o,57,
Plate 1.3,3/19/2023,A20_1_1_o,58,
Plate 1.3,3/19/2023,A27_1_3_i,59,redo (low concentration); redo #93 also failed (borderline low concentration)
Plate 1.3,3/19/2023,X2_24_3_i,60,
Plate 1.3,3/19/2023,C17_1_3_o,61,
Plate 1.3,3/19/2023,X5_31_1_i,62,redo (low concentration)
Plate 1.3,3/19/2023,A20_1_1_i,63,
Plate 1.3,3/19/2023,A20_1_2_o,64,
Plate 1.3,3/19/2023,X2_24_2_o,65,
Plate 1.3,3/19/2023,X5_31_1_o,66,
Plate 1.3,3/19/2023,X4_67_1_o,67,
Plate 1.3,3/19/2023,A27_1_2_o,68,
Plate 1.3,3/19/2023,X2_24_1_o,69,
Plate 1.3,3/19/2023,X5_31_3_o,70,
Plate 1.3,3/19/2023,X5_31_2_o,71,
Plate 1.3,3/19/2023,C64_1_3_i,72,
Plate 1.4,3/29/2023,X10_39_2_i,73,
Plate 1.4,3/29/2023,A20_1_2_i,74,
Plate 1.4,3/29/2023,X2_24_3_o,75,
Plate 1.4,3/29/2023,X4_46_3_i,76,
Plate 1.4,3/29/2023,X1_54_3_i,77,
Plate 1.4,3/29/2023,X8_41.5_2_o,78,
Plate 1.4,3/29/2023,A20_1_3_i,79,
Plate 1.4,3/29/2023,X8_41.5_3_o,80,
Plate 1.4,3/29/2023,A20_1_3_o,81,
Plate 1.4,3/29/2023,A27_1_3_o,82,
Plate 1.4,3/29/2023,X2_24_2_i,83,
Plate 1.4,3/29/2023,X10_39_3_o,84,
Plate 1.4,3/29/2023,A27_1_1_o,85,
Plate 1.4,3/29/2023,X4_46_3_o,86,
Plate 1.4,3/29/2023,X5_31_1_i,87,
Plate 1.4,3/29/2023,X1_54_1_o,88,
Plate 1.4,3/29/2023,X10_39_1_i,89,
Plate 1.4,3/29/2023,X10_39_2_o,90,
Plate 1.4,3/29/2023,X4_46_1_i,91,
Plate 1.4,3/29/2023,X2_24_1_i,92,
Plate 1.4,3/29/2023,A27_1_3_i,93,
Plate 1.4,3/29/2023,X11_57_1_i,94,
Plate 1.4,3/29/2023,X10_39_1_o,95,
Plate 1.4,3/29/2023,X10_39_3_i,96,
