BatchName,Date,SampleID,TubeNum,Note
TestBatch,01/27/2023,C17_2_1_o,6,
TestBatch,01/27/2023,A03_4_3_i,12,
Plate2.1,6/5/2023,A03_4_2_o,1,
Plate2.1,6/5/2023,A20_2_3_o,2,warm scoop
Plate2.1,6/5/2023,X5_36_3_i,3,warm scoop
Plate2.1,6/5/2023,C64_4_2_i,4,
Plate2.1,6/5/2023,C64_4_3_i,5,
Plate2.1,6/5/2023,X5_36_2_i,6,warm scoop
Plate2.1,6/5/2023,C64_4_1_i,7,
Plate2.1,6/5/2023,C14_4_3_o,8,not a selected genotype
Plate2.1,6/5/2023,C64_4_2_o,9,
Plate2.1,6/5/2023,C64_4_1_o,10,
Plate2.1,6/5/2023,X5_36_1_o,11,
Plate2.1,6/5/2023,X5_36_1_i,12,
Plate2.1,6/5/2023,X5_36_2_o,13,
Plate2.1,6/5/2023,A03_4_2_i,14,
Plate2.1,6/5/2023,A03_4_3_o,15,
Plate2.1,6/5/2023,A27_4_1_i,16,
Plate2.1,6/5/2023,A03_2_1_o,17,
Plate2.1,6/5/2023,A27_4_1_o,18,
Plate2.1,6/5/2023,A27_4_3_o,19,
Plate2.1,6/5/2023,A27_4_2_o,20,
Plate2.1,6/5/2023,X4_24_1_o,21,
Plate2.1,6/5/2023,A27_4_2_i,22,
Plate2.1,6/5/2023,A27_4_3_i,23,
Plate2.1,6/5/2023,X4_24_2_o,24,
Plate2.2,6/14/2023,C14_3_2_o,25,
Plate2.2,6/14/2023,A03_3_1_o,26,
Plate2.2,6/14/2023,A03_3_3_o,27,
Plate2.2,6/14/2023,X4_32_2_i,28,
Plate2.2,6/14/2023,C14_3_2_i,29,
Plate2.2,6/14/2023,X4_32_3_i,30,
Plate2.2,6/14/2023,X4_32_3_o,31,
Plate2.2,,,32,
Plate2.2,6/14/2023,A04_3_2_o,33,
Plate2.2,6/14/2023,C17_2_3_o,34,
Plate2.2,6/14/2023,X4_32_1_i,35,
Plate2.2,6/14/2023,A04_3_2_i,36,
Plate2.2,6/14/2023,X4_24_1_i,37,
Plate2.2,6/14/2023,A04_3_1_o,38,
Plate2.2,6/14/2023,C14_3_3_o,39,
Plate2.2,6/14/2023,X5_36_3_o,40,
Plate2.2,6/14/2023,C14_3_1_i,41,
Plate2.2,6/14/2023,A04_3_3_o,42,
Plate2.2,6/14/2023,A27_3_3_i,43,
Plate2.2,6/14/2023,C14_3_3_i,44,
Plate2.2,6/14/2023,A03_3_1_i,45,
Plate2.2,6/14/2023,X4_24_2_i,46,
Plate2.2,6/14/2023,A03_3_3_i,47,
Plate2.2,6/14/2023,X4_32_1_o,48,
Plate2.3,6/14/2023,A04_3_3_i,49,
Plate2.3,,,50,A27_3_2_i?
Plate2.3,7/2023,X4_32_2_o,51,
Plate2.3,7/2023,A03_2_1_i,52,
Plate2.3,7/2023,A27_3_1_o,53,check that this is the correct tissue layer; should be i?
Plate2.3,7/2023,C14_2_1_i,54,check that this is the correct tissue layer; should be o?
Plate2.3,7/2023,A27_3_3_o,55,
Plate2.3,7/2023,A27_3_2_o,56,
Plate2.3,7/2023,A20_2_2_i,57,
Plate2.3,7/2023,A20_2_1_o,58,
Plate2.3,7/2023,X5_66_3_o,59,
Plate2.3,7/2023,C14_2_2_o,60,check that this is the correct tissue layer
Plate2.3,7/2023,C17_3_1_i,61,
Plate2.3,7/2023,C17_3_1_o,62,
Plate2.3,7/2023,A04_2_3_o,63,
Plate2.3,7/2023,C17_3_2_i,64,
Plate2.3,7/2023,C17_3_2_o,65,
Plate2.3,7/2023,X5_66_2_i,66,
Plate2.3,7/2023,X5_66_1_i,67,
Plate2.3,7/2023,C17_3_3_o,68,
Plate2.3,7/2023,A03_3_2_o,69,
Plate2.3,7/2023,X5_66_3_i,70,
Plate2.3,7/2023,X5_66_1_o,71,
Plate2.3,7/2023,A04_2_1_o,72,
Plate2.4,7/2023,X5_66_2_o,73,
Plate2.4,7/2023,X4_24_3_o,74,
Plate2.4,7/2023,A03_4_1_i,75,
Plate2.4,7/2023,X8_37_2_i,76,
Plate2.4,7/2023,A27_3_2_i,77,
Plate2.4,7/2023,A04_2_1_i,78,
Plate2.4,7/2023,X4_24_3_i,79,
Plate2.4,7/2023,X8_37_3_o,80,
Plate2.4,7/2023,C64_3_1_o,81,
Plate2.4,7/2023,X9_35_2_i,82,
Plate2.4,7/2023,A04_2_3_i,83,
Plate2.4,7/2023,X8_37_2_o,84,
Plate2.4,7/2023,X8_37_1_o,85,
Plate2.4,7/2023,C64_3_1_i,86,
Plate2.4,7/2023,A20_2_1_i,87,
Plate2.4,7/2023,A04_2_2_o,88,
Plate2.4,7/2023,X8_37_3_i,89,
Plate2.4,7/2023,C14_4_1_i,90,
Plate2.4,7/2023,X8_37_1_i,91,
Plate2.4,7/2023,C14_3_1_o,92,
Plate2.4,7/2023,A04_2_2_i,93,
Plate2.4,7/2023,C14_4_1_o,94,
Plate2.4,7/2023,A03_4_1_o,95,
Plate2.4,7/2023,X9_35_2_o,96,
