"","Sample_Name","Sample_Title","Isolate","Organism","Cultivar","Development_stage","Collection_date","Geographic_location","Tissue"
"1","TCDM_1_A04_1_2_o","A04_1_2_o","2_o","Manihot esculenta","HIL16A004","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"2","TCDM_1_C17_1_2_i","C17_1_2_i","2_i","Manihot esculenta","HIL16C017","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"3","TCDM_1_X1_54_2_o","X1_54_2_o","2_o","Manihot esculenta","ITH21F001P054","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"4","TCDM_1_X9_27_2_o","X9_27_2_o","2_o","Manihot esculenta","ITH21F009P027","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"5","TCDM_1_X11_57_3_i","X11_57_3_i","3_i","Manihot esculenta","ITH21F011P057","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"6","TCDM_1_X4_67_2_o","X4_67_2_o","2_o","Manihot esculenta","ITH21F004P067","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"7","TCDM_1_C64_1_2_o","C64_1_2_o","2_o","Manihot esculenta","HIL16C064","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"8","TCDM_1_A04_1_1_i","A04_1_1_i","1_i","Manihot esculenta","HIL16A004","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"9","TCDM_1_A04_1_2_i","A04_1_2_i","2_i","Manihot esculenta","HIL16A004","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"10","TCDM_1_C17_1_1_i","C17_1_1_i","1_i","Manihot esculenta","HIL16C017","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"11","TCDM_1_X4_67_2_i","X4_67_2_i","2_i","Manihot esculenta","ITH21F004P067","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"12","TCDM_1_X4_67_1_i","X4_67_1_i","1_i","Manihot esculenta","ITH21F004P067","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"13","TCDM_1_C64_1_2_i","C64_1_2_i","2_i","Manihot esculenta","HIL16C064","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"14","TCDM_1_C64_1_1_o","C64_1_1_o","1_o","Manihot esculenta","HIL16C064","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"15","TCDM_1_X5_31_3_i","X5_31_3_i","3_i","Manihot esculenta","ITH21F005P031","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"16","TCDM_1_X5_31_2_i","X5_31_2_i","2_i","Manihot esculenta","ITH21F005P031","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"17","TCDM_1_C17_1_3_o","C17_1_3_o","3_o","Manihot esculenta","HIL16C017","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"18","TCDM_1_A20_1_1_i","A20_1_1_i","1_i","Manihot esculenta","HIL16A020","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"19","TCDM_1_C64_1_3_i","C64_1_3_i","3_i","Manihot esculenta","HIL16C064","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"20","TCDM_1_A20_1_2_i","A20_1_2_i","2_i","Manihot esculenta","HIL16A020","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"21","TCDM_1_A20_1_3_i","A20_1_3_i","3_i","Manihot esculenta","HIL16A020","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"22","TCDM_1_A20_1_3_o","A20_1_3_o","3_o","Manihot esculenta","HIL16A020","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"23","TCDM_1_A27_1_3_o","A27_1_3_o","3_o","Manihot esculenta","HIL16A027","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"24","TCDM_1_A27_1_1_o","A27_1_1_o","1_o","Manihot esculenta","HIL16A027","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"25","TCDM_1_X5_31_1_i","X5_31_1_i","1_i","Manihot esculenta","ITH21F005P031","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"26","TCDM_1_X11_57_1_i","X11_57_1_i","1_i","Manihot esculenta","ITH21F011P057","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"27","TCDM_1_X2_45_2_i","X2_45_2_i","2_i","Manihot esculenta","ITH21F002P045","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"28","TCDM_1_X2_45_2_o","X2_45_2_o","2_o","Manihot esculenta","ITH21F002P045","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"29","TCDM_1_X2_45_1_i","X2_45_1_i","1_i","Manihot esculenta","ITH21F002P045","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"30","TCDM_1_X2_45_3_o","X2_45_3_o","3_o","Manihot esculenta","ITH21F002P045","5 MAP","5/24/22","Ithaca, NY, USA"," Storage root outer layer"
"31","TCDM_1_X2_45_3_i","X2_45_3_i","3_i","Manihot esculenta","ITH21F002P045","5 MAP","5/24/22","Ithaca, NY, USA","Storage root inner layer"
"32","TCDM_1_X11_68_1_i","X11_68_1_i","1_i","Manihot esculenta","ITH21F011P068","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"33","TCDM_1_X11_68_3_i","X11_68_3_i","3_i","Manihot esculenta","ITH21F011P068","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"34","TCDM_1_X11_68_3_o","X11_68_3_o","3_o","Manihot esculenta","ITH21F011P068","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"35","TCDM_1_X11_68_2_o","X11_68_2_o","2_o","Manihot esculenta","ITH21F011P068","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"36","TCDM_1_A20_2_3_o","A20_2_3_o","3_o","Manihot esculenta","HIL16A020","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"37","TCDM_1_A03_2_1_o","A03_2_1_o","1_o","Manihot esculenta","HIL16A003","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"38","TCDM_1_C17_2_3_o","C17_2_3_o","3_o","Manihot esculenta","HIL16C017","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"39","TCDM_1_A03_2_1_i","A03_2_1_i","1_i","Manihot esculenta","HIL16A003","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"40","TCDM_1_C14_2_1_i","C14_2_1_i","1_i","Manihot esculenta","HIL16C014","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"41","TCDM_1_C14_2_1_i","C14_2_1_i","1_i","Manihot esculenta","HIL16C014","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"42","TCDM_1_A20_2_2_i","A20_2_2_i","2_i","Manihot esculenta","HIL16A020","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"43","TCDM_1_A20_2_1_o","A20_2_1_o","1_o","Manihot esculenta","HIL16A020","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"44","TCDM_1_C14_2_2_o","C14_2_2_o","2_o","Manihot esculenta","HIL16C014","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"45","TCDM_1_A04_2_3_o","A04_2_3_o","3_o","Manihot esculenta","HIL16A004","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"46","TCDM_1_A20_2_1_i","A20_2_1_i","1_i","Manihot esculenta","HIL16A020","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"47","TCDM_1_A04_2_2_o","A04_2_2_o","2_o","Manihot esculenta","HIL16A004","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"48","TCDM_1_A04_2_2_i","A04_2_2_i","2_i","Manihot esculenta","HIL16A004","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"49","TCDM_1_A20_2_2_o","A20_2_2_o","2_o","Manihot esculenta","HIL16A020","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"50","TCDM_1_C17_2_1_i","C17_2_1_i","1_i","Manihot esculenta","HIL16C017","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"51","TCDM_1_A03_2_3_i","A03_2_3_i","3_i","Manihot esculenta","HIL16A003","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"52","TCDM_1_C14_2_3_i","C14_2_3_i","3_i","Manihot esculenta","HIL16C014","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"53","TCDM_1_C14_2_2_i","C14_2_2_i","2_i","Manihot esculenta","HIL16C014","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"54","TCDM_1_C14_2_3_o","C14_2_3_o","3_o","Manihot esculenta","HIL16C014","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"55","TCDM_1_C17_2_2_i","C17_2_2_i","2_i","Manihot esculenta","HIL16C017","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"56","TCDM_1_A03_2_3_o","A03_2_3_o","3_o","Manihot esculenta","HIL16A003","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"57","TCDM_1_C17_2_3_i","C17_2_3_i","3_i","Manihot esculenta","HIL16C017","5 MAP","5/25/22","Ithaca, NY, USA","Storage root inner layer"
"58","TCDM_1_A03_2_2_o","A03_2_2_o","2_o","Manihot esculenta","HIL16A003","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"59","TCDM_1_C17_2_2_o","C17_2_2_o","2_o","Manihot esculenta","HIL16C017","5 MAP","5/25/22","Ithaca, NY, USA"," Storage root outer layer"
"60","TCDM_1_X8_415_3_i","X8_41.5_3_i","3_i","Manihot esculenta","ITH21F008P041.5","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"61","TCDM_1_X8_415_3_o","X8_41.5_3_o","3_o","Manihot esculenta","ITH21F008P041.5","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"62","TCDM_2_X4_46_1_o","X4_46_1_o","1_o","Manihot esculenta","ITH21F004P046","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"63","TCDM_2_X8_415_2_i","X8_41.5_2_i","2_i","Manihot esculenta","ITH21F008P041.5","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"64","TCDM_2_X8_415_2_o","X8_41.5_2_o","2_o","Manihot esculenta","ITH21F008P041.5","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"65","TCDM_2_X4_46_3_o","X4_46_3_o","3_o","Manihot esculenta","ITH21F004P046","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"66","TCDM_2_X4_46_1_i","X4_46_1_i","1_i","Manihot esculenta","ITH21F004P046","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"67","TCDM_2_C14_3_2_o","C14_3_2_o","2_o","Manihot esculenta","HIL16C014","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"68","TCDM_2_A03_3_1_o","A03_3_1_o","1_o","Manihot esculenta","HIL16A003","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"69","TCDM_2_A03_3_3_o","A03_3_3_o","3_o","Manihot esculenta","HIL16A003","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"70","TCDM_2_X4_32_2_i","X4_32_2_i","2_i","Manihot esculenta","ITH21F004P032","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"71","TCDM_2_C14_3_2_i","C14_3_2_i","2_i","Manihot esculenta","HIL16C014","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"72","TCDM_2_X4_32_3_i","X4_32_3_i","3_i","Manihot esculenta","ITH21F004P032","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"73","TCDM_2_X4_32_3_o","X4_32_3_o","3_o","Manihot esculenta","ITH21F004P032","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"74","TCDM_2_X4_32_1_i","X4_32_1_i","1_i","Manihot esculenta","ITH21F004P032","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"75","TCDM_2_A04_3_2_i","A04_3_2_i","2_i","Manihot esculenta","HIL16A004","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"76","TCDM_2_A04_3_1_o","A04_3_1_o","1_o","Manihot esculenta","HIL16A004","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"77","TCDM_2_C14_3_3_o","C14_3_3_o","3_o","Manihot esculenta","HIL16C014","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"78","TCDM_2_C14_3_1_i","C14_3_1_i","1_i","Manihot esculenta","HIL16C014","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"79","TCDM_2_A27_3_3_i","A27_3_3_i","3_i","Manihot esculenta","HIL16A027","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"80","TCDM_2_A03_3_3_i","A03_3_3_i","3_i","Manihot esculenta","HIL16A003","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"81","TCDM_2_X4_32_1_o","X4_32_1_o","1_o","Manihot esculenta","ITH21F004P032","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"82","TCDM_2_A04_3_3_i","A04_3_3_i","3_i","Manihot esculenta","HIL16A004","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"83","TCDM_2_A27_3_1_o","A27_3_1_o","1_o","Manihot esculenta","HIL16A027","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"84","TCDM_2_A27_3_3_o","A27_3_3_o","3_o","Manihot esculenta","HIL16A027","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"85","TCDM_2_A27_3_2_o","A27_3_2_o","2_o","Manihot esculenta","HIL16A027","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"86","TCDM_2_X5_66_3_o","X5_66_3_o","3_o","Manihot esculenta","ITH21F005P066","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"87","TCDM_2_C17_3_1_i","C17_3_1_i","1_i","Manihot esculenta","HIL16C017","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
"88","TCDM_2_C17_3_1_o","C17_3_1_o","1_o","Manihot esculenta","HIL16C017","5 MAP","5/26/22","Ithaca, NY, USA"," Storage root outer layer"
"89","TCDM_2_C17_3_2_i","C17_3_2_i","2_i","Manihot esculenta","HIL16C017","5 MAP","5/26/22","Ithaca, NY, USA","Storage root inner layer"
