Sample_Name,Sample_Title,Isolate,Organism,Cultivar,Development_stage,Collection_date,Geographic_location,Tissue
TCDM1_A04_1_2_o,A04_1_2_o,2_o,Manihot esculenta,HIL16A004,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A04_1_1_o,A04_1_1_o,1_o,Manihot esculenta,HIL16A004,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A04_1_3_i,A04_1_3_i,3_i,Manihot esculenta,HIL16A004,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_A04_1_3_o,A04_1_3_o,3_o,Manihot esculenta,HIL16A004,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A27_1_2_i,A27_1_2_i,2_i,Manihot esculenta,HIL16A027,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_C17_1_2_o,C17_1_2_o,2_o,Manihot esculenta,HIL16C017,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C17_1_2_i,C17_1_2_i,2_i,Manihot esculenta,HIL16C017,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X1_54_2_o,X1_54_2_o,2_o,Manihot esculenta,ITH21F001P054,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X9_27_1_i,X9_27_1_i,1_i,Manihot esculenta,ITH21F009P027,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X9_27_2_i,X9_27_2_i,2_i,Manihot esculenta,ITH21F009P027,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X9_27_3_o,X9_27_3_o,3_o,Manihot esculenta,ITH21F009P027,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X11_57_2_o,X11_57_2_o,2_o,Manihot esculenta,ITH21F011P057,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X11_57_3_o,X11_57_3_o,3_o,Manihot esculenta,ITH21F011P057,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X9_27_2_o,X9_27_2_o,2_o,Manihot esculenta,ITH21F009P027,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X11_57_1_o,X11_57_1_o,1_o,Manihot esculenta,ITH21F011P057,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A27_1_1_i,A27_1_1_i,1_i,Manihot esculenta,HIL16A027,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X1_54_2_i,X1_54_2_i,2_i,Manihot esculenta,ITH21F001P054,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X11_57_2_i,X11_57_2_i,2_i,Manihot esculenta,ITH21F011P057,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X9_27_3_i,X9_27_3_i,3_i,Manihot esculenta,ITH21F009P027,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_C17_1_3_i,C17_1_3_i,3_i,Manihot esculenta,HIL16C017,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X11_57_3_i,X11_57_3_i,3_i,Manihot esculenta,ITH21F011P057,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
TCDM1_X9_27_1_o,X9_27_1_o,1_o,Manihot esculenta,ITH21F009P027,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A04_1_2_o_2,A04_1_2_o,2_o,Manihot esculenta,HIL16A004,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_X4_67_2_o,X4_67_2_o,2_o,Manihot esculenta,ITH21F004P067,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_C64_1_2_o,C64_1_2_o,2_o,Manihot esculenta,HIL16C064,5 MAP,5/24/22,"Ithaca, NY, USA", Storage root outer layer
TCDM1_A04_1_1_i,A04_1_1_i,1_i,Manihot esculenta,HIL16A004,5 MAP,5/24/22,"Ithaca, NY, USA",Storage root inner layer
