"","tubeID","mean_ng.uL","mean_ratio","mean_230","sd_ng.uL","sd_ratio","sd_230","na.rm","sample_ID","SampleID","plate","QCcheck","genotype","root","uL_to_pipet","water_to_pipet","final_conc","block"
"1","plate1.1_1",794.5,2.16175,NA,241.000867494981,0.0217466472511665,NA,TRUE,"1","A04_1_2_o","plate1.1","PASS","A04_1","A04_1_2",18.8797986154814,6.12020138451857,500,1
"2","plate1.1_11",644.2,2.102,NA,38.1837661840736,0.106066017177982,NA,TRUE,"11","X11_68_1_o","plate1.1","PASS","X11_68","X11_68_1",23.2846941943496,1.71530580565042,500,2
"3","plate1.1_12",634.92,2.169,NA,50.4025713629771,0.014142135623731,NA,TRUE,"12","X9_27_1_i","plate1.1","PASS","X9_27","X9_27_1",23.6250236250236,1.37497637497637,500,1
"4","plate1.1_13",850.72,2.1135,NA,6.33567675943149,0.0134350288425445,NA,TRUE,"13","X9_27_2_i","plate1.1","PASS","X9_27","X9_27_2",17.6321233778446,7.36787662215535,500,1
"5","plate1.1_14",710.36,2.141,NA,81.1758584802156,0,NA,TRUE,"14","X9_27_3_o","plate1.1","PASS","X9_27","X9_27_3",21.1160538318599,3.8839461681401,500,1
"6","plate1.1_17",1067.14,2.14,NA,114.166425887824,0.0454972526643093,NA,TRUE,"17","X11_57_2_o","plate1.1","PASS","X11_57","X11_57_2",14.0562625335008,10.9437374664992,500,1
"7","plate1.1_18",809.4,2.15725,NA,52.7908476916217,0.0164595463687998,NA,TRUE,"18","X11_57_3_o","plate1.1","PASS","X11_57","X11_57_3",18.5322461082283,6.46775389177168,500,1
"8","plate1.1_19",884.26,2.089,NA,176.82174677718,0.0355152549383125,NA,TRUE,"19","X9_27_2_o","plate1.1","PASS","X9_27","X9_27_2",16.9633365752154,8.03666342478456,500,1
"9","plate1.1_2",1071.56,2.14075,NA,398.295142827527,0.0376508078709253,NA,TRUE,"2","A04_1_1_o","plate1.1","PASS","A04_1","A04_1_1",13.9982828773004,11.0017171226996,500,1
"10","plate1.1_20",1346.04,2.0715,NA,194.09363513521,0.0319217793990247,NA,TRUE,"20","X11_57_1_o","plate1.1","PASS","X11_57","X11_57_1",11.1437995899082,13.8562004100918,500,1
"11","plate1.1_21",516.22,2.123,NA,25.9559729799007,0.0250732260921219,NA,TRUE,"21","A27_1_1_i","plate1.1","PASS","A27_1","A27_1_1",25,0,430.183333333333,1
"12","plate1.1_22",721.54,2.1265,NA,22.144964815205,0.0230434372436057,NA,TRUE,"22","X1_54_2_i","plate1.1","PASS","X1_54","X1_54_2",20.7888682540123,4.21113174598775,500,1
"13","plate1.1_23",765.78,2.12775,NA,13.4690756921179,0.00793200268952723,NA,TRUE,"23","X11_57_2_i","plate1.1","PASS","X11_57","X11_57_2",19.5878711901591,5.41212880984095,500,1
"14","plate1.1_24",949.94,2.11525,NA,12.6924439464326,0.0117011395456455,NA,TRUE,"24","X9_27_3_i","plate1.1","PASS","X9_27","X9_27_3",15.7904709771143,9.20952902288566,500,1
"15","plate1.1_3",413.6,2.15025,NA,129.62612082447,0.0429524931367978,NA,TRUE,"3","A04_1_3_i","plate1.1","PASS","A04_1","A04_1_3",25,0,344.666666666667,1
"16","plate1.1_4",1102.14,2.11375,NA,320.572317374203,0.0364360169795401,NA,TRUE,"4","A04_1_3_o","plate1.1","PASS","A04_1","A04_1_3",13.6098862213512,11.3901137786488,500,1
"17","plate1.1_5",407.4,2.083,NA,198.866349759497,0.0701094382614305,NA,TRUE,"5","A27_1_2_i","plate1.1","PASS","A27_1","A27_1_2",25,0,339.5,1
