"","Sample_Name","commonID","design_description","filname_1","filname_2"
"1","TCDM_1_C17_1_2_i","TCDM_1_H01_C17_1_2_i","SampleID: TCDM_1_H01_C17_1_2_i; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: H01 Year: 2022; Accession: HIL16C017; Block: 1; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209038_HY55YBGXT_TCDM_1_H01_C17_1_2_i_TGTGCA_S8",NA
"2","TCDM_1_X1_54_2_o","TCDM_1_A02_X1_54_2_o","SampleID: TCDM_1_A02_X1_54_2_o; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: A02 Year: 2022; Accession: ITH21F001P054; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209039_HY55YBGXT_TCDM_1_A02_X1_54_2_o_TCAGGA_S9",NA
"3","TCDM_1_X9_27_2_o","TCDM_1_G02_X9_27_2_o","SampleID: TCDM_1_G02_X9_27_2_o; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: G02 Year: 2022; Accession: ITH21F009P027; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209045_HY55YBGXT_TCDM_1_G02_X9_27_2_o_GGCTGC_S15",NA
"4","TCDM_1_X11_57_3_i","TCDM_1_F03_X11_57_3_i","SampleID: TCDM_1_F03_X11_57_3_i; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: F03 Year: 2022; Accession: ITH21F011P057; Block: 1; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209052_HY55YBGXT_TCDM_1_F03_X11_57_3_i_GGAGGT_S22",NA
"5","TCDM_1_A04_1_2_o","TCDM_1_H03_A04_1_2_o","SampleID: TCDM_1_H03_A04_1_2_o; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: H03 Year: 2022; Accession: HIL16A004; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209054_HY55YBGXT_TCDM_1_H03_A04_1_2_o_CCGCAA_S24",NA
"6","TCDM_1_X4_67_2_o","TCDM_1_A04_X4_67_2_o","SampleID: TCDM_1_A04_X4_67_2_o; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: A04 Year: 2022; Accession: ITH21F004P067; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209055_HY55YBGXT_TCDM_1_A04_X4_67_2_o_TTTATG_S25",NA
"7","TCDM_1_C64_1_2_o","TCDM_1_B04_C64_1_2_o","SampleID: TCDM_1_B04_C64_1_2_o; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: B04 Year: 2022; Accession: HIL16C064; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209056_HY55YBGXT_TCDM_1_B04_C64_1_2_o_AACGCC_S26",NA
"8","TCDM_1_A04_1_1_i","TCDM_1_C04_A04_1_1_i","SampleID: TCDM_1_C04_A04_1_1_i; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: C04 Year: 2022; Accession: HIL16A004; Block: 1; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209057_HY55YBGXT_TCDM_1_C04_A04_1_1_i_CAAGCA_S27",NA
"9","TCDM_1_A04_1_2_i","TCDM_1_E04_A04_1_2_i","SampleID: TCDM_1_E04_A04_1_2_i; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: E04 Year: 2022; Accession: HIL16A004; Block: 1; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209059_HY55YBGXT_TCDM_1_E04_A04_1_2_i_GCGAAT_S29",NA
"10","TCDM_1_C17_1_1_i","TCDM_1_F04_C17_1_1_i","SampleID: TCDM_1_F04_C17_1_1_i; RNAseq Plate ID: TCDM_1; RNAseq Plate Well ID: F04 Year: 2022; Accession: HIL16C017; Block: 1; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 5MAP","209060_HY55YBGXT_TCDM_1_F04_C17_1_1_i_TGGATT_S30",NA
