"SampleID","meansuc_mg_g","mean_totalsugar","meanglc_mg_g","mean_starch_mg_g","genotype","block","harvest_date","rootnum","layer","year","PlateName"
"A01_02_1",72.1359831302153,74.3924260302979,2.2564429000826,939.860231535433,"A01",0,"2021","1","both","2021","preliminary"
"A01_02_2",52.5889351583858,54.3688138308281,1.77987867244227,932.531118050507,"A01",0,"2021","2","both","2021","preliminary"
"A01_10_1",74.4228715173,76.8417797177757,2.41890820047563,682.430727368726,"A01",0,"2021","1","both","2021","preliminary"
"A01_15_1",27.923798753419,30.9120835749853,2.98828482156635,844.721411498233,"A01",0,"2021","1","both","2021","preliminary"
"A03_11_1",60.5632193430277,62.8836018087723,2.32038246574467,874.169373173229,"A03",0,"2021","1","both","2021","preliminary"
"A03_11_2",84.6497124193964,89.1239539995589,4.47424158016247,474.214318131398,"A03",0,"2021","2","both","2021","preliminary"
"A04_04_1",51.7943261829547,56.1888581827936,4.39453199983892,647.115794106597,"A04",0,"2021","1","both","2021","preliminary"
"A04_04_2",53.3214601344614,58.0538710756736,4.73241094121213,879.011115134949,"A04",0,"2021","2","both","2021","preliminary"
"A20_13_1",45.4131798135996,49.3481306095886,3.934950795989,905.542765091603,"A20",0,"2021","1","both","2021","preliminary"
"A20_13_2",44.4407697298161,50.5507381872853,6.10996845746925,893.316497188811,"A20",0,"2021","2","both","2021","preliminary"
"A20_19_1",43.5496095820495,48.3134369791194,4.7638273970699,801.431109131571,"A20",0,"2021","1","both","2021","preliminary"
"A20_19_2",47.9452379387888,50.7029371666777,2.75769922788892,801.256755625372,"A20",0,"2021","2","both","2021","preliminary"
"A27_06_2",48.5479771675279,52.2311483744414,3.68317120691348,745.682502571785,"A27",0,"2021","2","both","2021","preliminary"
"C14_01_2",50.0988927022198,51.4512422073286,1.35234950510881,750.99662646987,"C14",0,"2021","2","both","2021","preliminary"
"C14_16_1",74.4192758925755,75.4843065897759,1.06503069720042,794.923420315008,"C14",0,"2021","1","both","2021","preliminary"
"C14_16_2",88.6245532480863,95.1682708240871,6.54371757600075,695.542332858853,"C14",0,"2021","2","both","2021","preliminary"
"C17_14_2",61.8211205884436,65.8618301598044,4.04070957136073,608.23453923237,"C17",0,"2021","2","both","2021","preliminary"
"C17_20_1",39.5541953228967,41.7835606729138,2.2293653500171,725.057922707071,"C17",0,"2021","1","both","2021","preliminary"
"C43_03_1",35.0490677834714,38.7979799229952,3.7489121395238,684.508779644081,"C43",0,"2021","1","both","2021","preliminary"
"C43_03_2",56.4317486171177,58.0695373294824,1.63778871236475,736.049034833087,"C43",0,"2021","2","both","2021","preliminary"
"C64_07_1",65.8565614714425,72.5965912854182,6.74002981397565,595.77146272616,"C64",0,"2021","1","both","2021","preliminary"
"C64_12_2",64.4861156451853,67.0774182345905,2.59130258940521,833.873923467742,"C64",0,"2021","2","both","2021","preliminary"
