,PlateName,TubeNum,tubeID,SampleID,RNA_extraction_date,Well_concentration_nguL,mean_nguL,mean260.280,genotype
2,Plate1,11,plate1.1_11,X11_68_1_o,2/8/23,500,644.2,2.102,X11_68
3,Plate1,12,plate1.1_12,X9_27_1_i,2/8/23,500,634.92,2.169,X9_27
4,Plate1,13,plate1.1_13,X9_27_2_i,2/8/23,500,850.72,2.1135,X9_27
5,Plate1,14,plate1.1_14,X9_27_3_o,2/8/23,500,710.36,2.141,X9_27
6,Plate1,17,plate1.1_17,X11_57_2_o,2/8/23,500,1067.14,2.14,X11_57
7,Plate1,18,plate1.1_18,X11_57_3_o,2/8/23,500,809.4,2.15725,X11_57
8,Plate1,19,plate1.1_19,X9_27_2_o,2/8/23,500,884.26,2.089,X9_27
9,Plate1,2,plate1.1_2,A04_1_1_o,2/8/23,500,1071.56,2.14075,A04_1
10,Plate1,20,plate1.1_20,X11_57_1_o,2/8/23,500,1346.04,2.0715,X11_57
11,Plate1,21,plate1.1_21,A27_1_1_i,2/8/23,430.1833333,516.22,2.123,A27_1
12,Plate1,22,plate1.1_22,X1_54_2_i,2/8/23,500,721.54,2.1265,X1_54
13,Plate1,23,plate1.1_23,X11_57_2_i,2/8/23,500,765.78,2.12775,X11_57
14,Plate1,24,plate1.1_24,X9_27_3_i,2/8/23,500,949.94,2.11525,X9_27
15,Plate1,3,plate1.1_3,A04_1_3_i,2/8/23,344.6666667,413.6,2.15025,A04_1
16,Plate1,4,plate1.1_4,A04_1_3_o,2/8/23,500,1102.14,2.11375,A04_1
17,Plate1,5,plate1.1_5,A27_1_2_i,2/8/23,339.5,407.4,2.083,A27_1
18,Plate1,6,plate1.1_6,C17_1_2_o,2/8/23,500,721.24,2.1295,C17_1
19,Plate1,8,plate1.1_8,C17_1_2_i,2/8/23,390.0166667,468.02,2.14525,C17_1
20,Plate1,9,plate1.1_9,X1_54_2_o,2/8/23,368.0333333,441.64,2.1345,X1_54
21,Plate1,25,plate1.2_25,C17_1_3_i,2/8/23,472.9166667,567.5,2.088,C17_1
22,Plate1,26,plate1.2_26,X11_57_3_i,2/22/23,372.9166667,447.5,2.151,X11_57
23,Plate1,27,plate1.2_27,X8_41.5_3_i,2/22/23,311.05,373.26,2.1375,X8_41.5
24,Plate1,28,plate1.2_28,X8_41.5_2_i,2/22/23,306.4166667,367.7,2.1505,X8_41.5
25,Plate1,29,plate1.2_29,X11_68_1_i,2/22/23,216.6166667,259.94,2.159,X11_68
26,Plate1,30,plate1.2_30,X9_27_1_o,2/22/23,500,665.82,2.166,X9_27
27,Plate1,32,plate1.2_32,A04_1_2_o,2/22/23,500,1140.82,2.1525,A04_1
28,Plate1,34,plate1.2_34,X4_67_2_o,2/22/23,500,622.74,2.1335,X4_67
29,Plate1,36,plate1.2_36,C64_1_2_o,2/22/23,500,992.42,2.0265,C64_1
30,Plate1,37,plate1.2_37,X11_68_3_i,2/22/23,372.6833333,447.22,1.954,X11_68
31,Plate1,38,plate1.2_38,X11_68_3_o,2/22/23,500,640.78,2.114,X11_68
32,Plate1,39,plate1.2_39,A04_1_1_i,2/22/23,342.15,410.58,2.1335,A04_1
33,Plate1,41,plate1.2_41,X4_67_3_i,2/22/23,500,664.78,2.143,X4_67
34,Plate1,42,plate1.2_42,A04_1_2_i,2/22/23,500,606.5,2.101,A04_1
35,Plate1,43,plate1.2_43,C17_1_1_i,2/22/23,500,1016.5,2.118,C17_1
36,Plate1,44,plate1.2_44,X4_46_1_o,2/22/23,331.0166667,397.22,1.914,X4_46
37,Plate1,45,plate1.2_45,X4_67_2_i,2/22/23,433.95,520.74,2.1245,X4_67
38,Plate1,46,plate1.2_46,X4_67_1_i,2/22/23,317.4166667,380.9,2.127,X4_67
39,Plate1,48,plate1.2_48,C64_1_2_i,2/22/23,236.2166667,283.46,2.151,C64_1
40,Plate1,51,plate1.3_51,X5_31_3_i,3/19/23,164.0333333,196.84,2.08,X5_31
41,Plate1,53,plate1.3_53,X4_67_3_o,3/19/23,332.0333333,398.44,2.057,X4_67
42,Plate1,54,plate1.3_54,X5_31_2_i,3/19/23,158.2333333,189.88,2.112,X5_31
43,Plate1,57,plate1.3_57,C17_1_1_o,3/19/23,454.0333333,544.84,2.1625,C17_1
44,Plate1,58,plate1.3_58,A20_1_1_o,3/19/23,422.7,507.24,2.1635,A20_1
45,Plate1,60,plate1.3_60,X2_24_3_i,3/19/23,146.1,175.32,2.1945,X2_24
46,Plate1,61,plate1.3_61,C17_1_3_o,3/19/23,333.2666667,399.92,2.0695,C17_1
47,Plate1,63,plate1.3_63,A20_1_1_i,3/19/23,393,471.6,2.128,A20_1
48,Plate1,64,plate1.3_64,A20_1_2_o,3/19/23,500,816.64,2.171,A20_1
49,Plate1,65,plate1.3_65,X2_24_2_o,3/19/23,252.9666667,303.56,2.15,X2_24
50,Plate1,66,plate1.3_66,X5_31_1_o,3/19/23,304.5666667,365.48,2.1655,X5_31
51,Plate1,67,plate1.3_67,X4_67_1_o,3/19/23,500,785.48,2.0885,X4_67
52,Plate1,68,plate1.3_68,A27_1_2_o,3/19/23,291.8333333,350.2,2.065,A27_1
53,Plate1,69,plate1.3_69,X2_24_1_o,3/19/23,266.6333333,319.96,2.0975,X2_24
54,Plate1,70,plate1.3_70,X5_31_3_o,3/19/23,469.2333333,563.08,2.134,X5_31
55,Plate1,71,plate1.3_71,X5_31_2_o,3/19/23,500,733.44,2.152,X5_31
56,Plate1,73,plate1.4_73,X10_39_2_i,3/29/23,179,214.8,2.1295,X10_39
57,Plate1,74,plate1.4_74,A20_1_2_i,3/29/23,500,634.4,2.1245,A20_1
58,Plate1,75,plate1.4_75,X2_24_3_o,3/29/23,205,246,2.1565,X2_24
59,Plate1,78,plate1.4_78,X8_41.5_2_o,3/29/23,284.3333333,341.2,2.133,X8_41.5
60,Plate1,79,plate1.4_79,A20_1_3_i,3/29/23,462.6666667,555.2,2.142,A20_1
61,Plate1,80,plate1.4_80,X8_41.5_3_o,3/29/23,375.6666667,450.8,2.1635,X8_41.5
62,Plate1,81,plate1.4_81,A20_1_3_o,3/29/23,457,548.4,2.191,A20_1
63,Plate1,83,plate1.4_83,X2_24_2_i,3/29/23,128,153.6,2.12,X2_24
64,Plate1,84,plate1.4_84,X10_39_3_o,3/29/23,326.6666667,392,2.109,X10_39
65,Plate1,85,plate1.4_85,A27_1_1_o,3/29/23,157.3333333,188.8,2.1595,A27_1
66,Plate1,87,plate1.4_87,X5_31_1_i,3/29/23,203.6666667,244.4,2.1595,X5_31
67,Plate1,90,plate1.4_90,X10_39_2_o,3/29/23,454.6666667,545.6,2.087,X10_39
68,Plate1,91,plate1.4_91,X4_46_1_i,3/29/23,117.3333333,140.8,2.013,X4_46
69,Plate1,92,plate1.4_92,X2_24_1_i,3/29/23,313,375.6,2.0925,X2_24
70,Plate1,94,plate1.4_94,X11_57_1_i,3/29/23,276,331.2,2.1435,X11_57
71,Plate1,96,plate1.4_96,X10_39_3_i,3/29/23,207,248.4,2.148,X10_39
72,Plate2,10,plate2.1_10,C64_4_1_o,6/5/23,500,672.52,2.122,C64_4
73,Plate2,13,plate2.1_13,X5_36_2_o,6/5/23,500,814.72,2.1875,X5_36
74,Plate2,16,plate2.1_16,A27_4_1_i,6/5/23,278.2333333,333.88,2.171,A27_4
75,Plate2,17,plate2.1_17,A03_2_1_o,6/5/23,500,823.68,2.0625,A03_2
76,Plate2,18,plate2.1_18,A27_4_1_o,6/5/23,500,747.72,2.1765,A27_4
78,Plate2,20,plate2.1_20,A27_4_2_o,6/5/23,500,1566.04,1.9945,A27_4
79,Plate2,21,plate2.1_21,X4_24_1_o,6/5/23,500,1046.4,2.089,X4_24
80,Plate2,22,plate2.1_22,A27_4_2_i,6/5/23,500,764.92,2.1285,A27_4
81,Plate2,24,plate2.1_24,X4_24_2_o,6/5/23,500,938.12,2.1025,X4_24
82,Plate2,3,plate2.1_3,X5_36_3_i,6/5/23,240.3,288.36,2.1195,X5_36
83,Plate2,4,plate2.1_4,C64_4_2_i,6/5/23,231.0333333,277.24,2.1185,C64_4
84,Plate2,6,plate2.1_6,X5_36_2_i,6/5/23,330.0333333,396.04,2.159,X5_36
85,Plate2,7,plate2.1_7,C64_4_1_i,6/5/23,135.5333333,162.64,2.1585,C64_4
86,Plate2,9,plate2.1_9,C64_4_2_o,6/5/23,246.5333333,295.84,2.1495,C64_4
87,Plate2,25,plate2.2_25,C14_3_2_o,6/14/23,490.2333333,588.28,2.1175,C14_3
88,Plate2,26,plate2.2_26,A03_3_1_o,6/14/23,490.6666667,588.8,2.106,A03_3
89,Plate2,27,plate2.2_27,A03_3_3_o,6/14/23,500,613.84,2.122,A03_3
90,Plate2,28,plate2.2_28,X4_32_2_i,6/14/23,500,652.64,2.139,X4_32
91,Plate2,29,plate2.2_29,C14_3_2_i,6/14/23,478.8333333,574.6,2.118,C14_3
92,Plate2,30,plate2.2_30,X4_32_3_i,6/14/23,500,1393.72,2.106,X4_32
