Accession,Tag
HIL16C014,C14
HIL16C017,C17
HIL16C043,C43
HIL16C064,C64
HIL16C065,C65
HIL16A001,A01
HIL16A003,A03
HIL16A004,A04
HIL16A020,A20
HIL16A027,A27
ITH21F001P054,X1_54
ITH21F002P045,X2_45
ITH21F003P028,X3_28
ITH21F004P042,X4_42
ITH21F005P031,X5_31
ITH21F006P065,X6_65
ITH21F008P041.5,X8_415
ITH21F009P027,X9_27
ITH21F010P052,X10_52
ITH21F012P029,X12_29
ITH21F011P057,X11_57
ITH21F004P067,X4_67
ITH21F011P068,X11_68
ITH21F004P046,X4_46
ITH21F004P032,X4_32
ITH21F005P066,X5_66
ITH21F009P035,X9_35
ITH21F002P024,X2_24
ITH21F010P039,X10_39
ITH21F005P036,X5_36
ITH21F008P037,X8_37
