"","x"
"1","TCDM_1_A01_A04_1_2_o"
"2","TCDM_1_B01_A04_1_1_o"
"3","TCDM_1_C01_BLANK"
"4","TCDM_1_D01_A04_1_3_i"
"5","TCDM_1_E01_A04_1_3_o"
"6","TCDM_1_F01_A27_1_2_i"
"7","TCDM_1_G01_C17_1_2_o"
"8","TCDM_1_H01_C17_1_2_i"
"9","TCDM_1_A02_X1_54_2_o"
"10","TCDM_1_B02_X9_27_1_i"
"11","TCDM_1_C02_X9_27_2_i"
"12","TCDM_1_D02_X9_27_3_o"
"13","TCDM_1_E02_X11_57_2_o"
"14","TCDM_1_F02_X11_57_3_o"
"15","TCDM_1_G02_X9_27_2_o"
"16","TCDM_1_H02_X11_57_1_o"
"17","TCDM_1_A03_A27_1_1_i"
"18","TCDM_1_B03_X1_54_2_i"
"19","TCDM_1_C03_X11_57_2_i"
"20","TCDM_1_D03_X9_27_3_i"
"21","TCDM_1_E03_C17_1_3_i"
"22","TCDM_1_F03_X11_57_3_i"
"23","TCDM_1_G03_X9_27_1_o"
"24","TCDM_1_H03_A04_1_2_o"
"25","TCDM_1_A04_X4_67_2_o"
"26","TCDM_1_B04_C64_1_2_o"
"27","TCDM_1_C04_A04_1_1_i"
"28","TCDM_1_D04_X4_67_3_i"
"29","TCDM_1_E04_A04_1_2_i"
"30","TCDM_1_F04_C17_1_1_i"
"31","TCDM_1_G04_X4_67_2_i"
"32","TCDM_1_H04_X4_67_1_i"
"33","TCDM_1_A05_C64_1_2_i"
"34","TCDM_1_B05_C64_1_1_o"
"35","TCDM_1_C05_X5_31_3_i"
"36","TCDM_1_D05_X4_67_3_o"
"37","TCDM_1_E05_X5_31_2_i"
"38","TCDM_1_F05_C17_1_1_o"
"39","TCDM_1_F05_C17_1_1_o_ACCGTG_S38_R1_001_trimmed_still3adapt_ReadsPerGene.out.tab"
"40","TCDM_1_G05_A20_1_1_o"
"41","TCDM_1_H05_C17_1_3_o"
"42","TCDM_1_A06_A20_1_1_i"
"43","TCDM_1_B06_A20_1_2_o"
"44","TCDM_1_C06_X5_31_1_o"
"45","TCDM_1_D06_X4_67_1_o"
"46","TCDM_1_E06_A27_1_2_o"
"47","TCDM_1_F06_X5_31_3_o"
"48","TCDM_1_G06_X5_31_2_o"
"49","TCDM_1_H06_C64_1_3_i"
"50","TCDM_1_A07_A20_1_2_i"
"51","TCDM_1_B07_A20_1_3_i"
"52","TCDM_1_C07_A20_1_3_o"
"53","TCDM_1_D07_A27_1_3_o"
"54","TCDM_1_E07_A27_1_1_o"
