Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3	37.14	3398.0
3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3	38.83	198520.0
3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3	53.97	13239475.0
3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3	27.25	1554.0
3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3	57.77	12456701.0
3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3	39.53	1899833.0
3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3	54.82	13554384.0
3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3	60.49	14575256.0
3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3	56.72	12680779.0
3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3	37.73	7147709.0
3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3	30.88	2558268.0
3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3	20.96	108815.0
3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3	48.82	8945.0
3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3	51.83	7514096.0
3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3	73.47	18231570.0
3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3	63.29	13070969.0
3_B05_206_C17_rt1_i_10479813_22MM3HLT4_L3	51.76	11684262.0
3_B06_313_X1_54_rt2_o_10479813_22MM3HLT4_L3	49.96	10202051.0
3_B07_219_X2_24_rt1_o_10479813_22MM3HLT4_L3	46.99	10341499.0
3_B08_206_C17_rt3_i_10479813_22MM3HLT4_L3	62.51	14140051.0
3_B09_106_X4_46_rt3_i_10479813_22MM3HLT4_L3	32.92	2086722.0
3_B10_118_C14_rt2_i_10479813_22MM3HLT4_L3	52.42	14844184.0
3_B11_207_A04_rt3_i_10479813_22MM3HLT4_L3	33.47	700064.0
3_B12_220_X10_39_rt1_i_10479813_22MM3HLT4_L3	52.88	8308125.0
3_C01_320_X2_24_rt1_i_10479813_22MM3HLT4_L3	18.1	311.0
3_C02_313_X1_54_rt2_i_10479813_22MM3HLT4_L3	40.97	4830633.0
3_C03_115_X1_54_rt2_i_10479813_22MM3HLT4_L3	45.41	10410548.0
3_C04_411_C17_rt2_i_10479813_22MM3HLT4_L3	58.62	14043483.0
3_C05_113_C17_rt1_i_10479813_22MM3HLT4_L3	34.01	359815.0
3_C06_113_C17_rt1_o_10479813_22MM3HLT4_L3	48.39	5685013.0
3_C07_109_X11_68_rt3_o_10479813_22MM3HLT4_L3	41.36	2922745.0
3_C08_206_C17_rt2_o_10479813_22MM3HLT4_L3	62.74	17070610.0
3_C09_106_X4_46_rt3_o_10479813_22MM3HLT4_L3	42.41	6087451.0
3_C10_118_C14_rt3_i_10479813_22MM3HLT4_L3	40.09	5836803.0
3_C11_210_X11_68_rt2_i_10479813_22MM3HLT4_L3	58.33	15479679.0
3_C12_220_X10_39_rt2_i_10479813_22MM3HLT4_L3	41.3	7886824.0
3_D01_320_X2_24_rt2_i_10479813_22MM3HLT4_L3	49.85	6742.0
3_D02_313_X1_54_rt3_o_10479813_22MM3HLT4_L3	33.6	436224.0
3_D03_115_X1_54_rt2_o_10479813_22MM3HLT4_L3	50.9	14766082.0
3_D04_302_C17_rt1_i_10479813_22MM3HLT4_L3	50.95	11486234.0
3_D05_219_X2_24_rt2_o_10479813_22MM3HLT4_L3	59.67	17034006.0
3_D06_320_X2_24_rt1_o_10479813_22MM3HLT4_L3	39.66	16810.0
3_D07_303_X11_68_rt3_o_10479813_22MM3HLT4_L3	45.05	5790221.0
3_D08_105_X5_66_rt1_i_10479813_22MM3HLT4_L3	43.72	10341139.0
3_D09_107_X4_32_rt2_i_10479813_22MM3HLT4_L3	49.06	12295905.0
3_D10_118_C14_rt3_o_10479813_22MM3HLT4_L3	58.15	20202744.0
3_D11_210_X11_68_rt2_o_10479813_22MM3HLT4_L3	18.52	2785534.0
3_D12_302_C17_rt1_o_10479813_22MM3HLT4_L3	28.32	3182386.0
3_E01_320_X2_24_rt3_o_10479813_22MM3HLT4_L3	35.42	23594.0
3_E02_412_X11_68_rt1_o_10479813_22MM3HLT4_L3	35.89	137745.0
3_E03_115_X1_54_rt3_i_10479813_22MM3HLT4_L3	49.4	11744959.0
3_E04_418_X5_36_rt2_i_10479813_22MM3HLT4_L3	53.09	22242454.0
3_E05_417_X1_54_rt1_o_10479813_22MM3HLT4_L3	51.67	13453331.0
3_E06_109_X11_68_rt2_o_10479813_22MM3HLT4_L3	42.49	5478183.0
3_E07_417_X1_54_rt3_o_10479813_22MM3HLT4_L3	40.33	7403635.0
3_E08_105_X5_66_rt1_o_10479813_22MM3HLT4_L3	44.42	9950625.0
3_E09_107_X4_32_rt3_i_10479813_22MM3HLT4_L3	56.56	15070857.0
3_E10_205_X1_54_rt1_i_10479813_22MM3HLT4_L3	18.96	7741859.0
3_E11_210_X11_68_rt3_i_10479813_22MM3HLT4_L3	46.67	16579113.0
3_E12_302_C17_rt2_i_10479813_22MM3HLT4_L3	48.49	8571304.0
3_F01_417_X1_54_rt1_i_10479813_22MM3HLT4_L3	66.01	11804252.0
3_F02_412_X11_68_rt2_o_10479813_22MM3HLT4_L3	40.4	117953.0
3_F03_219_X2_24_rt1_i_10479813_22MM3HLT4_L3	31.93	866065.0
3_F04_412_X11_68_rt1_i_10479813_22MM3HLT4_L3	35.88	6592571.0
3_F05_206_C17_rt2_i_10479813_22MM3HLT4_L3	41.12	5018976.0
3_F06_219_X2_24_rt3_o_10479813_22MM3HLT4_L3	48.54	8399715.0
3_F07_101_X2_24_rt1_o_10479813_22MM3HLT4_L3	60.67	14082572.0
3_F08_105_X5_66_rt2_i_10479813_22MM3HLT4_L3	59.35	20371739.0
3_F09_112_X4_67_rt1_i_10479813_22MM3HLT4_L3	47.14	9961963.0
3_F10_205_X1_54_rt1_o_10479813_22MM3HLT4_L3	35.56	6740133.0
3_F11_210_X11_68_rt3_o_10479813_22MM3HLT4_L3	26.62	6637721.0
3_F12_302_C17_rt2_o_10479813_22MM3HLT4_L3	34.45	7687872.0
3_G01_417_X1_54_rt3_i_10479813_22MM3HLT4_L3	47.71	3896171.0
3_G02_412_X11_68_rt3_i_10479813_22MM3HLT4_L3	45.79	8398364.0
3_G03_219_X2_24_rt3_i_10479813_22MM3HLT4_L3	50.27	11564570.0
3_G04_219_X2_24_rt2_i_10479813_22MM3HLT4_L3	40.33	2001065.0
3_G05_313_X1_54_rt1_o_10479813_22MM3HLT4_L3	41.44	671681.0
3_G06_411_C17_rt3_o_10479813_22MM3HLT4_L3	42.85	340175.0
3_G07_113_C17_rt3_o_10479813_22MM3HLT4_L3	61.82	15821804.0
3_G08_105_X5_66_rt3_i_10479813_22MM3HLT4_L3	50.72	13694204.0
3_G09_112_X4_67_rt2_i_10479813_22MM3HLT4_L3	55.55	9132911.0
3_G10_205_X1_54_rt2_o_10479813_22MM3HLT4_L3	32.82	1081779.0
3_G11_218_X8_415_rt1_i_10479813_22MM3HLT4_L3	48.81	12466818.0
3_G12_302_C17_rt3_i_10479813_22MM3HLT4_L3	48.81	12421514.0
3_H01_101_X2_24_rt3_o_10479813_22MM3HLT4_L3	45.7	3046950.0
3_H02_412_X11_68_rt3_o_10479813_22MM3HLT4_L3	42.04	6987.0
3_H03_303_X11_68_rt1_i_10479813_22MM3HLT4_L3	39.21	278313.0
3_H04_BLANK_10479813_22MM3HLT4_L3	42.01	3741.0
3_H05_109_X11_68_rt1_o_10479813_22MM3HLT4_L3	36.7	253530.0
3_H06_109_X11_68_rt1_i_10479813_22MM3HLT4_L3	59.74	15978500.0
3_H07_403_A20_rt1_i_10479813_22MM3HLT4_L3	58.32	16522233.0
3_H08_105_X5_66_rt3_o_10479813_22MM3HLT4_L3	46.53	9881142.0
3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3	62.13	18985336.0
3_H10_205_X1_54_rt3_o_10479813_22MM3HLT4_L3	33.89	279373.0
3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3	33.28	5553729.0
3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3	57.99	12953590.0
4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3	49.2	2354464.0
4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3	55.52	5797756.0
4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3	58.41	7647620.0
4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3	66.3	8325225.0
4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3	69.74	6679361.0
4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3	64.6	10317026.0
4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3	63.2	8625671.0
4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3	66.67	10323127.0
4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3	57.73	15334862.0
4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3	68.73	18054568.0
4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3	63.23	11420237.0
4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3	65.87	14333655.0
4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3	66.22	9668919.0
4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3	66.41	12104192.0
4_B03_409_X2_45_rt1_i_10479813_22MM3HLT4_L3	38.36	796325.0
4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3	63.23	14618034.0
4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3	73.99	12128274.0
4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3	66.15	17120782.0
4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3	75.39	18607874.0
4_B08_220_X10_39_rt2_o_10479813_22MM3HLT4_L3	72.86	17827618.0
4_B09_205_X1_54_rt2_i_10479813_22MM3HLT4_L3	63.31	13461120.0
4_B10_207_A04_rt1_i_10479813_22MM3HLT4_L3	17.58	17518.0
4_B11_101_X2_24_rt2_i_10479813_22MM3HLT4_L3	74.16	11384806.0
4_B12_307_A03_rt3_o_10479813_22MM3HLT4_L3	66.51	14724638.0
4_C01_307_A03_rt2_i_10479813_22MM3HLT4_L3	67.13	4622816.0
4_C02_319_X8_37_rt3_o_10479813_22MM3HLT4_L3	64.59	4957770.0
4_C03_409_X2_45_rt2_i_10479813_22MM3HLT4_L3	65.76	11059333.0
4_C04_106_X4_46_rt1_o_10479813_22MM3HLT4_L3	55.78	4215916.0
4_C05_118_C14_rt1_i_10479813_22MM3HLT4_L3	71.92	9476006.0
4_C06_409_X2_45_rt1_o_10479813_22MM3HLT4_L3	68.83	12017839.0
4_C07_307_A03_rt2_o_10479813_22MM3HLT4_L3	58.43	10179422.0
4_C08_218_X8_415_rt2_o_10479813_22MM3HLT4_L3	54.45	8427728.0
4_C09_115_X1_54_rt3_o_10479813_22MM3HLT4_L3	47.93	2202862.0
4_C10_210_X11_68_rt1_o_10479813_22MM3HLT4_L3	60.42	563759.0
4_C11_101_X2_24_rt2_o_10479813_22MM3HLT4_L3	68.67	15080490.0
4_C12_101_X2_24_rt1_i_10479813_22MM3HLT4_L3	76.57	13428212.0
4_D01_307_A03_rt3_i_10479813_22MM3HLT4_L3	68.98	5331015.0
4_D02_402_X11_57_rt2_i_10479813_22MM3HLT4_L3	65.64	8055341.0
4_D03_409_X2_45_rt3_i_10479813_22MM3HLT4_L3	44.56	151476.0
4_D04_220_X10_39_rt3_i_10479813_22MM3HLT4_L3	50.69	7659473.0
4_D05_207_A04_rt3_o_10479813_22MM3HLT4_L3	60.75	10459274.0
4_D06_403_A20_rt3_i_10479813_22MM3HLT4_L3	69.99	20364840.0
4_D07_220_X10_39_rt3_o_10479813_22MM3HLT4_L3	57.15	8331800.0
4_D08_106_X4_46_rt2_o_10479813_22MM3HLT4_L3	61.07	9071333.0
4_D09_417_X1_54_rt2_o_10479813_22MM3HLT4_L3	3.19	831.0
