Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3	9149.0	227.0	3398.0	37.14	218.15	302.0	282.0	298.0	4.0	0.0	0.0	1.59	0.08	1.83	0.04	1.91	89.0	0.97	0.0	0.0	0.2	61.66	0.03	18	5641	3
3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3	511204.0	195.0	198520.0	38.83	190.32	9888.0	8798.0	9647.0	121.0	91.0	29.0	1.58	0.05	2.0	0.03	2.0	4056.0	0.79	146.0	0.03	0.21	60.11	0.02	1074	307306	102
3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3	24529453.0	231.0	13239475.0	53.97	228.54	1170065.0	1057440.0	1152316.0	15246.0	1001.0	1502.0	1.45	0.1	2.04	0.05	1.77	250189.0	1.02	7456.0	0.03	0.11	44.84	0.03	26980	10997995	7358
3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3	5702.0	205.0	1554.0	27.25	195.16	69.0	61.0	68.0	0.0	1.0	0.0	1.66	0.07	1.48	0.05	2.13	26.0	0.46	2.0	0.04	0.46	71.78	0.02	26	4093	1
3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3	21562720.0	232.0	12456701.0	57.77	226.22	1052030.0	931147.0	1035050.0	14190.0	1462.0	1328.0	1.5	0.07	2.09	0.04	2.08	278847.0	1.29	6267.0	0.03	0.1	40.8	0.01	21562	8797187	2156
3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3	4805945.0	196.0	1899833.0	39.53	196.2	124118.0	113056.0	121239.0	1487.0	1202.0	190.0	1.58	0.06	2.23	0.04	2.13	38836.0	0.81	2000.0	0.04	0.24	59.33	0.04	11536	2851817	1923
3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3	24724355.0	223.0	13554384.0	54.82	220.02	1577678.0	1470550.0	1552954.0	20562.0	2378.0	1784.0	1.57	0.06	1.84	0.04	2.06	344778.0	1.39	17395.0	0.07	0.15	43.49	0.07	37089	10753400	17308
3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3	24095753.0	232.0	14575256.0	60.49	228.18	1240081.0	1046592.0	1221863.0	15242.0	1556.0	1420.0	1.52	0.08	2.25	0.04	2.2	434494.0	1.8	16296.0	0.07	0.1	37.43	0.12	24090	9016710	28907
3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3	22357162.0	220.0	12680779.0	56.72	219.89	1096870.0	1009590.0	1079488.0	14091.0	2140.0	1151.0	1.54	0.09	1.76	0.04	2.06	253995.0	1.14	5684.0	0.03	0.16	41.92	0.04	35771	9371990	8943
3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3	18942617.0	180.0	7147709.0	37.73	174.74	215932.0	188439.0	204999.0	8882.0	1584.0	467.0	1.65	0.05	1.83	0.03	1.76	121723.0	0.64	4757.0	0.03	0.24	61.34	0.02	45461	11619178	3788
