Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9149.0	1 Mbp	0.0	18-139	41.0	75.94272598098154	110.88512405727401	122	pass	pass	fail	pass	warn	fail	pass	warn	pass	warn	pass
3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9149.0	1 Mbp	0.0	18-151	41.0	90.57820526833534	115.8105803912996	127	pass	warn	fail	pass	fail	fail	pass	warn	pass	fail	pass
3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	511204.0	46.8 Mbp	0.0	18-139	38.0	44.33706704867909	91.35397610347337	92	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	511204.0	53.1 Mbp	0.0	18-151	39.0	83.95363590537	104.03891010242486	107	pass	warn	fail	pass	fail	fail	pass	warn	pass	fail	pass
3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24529453.0	2.8 Gbp	0.0	18-139	39.0	11.465501859628594	113.84884432604348	122	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24529453.0	2.8 Gbp	0.0	18-151	39.0	57.11732525254325	117.28825575523433	132	pass	warn	warn	pass	fail	fail	pass	warn	warn	fail	pass
3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5702.0	561.8 kbp	0.0	18-139	44.0	65.29287969133637	98.12329007365837	102	pass	pass	fail	pass	warn	fail	pass	warn	warn	fail	pass
3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5702.0	607.8 kbp	0.0	18-151	43.0	85.35601543318134	106.61417046650298	112	pass	warn	fail	pass	fail	fail	pass	warn	pass	fail	pass
3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21562720.0	2.4 Gbp	0.0	18-139	37.0	16.02305932661156	112.45423907558973	122	pass	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21562720.0	2.5 Gbp	0.0	18-151	38.0	76.70185884703635	118.98376109322015	132	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
