Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	24.057274019018465	41.0	110.88512405727401	122	18.181818181818183	9149.0
3_A01_109_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	9.421794731664662	41.0	115.8105803912996	127	36.36363636363637	9149.0
3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	55.66293295132091	38.0	91.35397610347337	92	27.27272727272727	511204.0
3_A02_113_C17_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	16.046364094629993	39.0	104.03891010242486	107	36.36363636363637	511204.0
3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.53449814037141	39.0	113.84884432604348	122	27.27272727272727	24529453.0
3_A03_115_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	42.88267474745675	39.0	117.28825575523433	132	27.27272727272727	24529453.0
3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	34.70712030866363	44.0	98.12329007365837	102	27.27272727272727	5702.0
3_A04_303_X11_68_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	14.64398456681866	43.0	106.61417046650298	112	36.36363636363637	5702.0
3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	83.97694067338844	37.0	112.45423907558973	122	27.27272727272727	21562720.0
3_A05_113_C17_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	23.29814115296365	38.0	118.98376109322015	132	18.181818181818183	21562720.0
3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	76.72727402979726	39.0	93.61964608417283	92	27.27272727272727	4805945.0
3_A06_206_C17_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	38.447066890835515	39.0	103.00344115465325	107	18.181818181818183	4805945.0
3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.13708642036345	38.0	107.07936789453153	112	18.181818181818183	24724355.0
3_A07_304_X5_31_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	22.133625662601432	39.0	115.61640119631028	127	18.181818181818183	24724355.0
3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	90.2489189249827	37.0	115.12737331761328	132	18.181818181818183	24095753.0
3_A08_113_C17_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	22.667250580805714	37.0	116.82712696299635	132	18.181818181818183	24095753.0
3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	86.16646062027769	37.0	106.9457126982396	112	18.181818181818183	22357162.0
3_A09_106_X4_46_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	34.84882771856502	37.0	112.83533867133941	127	18.181818181818183	22357162.0
3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	94.7185998268105	35.0	83.58309435280246	82	36.36363636363637	18942617.0
3_A10_112_X4_67_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	38.45147108811967	37.0	97.11271626301688	97	18.181818181818183	18942617.0
3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	83.32181503813003	43.0	91.64253913950431	92	36.36363636363637	8283830.0
3_A11_207_A04_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	51.77723950695843	43.0	101.08348481318424	107	36.36363636363637	8283830.0
3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	71.7020074569803	48.0	93.75251267172573	102	45.45454545454545	519069.0
3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	42.665719574927586	47.0	102.59709017490931	107	36.36363636363637	519069.0
3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	30.089509878834193	40.0	112.92429865735181	122	18.181818181818183	18322.0
3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	9.944329221700684	40.0	118.22011789105993	132	36.36363636363637	18322.0
3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	84.36370408818058	38.0	108.94079740635993	112	18.181818181818183	14497000.0
3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	31.65894933727907	38.0	114.98010609091536	127	18.181818181818183	14497000.0
3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	90.1201166347441	35.0	124.49001109423921	137	18.181818181818183	24813779.0
3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	22.204127304599325	36.0	124.87421077619818	137	18.181818181818183	24813779.0
3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	89.83843612959807	36.0	116.78719321096803	127	27.27272727272727	20653077.0
3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	32.34262167859005	36.0	120.23430590996199	132	18.181818181818183	20653077.0
3_B05_206_C17_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	83.83186873007647	36.0	103.99327247373998	107	18.181818181818183	22573379.0
3_B05_206_C17_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	35.52360649066006	37.0	110.16654600093322	117	27.27272727272727	22573379.0
3_B06_313_X1_54_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	88.21289160228416	38.0	103.19445225858169	107	27.27272727272727	20418832.0
3_B06_313_X1_54_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	26.33548596820262	40.0	113.6898397518526	122	18.181818181818183	20418832.0
3_B07_219_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	88.0221500770121	38.0	98.52080161823889	102	27.27272727272727	22007134.0
3_B07_219_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	34.487820664214425	39.0	108.31876213413341	117	18.181818181818183	22007134.0
3_B08_206_C17_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	86.98873195149427	37.0	116.10818249624161	132	18.181818181818183	22622033.0
3_B08_206_C17_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	38.18073406882366	36.0	115.91217394121917	132	18.181818181818183	22622033.0
