samplenum,sample_ID,timept,harvest_date,plant,root,layer,empty_tube_weight_g,raw_fresh_weight_g,fresh_weight_g,greenhouse_notes,dry_date_out,dry_weight_g,dry_matter%,dry_matter%_complete,Drying_notes,tubeID,corrected_sampleID,corrected_genotypeID
1,102_X1_34_rt1_i,1,5/29/23,102,1,inner,6.657157895,11.505,11.505,real genotype is X10_39 (listed correctly in genotypeID column),,8.252,32.90,32.90,,102_X1_34_rt1_i,102_X10_39_rt1_i,X10_39
2,102_X1_34_rt1_o,1,5/29/23,102,1,outer,,16.89,16.89,,,9.933,32.01,32.01,,102_X1_34_rt1_o,102_X10_39_rt1_o,X10_39
3,102_X1_34_rt2_i,1,5/29/23,102,2,inner,,NA,NA,forgot to weigh,,8.157,NA,,,102_X1_34_rt2_i,102_X10_39_rt2_i,X10_39
4,102_X1_34_rt2_o,1,5/29/23,102,2,outer,,NA,NA,forgot to weigh,,9.4,NA,,,102_X1_34_rt2_o,102_X10_39_rt2_o,X10_39
5,102_X1_34_rt3_i,1,5/29/23,102,3,inner,,13.44,13.44,,,9.127,36.41,36.41,,102_X1_34_rt3_i,102_X10_39_rt3_i,X10_39
6,102_X1_34_rt3_o,1,5/29/23,102,3,outer,,19.66,19.66,,,10.775,31.67,31.67,,102_X1_34_rt3_o,102_X10_39_rt3_o,X10_39
7,103_A04_rt1_i,1,5/29/23,103,1,inner,,12.2,12.2,,,8.09,25.85,25.85,,103_A04_rt1_i,103_A04_rt1_i,A04
8,103_A04_rt1_o,1,5/29/23,103,1,outer,,18.775,18.775,,,10.192,29.17,29.17,,103_A04_rt1_o,103_A04_rt1_o,A04
9,103_A04_rt2_i,1,5/29/23,103,2,inner,,9.303,9.303,,,7.567,34.39,34.39,,103_A04_rt2_i,103_A04_rt2_i,A04
10,103_A04_rt2_o,1,5/29/23,103,2,outer,,12.31,12.31,,,8.541,33.33,33.33,,103_A04_rt2_o,103_A04_rt2_o,A04
11,103_A04_rt3_i,1,5/29/23,103,3,inner,,9.148,9.148,,,7.522,34.73,34.73,,103_A04_rt3_i,103_A04_rt3_i,A04
12,103_A04_rt3_o,1,5/29/23,103,3,outer,,13.788,13.788,,,8.691,28.52,28.52,,103_A04_rt3_o,103_A04_rt3_o,A04
13,109_X11_68_rt1_i,1,5/29/23,109,1,inner,,12.162,12.162,,,8.631,35.86,35.86,,109_X11_68_rt1_i,109_X11_68_rt1_i,X11_68
14,109_X11_68_rt1_o,1,5/29/23,109,1,outer,,16.53,16.53,,,8.739,21.09,21.09,,109_X11_68_rt1_o,109_X11_68_rt1_o,X11_68
15,109_X11_68_rt2_i,1,5/29/23,109,2,inner,,12.26,12.26,,,8.743,37.23,37.23,,109_X11_68_rt2_i,109_X11_68_rt2_i,X11_68
16,109_X11_68_rt2_o,1,5/29/23,109,2,outer,,17.21,17.21,,,9.894,30.67,30.67,,109_X11_68_rt2_o,109_X11_68_rt2_o,X11_68
17,109_X11_68_rt3_i,1,5/29/23,109,3,inner,,11.82,11.82,,,8.408,33.91,33.91,,109_X11_68_rt3_i,109_X11_68_rt3_i,X11_68
18,109_X11_68_rt3_o,1,5/29/23,109,3,outer,,16.36,16.36,,,9.192,26.13,26.13,,109_X11_68_rt3_o,109_X11_68_rt3_o,X11_68
19,111_A03_rt1_i,1,5/29/23,111,1,inner,,14.897,14.897,,,9.24,31.35,31.35,,111_A03_rt1_i,111_A03_rt1_i,A03
20,111_A03_rt1_o,1,5/29/23,111,1,outer,,17.77,17.77,,,10.316,32.93,32.93,,111_A03_rt1_o,111_A03_rt1_o,A03
21,111_A03_rt2_i,1,5/29/23,111,2,inner,,10.28,10.28,,,7.793,31.36,31.36,,111_A03_rt2_i,111_A03_rt2_i,A03
22,111_A03_rt2_o,1,5/29/23,111,2,outer,,16.8,16.8,,,9.527,28.30,28.30,,111_A03_rt2_o,111_A03_rt2_o,A03
23,111_A03_rt3_i,1,5/29/23,111,3,inner,,12.135,12.135,,,8.672,36.78,36.78,,111_A03_rt3_i,111_A03_rt3_i,A03
24,111_A03_rt3_o,1,5/29/23,111,3,outer,,14.95,14.95,,,9.12,29.70,29.70,,111_A03_rt3_o,111_A03_rt3_o,A03
25,114_X2_45_rt1_i,1,5/29/23,114,1,inner,,11.034,11.034,,,8.053,31.89,31.89,,114_X2_45_rt1_i,114_X2_45_rt1_i,X2_45
26,114_X2_45_rt1_o,1,5/29/23,114,1,outer,,17.897,17.897,,,10.288,32.30,32.30,,114_X2_45_rt1_o,114_X2_45_rt1_o,X2_45
27,114_X2_45_rt2_i,1,5/29/23,114,2,inner,,10.76,10.76,,,8.078,34.63,34.63,,114_X2_45_rt2_i,114_X2_45_rt2_i,X2_45
28,114_X2_45_rt2_o,1,5/29/23,114,2,outer,,16.13,16.13,,,9.62,31.28,31.28,,114_X2_45_rt2_o,114_X2_45_rt2_o,X2_45
29,114_X2_45_rt3_i,1,5/29/23,114,3,inner,,11.749,11.749,,,,-130.73,,,114_X2_45_rt3_i,114_X2_45_rt3_i,X2_45
30,114_X2_45_rt3_o,1,5/29/23,114,3,outer,,19.02,19.02,,,10.837,33.81,33.81,,114_X2_45_rt3_o,114_X2_45_rt3_o,X2_45
31,201_X5_66_rt1_i,1,5/29/23,201,1,inner,,11.01,11.01,,,8.026,31.45,31.45,,201_X5_66_rt1_i,201_X5_66_rt1_i,X5_66
32,201_X5_66_rt1_o,1,5/29/23,201,1,outer,,16.052,16.052,,,10,35.58,35.58,,201_X5_66_rt1_o,201_X5_66_rt1_o,X5_66
33,201_X5_66_rt2_i,1,5/29/23,201,2,inner,,8.505,8.505,,,7.402,40.31,40.31,,201_X5_66_rt2_i,201_X5_66_rt2_i,X5_66
34,201_X5_66_rt2_o,1,5/29/23,201,2,outer,,12.656,12.656,,,8.968,38.52,38.52,,201_X5_66_rt2_o,201_X5_66_rt2_o,X5_66
35,201_X5_66_rt3_i,1,5/29/23,201,3,inner,,11.05,11.05,,,8.323,37.92,37.92,,201_X5_66_rt3_i,201_X5_66_rt3_i,X5_66
36,201_X5_66_rt3_o,1,5/29/23,201,3,outer,,12.84,12.84,,,8.942,36.96,36.96,,201_X5_66_rt3_o,201_X5_66_rt3_o,X5_66
37,206_C17_rt1_i,1,5/29/23,206,1,inner,,10.998,10.998,,,8.599,44.74,44.74,,206_C17_rt1_i,206_C17_rt1_i,C17
38,206_C17_rt1_o,1,5/29/23,206,1,outer,,13.355,13.355,,,8.818,32.26,32.26,,206_C17_rt1_o,206_C17_rt1_o,C17
39,206_C17_rt2_i,1,5/29/23,206,2,inner,,12.598,12.598,,,8.84,36.74,36.74,,206_C17_rt2_i,206_C17_rt2_i,C17
40,206_C17_rt2_o,1,5/29/23,206,2,outer,,13.77,13.77,,,8.827,30.51,30.51,,206_C17_rt2_o,206_C17_rt2_o,C17
41,206_C17_rt3_i,1,5/29/23,206,3,inner,,11.044,11.044,,,8.225,35.74,35.74,,206_C17_rt3_i,206_C17_rt3_i,C17
42,206_C17_rt3_o,1,5/29/23,206,3,outer,,13.004,13.004,,,8.67,31.72,31.72,,206_C17_rt3_o,206_C17_rt3_o,C17
43,214_X4_46_rt1_i,1,5/29/23,214,1,inner,,12.75,12.75,,,8.544,30.97,30.97,,214_X4_46_rt1_i,214_X4_46_rt1_i,X4_46
44,214_X4_46_rt1_o,1,5/29/23,214,1,outer,,17.415,17.415,,,10.06,31.63,31.63,,214_X4_46_rt1_o,214_X4_46_rt1_o,X4_46
45,214_X4_46_rt2_i,1,5/29/23,214,2,inner,,10.128,10.128,,,7.8,32.93,32.93,,214_X4_46_rt2_i,214_X4_46_rt2_i,X4_46
46,214_X4_46_rt2_o,1,5/29/23,214,2,outer,,12.641,12.641,,,8.5,30.80,30.80,,214_X4_46_rt2_o,214_X4_46_rt2_o,X4_46
47,214_X4_46_rt3_i,1,5/29/23,214,3,inner,,10.34,10.34,,,7.888,33.42,33.42,,214_X4_46_rt3_i,214_X4_46_rt3_i,X4_46
48,214_X4_46_rt3_o,1,5/29/23,214,3,outer,,12.022,12.022,,,8.238,29.47,29.47,,214_X4_46_rt3_o,214_X4_46_rt3_o,X4_46
49,215_A20_rt1_i,1,5/30/23,215,1,inner,,10.474,10.474,,,7.889,32.28,32.28,,215_A20_rt1_i,215_A20_rt1_i,A20
50,215_A20_rt1_o,1,5/30/23,215,1,outer,,16.46,16.46,,,9.689,30.93,30.93,,215_A20_rt1_o,215_A20_rt1_o,A20
51,215_A20_rt2_i,1,5/30/23,215,2,inner,,11.61,11.61,,,8.013,27.38,27.38,,215_A20_rt2_i,215_A20_rt2_i,A20
52,215_A20_rt2_o,1,5/30/23,215,2,outer,,19.037,19.037,,,9.945,26.56,26.56,,215_A20_rt2_o,215_A20_rt2_o,A20
53,215_A20_rt3_i,1,5/30/23,215,3,inner,,12.436,12.436,,,8.656,34.59,34.59,,215_A20_rt3_i,215_A20_rt3_i,A20
54,215_A20_rt3_o,1,5/30/23,215,3,outer,,15.686,15.686,,,9.082,26.86,26.86,,215_A20_rt3_o,215_A20_rt3_o,A20
55,217_X5_36_rt1_i,1,5/30/23,217,1,inner,,12.275,12.275,,,7.945,22.93,22.93,,217_X5_36_rt1_i,217_X5_36_rt1_i,X5_36
56,217_X5_36_rt1_o,1,5/30/23,217,1,outer,,18.943,18.943,,,8.744,16.99,16.99,,217_X5_36_rt1_o,217_X5_36_rt1_o,X5_36
57,217_X5_36_rt2_i,1,5/30/23,217,2,inner,,12.7,12.7,,,8.015,22.47,22.47,,217_X5_36_rt2_i,217_X5_36_rt2_i,X5_36
58,217_X5_36_rt2_o,1,5/30/23,217,2,outer,,15.92,15.92,,,8.812,23.26,23.26,,217_X5_36_rt2_o,217_X5_36_rt2_o,X5_36
59,217_X5_36_rt3_i,1,5/30/23,217,3,inner,,11.73,11.73,,,8.048,27.42,27.42,,217_X5_36_rt3_i,217_X5_36_rt3_i,X5_36
60,217_X5_36_rt3_o,1,5/30/23,217,3,outer,,14.276,14.276,,,9.83,41.65,41.65,,217_X5_36_rt3_o,217_X5_36_rt3_o,X5_36
61,310_C14_rt1_i,2,6/20/23,310,1,inner,,13.24,13.24,plant 310 was harvested at timepoint 2 because of accidental pruning at timepoint 1,,7.851,18.14,18.14,,310_C14_rt1_i,310_C14_rt1_i,C14
62,310_C14_rt1_o,2,6/20/23,310,1,outer,,10.18,10.18,,,8.807,61.03,61.03,,310_C14_rt1_o,310_C14_rt1_o,C14
63,310_C14_rt2_i,2,6/20/23,310,2,inner,,8.97,8.97,,,7.504,36.62,36.62,,310_C14_rt2_i,310_C14_rt2_i,C14
64,310_C14_rt2_o,2,6/20/23,310,2,outer,,12.31,12.31,,,8.515,32.87,32.87,,310_C14_rt2_o,310_C14_rt2_o,C14
65,310_C14_rt3_i,2,6/20/23,310,3,inner,,9.14,9.14,,,7.449,31.90,31.90,,310_C14_rt3_i,310_C14_rt3_i,C14
66,310_C14_rt3_o,2,6/20/23,310,3,outer,,11.01,11.01,,,7.869,27.84,27.84,,310_C14_rt3_o,310_C14_rt3_o,C14
67,311_X11_57_rt1_i,1,5/30/23,311,1,inner,,12.126,12.126,,,8.616,35.82,35.82,,311_X11_57_rt1_i,311_X11_57_rt1_i,X11_57
68,311_X11_57_rt1_o,1,5/30/23,311,1,outer,,19.68,19.68,,,10.988,33.26,33.26,,311_X11_57_rt1_o,311_X11_57_rt1_o,X11_57
69,311_X11_57_rt2_i,1,5/30/23,311,2,inner,,12.07,12.07,,,8.76,38.85,38.85,,311_X11_57_rt2_i,311_X11_57_rt2_i,X11_57
70,311_X11_57_rt2_o,1,5/30/23,311,2,outer,,16.646,16.646,,,9.241,25.87,25.87,,311_X11_57_rt2_o,311_X11_57_rt2_o,X11_57
71,311_X11_57_rt3_i,1,5/30/23,311,3,inner,,10.214,10.214,,,8.052,39.22,39.22,,311_X11_57_rt3_i,311_X11_57_rt3_i,X11_57
72,311_X11_57_rt3_o,1,5/30/23,311,3,outer,,14.388,14.388,,,9.74,39.88,39.88,,311_X11_57_rt3_o,311_X11_57_rt3_o,X11_57
73,315_X8_41.5_rt1_i,1,5/30/23,315,1,inner,,10.83,10.83,,,7.991,31.97,31.97,,315_X8_41.5_rt1_i,315_X8_41.5_rt1_i,X8_41.5
74,315_X8_41.5_rt1_o,1,5/30/23,315,1,outer,,17.588,17.588,,,10.331,33.61,33.61,,315_X8_41.5_rt1_o,315_X8_41.5_rt1_o,X8_41.5
75,315_X8_41.5_rt2_i,1,5/30/23,315,2,inner,,8.324,8.324,,,7.234,34.61,34.61,,315_X8_41.5_rt2_i,315_X8_41.5_rt2_i,X8_41.5
76,315_X8_41.5_rt2_o,1,5/30/23,315,2,outer,,11.58,11.58,,,8.055,28.40,28.40,,315_X8_41.5_rt2_o,315_X8_41.5_rt2_o,X8_41.5
77,315_X8_41.5_rt3_i,1,5/30/23,315,3,inner,,10.492,10.492,,,8.086,37.26,37.26,,315_X8_41.5_rt3_i,315_X8_41.5_rt3_i,X8_41.5
