"","Plate Name","tubeID","sample_ID","RNA_extraction_date","Concentration(ng/ul)","mean_nguL","mean260.280","Well","timept","corrected_genotypeID"
"1","CassavaTCDM2_3",15,"109_X11_68_rt2_i",120924,150,150.04,1.863,"A01",1,"X11_68"
"2","CassavaTCDM2_3",17,"109_X11_68_rt3_i",120624,209.5,209.48,1.9275,"B01",1,"X11_68"
"3","CassavaTCDM2_3",85,"320_X2_24_rt1_i",120924,235.5,235.48,2.0575,"C01",1,"X2_24"
"4","CassavaTCDM2_3",87,"320_X2_24_rt2_i",120924,392.8,392.76,2.0585,"D01",1,"X2_24"
"5","CassavaTCDM2_3",90,"320_X2_24_rt3_o",120924,167.1,167.08,2.002,"E01",1,"X2_24"
"6","CassavaTCDM2_3",109,"417_X1_54_rt1_i",120924,124.8,124.76,1.912,"F01",1,"X1_54"
"7","CassavaTCDM2_3",113,"417_X1_54_rt3_i",120924,202.6,202.6,2.0615,"G01",1,"X1_54"
"8","CassavaTCDM2_3",126,"101_X2_24_rt3_o",120924,351.5,351.48,1.994,"H01",2,"X2_24"
"9","CassavaTCDM2_3",142,"113_C17_rt2_o",120624,300.4,300.36,2.0505,"A02",2,"C17"
"10","CassavaTCDM2_3",205,"313_X1_54_rt1_i",120624,317.2,317.16,1.826,"B02",2,"X1_54"
"11","CassavaTCDM2_3",207,"313_X1_54_rt2_i",120924,270.7,270.72,1.895,"C02",2,"X1_54"
"12","CassavaTCDM2_3",210,"313_X1_54_rt3_o",120924,121.8,121.8,1.961,"D02",2,"X1_54"
"13","CassavaTCDM2_3",218,"412_X11_68_rt1_o",120924,242,242,1.927,"E02",2,"X11_68"
"14","CassavaTCDM2_3",220,"412_X11_68_rt2_o",120924,260.3,260.32,2.094,"F02",2,"X11_68"
"15","CassavaTCDM2_3",221,"412_X11_68_rt3_i",120924,212.2,212.16,2.033,"G02",2,"X11_68"
"16","CassavaTCDM2_3",222,"412_X11_68_rt3_o",120924,338.4,338.44,1.9685,"H02",2,"X11_68"
"17","CassavaTCDM2_3",247,"115_X1_54_rt1_i",120924,305.6,305.64,2.023,"A03",3,"X1_54"
"18","CassavaTCDM2_3",248,"115_X1_54_rt1_o",120924,358.2,358.2,2.0755,"B03",3,"X1_54"
"19","CassavaTCDM2_3",249,"115_X1_54_rt2_i",120924,192.6,192.6,2.067,"C03",3,"X1_54"
"20","CassavaTCDM2_3",250,"115_X1_54_rt2_o",120924,265.4,265.36,2.0425,"D03",3,"X1_54"
"21","CassavaTCDM2_3",251,"115_X1_54_rt3_i",120924,219,218.96,1.8915,"E03",3,"X1_54"
"22","CassavaTCDM2_3",295,"219_X2_24_rt1_i",120924,240.9,240.88,2.021,"F03",3,"X2_24"
"23","CassavaTCDM2_3",299,"219_X2_24_rt3_i",120924,168.8,168.8,1.868,"G03",3,"X2_24"
"24","CassavaTCDM2_3",307,"303_X11_68_rt1_i",120924,173.7,173.72,1.8785,"H03",3,"X11_68"
"25","CassavaTCDM2_3",309,"303_X11_68_rt2_i",120924,279.3,279.32,1.8795,"A04",3,"X11_68"
"26","CassavaTCDM2_3",344,"411_C17_rt1_o",120924,357.6,357.56,1.9145,"B04",3,"C17"
"27","CassavaTCDM2_3",345,"411_C17_rt2_i",120624,339,339,2.2485,"C04",3,"C17"
"28","CassavaTCDM2_3",421,"302_C17_rt1_i",120924,164.4,164.36,1.8645,"D04",4,"C17"
"29","CassavaTCDM2_3",477,"418_X5_36_rt2_i",120624,116.8,116.76,2.007,"E04",4,"X5_36"
"30","CassavaTCDM2_3",217,"412_X11_68_rt1_i",120924,400,410.12,1.917,"F04",2,"X11_68"
"31","CassavaTCDM2_3",297,"219_X2_24_rt2_i",120924,400,424.08,2.0065,"G04",3,"X2_24"
"32","CassavaTCDM2_3",NA,NA,NA,0,NA,NA,"H04",NA,NA
"33","CassavaTCDM2_3",141,"113_C17_rt2_i",120624,400,428.04,1.9235,"A05",2,"C17"
"34","CassavaTCDM2_3",37,"206_C17_rt1_i",120624,400,467.6,1.9055,"B05",1,"C17"
"35","CassavaTCDM2_3",139,"113_C17_rt1_i",120624,400,468.36,2.06,"C05",2,"C17"
"36","CassavaTCDM2_3",298,"219_X2_24_rt2_o",120924,400,478.8,2.0065,"D05",3,"X2_24"
"37","CassavaTCDM2_3",110,"417_X1_54_rt1_o",120624,400,527.04,1.8735,"E05",1,"X1_54"
"38","CassavaTCDM2_3",39,"206_C17_rt2_i",120924,400,563.88,2.0505,"F05",1,"C17"
"39","CassavaTCDM2_3",206,"313_X1_54_rt1_o",120924,400,590.44,2.068,"G05",2,"X1_54"
"40","CassavaTCDM2_3",14,"109_X11_68_rt1_o",120924,400,609.28,2.0395,"H05",1,"X11_68"
"41","CassavaTCDM2_3",42,"206_C17_rt3_o",120924,400,667.44,2.0645,"A06",1,"C17"
"42","CassavaTCDM2_3",208,"313_X1_54_rt2_o",120924,400,695.2,1.9655,"B06",2,"X1_54"
"43","CassavaTCDM2_3",140,"113_C17_rt1_o",120624,400,709,2.0895,"C06",2,"C17"
"44","CassavaTCDM2_3",86,"320_X2_24_rt1_o",120924,400,712.44,2.0525,"D06",1,"X2_24"
"45","CassavaTCDM2_3",16,"109_X11_68_rt2_o",120624,400,726.96,2.0155,"E06",1,"X11_68"
"46","CassavaTCDM2_3",300,"219_X2_24_rt3_o",120624,400,770.84,1.979,"F06",3,"X2_24"
"47","CassavaTCDM2_3",348,"411_C17_rt3_o",120624,400,788.68,1.837,"G06",3,"C17"
"48","CassavaTCDM2_3",13,"109_X11_68_rt1_i",120924,400,836.2,1.9575,"H06",1,"X11_68"
"49","CassavaTCDM2_3",429,"304_X5_31_rt2_i",120624,400,840.48,2.041,"A07",4,"X5_31"
"50","CassavaTCDM2_3",296,"219_X2_24_rt1_o",120924,400,896,1.885,"B07",3,"X2_24"
"51","CassavaTCDM2_3",18,"109_X11_68_rt3_o",120924,400,943.52,2.037,"C07",1,"X11_68"
"52","CassavaTCDM2_3",312,"303_X11_68_rt3_o",120924,400,1012.12,1.912,"D07",3,"X11_68"
"53","CassavaTCDM2_3",114,"417_X1_54_rt3_o",120924,400,1148,1.9055,"E07",1,"X1_54"
"54","CassavaTCDM2_3",122,"101_X2_24_rt1_o",120624,400,1164.12,2.0565,"F07",2,"X2_24"
"55","CassavaTCDM2_3",144,"113_C17_rt3_o",120624,400,1201.64,2.0485,"G07",2,"C17"
"56","CassavaTCDM2_3",457,"403_A20_rt1_i",120624,400,1260.32,1.8255,"H07",4,"A20"
"57","CassavaTCDM2_3",143,"113_C17_rt3_i",120624,400,1321.04,2.0675,"A08",2,"C17"
"58","CassavaTCDM2_3",41,"206_C17_rt3_i",120624,400,1428.8,1.934,"B08",1,"C17"
"59","CassavaTCDM2_3",40,"206_C17_rt2_o",120624,400,1625.16,1.8435,"C08",1,"C17"
"60","CassavaTCDM2_3",361,"105_X5_66_rt1_i",110724,227.2,227.22,2.0625,"D08",4,"X5_66"
"61","CassavaTCDM2_3",362,"105_X5_66_rt1_o",112024,282.9,282.9,2.1135,"E08",4,"X5_66"
"62","CassavaTCDM2_3",363,"105_X5_66_rt2_i",112024,291.3,291.3,2.0865,"F08",4,"X5_66"
"63","CassavaTCDM2_3",365,"105_X5_66_rt3_i",112024,302.5,302.46,2.075,"G08",4,"X5_66"
"64","CassavaTCDM2_3",366,"105_X5_66_rt3_o",112024,385.7,385.66,2.1485,"H08",4,"X5_66"
"65","CassavaTCDM2_3",369,"106_X4_46_rt2_i",112024,206.4,206.38,2.0695,"A09",4,"X4_46"
"66","CassavaTCDM2_3",371,"106_X4_46_rt3_i",112024,153.9,153.9,2.0825,"B09",4,"X4_46"
"67","CassavaTCDM2_3",372,"106_X4_46_rt3_o",110724,176.9,176.86,2.091,"C09",4,"X4_46"
"68","CassavaTCDM2_3",375,"107_X4_32_rt2_i",110724,282.2,282.18,2.087,"D09",4,"X4_32"
"69","CassavaTCDM2_3",377,"107_X4_32_rt3_i",110724,164.9,164.9,2.062,"E09",4,"X4_32"
"70","CassavaTCDM2_3",379,"112_X4_67_rt1_i",110724,159,159.02,2.095,"F09",4,"X4_67"
"71","CassavaTCDM2_3",381,"112_X4_67_rt2_i",112024,119.5,119.5,2.0725,"G09",4,"X4_67"
"72","CassavaTCDM2_3",383,"112_X4_67_rt3_i",112024,263.9,263.94,2.0755,"H09",4,"X4_67"
"73","CassavaTCDM2_3",384,"112_X4_67_rt3_o",112024,199.5,199.46,2.1105,"A10",4,"X4_67"
"74","CassavaTCDM2_3",387,"118_C14_rt2_i",110724,263,262.98,2.074,"B10",4,"C14"
"75","CassavaTCDM2_3",389,"118_C14_rt3_i",112024,279.9,279.86,2.091,"C10",4,"C14"
"76","CassavaTCDM2_3",390,"118_C14_rt3_o",112024,384.2,384.22,2.084,"D10",4,"C14"
"77","CassavaTCDM2_3",391,"205_X1_54_rt1_i",110724,204.9,204.86,2.0655,"E10",4,"X1_54"
"78","CassavaTCDM2_3",392,"205_X1_54_rt1_o",110724,133.4,133.42,2.0935,"F10",4,"X1_54"
"79","CassavaTCDM2_3",394,"205_X1_54_rt2_o",110724,243.1,243.14,2.083,"G10",4,"X1_54"
"80","CassavaTCDM2_3",396,"205_X1_54_rt3_o",112424,329.6,329.59777576599,2.089,"H10",4,"X1_54"
"81","CassavaTCDM2_3",399,"207_A04_rt2_i",110724,260,260.02,2.0785,"A11",4,"A04"
"82","CassavaTCDM2_3",401,"207_A04_rt3_i",110724,260.7,260.74,2.068,"B11",4,"A04"
"83","CassavaTCDM2_3",405,"210_X11_68_rt2_i",110724,217.4,217.38,2.0525,"C11",4,"X11_68"
"84","CassavaTCDM2_3",406,"210_X11_68_rt2_o",110724,254.4,254.42,2.0645,"D11",4,"X11_68"
"85","CassavaTCDM2_3",407,"210_X11_68_rt3_i",112024,203.2,203.22,2.0455,"E11",4,"X11_68"
"86","CassavaTCDM2_3",408,"210_X11_68_rt3_o",110724,178.3,178.26,2.125,"F11",4,"X11_68"
"87","CassavaTCDM2_3",409,"218_X8_415_rt1_i",112224,242.8,242.784291837417,2.086,"G11",4,"X8_41.5"
"88","CassavaTCDM2_3",411,"218_X8_415_rt2_i",110724,235.5,235.46,2.099,"H11",4,"X8_41.5"
"89","CassavaTCDM2_3",414,"218_X8_415_rt3_o",112224,384,384.006226523069,2.07,"A12",4,"X8_41.5"
"90","CassavaTCDM2_3",415,"220_X10_39_rt1_i",112224,133.6,133.56732818534,2.063,"B12",4,"X10_39"
