dry_date_y,sampleID
6/9/23,102_X10_39_rt1_i
6/9/23,102_X10_39_rt1_o
6/9/23,102_X10_39_rt2_i
6/9/23,102_X10_39_rt2_o
6/9/23,102_X10_39_rt3_i
6/9/23,102_X10_39_rt3_o
6/9/23,103_A04_rt1_i
6/9/23,103_A04_rt1_o
6/9/23,103_A04_rt2_i
6/9/23,103_A04_rt2_o
6/9/23,103_A04_rt3_i
6/9/23,103_A04_rt3_o
6/9/23,109_X11_68_rt1_i
6/9/23,109_X11_68_rt1_o
6/9/23,109_X11_68_rt2_i
6/9/23,109_X11_68_rt2_o
6/9/23,109_X11_68_rt3_i
6/9/23,109_X11_68_rt3_o
6/9/23,111_A03_rt1_i
6/9/23,111_A03_rt1_o
6/9/23,111_A03_rt2_i
6/9/23,111_A03_rt2_o
6/9/23,111_A03_rt3_i
6/9/23,111_A03_rt3_o
6/9/23,114_X2_45_rt1_i
6/9/23,114_X2_45_rt1_o
6/9/23,114_X2_45_rt2_i
6/9/23,114_X2_45_rt2_o
6/9/23,114_X2_45_rt3_i
6/9/23,114_X2_45_rt3_o
6/9/23,201_X5_66_rt1_i
6/9/23,201_X5_66_rt1_o
6/9/23,201_X5_66_rt2_i
6/9/23,201_X5_66_rt2_o
6/9/23,201_X5_66_rt3_i
6/9/23,201_X5_66_rt3_o
6/9/23,206_C17_rt1_i
6/9/23,206_C17_rt1_o
6/9/23,206_C17_rt2_i
6/9/23,206_C17_rt2_o
6/9/23,206_C17_rt3_i
6/9/23,206_C17_rt3_o
6/9/23,214_X4_46_rt1_i
6/9/23,214_X4_46_rt1_o
6/9/23,214_X4_46_rt2_i
6/9/23,214_X4_46_rt2_o
6/9/23,214_X4_46_rt3_i
6/9/23,214_X4_46_rt3_o
6/15/23,215_A20_rt1_i
6/15/23,215_A20_rt1_o
6/15/23,215_A20_rt2_i
6/15/23,215_A20_rt2_o
6/15/23,215_A20_rt3_i
6/15/23,215_A20_rt3_o
6/15/23,217_X5_36_rt1_i
6/15/23,217_X5_36_rt1_o
6/15/23,217_X5_36_rt2_i
6/15/23,217_X5_36_rt2_o
6/15/23,217_X5_36_rt3_i
6/15/23,217_X5_36_rt3_o
6/28/23,310_C14_rt1_i
6/28/23,310_C14_rt1_o
6/28/23,310_C14_rt2_i
6/28/23,310_C14_rt2_o
6/28/23,310_C14_rt3_i
6/28/23,310_C14_rt3_o
6/15/23,311_X11_57_rt1_i
6/15/23,311_X11_57_rt1_o
6/15/23,311_X11_57_rt2_i
6/15/23,311_X11_57_rt2_o
6/15/23,311_X11_57_rt3_i
6/15/23,311_X11_57_rt3_o
6/15/23,315_X8_41.5_rt1_i
6/15/23,315_X8_41.5_rt1_o
6/15/23,315_X8_41.5_rt2_i
6/15/23,315_X8_41.5_rt2_o
6/15/23,315_X8_41.5_rt3_i
6/15/23,315_X8_41.5_rt3_o
6/15/23,316_X4_67_rt1_i
6/15/23,316_X4_67_rt1_o
6/15/23,316_X4_67_rt2_i
6/15/23,316_X4_67_rt2_o
6/15/23,316_X4_67_rt3_i
6/15/23,316_X4_67_rt3_o
6/15/23,320_X2_24_rt1_i
6/15/23,320_X2_24_rt1_o
6/15/23,320_X2_24_rt2_i
6/15/23,320_X2_24_rt2_o
6/15/23,320_X2_24_rt3_i
6/15/23,320_X2_24_rt3_o
6/15/23,401_X4_42_rt1_i
6/15/23,401_X4_42_rt1_o
6/15/23,401_X4_42_rt2_i
6/15/23,401_X4_42_rt2_o
6/15/23,401_X4_42_rt3_i
6/15/23,401_X4_42_rt3_o
6/15/23,404_X4_32_rt1_i
6/15/23,404_X4_32_rt1_o
6/15/23,404_X4_32_rt2_i
4/10/24,404_X4_32_rt2_o
4/10/24,404_X4_32_rt3_i
7/14/23,404_X4_32_rt3_o
6/28/23,406_X8_37_rt1_i
4/10/24,406_X8_37_rt1_o
6/28/23,406_X8_37_rt2_i
4/10/24,406_X8_37_rt2_o
6/28/23,406_X8_37_rt3_i
4/10/24,406_X8_37_rt3_o
4/10/24,417_X1_54_rt1_i
7/14/23,417_X1_54_rt1_o
6/28/23,417_X1_54_rt2_i
4/10/24,417_X1_54_rt2_o
4/10/24,417_X1_54_rt3_i
4/10/24,417_X1_54_rt3_o
4/10/24,419_X5_31_rt1_i
4/10/24,419_X5_31_rt1_o
6/28/23,419_X5_31_rt2_i
4/10/24,419_X5_31_rt2_o
4/10/24,419_X5_31_rt3_i
4/10/24,419_X5_31_rt3_o
6/28/23,101_X2_24_rt1_i
6/28/23,101_X2_24_rt1_o
6/28/23,101_X2_24_rt2_i
6/28/23,101_X2_24_rt2_o
6/28/23,101_X2_24_rt3_i
6/28/23,101_X2_24_rt3_o
6/28/23,108_X8_37_rt1_i
6/28/23,108_X8_37_rt1_o
6/28/23,108_X8_37_rt2_i
6/28/23,108_X8_37_rt2_o
6/28/23,108_X8_37_rt3_i
6/28/23,108_X8_37_rt3_o
6/28/23,110_X4_42_rt1_i
6/28/23,110_X4_42_rt1_o
6/28/23,110_X4_42_rt2_i
6/28/23,110_X4_42_rt2_o
6/28/23,110_X4_42_rt3_i
6/28/23,110_X4_42_rt3_o
6/28/23,113_C17_rt1_i
6/28/23,113_C17_rt1_o
6/28/23,113_C17_rt2_i
6/28/23,113_C17_rt2_o
6/28/23,113_C17_rt3_i
6/28/23,113_C17_rt3_o
6/28/23,116_X8_41.5_rt1_i
6/28/23,116_X8_41.5_rt1_o
6/28/23,116_X8_41.5_rt2_i
6/28/23,116_X8_41.5_rt2_o
6/28/23,116_X8_41.5_rt3_i
6/28/23,116_X8_41.5_rt3_o
6/28/23,203_X11_57_rt1_i
6/28/23,203_X11_57_rt1_o
6/28/23,203_X11_57_rt2_i
6/28/23,203_X11_57_rt2_o
6/28/23,203_X11_57_rt3_i
6/28/23,203_X11_57_rt3_o
6/28/23,204_X2_45_rt1_i
4/10/24,204_X2_45_rt1_o
4/10/24,204_X2_45_rt2_i
4/10/24,204_X2_45_rt2_o
6/28/23,204_X2_45_rt3_i
6/28/23,204_X2_45_rt3_o
6/28/23,208_X4_32_rt2_i
6/28/23,208_X4_32_rt2_o
6/28/23,208_X4_32_rt1_i
4/10/24,208_X4_32_rt1_o
6/28/23,208_X4_32_rt3_i
6/28/23,208_X4_32_rt3_o
4/10/24,209_A03_rt1_i
4/10/24,209_A03_rt1_o
4/10/24,209_A03_rt2_i
4/10/24,209_A03_rt2_o
4/10/24,209_A03_rt3_i
4/10/24,209_A03_rt3_o
4/10/24,216_X5_31_rt1_i
4/10/24,216_X5_31_rt1_o
4/10/24,216_X5_31_rt2_i
4/10/24,216_X5_31_rt2_o
4/10/24,216_X5_31_rt3_i
4/10/24,216_X5_31_rt3_o
4/10/24,305_X10_39_rt1_i
4/10/24,305_X10_39_rt1_o
4/10/24,305_X10_39_rt2_i
4/10/24,305_X10_39_rt2_o
4/10/24,305_X10_39_rt3_i
4/10/24,305_X10_39_rt3_o
4/10/24,308_X4_46_rt1_i
4/10/24,308_X4_46_rt1_o
4/10/24,308_X4_46_rt2_i
4/10/24,308_X4_46_rt2_o
4/10/24,308_X4_46_rt3_i
4/10/24,308_X4_46_rt3_o
4/10/24,309_X5_36_rt1_i
4/10/24,309_X5_36_rt1_o
4/10/24,309_X5_36_rt2_i
4/10/24,309_X5_36_rt2_o
4/10/24,309_X5_36_rt3_i
4/10/24,309_X5_36_rt3_o
7/26/23,312_A20_rt1_i
7/26/23,312_A20_rt1_o
7/26/23,312_A20_rt2_i
7/26/23,312_A20_rt2_o
7/26/23,312_A20_rt3_i
7/26/23,312_A20_rt3_o
7/26/23,313_X1_54_rt1_i
7/26/23,313_X1_54_rt1_o
7/26/23,313_X1_54_rt2_i
7/26/23,313_X1_54_rt2_o
7/26/23,313_X1_54_rt3_i
7/26/23,313_X1_54_rt3_o
7/26/23,410_A04_rt1_i
7/26/23,410_A04_rt1_o
7/26/23,410_A04_rt2_i
7/26/23,410_A04_rt2_o
7/26/23,410_A04_rt3_i
7/26/23,410_A04_rt3_o
7/26/23,412_X11_68_rt1_i
7/26/23,412_X11_68_rt1_o
7/26/23,412_X11_68_rt2_i
7/26/23,412_X11_68_rt2_o
7/26/23,412_X11_68_rt3_i
7/26/23,412_X11_68_rt3_o
7/26/23,413_C14_rt1_i
7/26/23,413_C14_rt1_o
7/26/23,413_C14_rt2_i
7/26/23,413_C14_rt2_o
7/26/23,413_C14_rt3_i
