"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Term"
"GO:0006073","GO:0006073","6/161","27/20430",5.63087478811925e-08,1.31387078389449e-06,9.48357859051663e-07,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.14G146000/Manes.08G099000/Manes.14G114400",6,"cellular glucan metabolic process"
"GO:0010411","GO:0010411","6/161","27/20430",5.63087478811925e-08,1.31387078389449e-06,9.48357859051663e-07,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.14G146000/Manes.08G099000/Manes.14G114400",6,"xyloglucan metabolic process"
"GO:0016762","GO:0016762","6/161","27/20430",5.63087478811925e-08,1.31387078389449e-06,9.48357859051663e-07,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.14G146000/Manes.08G099000/Manes.14G114400",6,"xyloglucan:xyloglucosyl transferase activity"
"GO:0042546","GO:0042546","6/161","32/20430",1.66858970044703e-07,2.92003197578231e-06,2.10769225319625e-06,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.14G146000/Manes.08G099000/Manes.14G114400",6,"cell wall biogenesis"
"GO:0005618","GO:0005618","7/161","54/20430",2.14892396534051e-07,3.00849355147671e-06,2.17154421760725e-06,"Manes.14G145700/Manes.14G146100/Manes.11G012500/Manes.12G030000/Manes.14G146000/Manes.08G099000/Manes.14G114400",7,"cell wall"
"GO:0048046","GO:0048046","6/161","43/20430",1.04501626607917e-06,1.21918564375904e-05,8.80013697750883e-06,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.14G146000/Manes.08G099000/Manes.14G114400",6,"apoplast"
"GO:0004553","GO:0004553","8/161","198/20430",0.00017906780785443,0.0017906780785443,0.00129251951534024,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.01G076500/Manes.14G146000/Manes.08G099000/Manes.18G022000/Manes.14G114400",8,"hydrolase activity, hydrolyzing O-glycosyl compounds"
"GO:0020037","GO:0020037","8/161","205/20430",0.000226863540370513,0.00198505597824199,0.00143282236023482,"Manes.10G072350/Manes.07G081100/Manes.10G067700/Manes.12G111100/Manes.11G027200/Manes.08G019501/Manes.05G130500/Manes.17G118227",8,"heme binding"
"GO:0005975","GO:0005975","9/161","297/20430",0.000597033314216006,0.00464359244390227,0.003351765974546,"Manes.14G145700/Manes.14G146100/Manes.12G030000/Manes.01G076500/Manes.14G146000/Manes.08G099000/Manes.18G022000/Manes.14G114400/Manes.06G161400",9,"carbohydrate metabolic process"
"GO:0003700","GO:0003700","9/161","365/20430",0.00248765722414938,0.0174136005690457,0.0125692154483337,"Manes.02G161700/Manes.14G038900/Manes.03G020500/Manes.01G187900/Manes.16G126900/Manes.05G050300/Manes.14G098000/Manes.01G085400/Manes.08G096900",9,"DNA-binding transcription factor activity"
"GO:0004857","GO:0004857","3/161","38/20430",0.00331008718385015,0.0210641911699555,0.0152042282129002,"Manes.11G012500/Manes.02G034900/Manes.17G081300",3,"enzyme inhibitor activity"
"GO:0005507","GO:0005507","3/161","49/20430",0.00678727464047209,0.0395924354027539,0.0285779984861983,"Manes.04G068800/Manes.02G035800/Manes.05G140900",3,"copper ion binding"
"GO:0005992","GO:0005992","2/161","17/20430",0.00776650163222845,0.0397407574158591,0.0286850579843795,"Manes.01G198900/Manes.15G098800",2,"trehalose biosynthetic process"
"GO:0016705","GO:0016705","5/161","156/20430",0.00794815148317182,0.0397407574158591,0.0286850579843795,"Manes.10G072350/Manes.07G081100/Manes.10G067700/Manes.11G027200/Manes.08G019501",5,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"GO:0004601","GO:0004601","3/161","56/20430",0.00981146267297133,0.0457868258071996,0.0330491374247456,"Manes.06G128700/Manes.12G111100/Manes.17G118227",3,"peroxidase activity"
