"","X","node1","node2","weight","class.x","gene_metabolite.x","Description.x","class.y","gene_metabolite.y","Description.y","overall_cor","overall_cor_p","genetic_cor","genetic_cor_p","nongenetic_cor","nongenetic_cor_p"
"1",250,"Manes.08G105600.v8.1","Beta.Carotene",0.0689230961294097,NA,"gene","(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2)","carot","metabolite",NA,0.689160851995343,0,0.843250093940053,1.20973394635016e-07,0.219783597707507,0.000117741644893865
"2",338,"Manes.16G130900.v8.1","Beta.Carotene",0.0618968759244524,NA,"gene","(1 of 2) KOG1766 - Enhancer of rudimentary","carot","metabolite",NA,0.56653691924629,0,0.754993305006141,1.2907055313649e-05,0.0958565488952349,0.0963660968610962
"3",359,"Manes.09G098760.v8.1","Beta.Carotene",0.0603212396421022,NA,"gene","(1 of 46) PF00582 - Universal stress protein family (Usp)","carot","metabolite",NA,0.598211375618692,0,0.770185813009874,6.70762019883142e-06,0.106454162276832,0.0646663811933217
"4",443,"Manes.09G098800.v8.1","Beta.Carotene",0.0561814349275685,NA,"gene","(1 of 9) PTHR11260//PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // GLUTATHIONE S-TRANSFERASE U1-RELATED","carot","metabolite",NA,0.58809907805997,0,0.778216507655942,4.65115420422713e-06,0.140338225377989,0.0146549511387517
"5",488,"Manes.07G104000.v8.1","Beta.Carotene",0.0548552052744661,NA,"gene","(1 of 2) PTHR32191:SF1 - TETRASPANIN-5-RELATED","carot","metabolite",NA,0.587555786062759,0,0.730185293672645,3.42056380588929e-05,0.0921581483240899,0.109976371869744
"6",596,"Manes.04G074700.v8.1","Beta.Carotene",0.0510769084410927,NA,"gene","(1 of 4) PF06911 - Senescence-associated protein (Senescence)","carot","metabolite",NA,0.603853198278758,0,0.780755694036353,4.12980604291846e-06,0.248998404236655,1.1958680409041e-05
"7",839,"Manes.02G033500.v8.1","Beta.Carotene",0.0446340224404452,NA,"gene","(1 of 3) PTHR33593:SF2 - F5O11.5","carot","metabolite",NA,0.602134178938158,0,0.794056552216644,2.15794158897609e-06,0.167318694436885,0.00354305166656532
"8",842,"Manes.18G101100.v8.1","Beta.Carotene",0.0446050903382006,NA,"gene","(1 of 2) PTHR10795//PTHR10795:SF316 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SERINE PROTEASE-LIKE PROTEIN-RELATED","carot","metabolite",NA,0.519559679487836,0,0.741106706113378,2.25705695504619e-05,0.0773299987637169,0.180152075077113
"9",969,"Manes.05G160600.v8.1","Beta.Carotene",0.0415060265357115,NA,"gene","(1 of 3) PTHR32227:SF16 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 7-RELATED","carot","metabolite",NA,0.531656525024029,0,0.791111983151746,2.50130621437528e-06,0.0233850225188692,0.685655080898795
"10",1018,"Manes.01G150600.v8.1","Beta.Carotene",0.0405673645416744,NA,"gene","(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG)","carot","metabolite",NA,0.545505862076037,0,0.779133742463731,4.45642980562155e-06,0.0897283184168754,0.119711510648602
