fromNode	toNode	weight	direction	fromAltName	toAltName
Manes.01G000155	Manes.01G000279	0.0506991762895776	undirected	NA	NA
Manes.01G000155	Manes.01G002500	0.0175543511295178	undirected	NA	NA
Manes.01G000155	Manes.01G009800	0.0367741085248153	undirected	NA	NA
Manes.01G000155	Manes.01G012200	0.0130308242773317	undirected	NA	NA
Manes.01G000155	Manes.01G017151	0.0410483326782556	undirected	NA	NA
Manes.01G000155	Manes.01G017500	0.0452220368502439	undirected	NA	NA
Manes.01G000155	Manes.01G022400	0.0364699488039488	undirected	NA	NA
Manes.01G000155	Manes.01G024700	0.0343982681407482	undirected	NA	NA
Manes.01G000155	Manes.01G027100	0.0405158824670819	undirected	NA	NA
Manes.01G000155	Manes.01G034800	0.0383395423476265	undirected	NA	NA
Manes.01G000155	Manes.01G037300	0.0186193867913164	undirected	NA	NA
Manes.01G000155	Manes.01G043300	0.101578954667153	undirected	NA	NA
Manes.01G000155	Manes.01G051530	0.0405651760671742	undirected	NA	NA
Manes.01G000155	Manes.01G052500	0.0653705858605141	undirected	NA	NA
Manes.01G000155	Manes.01G052108	0.0368410037581255	undirected	NA	NA
Manes.01G000155	Manes.01G057400	0.0385838878429058	undirected	NA	NA
Manes.01G000155	Manes.01G070300	0.0295114804895156	undirected	NA	NA
Manes.01G000155	Manes.01G071400	0.0293185790159429	undirected	NA	NA
Manes.01G000155	Manes.01G078200	0.0250136076597259	undirected	NA	NA
Manes.01G000155	Manes.01G084800	0.0161304596580701	undirected	NA	NA
Manes.01G000155	Manes.01G085300	0.0222172773922604	undirected	NA	NA
Manes.01G000155	Manes.01G086200	0.0400487132802025	undirected	NA	NA
Manes.01G000155	Manes.01G087500	0.0406013142305927	undirected	NA	NA
Manes.01G000155	Manes.01G088500	0.0345147550321495	undirected	NA	NA
Manes.01G000155	Manes.01G091600	0.0256749841478656	undirected	NA	NA
Manes.01G000155	Manes.01G094700	0.0194348810578099	undirected	NA	NA
Manes.01G000155	Manes.01G094800	0.0284260983978447	undirected	NA	NA
Manes.01G000155	Manes.01G101300	0.0117517953350203	undirected	NA	NA
Manes.01G000155	Manes.01G107300	0.0141011221039082	undirected	NA	NA
Manes.01G000155	Manes.01G115900	0.036949473886811	undirected	NA	NA
Manes.01G000155	Manes.01G116100	0.0212811942733346	undirected	NA	NA
Manes.01G000155	Manes.01G122300	0.012187496192891	undirected	NA	NA
Manes.01G000155	Manes.01G123700	0.0265406772099055	undirected	NA	NA
Manes.01G000155	Manes.01G124200	0.0304145949531016	undirected	NA	NA
Manes.01G000155	Manes.01G124801	0.0667502041615533	undirected	NA	NA
Manes.01G000155	Manes.01G124900	0.0246222315018074	undirected	NA	NA
Manes.01G000155	Manes.01G126500	0.0121336162027901	undirected	NA	NA
Manes.01G000155	Manes.01G136850	0.0551225967402056	undirected	NA	NA
Manes.01G000155	Manes.01G137500	0.0356246207707495	undirected	NA	NA
Manes.01G000155	Manes.01G138200	0.0460323174158608	undirected	NA	NA
Manes.01G000155	Manes.01G141500	0.0161570973320107	undirected	NA	NA
Manes.01G000155	Manes.01G144700	0.0117131626587029	undirected	NA	NA
Manes.01G000155	Manes.01G148000	0.0126364364626883	undirected	NA	NA
Manes.01G000155	Manes.01G150600	0.106630986670805	undirected	NA	NA
Manes.01G000155	Manes.01G151100	0.0408253340708871	undirected	NA	NA
Manes.01G000155	Manes.01G154800	0.0329346551730883	undirected	NA	NA
Manes.01G000155	Manes.01G155200	0.0251223567867422	undirected	NA	NA
Manes.01G000155	Manes.01G157000	0.0230836698678399	undirected	NA	NA
Manes.01G000155	Manes.01G173632	0.0304187775953484	undirected	NA	NA
Manes.01G000155	Manes.01G191300	0.0277913144253463	undirected	NA	NA
Manes.01G000155	Manes.01G191500	0.0353637364051487	undirected	NA	NA
Manes.01G000155	Manes.01G197500	0.017369083922218	undirected	NA	NA
Manes.01G000155	Manes.01G207000	0.0210524434580053	undirected	NA	NA
Manes.01G000155	Manes.01G207500	0.018749167168482	undirected	NA	NA
Manes.01G000155	Manes.01G209500	0.0229298083379042	undirected	NA	NA
Manes.01G000155	Manes.01G214000	0.0480623748658274	undirected	NA	NA
Manes.01G000155	Manes.01G237200	0.0169185037179321	undirected	NA	NA
Manes.01G000155	Manes.01G243700	0.0178083129866111	undirected	NA	NA
Manes.01G000155	Manes.01G244000	0.0148637768047237	undirected	NA	NA
Manes.01G000155	Manes.01G250800	0.0373187506202974	undirected	NA	NA
Manes.01G000155	Manes.01G251100	0.0175980956964569	undirected	NA	NA
Manes.01G000155	Manes.01G259100	0.0190865529467304	undirected	NA	NA
Manes.01G000155	Manes.01G261500	0.0491377594533187	undirected	NA	NA
Manes.01G000155	Manes.02G009900	0.0497496126545645	undirected	NA	NA
Manes.01G000155	Manes.02G011000	0.0607215211507537	undirected	NA	NA
Manes.01G000155	Manes.02G016900	0.0141593264273025	undirected	NA	NA
Manes.01G000155	Manes.02G025500	0.0202324742309512	undirected	NA	NA
Manes.01G000155	Manes.02G029775	0.0143764546558084	undirected	NA	NA
Manes.01G000155	Manes.02G032685	0.0379918485995286	undirected	NA	NA
Manes.01G000155	Manes.02G033500	0.0818709586525079	undirected	NA	NA
Manes.01G000155	Manes.02G034500	0.0756531854294379	undirected	NA	NA
Manes.01G000155	Manes.02G034600	0.0423587917194211	undirected	NA	NA
Manes.01G000155	Manes.02G034900	0.0660340871171497	undirected	NA	NA
Manes.01G000155	Manes.02G035300	0.0279543745657571	undirected	NA	NA
Manes.01G000155	Manes.02G044200	0.0642470739479792	undirected	NA	NA
Manes.01G000155	Manes.02G046700	0.0344301929504496	undirected	NA	NA
Manes.01G000155	Manes.02G047100	0.0518575605218674	undirected	NA	NA
Manes.01G000155	Manes.02G048440	0.0203655376314101	undirected	NA	NA
Manes.01G000155	Manes.02G050801	0.0142800803174979	undirected	NA	NA
Manes.01G000155	Manes.02G056900	0.0318179099711486	undirected	NA	NA
Manes.01G000155	Manes.02G064600	0.0691380931400736	undirected	NA	NA
Manes.01G000155	Manes.02G068800	0.0639844225138656	undirected	NA	NA
Manes.01G000155	Manes.02G072000	0.02095106727472	undirected	NA	NA
Manes.01G000155	Manes.02G076500	0.0232882620285121	undirected	NA	NA
Manes.01G000155	Manes.02G077700	0.0254836643025833	undirected	NA	NA
Manes.01G000155	Manes.02G080300	0.0153275496610442	undirected	NA	NA
Manes.01G000155	Manes.02G082900	0.0215749102081449	undirected	NA	NA
Manes.01G000155	Manes.02G087801	0.0166543649382965	undirected	NA	NA
Manes.01G000155	Manes.02G097200	0.0462950441299684	undirected	NA	NA
Manes.01G000155	Manes.02G098700	0.0855375991039483	undirected	NA	NA
Manes.01G000155	Manes.02G099500	0.024212066317948	undirected	NA	NA
Manes.01G000155	Manes.02G101501	0.0169640500863083	undirected	NA	NA
