network,gene_id,locusName,Description,class,gene_metabolite,module,module_size,TOM_k,TOM_k_percentile,n_carot_genes_same_module,n_carot_metabolites_same_module,n_carb_genes_same_module,n_carb_metabolites_same_module,,
genetic,i_o_diff_DM,i_o_diff_DM,NA,carb,metabolite,bisque4,114,47.941,29.5,0,0,2,1,,
genetic,Manes.03G029300.v8.1,Manes.03G029300,(1 of 4) PTHR13697:SF7 - 6-PHOSPHOFRUCTOKINASE 1-RELATED,carb,gene,bisque4,114,61.572,51,0,0,2,1,,
genetic,Manes.03G103200.v8.1,Manes.03G103200,(1 of 6) K00026 - malate dehydrogenase (MDH2),carb,gene,bisque4,114,51.024,35.1,0,0,2,1,,
genetic,Beta.Carotene,Beta.Carotene,NA,carot,metabolite,black,587,141.647,91.6,4,5,9,0,,
genetic,i_o_diff_TC,i_o_diff_TC,NA,carot,metabolite,black,587,107.648,83.9,4,5,9,0,,
genetic,ratio_viola_bc,ratio_viola_bc,NA,carot,metabolite,black,587,137.617,91.1,4,5,9,0,,
genetic,total_carotenoids,total_carotenoids,NA,carot,metabolite,black,587,131.777,90.1,4,5,9,0,,
genetic,Zeta.Carotene,Zeta.Carotene,NA,carot,metabolite,black,587,200.167,96.8,4,5,9,0,,
genetic,Manes.01G124200.v8.1,Manes.01G124200,(1 of 3) K02291 - phytoene synthase (crtB),carot,gene,black,587,79.621,69,4,5,9,0,,
genetic,Manes.02G122500.v8.1,Manes.02G122500,"(1 of 1) PTHR11468:SF4 - ALPHA-GLUCAN PHOSPHORYLASE 2, CYTOSOLIC",carb,gene,black,587,129.568,89.6,4,5,9,0,,
genetic,Manes.05G193700.v8.1,Manes.05G193700,"(1 of 1) K02293 - 15-cis-phytoene desaturase (PDS, crtP)",carot,gene,black,587,78.107,67.8,4,5,9,0,,
genetic,Manes.06G054000.v8.1,Manes.06G054000,"(1 of 1) PTHR10357:SF169 - ISOAMYLASE 1, CHLOROPLASTIC",carb,gene,black,587,53.437,39,4,5,9,0,,
genetic,Manes.07G056100.v8.1,Manes.07G056100,(1 of 2) PTHR11817//PTHR11817:SF21 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,carb,gene,black,587,162.008,94,4,5,9,0,,
genetic,Manes.08G022400.v8.1,Manes.08G022400,"(1 of 2) PTHR10357//PTHR10357:SF141 - ALPHA-AMYLASE // 1,4-ALPHA-GLUCAN-BRANCHING ENZYME 2-1, CHLOROPLASTIC/AMYLOPLASTIC-RELATED",carb,gene,black,587,152.074,92.9,4,5,9,0,,
genetic,Manes.09G058676.v8.1,Manes.09G058676,"(1 of 2) PTHR10357//PTHR10357:SF141 - ALPHA-AMYLASE // 1,4-ALPHA-GLUCAN-BRANCHING ENZYME 2-1, CHLOROPLASTIC/AMYLOPLASTIC-RELATED",carb,gene,black,587,72.292,63,4,5,9,0,,
genetic,Manes.11G144700.v8.1,Manes.11G144700,(1 of 2) 1.17.7.1 - (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin) / 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,carot,gene,black,587,93.115,77.7,4,5,9,0,,
genetic,Manes.12G043100.v8.1,Manes.12G043100,(1 of 1) 1.1.1.1//1.1.1.22 - Alcohol dehydrogenase / Aldehyde reductase // UDP-glucose 6-dehydrogenase,carb,gene,black,587,34.082,6.4,4,5,9,0,,
genetic,Manes.12G067900.v8.1,Manes.12G067900,"(1 of 2) PTHR22572:SF101 - GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE SMALL SUBUNIT, CHLOROPLASTIC",carb,gene,black,587,80.184,69.4,4,5,9,0,,
genetic,Manes.12G144300.v8.1,Manes.12G144300,(1 of 2) 1.10.99.3 - Transferred entry: 1.23.5.1,carot,gene,black,587,119.698,87.4,4,5,9,0,,
genetic,Manes.13G098500.v8.1,Manes.13G098500,(1 of 2) PTHR13697//PTHR13697:SF21 - PHOSPHOFRUCTOKINASE // SUBFAMILY NOT NAMED,carb,gene,black,587,56.246,43.2,4,5,9,0,,
genetic,Manes.18G103000.v8.1,Manes.18G103000,(1 of 2) PTHR31916:SF3 - ALKALINE/NEUTRAL INVERTASE CINV1-RELATED,carb,gene,black,587,60.404,49.5,4,5,9,0,,
genetic,Manes.02G017610.v8.1,Manes.02G017610,"(1 of 1) 4.6.1.12 - 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase / MECDP-synthase",carot,gene,blue,1308,118.578,87.2,4,0,10,0,,
genetic,Manes.02G090600.v8.1,Manes.02G090600,(1 of 2) KOG1794 - N-Acetylglucosamine kinase,carb,gene,blue,1308,213.743,97.5,4,0,10,0,,
