"sourceNode","targetNode","bicor","shared_name","cor_direction","source_class","target_class","interaction_class"
"Manes.01G001200","Manes.01G001200",1,"Manes.01G001200 (interacts with) Manes.01G001200","+","carot","carot",NA
"Manes.01G023200","Manes.01G001200",0.0244824340078409,"Manes.01G023200 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G026700","Manes.01G001200",0.040906586581528,"Manes.01G026700 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G069000","Manes.01G001200",0.0122247093954625,"Manes.01G069000 (interacts with) Manes.01G001200","+","carot","carot",NA
"Manes.01G076500","Manes.01G001200",0.197027896381158,"Manes.01G076500 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G083600","Manes.01G001200",0.189937186581227,"Manes.01G083600 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G091700","Manes.01G001200",0.0920100680262865,"Manes.01G091700 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G116600","Manes.01G001200",0.208850867035251,"Manes.01G116600 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G123000","Manes.01G001200",0.0481466530601513,"Manes.01G123000 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G124200","Manes.01G001200",0.21448292462429,"Manes.01G124200 (interacts with) Manes.01G001200","+","carot","carot",NA
"Manes.01G129000","Manes.01G001200",0.269142797685979,"Manes.01G129000 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G134800","Manes.01G001200",0.159171742279423,"Manes.01G134800 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
"Manes.01G153600","Manes.01G001200",-0.0634408008726415,"Manes.01G153600 (interacts with) Manes.01G001200","-","carb","carot","cross-class"
"Manes.01G157500","Manes.01G001200",-0.142365080984934,"Manes.01G157500 (interacts with) Manes.01G001200","-","carot","carot",NA
"Manes.01G162300","Manes.01G001200",0.296807769199855,"Manes.01G162300 (interacts with) Manes.01G001200","+","carb","carot","cross-class"
