gene_id	colors
Manes.01G000031.v8.1	turquoise
Manes.01G000124.v8.1	grey
Manes.01G000155.v8.1	grey
Manes.01G000248.v8.1	turquoise
Manes.01G000279.v8.1	turquoise
Manes.01G000403.v8.1	blue
Manes.01G000465.v8.1	yellow
Manes.01G000527.v8.1	turquoise
Manes.01G000600.v8.1	grey
Manes.01G000400.v8.1	grey
Manes.01G000300.v8.1	turquoise
Manes.01G001900.v8.1	grey
Manes.01G001951.v8.1	turquoise
Manes.01G001800.v8.1	turquoise
Manes.01G001700.v8.1	turquoise
Manes.01G001600.v8.1	grey
Manes.01G001400.v8.1	grey
Manes.01G001200.v8.1	grey
Manes.01G001100.v8.1	turquoise
Manes.01G002051.v8.1	green
Manes.01G002300.v8.1	grey
Manes.01G002400.v8.1	blue
Manes.01G002500.v8.1	grey
Manes.01G002901.v8.1	red
Manes.01G003100.v8.1	blue
Manes.01G003200.v8.1	blue
Manes.01G003300.v8.1	turquoise
Manes.01G003500.v8.1	blue
Manes.01G003700.v8.1	turquoise
Manes.01G003800.v8.1	turquoise
Manes.01G003900.v8.1	red
Manes.01G004100.v8.1	grey
Manes.01G004300.v8.1	turquoise
Manes.01G004466.v8.1	turquoise
Manes.01G004840.v8.1	grey
Manes.01G004860.v8.1	turquoise
Manes.01G004880.v8.1	turquoise
Manes.01G004820.v8.1	turquoise
Manes.01G005000.v8.1	grey
Manes.01G005033.v8.1	grey
Manes.01G005066.v8.1	red
Manes.01G005100.v8.1	grey
Manes.01G005233.v8.1	purple
Manes.01G005500.v8.1	cyan
Manes.01G005584.v8.1	turquoise
Manes.01G005536.v8.1	grey
Manes.01G005700.v8.1	turquoise
Manes.01G006975.v8.1	turquoise
Manes.01G008250.v8.1	grey
Manes.01G010800.v8.1	blue
Manes.01G006000.v8.1	turquoise
Manes.01G006200.v8.1	turquoise
Manes.01G006300.v8.1	greenyellow
Manes.01G006400.v8.1	blue
Manes.01G007050.v8.1	grey
Manes.01G007100.v8.1	yellow
Manes.01G007300.v8.1	blue
Manes.01G007400.v8.1	blue
Manes.01G007500.v8.1	grey
Manes.01G007600.v8.1	turquoise
Manes.01G007700.v8.1	turquoise
Manes.01G007800.v8.1	blue
Manes.01G007900.v8.1	turquoise
Manes.01G008000.v8.1	yellow
Manes.01G008100.v8.1	purple
Manes.01G008200.v8.1	turquoise
Manes.01G008300.v8.1	grey
Manes.01G008400.v8.1	turquoise
Manes.01G008500.v8.1	grey
Manes.01G008600.v8.1	grey
Manes.01G008800.v8.1	pink
Manes.01G008900.v8.1	grey
Manes.01G009000.v8.1	turquoise
Manes.01G009100.v8.1	grey
Manes.01G009200.v8.1	turquoise
Manes.01G009300.v8.1	grey
Manes.01G009451.v8.1	grey
Manes.01G009500.v8.1	turquoise
Manes.01G009601.v8.1	grey
Manes.01G009700.v8.1	turquoise
Manes.01G009800.v8.1	grey
Manes.01G009900.v8.1	turquoise
Manes.01G010000.v8.1	blue
Manes.01G010100.v8.1	blue
Manes.01G010200.v8.1	turquoise
Manes.01G010300.v8.1	pink
Manes.01G013600.v8.1	grey
Manes.01G013500.v8.1	grey
Manes.01G013300.v8.1	turquoise
Manes.01G012900.v8.1	turquoise
Manes.01G012800.v8.1	turquoise
Manes.01G012700.v8.1	grey
Manes.01G012600.v8.1	yellow
Manes.01G012500.v8.1	grey
Manes.01G012400.v8.1	yellow
Manes.01G012200.v8.1	grey
Manes.01G012100.v8.1	turquoise
Manes.01G011800.v8.1	turquoise
Manes.01G011600.v8.1	grey
Manes.01G011500.v8.1	brown
Manes.01G011300.v8.1	purple
Manes.01G011100.v8.1	black
Manes.01G011000.v8.1	blue
Manes.01G011042.v8.1	grey
Manes.01G011184.v8.1	grey
Manes.01G013800.v8.1	grey
Manes.01G014000.v8.1	grey
Manes.01G014100.v8.1	turquoise
Manes.01G014500.v8.1	turquoise
Manes.01G014600.v8.1	turquoise
Manes.01G014700.v8.1	turquoise
Manes.01G014800.v8.1	brown
Manes.01G014900.v8.1	turquoise
Manes.01G015200.v8.1	grey
Manes.01G015300.v8.1	grey
Manes.01G015400.v8.1	black
Manes.01G015500.v8.1	turquoise
Manes.01G015600.v8.1	turquoise
Manes.01G015700.v8.1	turquoise
Manes.01G015800.v8.1	black
Manes.01G016000.v8.1	turquoise
Manes.01G016100.v8.1	grey
Manes.01G016300.v8.1	turquoise
Manes.01G016600.v8.1	turquoise
Manes.01G016800.v8.1	brown
Manes.01G016900.v8.1	turquoise
Manes.01G017101.v8.1	grey
Manes.01G017151.v8.1	turquoise
Manes.01G017200.v8.1	grey
Manes.01G017300.v8.1	grey
Manes.01G017500.v8.1	turquoise
Manes.01G017600.v8.1	brown
Manes.01G017700.v8.1	turquoise
Manes.01G018300.v8.1	turquoise
Manes.01G018500.v8.1	grey
Manes.01G018600.v8.1	turquoise
Manes.01G018800.v8.1	turquoise
Manes.01G019600.v8.1	red
Manes.01G019801.v8.1	grey
Manes.01G020000.v8.1	grey
Manes.01G020100.v8.1	grey
Manes.01G020300.v8.1	grey
Manes.01G020400.v8.1	blue
Manes.01G020500.v8.1	grey
Manes.01G020600.v8.1	yellow
Manes.01G020800.v8.1	salmon
Manes.01G021100.v8.1	grey
Manes.01G021200.v8.1	yellow
Manes.01G021300.v8.1	green
Manes.01G021400.v8.1	grey
Manes.01G021500.v8.1	yellow
Manes.01G021600.v8.1	grey
Manes.01G021700.v8.1	blue
Manes.01G021800.v8.1	yellow
Manes.01G021900.v8.1	turquoise
Manes.01G022000.v8.1	grey
Manes.01G022100.v8.1	grey
Manes.01G022300.v8.1	turquoise
Manes.01G022400.v8.1	grey
Manes.01G022500.v8.1	turquoise
Manes.01G022600.v8.1	grey
Manes.01G022750.v8.1	yellow
Manes.01G022900.v8.1	blue
Manes.01G023200.v8.1	grey
Manes.01G023300.v8.1	turquoise
Manes.01G023400.v8.1	grey
Manes.01G023600.v8.1	grey
Manes.01G023700.v8.1	red
Manes.01G023900.v8.1	turquoise
Manes.01G024000.v8.1	grey
Manes.01G024300.v8.1	yellow
Manes.01G024400.v8.1	yellow
Manes.01G024500.v8.1	grey
Manes.01G024600.v8.1	grey
Manes.01G024700.v8.1	grey
Manes.01G025000.v8.1	blue
Manes.01G025100.v8.1	grey
Manes.01G025200.v8.1	grey
Manes.01G025300.v8.1	turquoise
Manes.01G025400.v8.1	turquoise
Manes.01G025500.v8.1	turquoise
Manes.01G025900.v8.1	brown
Manes.01G026000.v8.1	grey
Manes.01G026200.v8.1	grey
Manes.01G026300.v8.1	turquoise
Manes.01G026500.v8.1	grey
Manes.01G026600.v8.1	turquoise
Manes.01G026700.v8.1	grey
Manes.01G026800.v8.1	green
Manes.01G026850.v8.1	grey
Manes.01G026900.v8.1	grey
Manes.01G027000.v8.1	grey
Manes.01G027100.v8.1	turquoise
Manes.01G027200.v8.1	greenyellow
Manes.01G027350.v8.1	turquoise
Manes.01G027400.v8.1	turquoise
Manes.01G027500.v8.1	grey
Manes.01G027600.v8.1	blue
Manes.01G027700.v8.1	grey
Manes.01G027900.v8.1	turquoise
Manes.01G028100.v8.1	grey
Manes.01G028200.v8.1	turquoise
Manes.01G028300.v8.1	blue
Manes.01G028400.v8.1	black
Manes.01G028500.v8.1	grey
Manes.01G028600.v8.1	turquoise
Manes.01G028700.v8.1	brown
Manes.01G028800.v8.1	turquoise
Manes.01G028900.v8.1	grey
Manes.01G029100.v8.1	grey
Manes.01G029200.v8.1	grey
Manes.01G029300.v8.1	turquoise
Manes.01G029400.v8.1	pink
Manes.01G029800.v8.1	grey
Manes.01G029950.v8.1	turquoise
Manes.01G030100.v8.1	blue
Manes.01G030200.v8.1	turquoise
Manes.01G030400.v8.1	turquoise
Manes.01G030500.v8.1	grey
Manes.01G030700.v8.1	yellow
Manes.01G030900.v8.1	blue
Manes.01G031100.v8.1	greenyellow
Manes.01G031001.v8.1	turquoise
Manes.01G031200.v8.1	turquoise
Manes.01G031300.v8.1	turquoise
Manes.01G031400.v8.1	turquoise
Manes.01G031600.v8.1	grey
Manes.01G031700.v8.1	grey
Manes.01G031800.v8.1	green
Manes.01G031900.v8.1	blue
Manes.01G032000.v8.1	turquoise
Manes.01G032100.v8.1	grey
Manes.01G032300.v8.1	green
Manes.01G032400.v8.1	grey
Manes.01G032500.v8.1	red
Manes.01G032600.v8.1	grey
Manes.01G032800.v8.1	greenyellow
Manes.01G032900.v8.1	grey
Manes.01G033000.v8.1	turquoise
Manes.01G033100.v8.1	blue
Manes.01G033200.v8.1	turquoise
Manes.01G033300.v8.1	grey
Manes.01G033400.v8.1	grey
Manes.01G033600.v8.1	blue
Manes.01G033700.v8.1	grey
Manes.01G034000.v8.1	blue
Manes.01G034100.v8.1	turquoise
Manes.01G034200.v8.1	turquoise
Manes.01G034300.v8.1	grey
Manes.01G034400.v8.1	black
Manes.01G034500.v8.1	turquoise
Manes.01G034600.v8.1	turquoise
Manes.01G034700.v8.1	blue
Manes.01G034800.v8.1	yellow
Manes.01G034900.v8.1	turquoise
Manes.01G035000.v8.1	turquoise
Manes.01G035100.v8.1	turquoise
Manes.01G036200.v8.1	grey
Manes.01G036300.v8.1	turquoise
Manes.01G040700.v8.1	turquoise
Manes.01G040712.v8.1	blue
Manes.01G040500.v8.1	grey
Manes.01G040400.v8.1	yellow
Manes.01G040300.v8.1	grey
Manes.01G040200.v8.1	black
Manes.01G040100.v8.1	turquoise
Manes.01G039700.v8.1	green
Manes.01G039500.v8.1	grey
Manes.01G039400.v8.1	turquoise
Manes.01G039300.v8.1	green
Manes.01G039200.v8.1	turquoise
Manes.01G036500.v8.1	grey
Manes.01G036600.v8.1	turquoise
Manes.01G036700.v8.1	turquoise
Manes.01G036800.v8.1	blue
Manes.01G037000.v8.1	grey
Manes.01G037100.v8.1	yellow
Manes.01G037200.v8.1	grey
Manes.01G037300.v8.1	turquoise
Manes.01G037400.v8.1	pink
Manes.01G038033.v8.1	blue
Manes.01G037600.v8.1	grey
Manes.01G037700.v8.1	turquoise
Manes.01G038000.v8.1	grey
Manes.01G038100.v8.1	grey
Manes.01G038200.v8.1	yellow
Manes.01G038300.v8.1	turquoise
Manes.01G038400.v8.1	grey
Manes.01G038700.v8.1	yellow
Manes.01G041200.v8.1	turquoise
Manes.01G041300.v8.1	grey
Manes.01G041400.v8.1	purple
Manes.01G041700.v8.1	turquoise
Manes.01G041800.v8.1	grey
Manes.01G042100.v8.1	turquoise
Manes.01G042200.v8.1	cyan
Manes.01G042400.v8.1	turquoise
Manes.01G042600.v8.1	turquoise
Manes.01G042700.v8.1	black
Manes.01G042800.v8.1	turquoise
Manes.01G043000.v8.1	grey
Manes.01G043100.v8.1	turquoise
Manes.01G043200.v8.1	grey
Manes.01G043300.v8.1	grey
Manes.01G043500.v8.1	turquoise
Manes.01G043600.v8.1	grey
Manes.01G043700.v8.1	grey
Manes.01G043800.v8.1	grey
Manes.01G043900.v8.1	yellow
Manes.01G044100.v8.1	grey
Manes.01G044200.v8.1	grey
Manes.01G044400.v8.1	turquoise
Manes.01G044600.v8.1	yellow
Manes.01G044700.v8.1	magenta
Manes.01G044801.v8.1	turquoise
Manes.01G045000.v8.1	blue
Manes.01G050300.v8.1	grey
Manes.01G050400.v8.1	grey
Manes.01G050500.v8.1	turquoise
Manes.01G050600.v8.1	grey
Manes.01G050700.v8.1	turquoise
Manes.01G050733.v8.1	grey
Manes.01G050900.v8.1	grey
Manes.01G051000.v8.1	grey
Manes.01G051400.v8.1	turquoise
Manes.01G051500.v8.1	blue
Manes.01G051530.v8.1	magenta
Manes.01G051545.v8.1	turquoise
Manes.01G048100.v8.1	turquoise
Manes.01G048400.v8.1	blue
Manes.01G048766.v8.1	turquoise
Manes.01G048600.v8.1	grey
Manes.01G046700.v8.1	grey
Manes.01G046200.v8.1	grey
Manes.01G046100.v8.1	grey
Manes.01G045900.v8.1	grey
Manes.01G045700.v8.1	grey
Manes.01G045650.v8.1	blue
Manes.01G045600.v8.1	turquoise
Manes.01G045560.v8.1	brown
Manes.01G048000.v8.1	turquoise
Manes.01G047900.v8.1	yellow
Manes.01G047820.v8.1	turquoise
Manes.01G048900.v8.1	turquoise
Manes.01G049100.v8.1	blue
Manes.01G049300.v8.1	grey
Manes.01G049315.v8.1	grey
Manes.01G049330.v8.1	grey
Manes.01G049360.v8.1	turquoise
Manes.01G049375.v8.1	turquoise
Manes.01G049465.v8.1	turquoise
Manes.01G049601.v8.1	blue
Manes.01G049616.v8.1	brown
Manes.01G049631.v8.1	grey
Manes.01G046800.v8.1	turquoise
Manes.01G047000.v8.1	grey
Manes.01G047100.v8.1	grey
Manes.01G047200.v8.1	midnightblue
Manes.01G047215.v8.1	grey
Manes.01G047400.v8.1	grey
Manes.01G045500.v8.1	grey
Manes.01G045515.v8.1	turquoise
Manes.01G045300.v8.1	brown
Manes.01G045165.v8.1	turquoise
Manes.01G045195.v8.1	grey
Manes.01G045210.v8.1	grey
Manes.01G049700.v8.1	turquoise
Manes.01G050200.v8.1	blue
Manes.01G052400.v8.1	grey
Manes.01G052500.v8.1	grey
Manes.01G052600.v8.1	grey
Manes.01G056204.v8.1	turquoise
Manes.01G051600.v8.1	grey
Manes.01G051700.v8.1	blue
Manes.01G051800.v8.1	grey
Manes.01G051900.v8.1	greenyellow
Manes.01G052100.v8.1	turquoise
Manes.01G052104.v8.1	yellow
Manes.01G052108.v8.1	blue
Manes.01G052112.v8.1	turquoise
Manes.01G049500.v8.1	turquoise
Manes.01G053000.v8.1	green
Manes.01G053100.v8.1	grey
Manes.01G053200.v8.1	grey
Manes.01G053300.v8.1	green
Manes.01G053600.v8.1	turquoise
Manes.01G053700.v8.1	turquoise
Manes.01G053800.v8.1	grey
Manes.01G054400.v8.1	brown
Manes.01G054600.v8.1	turquoise
Manes.01G054800.v8.1	brown
Manes.01G054900.v8.1	turquoise
Manes.01G055300.v8.1	turquoise
Manes.01G055400.v8.1	turquoise
