"sourceNode","targetNode","bicor","shared_name","source_class","target_class","interaction_class","cor_direction"
"Manes.01G001200","Manes.01G001200",1,"Manes.01G001200 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.01G023200","Manes.01G001200",0.236288926132569,"Manes.01G023200 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G026700","Manes.01G001200",0.085630359391424,"Manes.01G026700 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G069000","Manes.01G001200",0.157242574479311,"Manes.01G069000 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.01G076500","Manes.01G001200",0.217848080590949,"Manes.01G076500 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G083600","Manes.01G001200",0.250146518659824,"Manes.01G083600 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G091700","Manes.01G001200",-0.0767266708629376,"Manes.01G091700 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.01G116600","Manes.01G001200",0.316076574009721,"Manes.01G116600 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G123000","Manes.01G001200",0.121250914261618,"Manes.01G123000 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G124200","Manes.01G001200",0.228937838463514,"Manes.01G124200 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.01G129000","Manes.01G001200",0.268080155418529,"Manes.01G129000 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G134800","Manes.01G001200",0.263203550144622,"Manes.01G134800 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G153600","Manes.01G001200",-0.000912581582385239,"Manes.01G153600 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.01G157500","Manes.01G001200",-0.0733923037529151,"Manes.01G157500 (interacts with) Manes.01G001200","carot","carot",NA,"-"
"Manes.01G162300","Manes.01G001200",0.388721245680408,"Manes.01G162300 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G165700","Manes.01G001200",-0.375395545999763,"Manes.01G165700 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.01G173500","Manes.01G001200",-0.0556203150526927,"Manes.01G173500 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.01G176400","Manes.01G001200",0.129657432231627,"Manes.01G176400 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.01G184000","Manes.01G001200",0.440458643468029,"Manes.01G184000 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G194500","Manes.01G001200",0.425301268134762,"Manes.01G194500 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G200300","Manes.01G001200",-0.280993352954059,"Manes.01G200300 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.01G221900","Manes.01G001200",-0.276009827010752,"Manes.01G221900 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.01G236700","Manes.01G001200",0.250716985465568,"Manes.01G236700 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G239900","Manes.01G001200",0.11413705723438,"Manes.01G239900 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G263700","Manes.01G001200",0.181868525511976,"Manes.01G263700 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.01G270900","Manes.01G001200",0.333208578981944,"Manes.01G270900 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G001000","Manes.01G001200",0.0746531167888386,"Manes.02G001000 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G006200","Manes.01G001200",0.29663059776035,"Manes.02G006200 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G017610","Manes.01G001200",0.0570780217196968,"Manes.02G017610 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.02G030900","Manes.01G001200",0.261981581403082,"Manes.02G030900 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.02G035200","Manes.01G001200",0.214695308023381,"Manes.02G035200 (interacts with) Manes.01G001200","carot","carot",NA,"+"
"Manes.02G035900","Manes.01G001200",0.242837112256465,"Manes.02G035900 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G038200","Manes.01G001200",-0.229862214476079,"Manes.02G038200 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.02G046733","Manes.01G001200",-0.0988368592505621,"Manes.02G046733 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
"Manes.02G052200","Manes.01G001200",0.331673577934897,"Manes.02G052200 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G052240","Manes.01G001200",0.34640625539067,"Manes.02G052240 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G052280","Manes.01G001200",0.230558528988055,"Manes.02G052280 (interacts with) Manes.01G001200","carb","carot","cross-class","+"
"Manes.02G052360","Manes.01G001200",-0.0846652507960189,"Manes.02G052360 (interacts with) Manes.01G001200","carb","carot","cross-class","-"
