"sourceNode","targetNode","bicor","shared_name","cor_direction","source_class","target_class","interaction_class"
"Manes.01G000155","Manes.01G000155",1,"Manes.01G000155 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G009800","Manes.01G000155",0.423771707149662,"Manes.01G009800 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G022400","Manes.01G000155",0.512768785852942,"Manes.01G022400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G034800","Manes.01G000155",0.520549146232492,"Manes.01G034800 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G038000","Manes.01G000155",0.372971114310754,"Manes.01G038000 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G043300","Manes.01G000155",0.558679526324691,"Manes.01G043300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G044200","Manes.01G000155",0.263266016075233,"Manes.01G044200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G051530","Manes.01G000155",0.369085880180392,"Manes.01G051530 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G052500","Manes.01G000155",0.577061799146599,"Manes.01G052500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G064900","Manes.01G000155",-0.244808739057368,"Manes.01G064900 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.01G070300","Manes.01G000155",0.493282758588636,"Manes.01G070300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G080400","Manes.01G000155",0.4375689199471,"Manes.01G080400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G085300","Manes.01G000155",-0.195082438290566,"Manes.01G085300 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.01G087400","Manes.01G000155",0.441773009761072,"Manes.01G087400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G093700","Manes.01G000155",0.354339505717596,"Manes.01G093700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G124801","Manes.01G000155",0.504612759545025,"Manes.01G124801 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G124900","Manes.01G000155",0.374937791881419,"Manes.01G124900 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G136850","Manes.01G000155",0.375268392773142,"Manes.01G136850 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G149000","Manes.01G000155",-0.285120812504414,"Manes.01G149000 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.01G150600","Manes.01G000155",0.5995144776761,"Manes.01G150600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.01G164200","Manes.01G000155",-0.381748328935815,"Manes.01G164200 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.01G190700","Manes.01G000155",-0.214324913876315,"Manes.01G190700 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.01G191500","Manes.01G000155",0.361245592090723,"Manes.01G191500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G011000","Manes.01G000155",0.487154368843957,"Manes.02G011000 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G019700","Manes.01G000155",0.216745944264888,"Manes.02G019700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G030000","Manes.01G000155",0.342352087403406,"Manes.02G030000 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G032685","Manes.01G000155",0.427178502613757,"Manes.02G032685 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G033500","Manes.01G000155",0.445611804962934,"Manes.02G033500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G034600","Manes.01G000155",0.491176632318333,"Manes.02G034600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G034700","Manes.01G000155",0.287936077991046,"Manes.02G034700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G034900","Manes.01G000155",0.543216824253926,"Manes.02G034900 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G035300","Manes.01G000155",-0.409935553640159,"Manes.02G035300 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.02G044200","Manes.01G000155",0.405342207036668,"Manes.02G044200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G056900","Manes.01G000155",0.286446294913757,"Manes.02G056900 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G057200","Manes.01G000155",0.358225226834187,"Manes.02G057200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G057300","Manes.01G000155",0.127975051325638,"Manes.02G057300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G058400","Manes.01G000155",0.409025320965682,"Manes.02G058400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G064500","Manes.01G000155",0.259113825645565,"Manes.02G064500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G064600","Manes.01G000155",0.47852109347013,"Manes.02G064600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G068800","Manes.01G000155",0.370118039428079,"Manes.02G068800 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G069700","Manes.01G000155",-0.189914011464406,"Manes.02G069700 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.02G070700","Manes.01G000155",0.302155366536391,"Manes.02G070700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G110200","Manes.01G000155",-0.375865791012495,"Manes.02G110200 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.02G111300","Manes.01G000155",-0.345354837992567,"Manes.02G111300 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.02G118300","Manes.01G000155",0.300022450094781,"Manes.02G118300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G125400","Manes.01G000155",0.280264257703206,"Manes.02G125400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G134700","Manes.01G000155",0.578817045840381,"Manes.02G134700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G157200","Manes.01G000155",0.361757157228942,"Manes.02G157200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G160000","Manes.01G000155",-0.450282668190168,"Manes.02G160000 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.02G164300","Manes.01G000155",-0.417796134070272,"Manes.02G164300 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.02G169400","Manes.01G000155",0.301896055882324,"Manes.02G169400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G177900","Manes.01G000155",0.435097142304168,"Manes.02G177900 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G187600","Manes.01G000155",0.43366103664937,"Manes.02G187600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.02G202900","Manes.01G000155",0.537178147136494,"Manes.02G202900 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G020500","Manes.01G000155",0.318185791534527,"Manes.03G020500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G021100","Manes.01G000155",0.359368060741045,"Manes.03G021100 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G022200","Manes.01G000155",0.253952309402424,"Manes.03G022200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G045200","Manes.01G000155",0.422545930343469,"Manes.03G045200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G074800","Manes.01G000155",-0.17737311521219,"Manes.03G074800 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.03G086600","Manes.01G000155",0.315362796433321,"Manes.03G086600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G089500","Manes.01G000155",0.285849272106076,"Manes.03G089500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G092500","Manes.01G000155",0.378358510707823,"Manes.03G092500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G111200","Manes.01G000155",0.520963484071264,"Manes.03G111200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G115300","Manes.01G000155",0.488439705852347,"Manes.03G115300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G132100","Manes.01G000155",0.295850981261382,"Manes.03G132100 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G150800","Manes.01G000155",0.342919279656899,"Manes.03G150800 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G158300","Manes.01G000155",0.386898170764647,"Manes.03G158300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G173700","Manes.01G000155",0.640104094012215,"Manes.03G173700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G175800","Manes.01G000155",-0.389493929021765,"Manes.03G175800 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.03G178500","Manes.01G000155",-0.343117114561368,"Manes.03G178500 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.03G194800","Manes.01G000155",0.502196295826614,"Manes.03G194800 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G199300","Manes.01G000155",0.31924266172854,"Manes.03G199300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G206400","Manes.01G000155",0.391903199982502,"Manes.03G206400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.03G207600","Manes.01G000155",0.501711156359788,"Manes.03G207600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G033900","Manes.01G000155",0.296649022927097,"Manes.04G033900 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G034100","Manes.01G000155",0.585582564942183,"Manes.04G034100 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G059500","Manes.01G000155",-0.0945192819150109,"Manes.04G059500 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.04G064632","Manes.01G000155",0.253987239214752,"Manes.04G064632 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G074700","Manes.01G000155",0.633350988888656,"Manes.04G074700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G093900","Manes.01G000155",-0.212406857879917,"Manes.04G093900 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.04G094400","Manes.01G000155",0.495309663268331,"Manes.04G094400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G103400","Manes.01G000155",0.34377339717154,"Manes.04G103400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G114400","Manes.01G000155",0.447595394567437,"Manes.04G114400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G122700","Manes.01G000155",0.210141891256359,"Manes.04G122700 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G124200","Manes.01G000155",0.38977934999763,"Manes.04G124200 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G124300","Manes.01G000155",0.485361386040206,"Manes.04G124300 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G124400","Manes.01G000155",0.400118873785362,"Manes.04G124400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G126400","Manes.01G000155",0.152292314698059,"Manes.04G126400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G141400","Manes.01G000155",0.393172616401841,"Manes.04G141400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G149500","Manes.01G000155",0.514520760254891,"Manes.04G149500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.04G155400","Manes.01G000155",0.517228270152682,"Manes.04G155400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G056701","Manes.01G000155",0.247645994924749,"Manes.05G056701 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G064500","Manes.01G000155",0.631451347978081,"Manes.05G064500 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G064600","Manes.01G000155",0.287344221410331,"Manes.05G064600 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G080800","Manes.01G000155",0.693792012023438,"Manes.05G080800 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G087000","Manes.01G000155",0.428774574474964,"Manes.05G087000 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G113300","Manes.01G000155",-0.441833275924121,"Manes.05G113300 (interacts with) Manes.01G000155","-",NA,NA,NA
"Manes.05G136400","Manes.01G000155",0.508073635483725,"Manes.05G136400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G140400","Manes.01G000155",0.630979605179155,"Manes.05G140400 (interacts with) Manes.01G000155","+",NA,NA,NA
"Manes.05G153800","Manes.01G000155",0.369447134539945,"Manes.05G153800 (interacts with) Manes.01G000155","+",NA,NA,NA
