"","ID","Description.x","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description.y"
"1","GO:0006073","GO:0006073","3/284","27/20430",0.111111111111111,7.99295774647887,4.31702020047303,0.00607404805093634,0.171758685858508,0.159035820239359,"Manes.11G151500/Manes.12G118804/Manes.15G192300",3,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast"
"2","GO:0010411","GO:0010411","3/284","27/20430",0.111111111111111,7.99295774647887,4.31702020047303,0.00607404805093634,0.171758685858508,0.159035820239359,"Manes.11G151500/Manes.12G118804/Manes.15G192300",3,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast"
"3","GO:0016762","GO:0016762","3/284","27/20430",0.111111111111111,7.99295774647887,4.31702020047303,0.00607404805093634,0.171758685858508,0.159035820239359,"Manes.11G151500/Manes.12G118804/Manes.15G192300",3,"hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast"
"4","GO:0003950","GO:0003950","2/284","10/20430",0.2,14.387323943662,5.02752470108977,0.00805019914045999,0.171758685858508,0.159035820239359,"Manes.12G028100/Manes.13G029600",2,"NAD+-protein poly-ADP-ribosyltransferase activity;DNA binding; NAD+-protein poly-ADP-ribosyltransferase activity; nucleus; zinc ion binding; NAD binding;NAD+-protein poly-ADP-ribosyltransferase activity; nucleus"
"5","GO:0005509","GO:0005509","8/284","207/20430",0.0386473429951691,2.78015921616656,3.0563954062103,0.00858594957302015,0.171758685858508,0.159035820239359,"Manes.02G169400/Manes.08G134300/Manes.09G009100/Manes.12G099300/Manes.13G135300/Manes.16G121600/Manes.18G036400/Manes.18G036500",8,"calcium ion binding;calcium ion binding; regulation of DNA-templated transcription;protein kinase activity; protein tyrosine kinase activity; calcium ion binding; ATP binding; protein phosphorylation;peroxidase activity; calcium ion binding; membrane; oxidoreductase activity; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor;catalytic activity; phospholipase D activity; calcium ion binding; protein binding; membrane; phosphatidylcholine metabolic process;calcium ion binding; photosystem II; photosystem II oxygen evolving complex; photosynthesis; extrinsic component of membrane;calcium ion binding; protein binding;calcium ion binding; metabolic process; hexosyltransferase activity;catalytic activity; alpha-amylase activity; calcium ion binding; carbohydrate metabolic process; cation binding;GTPase activity; calcium ion binding; GTP binding; intracellular anatomical structure; mitochondrion; mitochondrion organization; small GTPase-mediated signal transduction; protein transport;protein kinase activity; protein tyrosine kinase activity; calcium ion binding; ATP binding; protein phosphorylation; membrane; phosphotransferase activity, alcohol group as acceptor;alpha,alpha-trehalase activity; calcium ion binding; trehalose metabolic process;protein kinase activity; protein tyrosine kinase activity; calcium ion binding; protein binding; ATP binding; protein phosphorylation; polysaccharide binding;protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; calcium ion binding; protein binding; ATP binding; protein phosphorylation; polysaccharide binding;protein kinase activity; protein tyrosine kinase activity; calcium ion binding; protein binding; ATP binding; protein phosphorylation;protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; calcium ion binding; protein binding; ATP binding; protein phosphorylation;calcium ion binding; guanosine tetraphosphate metabolic process;phospholipase A2 activity; calcium ion binding; lipid catabolic process;mannosyl-oligosaccharide 1,2-alpha-mannosidase activity; calcium ion binding; membrane;calcium ion binding; protein binding; GTP binding;protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; calcium ion binding; ATP binding; protein phosphorylation; polysaccharide binding;protein kinase activity; protein tyrosine kinase activity; calcium ion binding; ATP binding; protein phosphorylation; polysaccharide binding;calcium ion binding; calcium-dependent phospholipid binding;calcium ion binding; metabolic process; acyltransferase activity;calcium ion binding; membrane;calcium ion binding; transmembrane transport;calcium ion binding; endoplasmic reticulum; protein folding; unfolded protein binding;phosphatidylserine decarboxylase activity; calcium ion binding; protein binding; phospholipid biosynthetic process;potassium channel activity; calcium ion binding; membrane; potassium ion transmembrane transport;peroxidase activity; calcium ion binding; membrane; NAD(P)H oxidase H2O2-forming activity; oxidoreductase activity; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor;GTPase activity; calcium ion binding; GTP binding; intracellular anatomical structure; mitochondrion; mitochondrion organization; signal transduction; small GTPase-mediated signal transduction; protein transport; membrane;calcium ion binding; photosystem II; photosystem II oxygen evolving complex; photosynthesis; extrinsic component of membrane; photosystem II stabilization;monoatomic ion channel activity; calcium ion binding; monoatomic ion transport; membrane; transmembrane transport;calcium ion binding; oxidoreductase activity;metalloendopeptidase activity; calcium ion binding; proteolysis; metallopeptidase activity; zinc ion binding; extracellular matrix"
"6","GO:0042546","GO:0042546","3/284","32/20430",0.09375,6.74405809859155,3.86089800487671,0.00978842802578861,0.171758685858508,0.159035820239359,"Manes.11G151500/Manes.12G118804/Manes.15G192300",3,"galactoside 2-alpha-L-fucosyltransferase activity; membrane; cell wall biogenesis;hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast"
"7","GO:0016209","GO:0016209","2/284","12/20430",0.166666666666667,11.9894366197183,4.52113797918147,0.0115927127600158,0.171758685858508,0.159035820239359,"Manes.12G027700/Manes.12G027800",2,"glutathione peroxidase activity; response to oxidative stress; antioxidant activity; oxidoreductase activity;antioxidant activity; oxidoreductase activity;antioxidant activity; oxidoreductase activity; peroxiredoxin activity;antioxidant activity; oxidoreductase activity; copper ion binding; mitochondrial inner membrane; copper ion transport; intracellular copper ion homeostasis; respiratory chain complex IV assembly;antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity"
"8","GO:0043565","GO:0043565","8/284","222/20430",0.036036036036036,2.59231062047963,2.83224567218176,0.0127228656191487,0.171758685858508,0.159035820239359,"Manes.01G191500/Manes.03G020500/Manes.03G206400/Manes.05G184800/Manes.08G020700/Manes.09G059028/Manes.18G049100/Manes.18G054150",8,"DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding;transcription initiation at RNA polymerase II promoter; sequence-specific DNA binding;sequence-specific DNA binding;DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding;DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding;DNA-templated transcription; sequence-specific DNA binding;DNA binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding;DNA-binding transcription factor activity; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding;DNA binding; DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding; positive regulation of DNA-templated transcription;DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; response to heat; sequence-specific DNA binding;DNA-binding transcription factor activity; DNA-templated transcription; regulation of DNA-templated transcription; sequence-specific DNA binding;protein kinase activity; protein tyrosine kinase activity; ATP binding; DNA-templated transcription; protein phosphorylation; sequence-specific DNA binding;DNA binding; DNA-binding transcription factor activity; protein binding; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding;DNA-binding transcription factor activity; protein binding; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding;DNA-binding transcription factor activity; nucleus; asymmetric cell division; radial pattern formation; sequence-specific DNA binding; leaf development;DNA-binding transcription factor activity; nucleus; DNA-templated transcription; regulation of DNA-templated transcription; sequence-specific DNA binding"
"9","GO:0043531","GO:0043531","7/284","187/20430",0.0374331550802139,2.69281464186187,2.76109329869052,0.0159230707766717,0.19107684932006,0.176923008629685,"Manes.10G088500/Manes.10G141533/Manes.10G141601/Manes.10G141651/Manes.10G141700/Manes.10G141900/Manes.10G142200",7,"ADP binding;protein binding; signal transduction; ADP binding;protein binding; ADP binding;DNA binding; protein binding; ADP binding;protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation; ADP binding;proteolysis; cysteine-type peptidase activity; ADP binding;protein binding; ADP binding; ATP binding"
"10","GO:0009607","GO:0009607","2/284","16/20430",0.125,8.99207746478873,3.79702914133609,0.0203222575596653,0.196082962921515,0.181558299001403,"Manes.03G115300/Manes.15G130600",2,"defense response; response to biotic stimulus"
