"sourceNode","targetNode","bicor","shared_name","cor_direction"
"Manes.01G001200","Manes.01G001200",1,"Manes.01G001200 (interacts with) Manes.01G001200","+"
"Manes.01G023200","Manes.01G001200",0.168460136441753,"Manes.01G023200 (interacts with) Manes.01G001200","+"
"Manes.01G026700","Manes.01G001200",0.137189425973884,"Manes.01G026700 (interacts with) Manes.01G001200","+"
"Manes.01G069000","Manes.01G001200",-0.113730158564707,"Manes.01G069000 (interacts with) Manes.01G001200","-"
"Manes.01G076500","Manes.01G001200",0.070920805240527,"Manes.01G076500 (interacts with) Manes.01G001200","+"
"Manes.01G083600","Manes.01G001200",0.122554596796353,"Manes.01G083600 (interacts with) Manes.01G001200","+"
"Manes.01G091700","Manes.01G001200",-0.034773471639579,"Manes.01G091700 (interacts with) Manes.01G001200","-"
"Manes.01G116600","Manes.01G001200",0.13954366332409,"Manes.01G116600 (interacts with) Manes.01G001200","+"
"Manes.01G123000","Manes.01G001200",0.116101377666058,"Manes.01G123000 (interacts with) Manes.01G001200","+"
"Manes.01G124200","Manes.01G001200",-0.138069182774067,"Manes.01G124200 (interacts with) Manes.01G001200","-"
"Manes.01G129000","Manes.01G001200",-0.0201655426938033,"Manes.01G129000 (interacts with) Manes.01G001200","-"
"Manes.01G134800","Manes.01G001200",0.271029222129204,"Manes.01G134800 (interacts with) Manes.01G001200","+"
"Manes.01G153600","Manes.01G001200",0.1349489778234,"Manes.01G153600 (interacts with) Manes.01G001200","+"
"Manes.01G157500","Manes.01G001200",0.00117226254489589,"Manes.01G157500 (interacts with) Manes.01G001200","+"
"Manes.01G162300","Manes.01G001200",0.24278799080125,"Manes.01G162300 (interacts with) Manes.01G001200","+"
"Manes.01G165700","Manes.01G001200",-0.195550595971297,"Manes.01G165700 (interacts with) Manes.01G001200","-"
"Manes.01G173500","Manes.01G001200",-0.0963013144822172,"Manes.01G173500 (interacts with) Manes.01G001200","-"
"Manes.01G176400","Manes.01G001200",0.221948117343927,"Manes.01G176400 (interacts with) Manes.01G001200","+"
"Manes.01G184000","Manes.01G001200",0.148013587760393,"Manes.01G184000 (interacts with) Manes.01G001200","+"
"Manes.01G194500","Manes.01G001200",0.0796608371724899,"Manes.01G194500 (interacts with) Manes.01G001200","+"
"Manes.01G200300","Manes.01G001200",-0.150943545064396,"Manes.01G200300 (interacts with) Manes.01G001200","-"
"Manes.01G221900","Manes.01G001200",-0.042636962762947,"Manes.01G221900 (interacts with) Manes.01G001200","-"
"Manes.01G236700","Manes.01G001200",0.162641723145948,"Manes.01G236700 (interacts with) Manes.01G001200","+"
"Manes.01G239900","Manes.01G001200",0.028228515014988,"Manes.01G239900 (interacts with) Manes.01G001200","+"
"Manes.01G263700","Manes.01G001200",0.0935495588596741,"Manes.01G263700 (interacts with) Manes.01G001200","+"
"Manes.01G270900","Manes.01G001200",0.11327138982816,"Manes.01G270900 (interacts with) Manes.01G001200","+"
"Manes.02G001000","Manes.01G001200",0.150427727781976,"Manes.02G001000 (interacts with) Manes.01G001200","+"
"Manes.02G006200","Manes.01G001200",0.067259729565821,"Manes.02G006200 (interacts with) Manes.01G001200","+"
"Manes.02G017610","Manes.01G001200",0.101876328480657,"Manes.02G017610 (interacts with) Manes.01G001200","+"
"Manes.02G030900","Manes.01G001200",0.0912678474808133,"Manes.02G030900 (interacts with) Manes.01G001200","+"
"Manes.02G035200","Manes.01G001200",0.103350065761274,"Manes.02G035200 (interacts with) Manes.01G001200","+"
"Manes.02G035900","Manes.01G001200",0.00707472906471021,"Manes.02G035900 (interacts with) Manes.01G001200","+"
"Manes.02G038200","Manes.01G001200",-0.00954126436231835,"Manes.02G038200 (interacts with) Manes.01G001200","-"
"Manes.02G046733","Manes.01G001200",0.192539238336332,"Manes.02G046733 (interacts with) Manes.01G001200","+"
"Manes.02G052200","Manes.01G001200",-0.158709271233382,"Manes.02G052200 (interacts with) Manes.01G001200","-"
"Manes.02G052240","Manes.01G001200",0.200995025278298,"Manes.02G052240 (interacts with) Manes.01G001200","+"
"Manes.02G052280","Manes.01G001200",0.0254637781327675,"Manes.02G052280 (interacts with) Manes.01G001200","+"
"Manes.02G052360","Manes.01G001200",-0.175494925115071,"Manes.02G052360 (interacts with) Manes.01G001200","-"
"Manes.02G052520","Manes.01G001200",0.0642703781967756,"Manes.02G052520 (interacts with) Manes.01G001200","+"
"Manes.02G052600","Manes.01G001200",0.0883359441984432,"Manes.02G052600 (interacts with) Manes.01G001200","+"
"Manes.02G064400","Manes.01G001200",-0.0910528348884617,"Manes.02G064400 (interacts with) Manes.01G001200","-"
"Manes.02G068600","Manes.01G001200",0.277499787133853,"Manes.02G068600 (interacts with) Manes.01G001200","+"
"Manes.02G080600","Manes.01G001200",-0.356109748889999,"Manes.02G080600 (interacts with) Manes.01G001200","-"
"Manes.02G081700","Manes.01G001200",-0.0352728900558299,"Manes.02G081700 (interacts with) Manes.01G001200","-"
"Manes.02G082800","Manes.01G001200",0.311728344045748,"Manes.02G082800 (interacts with) Manes.01G001200","+"
"Manes.02G086900","Manes.01G001200",-0.0743454163955027,"Manes.02G086900 (interacts with) Manes.01G001200","-"
"Manes.02G090600","Manes.01G001200",0.0306822913696089,"Manes.02G090600 (interacts with) Manes.01G001200","+"
"Manes.02G093200","Manes.01G001200",-0.0205384399522427,"Manes.02G093200 (interacts with) Manes.01G001200","-"
"Manes.02G101600","Manes.01G001200",0.168475968225441,"Manes.02G101600 (interacts with) Manes.01G001200","+"
"Manes.02G110200","Manes.01G001200",0.0697020774222247,"Manes.02G110200 (interacts with) Manes.01G001200","+"
"Manes.02G112500","Manes.01G001200",-0.0077167653953819,"Manes.02G112500 (interacts with) Manes.01G001200","-"
"Manes.02G116900","Manes.01G001200",0.146051633607967,"Manes.02G116900 (interacts with) Manes.01G001200","+"
"Manes.02G120500","Manes.01G001200",0.228861928952778,"Manes.02G120500 (interacts with) Manes.01G001200","+"
"Manes.02G122500","Manes.01G001200",0.269713923994549,"Manes.02G122500 (interacts with) Manes.01G001200","+"
"Manes.02G132800","Manes.01G001200",0.199710162465957,"Manes.02G132800 (interacts with) Manes.01G001200","+"
"Manes.02G134400","Manes.01G001200",0.262958250206596,"Manes.02G134400 (interacts with) Manes.01G001200","+"
"Manes.02G146400","Manes.01G001200",0.0119848542821166,"Manes.02G146400 (interacts with) Manes.01G001200","+"
"Manes.02G154900","Manes.01G001200",0.379884345272911,"Manes.02G154900 (interacts with) Manes.01G001200","+"
"Manes.02G190800","Manes.01G001200",0.208867099130866,"Manes.02G190800 (interacts with) Manes.01G001200","+"
"Manes.02G194100","Manes.01G001200",0.173963377094177,"Manes.02G194100 (interacts with) Manes.01G001200","+"
"Manes.02G226001","Manes.01G001200",-0.0699140414790245,"Manes.02G226001 (interacts with) Manes.01G001200","-"
"Manes.03G017900","Manes.01G001200",0.0114646072614048,"Manes.03G017900 (interacts with) Manes.01G001200","+"
"Manes.03G026700","Manes.01G001200",-0.191823543104984,"Manes.03G026700 (interacts with) Manes.01G001200","-"
"Manes.03G029300","Manes.01G001200",-0.102430760013652,"Manes.03G029300 (interacts with) Manes.01G001200","-"
"Manes.03G044400","Manes.01G001200",0.0472229693786709,"Manes.03G044400 (interacts with) Manes.01G001200","+"
"Manes.03G049200","Manes.01G001200",0.202015350523177,"Manes.03G049200 (interacts with) Manes.01G001200","+"
"Manes.03G058700","Manes.01G001200",0.236911953236153,"Manes.03G058700 (interacts with) Manes.01G001200","+"
"Manes.03G096600","Manes.01G001200",0.1067797203089,"Manes.03G096600 (interacts with) Manes.01G001200","+"
"Manes.03G083500","Manes.01G001200",-0.27416683479184,"Manes.03G083500 (interacts with) Manes.01G001200","-"
"Manes.03G083900","Manes.01G001200",0.0649380154331913,"Manes.03G083900 (interacts with) Manes.01G001200","+"
"Manes.03G103200","Manes.01G001200",0.251017889769747,"Manes.03G103200 (interacts with) Manes.01G001200","+"
"Manes.03G129800","Manes.01G001200",-0.195796071672015,"Manes.03G129800 (interacts with) Manes.01G001200","-"
"Manes.03G133300","Manes.01G001200",0.129625440386408,"Manes.03G133300 (interacts with) Manes.01G001200","+"
