fromNode	toNode	weight	direction	fromAltName	toAltName
Manes.01G001800	Manes.01G026300	0.016969741434832	undirected	NA	NA
Manes.01G001800	Manes.01G026800	0.0212786027065941	undirected	NA	NA
Manes.01G001800	Manes.01G048766	0.0150227308204573	undirected	NA	NA
Manes.01G001800	Manes.01G049360	0.0179736471547774	undirected	NA	NA
Manes.01G001800	Manes.01G056000	0.0211634177839459	undirected	NA	NA
Manes.01G001800	Manes.01G124200	0.0115104057380587	undirected	NA	NA
Manes.01G001800	Manes.01G141200	0.0146570108458639	undirected	NA	NA
Manes.01G001800	Manes.01G165700	0.0108923389557268	undirected	NA	NA
Manes.01G001800	Manes.01G173700	0.0308702520887063	undirected	NA	NA
Manes.01G001800	Manes.01G184000	0.0607759482839186	undirected	NA	NA
Manes.01G001800	Manes.01G198900	0.0357689542651338	undirected	NA	NA
Manes.01G001800	Manes.01G221700	0.0362860591928001	undirected	NA	NA
Manes.01G001800	Manes.01G259900	0.0283714113773934	undirected	NA	NA
Manes.01G001800	Manes.01G262300	0.0113923083912782	undirected	NA	NA
Manes.01G001800	Manes.02G006200	0.011474479548395	undirected	NA	NA
Manes.01G001800	Manes.02G009300	0.0304897254897468	undirected	NA	NA
Manes.01G001800	Manes.02G010600	0.0267149122513095	undirected	NA	NA
Manes.01G001800	Manes.02G012900	0.0125685493099659	undirected	NA	NA
Manes.01G001800	Manes.02G052200	0.0345309518773478	undirected	NA	NA
Manes.01G001800	Manes.02G052240	0.0125841823770573	undirected	NA	NA
Manes.01G001800	Manes.02G052280	0.0136137161234683	undirected	NA	NA
Manes.01G001800	Manes.02G058600	0.0103304049894235	undirected	NA	NA
Manes.01G001800	Manes.02G082800	0.030987960957946	undirected	NA	NA
Manes.01G001800	Manes.02G085400	0.0197037334513339	undirected	NA	NA
Manes.01G001800	Manes.02G099600	0.0188044754597156	undirected	NA	NA
Manes.01G001800	Manes.02G137601	0.0116219840815766	undirected	NA	NA
Manes.01G001800	Manes.02G137701	0.0203513988152408	undirected	NA	NA
Manes.01G001800	Manes.02G142800	0.0491261814491535	undirected	NA	NA
Manes.01G001800	Manes.02G178700	0.0258943045060739	undirected	NA	NA
Manes.01G001800	Manes.02G220200	0.0484545388344513	undirected	NA	NA
Manes.01G001800	Manes.02G223400	0.0354862077791721	undirected	NA	NA
Manes.01G001800	Manes.03G033400	0.0125001254912162	undirected	NA	NA
Manes.01G001800	Manes.03G043600	0.0180660733517184	undirected	NA	NA
Manes.01G001800	Manes.03G045700	0.0131863903855212	undirected	NA	NA
Manes.01G001800	Manes.03G096600	0.0125321955501606	undirected	NA	NA
Manes.01G001800	Manes.03G090000	0.0136192866745806	undirected	NA	NA
Manes.01G001800	Manes.03G082900	0.044283990220293	undirected	NA	NA
Manes.01G001800	Manes.03G083900	0.0102669538150789	undirected	NA	NA
Manes.01G001800	Manes.03G079000	0.0150134602786383	undirected	NA	NA
Manes.01G001800	Manes.03G101900	0.0134523432608895	undirected	NA	NA
Manes.01G001800	Manes.03G122300	0.0202655923426698	undirected	NA	NA
Manes.01G001800	Manes.03G130500	0.0271114755327396	undirected	NA	NA
Manes.01G001800	Manes.03G143700	0.0119165251653202	undirected	NA	NA
Manes.01G001800	Manes.03G164100	0.0608237459735695	undirected	NA	NA
Manes.01G001800	Manes.03G191000	0.0214166254229286	undirected	NA	NA
Manes.01G001800	Manes.04G021700	0.0118248405827736	undirected	NA	NA
Manes.01G001800	Manes.04G032900	0.010759224475589	undirected	NA	NA
Manes.01G001800	Manes.04G058600	0.0111821854314723	undirected	NA	NA
Manes.01G001800	Manes.04G057600	0.0311287303380316	undirected	NA	NA
Manes.01G001800	Manes.05G037900	0.0250076302861165	undirected	NA	NA
Manes.01G001800	Manes.05G057700	0.0608425913633322	undirected	NA	NA
Manes.01G001800	Manes.05G062100	0.0586259680589399	undirected	NA	NA
Manes.01G001800	Manes.05G084900	0.0133239019125916	undirected	NA	NA
Manes.01G001800	Manes.05G087900	0.0287608919277591	undirected	NA	NA
Manes.01G001800	Manes.05G092000	0.010427129462047	undirected	NA	NA
Manes.01G001800	Manes.05G095000	0.0289675828069292	undirected	NA	NA
Manes.01G001800	Manes.05G133800	0.0148278794762218	undirected	NA	NA
Manes.01G001800	Manes.05G148800	0.0207605088020538	undirected	NA	NA
Manes.01G001800	Manes.05G164000	0.0321668776801104	undirected	NA	NA
Manes.01G001800	Manes.05G171200	0.0150724530445591	undirected	NA	NA
Manes.01G001800	Manes.05G185300	0.0231191061364069	undirected	NA	NA
Manes.01G001800	Manes.05G189800	0.0120226969450744	undirected	NA	NA
Manes.01G001800	Manes.06G016900	0.024321085666424	undirected	NA	NA
Manes.01G001800	Manes.06G020400	0.0128287875102594	undirected	NA	NA
Manes.01G001800	Manes.06G031000	0.010325943282055	undirected	NA	NA
Manes.01G001800	Manes.06G054100	0.0187486776330838	undirected	NA	NA
Manes.01G001800	Manes.06G063500	0.0358043201513023	undirected	NA	NA
Manes.01G001800	Manes.06G069100	0.0240274437948885	undirected	NA	NA
Manes.01G001800	Manes.06G081500	0.0188408835076254	undirected	NA	NA
Manes.01G001800	Manes.06G135800	0.0111010810636084	undirected	NA	NA
Manes.01G001800	Manes.06G136100	0.0106871677653371	undirected	NA	NA
Manes.01G001800	Manes.06G141300	0.0178164377183922	undirected	NA	NA
Manes.01G001800	Manes.06G155200	0.0111969063750659	undirected	NA	NA
Manes.01G001800	Manes.06G161400	0.0388646432513273	undirected	NA	NA
Manes.01G001800	Manes.07G001700	0.0133001019317831	undirected	NA	NA
Manes.01G001800	Manes.07G004200	0.0114583689744237	undirected	NA	NA
Manes.01G001800	Manes.07G058500	0.0314616764623681	undirected	NA	NA
Manes.01G001800	Manes.08G016300	0.0116054660915279	undirected	NA	NA
Manes.01G001800	Manes.08G022400	0.0144834437214578	undirected	NA	NA
Manes.01G001800	Manes.08G037100	0.0151406693938328	undirected	NA	NA
Manes.01G001800	Manes.08G052900	0.0112009490746699	undirected	NA	NA
Manes.01G001800	Manes.08G120500	0.0237224087107709	undirected	NA	NA
Manes.01G001800	Manes.08G142800	0.0115680849160917	undirected	NA	NA
Manes.01G001800	Manes.08G162200	0.0122669735039076	undirected	NA	NA
Manes.01G001800	Manes.08G165700	0.0153353449663365	undirected	NA	NA
Manes.01G001800	Manes.09G010000	0.0224964934100963	undirected	NA	NA
Manes.01G001800	Manes.09G052300	0.0127135618216241	undirected	NA	NA
Manes.01G001800	Manes.09G058128	0.0127396779366664	undirected	NA	NA
Manes.01G001800	Manes.09G064800	0.0175657557865085	undirected	NA	NA
Manes.01G001800	Manes.09G079600	0.0159999820150183	undirected	NA	NA
Manes.01G001800	Manes.09G079657	0.0192817755087234	undirected	NA	NA
Manes.01G001800	Manes.09G085100	0.0108191124452476	undirected	NA	NA
Manes.01G001800	Manes.09G128800	0.0238483718904889	undirected	NA	NA
Manes.01G001800	Manes.09G145400	0.0255537207901745	undirected	NA	NA
Manes.01G001800	Manes.09G154000	0.0167363637983501	undirected	NA	NA
Manes.01G001800	Manes.09G155900	0.0396186146117832	undirected	NA	NA
Manes.01G001800	Manes.09G183700	0.0587135460587481	undirected	NA	NA
Manes.01G001800	Manes.10G037700	0.0194280019431672	undirected	NA	NA
Manes.01G001800	Manes.10G149300	0.0176571070097183	undirected	NA	NA
Manes.01G001800	Manes.10G149400	0.0122368501652108	undirected	NA	NA
Manes.01G001800	Manes.11G034000	0.0172434939990749	undirected	NA	NA
Manes.01G001800	Manes.11G053700	0.011381850323231	undirected	NA	NA
Manes.01G001800	Manes.11G085500	0.0229293536203914	undirected	NA	NA
Manes.01G001800	Manes.11G132500	0.0374742630470227	undirected	NA	NA
Manes.01G001800	Manes.11G143900	0.0284915548558823	undirected	NA	NA
Manes.01G001800	Manes.12G001200	0.0101161632376443	undirected	NA	NA
Manes.01G001800	Manes.12G027100	0.0171714589050948	undirected	NA	NA
Manes.01G001800	Manes.12G047800	0.0193350823819949	undirected	NA	NA
Manes.01G001800	Manes.12G069700	0.0393607642599644	undirected	NA	NA
Manes.01G001800	Manes.12G089180	0.0101693703203289	undirected	NA	NA
Manes.01G001800	Manes.12G114200	0.0109945715567071	undirected	NA	NA
Manes.01G001800	Manes.12G137500	0.0146625415704038	undirected	NA	NA
Manes.01G001800	Manes.12G147602	0.011638678578702	undirected	NA	NA
Manes.01G001800	Manes.12G147300	0.0183264169369146	undirected	NA	NA
Manes.01G001800	Manes.13G066200	0.0480040289513276	undirected	NA	NA
Manes.01G001800	Manes.13G098500	0.019809860536895	undirected	NA	NA
Manes.01G001800	Manes.13G111500	0.0315736988767485	undirected	NA	NA
Manes.01G001800	Manes.14G007500	0.0176265383666954	undirected	NA	NA
Manes.01G001800	Manes.14G009000	0.0120722238612622	undirected	NA	NA
Manes.01G001800	Manes.14G007380	0.0446892011101483	undirected	NA	NA
Manes.01G001800	Manes.14G031100	0.0464305892209656	undirected	NA	NA
Manes.01G001800	Manes.14G049300	0.0562519024641826	undirected	NA	NA
Manes.01G001800	Manes.14G067800	0.0799295158652905	undirected	NA	NA
Manes.01G001800	Manes.14G078500	0.0338019323312388	undirected	NA	NA
Manes.01G001800	Manes.14G081800	0.0118583024963567	undirected	NA	NA
Manes.01G001800	Manes.14G112200	0.0123263618073592	undirected	NA	NA
Manes.01G001800	Manes.14G143300	0.0190169806925223	undirected	NA	NA
Manes.01G001800	Manes.14G157400	0.026173843767467	undirected	NA	NA
Manes.01G001800	Manes.15G076900	0.0143609321833264	undirected	NA	NA
Manes.01G001800	Manes.15G093700	0.0243266121775234	undirected	NA	NA
Manes.01G001800	Manes.15G100800	0.0166098901991863	undirected	NA	NA
Manes.01G001800	Manes.15G103500	0.0221910788032379	undirected	NA	NA
Manes.01G001800	Manes.15G103700	0.0570783410492636	undirected	NA	NA
Manes.01G001800	Manes.15G106900	0.0106250085746831	undirected	NA	NA
Manes.01G001800	Manes.15G118600	0.0205525148249725	undirected	NA	NA
