cassava protein ID,EC number,Annotated function,transcript ID (Phytozome),EC number (Phytozome) ,Abbreviation,Description,Cassava gene name(s),Function category,Citations,Location,Genes with  related TFBS,Cellular component
001096_001096,2.4.1.1,phosphorylase,cassava4.1_001096m,2.4.1.1,,"Glycosyl transferase, family 35",,Starch synthesis,Saithong et al 2013,,,
001626_001626,2.4.1.1,phosphorylase,cassava4.1_001626m,2.4.1.1,,alpha-glucan phosphorylase 2,,Starch synthesis,Sreekumar et al 2022,,,
001626_002082,2.4.1.1,phosphorylase,cassava4.1_002082m,,,alpha-glucan phosphorylase 2,,Starch synthesis,Wang et al 2014,,,
002466_002466,2.4.1.1,phosphorylase,cassava4.1_002466m,,,alpha-glucan phosphorylase 2,,Starch synthesis,,,,
002614_002614,2.4.1.1,phosphorylase,cassava4.1_002614m,,,"Glycosyl transferase, family 35",,Starch synthesis,,,,
004717_004717,2.4.1.1,phosphorylase,cassava4.1_004717m,,,"Glycosyl transferase, family 35",,Starch synthesis,,,,
001283_001283,2.4.1.13,sucrose synthase,cassava4.1_001283m,2.4.1.13,,sucrose synthase 6,,Starch synthesis,,,,
001840_001840,2.4.1.13,sucrose synthase,cassava4.1_001840m,2.4.1.13,,sucrose synthase 3,,Starch synthesis,,,,
001867_001864,2.4.1.13,sucrose synthase,cassava4.1_001864m,2.4.1.13,,sucrose synthase 4,,Starch synthesis,,,,
001867_001867,2.4.1.13,sucrose synthase,cassava4.1_001867m,2.4.1.13,,sucrose synthase 4,,Starch synthesis,,,,
001871_001871,2.4.1.13,sucrose synthase,cassava4.1_001871m,2.4.1.13,,sucrose synthase 4,,Starch synthesis,,,,
001874_001874,2.4.1.13,sucrose synthase,cassava4.1_001874m,2.4.1.13,,sucrose synthase 6,,Starch synthesis,,,,
001871_001912,2.4.1.13,sucrose synthase,cassava4.1_001912m,2.4.1.13,,sucrose synthase 4,,Starch synthesis,,,,
001840_002238,2.4.1.13,sucrose synthase,cassava4.1_002238m,,,sucrose synthase 3,,Starch synthesis,,,,
001871_002265,2.4.1.13,sucrose synthase,cassava4.1_002265m,,,sucrose synthase 4,,Starch synthesis,,,,
026466_026466,2.4.1.13,sucrose synthase,cassava4.1_026466m,2.4.1.13,,sucrose synthase 2,,Starch synthesis,,,,
027790_027790,2.4.1.13,sucrose synthase,cassava4.1_027790m,2.4.1.13,,sucrose synthase 6,,Starch synthesis,,,,
000732_000732,2.4.1.14,sucrose-phosphate synthase  ,cassava4.1_000732m,2.4.1.14,,sucrose phosphate synthase 1F,,Starch synthesis,,,,
000744_000744,2.4.1.14,sucrose-phosphate synthase  ,cassava4.1_000744m,,,sucrose phosphate synthase 2F,,Starch synthesis,,,,
000827_000827,2.4.1.14,sucrose-phosphate synthase  ,cassava4.1_000827m,2.4.1.14,,Sucrose-phosphate synthase family protein,,Starch synthesis,,,,
000839_000839,2.4.1.14,sucrose-phosphate synthase  ,cassava4.1_000839m,2.4.1.14,,Sucrose-phosphate synthase family protein,,Starch synthesis,,,,
000744_000867,2.4.1.14,sucrose-phosphate synthase  ,cassava4.1_000867m,,,sucrose phosphate synthase 2F,,Starch synthesis,,,,
