Extr Set Date,tube_ID,Phytoene,Phytofluene,Zeta Carotene, Beta Carotene,Violaxanthin peak 1,Violaxanthin peak 2,Lutein,,,,
6112024,2,202.35,140,111.06,3827.36,82.39,119.13,27.28,,,,
6112024,3,580.73,388.02,235.34,7635.56,204.86,312.33,70.27,,,,
6112024,4,248.82,162.4,109.04,5079.35,116.87,183.57,54.23,,,,
6112024,6,221.39,143.09,112.95,4772,92.39,130.13,74.36,,,,
6112024,7,1149.96,789.21,420.6,9437.73,218.02,278.96,24.1,,,,
6112024,8,276.86,172.79,110.69,3415.79,224.25,313.09,0,,,,
6112024,9,937.13,677.16,361.06,8076.63,209.83,199.47,29.7,,,,
6112024,10,257.8,167.61,98.51,2791.1,140.69,194.25,0,,,,
6112024,12,177.56,112.86,62.99,2545.62,169.29,224.58,0,,,,
6112024,13,181.01,90.37,48.02,4368.78,152.88,231.31,131,,,,
6112024,16,33.43,17,8.22,2816.9,138.83,214.48,134.3,,,,
6112024,17,99.28,62.7,64.35,6401.18,215.33,185.35,281.6,,,,
6112024,21,682.71,611.94,412.83,9282.95,78.91,108.68,0,,,,
6112024,22,332.92,287.3,217.03,8225.73,79.33,120.98,0,,,,
6112024,24,395.07,261.01,154.63,6750.53,58.4,71.83,0,,,,
6112024,26,37.86,23.73,19.49,3748.21,192.95,258.21,26.56,,,,
6112024,27,77.92,46.18,31.73,3905.18,161.5,208.53,58.65,,,,
6112024,28,106.84,60.22,51.89,5836.94,132.37,201.74,94.91,,,,
6112024,30,24.87,12.86,12.29,2610.23,86.04,102.9,0,,,,
6112024,32,87.62,54.87,29.5,2587.15,280.25,403.27,24.78,,,,
6112024,33,98.81,63.6,34.02,2652.15,374.53,554.39,25.44,,,,
6112024,34,47.83,30.33,16.92,1891.46,250.25,359.92,61.83,,,,
6112024,35,188.27,113.55,59.13,3072.28,243.86,413.3,28.53,,,,
6112024,37,275.31,158.12,109.77,3986.31,273.23,431.65,114.51,,,,
6112024,40,77.79,44.24,24.87,3225.94,203.57,231.33,363.48,,,,
6112024,41,172.01,96.58,53.72,4547.69,330.38,538.85,251.06,,,,
6112024,46,483.57,246.83,151,6510.35,91.97,123.12,128.75,,,,
6112024,S1,203.25,107.79,14.33,3000.25,123.84,191.78,31.53,,,,
6112024,S2,237.13,128.92,16.04,3351.25,133.58,191.33,34.71,,,,
6112024,S3,192.54,100.87,11.87,3160.39,128.75,155.16,35.6,,,,
6132024,1,1364.85,892.97,576.48,11596.64,218.15,283.08,65.47,,,,
6132024,5,722.48,513.2,462.5,10873.46,152.95,211.81,76.05,,,,
6132024,11,898.04,625.3,271.18,9003.8,197.34,281.32,29.38,,,,
6132024,14,27.44,15.44,12.01,2747.72,139.2,202.66,102.04,,,,
6132024,15,156.52,82.1,40.28,5633.09,240.77,331.18,203.57,,,,
6132024,18,25.15,12.29,16.01,3236.49,144.92,174.36,125.77,,,,
6132024,19,780.54,732.06,468,9448.56,175.5,243.48,0,,,,
6132024,20,327.36,312.58,278.48,8266.12,118.5,128.44,0,,,,
6132024,23,809.65,616.98,352.84,8942.54,124.58,138.14,0,,,,
6132024,25,55.97,38.86,24.36,2792.7,286.23,492.42,33.35,,,,
6132024,29,80.89,48.02,36.02,3785.01,210.95,264.97,30.87,,,,
6132024,31,328.58,205.62,102.66,4367.2,361.53,529.79,25.3,,,,
6132024,36,68.83,44.04,25.08,2161.25,249.96,317.63,52.5,,,,
6132024,39,226.95,122.97,78.48,5937.53,381.08,458.72,565.82,,,,
6132024,42,98.32,56.1,33.54,3827.99,235.38,232.2,421.61,,,,
6132024,43,1067.58,616.14,416.34,10976.31,164.97,240.84,87.75,,,,
6132024,44,444.22,280,212.37,8817.04,131.37,158.37,37.3,,,,
6132024,47,980.38,465.3,247.78,8580.83,157.3,204.05,152.35,,,,
6132024,48,656.58,314.76,158.85,7783.36,126.49,174.15,142.67,,,,
6132024,281,280.68,145.79,98.65,9704,426.74,587.78,1676.69,,,,
6132024,283,21.66,14.26,9.6,1357.67,113.78,157.37,84.72,,,,
6132024,285,21.87,14.13,9.07,1518.93,141.33,202.13,91.2,,,,
6132024,288,0,0,0,1106.7,119.57,133.73,107.1,,,,
6132024,289,510.62,284.28,168.15,7391.28,198.02,244.11,149.61,,,,
6132024,294,191.68,103.68,83.6,7550.95,239.25,305.8,336.88,,,,
6132024,300,589.33,324.78,256.85,8570.65,105.33,115.78,106.43,,,,
6132024,302,15.19,6.88,0,2959.26,91.16,129.29,42.43,,,,
6132024,304,154.29,96.02,66.6,3635.53,129.59,182.6,58.28,,,,
6132024,310,282.4,137.2,46.31,3592.07,118.05,151.49,78.89,,,,
6132024,319,502.52,273.68,168.2,8509.48,262.02,322.92,158.61,,,,
6132024,320,137.78,75.35,65.73,8297.3,192.23,229.63,201.3,,,,
6132024,324,173.88,96.12,101.52,9092.25,221.4,250.29,498.42,,,,
6132024,328,299.48,197.2,189.55,5491.85,124.1,147.33,0,,,,
6132024,331,1396.55,761.08,525.76,11803.1,186.56,224.99,262.88,,,,
6132024,334,308.71,196.3,259.36,9361.42,77.86,94.86,84.44,,,,
6132024,336,345.1,222.13,290.13,9277.75,64.32,73.95,89.53,,,,
6132024,339,2132.82,1111.65,676.77,11248.76,173.29,193.79,163.73,,,,
6132024,341,1401.55,784.08,400.25,8030.59,99.86,100.94,270.78,,,,
6132024,345,216.23,128.39,83.18,7452.66,529.58,579.44,1037.47,,,,
6132024,346,177.67,98.65,65.13,6440.27,365.7,319.37,1450.79,,,,
6132024,347,219.92,127.29,73.67,5026.13,423.31,564.15,549.25,,,,
6132024,359,582.47,490.91,418.2,7901.25,88.29,71.07,0,,,,
6132024,S4,241.6,132.72,18.76,3281.88,139.48,202.8,34.44,,,,
6132024,S5,228.65,129.86,17.05,3398.74,148.34,184.99,35.52,,,,
6202024,102,110.29,61.99,29.79,2859.09,200.45,302.14,48.84,,,,
6202024,110,90.4,58.47,62.35,6176.4,174.82,269.69,37.59,,,,
6202024,121,1226.66,744.16,330.4,10739.39,241.67,316.03,47.88,,,,
6202024,126,723.51,438.97,236.43,7981.06,179.58,276.07,64.23,,,,
6202024,128,7.38,0,0,1448.94,166.73,147.33,350.69,,,,
6202024,130,33.97,19.26,0,1339.11,98.44,172.81,193.94,,,,
6202024,131,0,0,0,1116.53,89.29,148.72,68.16,,,,
6202024,132,0,0,0,1422.07,87.15,138.61,127.54,,,,
6202024,133,1074.62,650.92,509.86,15488.41,183.76,235.1,151.23,,,,
6202024,134,284.97,161.81,169.05,12908.98,202.32,310.73,308.58,,,,
6202024,144,254.82,138.14,94.92,7723.55,414.99,487.88,1187.35,,,,
6202024,145,1711.28,922.96,687.72,18379.37,134.91,161.21,45.73,,,,
6202024,146,600.73,367.14,383.34,11885.27,121.62,178.74,0,,,,
6202024,147,969.83,604.4,646.55,18790.15,137.91,177.55,165.83,,,,
6202024,148,419.11,246.82,265.17,10896.2,159.96,219.3,80.84,,,,
6202024,150,1206.29,799.2,1245.98,23906.9,144.02,215.62,73.82,,,,
6202024,151,13.13,0,0,800.33,81.08,98,44.63,,,,
6202024,152,0,0,0,765.3,46.2,68.7,32.1,,,,
6202024,153,27.3,0,0,1064.1,104.1,132.3,67.8,,,,
6202024,154,0,0,0,891.72,59.37,84.13,45.65,,,,
6202024,155,14.29,0,0,635.12,67.74,80.32,50.59,,,,
6202024,156,0,0,0,414.91,45.85,71.8,36.91,,,,
6202024,157,237.88,141.57,104.09,7527.23,217.98,360.71,80.73,,,,
6202024,161,241.24,140.14,72.17,4705.36,178.61,284.2,37.07,,,,
6202024,162,69.16,41.16,24.36,3191.44,135.24,203.84,0,,,,
6202024,163,417.91,222.43,119.93,7033.44,355.57,541.54,805.97,,,,
6202024,164,115.88,53.83,41.08,5563.53,179.63,271.43,419.05,,,,
6202024,167,517.61,235.4,111.82,8265.48,457.69,609.37,928.23,,,,
6202024,168,234.24,97.3,54.6,7360.26,166.23,227.84,349.23,,,,
6202024,279,163.59,78.2,55.78,7163.35,256.74,419.18,265.36,,,,
6202024,280,212.84,102.3,47.17,7752.07,244.38,387.32,161.41,,,,
6202024,286,0,0,0,1590.29,100.84,144.21,186.46,,,,
6202024,290,140.52,69.52,73.37,8280.38,226.9,324.53,81.95,,,,
6202024,323,273,153.29,127.83,10828.46,224.79,268.13,539.23,,,,
6202024,325,987.46,601.52,322.02,7880.98,161.69,192.02,42.79,,,,
6202024,326,282.99,176.21,120.61,6080.13,155.32,219.15,0,,,,
6202024,329,1736.1,1023.88,500.14,9468.45,118.95,124.17,91.39,,,,
6202024,330,721.03,430.85,297.07,6312.72,141.5,162.19,0,,,,
6202024,332,383.96,259.55,335.82,11273.17,81.2,100.92,91.64,,,,
6202024,333,1432.73,860.53,669.33,12488.61,147.08,175.1,204.8,,,,
6202024,335,1269.75,726.65,589.26,11045.94,114.04,143.83,115.12,,,,
6202024,337,1602.45,913.41,664.47,11493.63,97.74,116.64,245.7,,,,
6202024,340,830.07,458.55,414.61,14044.75,105.63,145.34,160.55,,,,
6202024,343,346.89,183.39,113.09,8763.06,517.21,696.24,1616.2,,,,
