"","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.01G000031","","","nuclear pore; transport",NA,"(1 of 1) PTHR23198//PTHR23198:SF4 - NUCLEOPORIN // NUCLEOPORIN AUTOPEPTIDASE","GO:0005643 GO:0006810","KOG0845","K14297","PF04096","PTHR23198 PTHR23198:SF4","Nucleoporin autopeptidase"
"2","Manes.01G000062","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription",NA,"(1 of 196) PF00847 - AP2 domain (AP2)","GO:0003700 GO:0006355","","","PF00847","PTHR31677 PTHR31677:SF1",""
"3","Manes.01G000093","","","membrane; transmembrane transporter activity",NA,"(1 of 62) PF00892 - EamA-like transporter family (EamA)","GO:0016020 GO:0016021 GO:0022857","","","PF00892","PTHR31218 PTHR31218:SF63","nodulin MtN21 /EamA-like transporter family protein"
"4","Manes.01G000124","","","zinc ion binding",NA,"(1 of 1) PTHR23012//PTHR23012:SF82 - MEMBRANE ASSOCIATED RING FINGER // SUBFAMILY NOT NAMED","GO:0008270","","","PF12906","PTHR23012 PTHR23012:SF82","RING/U-box superfamily protein"
"5","Manes.01G000155","","","DNA binding; regulation of DNA-templated transcription",NA,"(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9","GO:0003677 GO:0006355","","","PF02365","PTHR31989 PTHR31989:SF21","NAC transcription factor-like 9"
"6","Manes.01G000186","","","",NA,"","","","","","",""
"7","Manes.01G000217","","","nucleic acid binding; zinc ion binding",NA,"(1 of 49) PTHR11439//PTHR11439:SF192 - GAG-POL-RELATED RETROTRANSPOSON // SUBFAMILY NOT NAMED","GO:0003676 GO:0008270","","","PF00098","PTHR11439 PTHR11439:SF192",""
"8","Manes.01G000248","","","",NA,"","","","","","",""
"9","Manes.01G000279","","","",NA,"","","","","","",""
"10","Manes.01G000300","","","",NA,"(1 of 1) PTHR21433//PTHR21433:SF4 - TRANSMEMBRANE PROTEIN INDUCED BY TUMOR NECROSIS FACTOR ALPHA // SUBFAMILY NOT NAMED","GO:0016021","KOG4758","","PF07851","PTHR21433 PTHR21433:SF4","TMPIT-like protein"
"11","Manes.01G000310","","","transcription factor TFIID complex; DNA-templated transcription initiation",NA,"","GO:0005669 GO:0006352","","","","PTHR12264 PTHR12264:SF3",""
"12","Manes.01G000341","","","metal ion transport; metal ion binding",NA,"(1 of 2) PTHR22814:SF136 - HEAVY-METAL-ASSOCIATED DOMAIN-CONTAINING PROTEIN-RELATED","GO:0030001 GO:0046872","KOG1603","","PF00403","PTHR22814 PTHR22814:SF136","Heavy metal transport/detoxification superfamily protein"
"13","Manes.01G000372","","","DNA binding",NA,"(1 of 1) PTHR31140:SF4 - B3 DOMAIN-CONTAINING TRANSCRIPTION FACTOR NGA1-RELATED","GO:0003677","","","PF02362","PTHR31140 PTHR31140:SF4","AP2/B3-like transcriptional factor family protein"
"14","Manes.01G000400","","","methyltransferase activity",NA,"(1 of 1) PTHR10108//PTHR10108:SF801 - METHYLTRANSFERASE // METHYLTRANSFERASE PMT18-RELATED","GO:0008168","","","PF03141","PTHR10108 PTHR10108:SF801","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"
"15","Manes.01G000403","","","",NA,"(1 of 2) K17781 - mitochondrial import inner membrane translocase subunit TIM13 (TIM13)","","","K17781","PF02953","PTHR19338 PTHR19338:SF0","translocase of the inner mitochondrial membrane 13"
"16","Manes.01G000434","","","",NA,"","","","","","PTHR33736 PTHR33736:SF1",""
"17","Manes.01G000465","","","structural constituent of ribosome; ribosome; translation",NA,"(1 of 1) PTHR11661//PTHR11661:SF7 - 60S RIBOSOMAL PROTEIN L12 // 50S RIBOSOMAL PROTEIN L11; CHLOROPLASTIC-RELATED","GO:0003735 GO:0005840 GO:0006412","KOG3257","K02867","PF00298 PF03946","PTHR11661 PTHR11661:SF7","plastid ribosomal protein l11"
"18","Manes.01G000496","","","DNA integration",NA,"(1 of 56) 2.7.7.49//2.7.7.7//3.1.26.4 - RNA-directed DNA polymerase / Revertase // DNA-directed DNA polymerase / DNA-dependent DNA polymerase // Ribonuclease H / RNase H","GO:0015074","","","","PTHR24559 PTHR24559:SF207",""
"19","Manes.01G000500","","","protein binding; zinc ion binding",NA,"(1 of 4) PTHR14155//PTHR14155:SF74 - RING FINGER DOMAIN-CONTAINING // RING-H2 FINGER PROTEIN ATL45-RELATED","GO:0005515 GO:0008270","","","PF13639","PTHR14155 PTHR14155:SF74","RING/U-box superfamily protein"
"20","Manes.01G000527","","","protein binding; zinc ion binding",NA,"(1 of 7) PTHR14155:SF175 - E3 UBIQUITIN-PROTEIN LIGASE RHA2B-RELATED","GO:0005515 GO:0008270","","","PF13639","PTHR14155 PTHR14155:SF175",""
"21","Manes.01G000550","","","",NA,"","","","","","PTHR35110 PTHR35110:SF2",""
"22","Manes.01G000558","","","serine-type endopeptidase activity; proteolysis",NA,"(1 of 1) PTHR10795:SF418 - SUBTILASE 3.12","GO:0004252 GO:0006508","","","PF00082 PF02225 PF05922","PTHR10795 PTHR10795:SF418","Subtilase family protein"
"23","Manes.01G000600","","","membrane; transmembrane transporter activity",NA,"(1 of 62) PF00892 - EamA-like transporter family (EamA)","GO:0016020 GO:0016021 GO:0022857","","","PF00892","PTHR31218 PTHR31218:SF58",""
"24","Manes.01G001100","","","",NA,"(1 of 1) PTHR13430//PTHR13430:SF3 - UNCHARACTERIZED // AUTOPHAGY-RELATED PROTEIN 13","","KOG4573","K08331","PF10033","PTHR13430 PTHR13430:SF3","Autophagy-related protein 13"
"25","Manes.01G001150","","","",NA,"","","","","","PTHR33184 PTHR33184:SF9","PHD finger protein"
"26","Manes.01G001151","","","structural constituent of ribosome; intracellular anatomical structure; ribosome; translation",NA,"(1 of 4) PTHR10934 - 60S RIBOSOMAL PROTEIN L18","GO:0003735 GO:0005622 GO:0005840 GO:0006412","","","","PTHR10934",""
"27","Manes.01G001200","CAROTENOID-PWY; PWY-6475","superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants)","","carot","(1 of 1) 5.2.1.12 - Zeta-carotene isomerase / 15-cis-zeta-carotene isomerase","","","K15744","PF07298","PTHR35988 PTHR35988:SF2","15-cis-zeta-carotene isomerase"
"28","Manes.01G001400","","","transporter activity; transport; membrane",NA,"(1 of 1) PTHR19139:SF102 - AQUAPORIN NIP5-1-RELATED","GO:0005215 GO:0006810 GO:0016020","KOG0223","K09874","PF00230","PTHR19139 PTHR19139:SF102","NOD26-like intrinsic protein 5;1"
