TAG_type,locusName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,Pathways,Pathways_Desc,GODescription,class,Description,GO,KOG,KO,Pfam,Panther,Best-hit-arabi-defline
genetic,Manes.08G105600,255.3063764,1.605136217,0.104389054,15.37648022,2.35E-53,4.81E-49,+,,,protein binding,NA,(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2),GO:0005515,,,PF00646 PF14299,PTHR32278 PTHR32278:SF6,F-box family protein
genetic,Manes.04G074700,592.7980914,0.858216835,0.060490076,14.18772955,1.09E-45,1.11E-41,+,,,,NA,(1 of 4) PF06911 - Senescence-associated protein (Senescence),,,,PF06911,PTHR21068 PTHR21068:SF22,
genetic,Manes.11G085200,44.43674089,1.27145424,0.090597134,14.03415526,9.63E-45,6.56E-41,+,,,,NA,(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408),,,,PF14364,PTHR33640 PTHR33640:SF3,(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)
genetic,Manes.09G098760,118.7712445,1.027322011,0.074248621,13.83624372,1.54E-43,7.87E-40,+,,,response to stress,NA,(1 of 46) PF00582 - Universal stress protein family (Usp),GO:0006950,,,PF00582,PTHR31964 PTHR31964:SF23,Adenine nucleotide alpha hydrolases-like superfamily protein
genetic,Manes.13G137100,276.1371894,1.113441713,0.081490732,13.66341526,1.68E-42,6.86E-39,+,,,,NA,(1 of 1) PTHR31636//PTHR31636:SF53 - FAMILY NOT NAMED // SCARECROW-LIKE PROTEIN 15,,,,PF03514,PTHR31636 PTHR31636:SF53,GRAS family transcription factor
genetic,Manes.09G042800,1065.221592,0.539289193,0.039781543,13.55626642,7.27E-42,2.48E-38,+,,,,NA,,,,,,PTHR35722,
genetic,Manes.09G098800,242.5144291,1.278754188,0.095310929,13.41665848,4.83E-41,1.23E-37,+,PWY-6842,glutathione-mediated detoxification II,protein binding,NA,"(1 of 9) PTHR11260//PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // GLUTATHIONE S-TRANSFERASE U1-RELATED",GO:0005515,KOG0406,K00799,PF00043 PF13417,PTHR11260 PTHR11260:SF303,glutathione S-transferase TAU 8
genetic,Manes.01G150600,127.6986256,0.557677835,0.041936477,13.29815644,2.37E-40,5.39E-37,+,,,protein binding; zinc ion binding,NA,(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG),GO:0005515 GO:0008270,,,PF13488 PF13639,PTHR14155 PTHR14155:SF120,RING/U-box superfamily protein
genetic,Manes.03G111200,119.4796726,0.72707775,0.05485407,13.25476396,4.23E-40,7.86E-37,+,,,metabolic process; hexosyltransferase activity,NA,(1 of 1) PTHR11926//PTHR11926:SF366 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED,GO:0008152 GO:0016758,KOG1192,,PF00201,PTHR11926 PTHR11926:SF366,
genetic,Manes.10G020100,4820.665129,1.125902349,0.086232581,13.0565772,5.83E-39,9.92E-36,+,,,,NA,(1 of 10) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED,,KOG0710,K13993,PF00011,PTHR11527 PTHR11527:SF152,
