gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G000155.v8.1,Manes.01G000155,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,yellow,NA,gene
Manes.01G000279.v8.1,Manes.01G000279,,yellow,NA,gene
Manes.01G001800.v8.1,Manes.01G001800,(1 of 1) 2.4.1.149 - N-acetyllactosaminide beta-1;3-N-acetylglucosaminyltransferase / Poly-N-acetyllactosamine extension enzyme,red,NA,gene
Manes.01G002300.v8.1,Manes.01G002300,,yellow,NA,gene
Manes.01G004860.v8.1,Manes.01G004860,(1 of 2) K19307 - 25S rRNA (uracil2634-N3)-methyltransferase [EC:2.1.1.313] (BMT5),magenta,NA,gene
Manes.01G006975.v8.1,Manes.01G006975,,magenta,NA,gene
Manes.01G008250.v8.1,Manes.01G008250,(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1,magenta,NA,gene
Manes.01G009700.v8.1,Manes.01G009700,(1 of 1) PTHR21228//PTHR21228:SF20 - FAST LEU-RICH DOMAIN-CONTAINING // SUBFAMILY NOT NAMED,red,NA,gene
Manes.01G013300.v8.1,Manes.01G013300,(1 of 1) 1.1.1.300//1.1.1.330 - NADP-retinol dehydrogenase / Retinol dehydrogenase (NADP(+)) // Very-long-chain 3-oxoacyl-CoA reductase / Very-long-chain beta-ketoacyl-CoA reductase,yellow,NA,gene
Manes.01G012400.v8.1,Manes.01G012400,,yellow,NA,gene
Manes.01G011300.v8.1,Manes.01G011300,(1 of 1) PTHR10759//PTHR10759:SF6 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED,yellow,NA,gene
Manes.01G015400.v8.1,Manes.01G015400,(1 of 1) 2.4.1.227 - Undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase / Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase,magenta,NA,gene
Manes.01G016300.v8.1,Manes.01G016300,(1 of 3) K01866 - tyrosyl-tRNA synthetase (YARS; tyrS),red,NA,gene
Manes.01G018600.v8.1,Manes.01G018600,(1 of 4) 1.1.1.54//1.3.1.102//1.3.1.74 - Allyl-alcohol dehydrogenase // 2-alkenal reductase (NADP(+)) / NADPH-dependent alkenal/one oxidoreductase // 2-alkenal reductase (NAD(P)(+)) / NADPH:2-alkenal alpha;beta-hydrogenase,yellow,NA,gene
Manes.01G020300.v8.1,Manes.01G020300,,magenta,NA,gene
Manes.01G021200.v8.1,Manes.01G021200,(1 of 1) K13111 - WD40 repeat-containing protein SMU1 (SMU1),red,NA,gene
Manes.01G022400.v8.1,Manes.01G022400,,yellow,NA,gene
Manes.01G025500.v8.1,Manes.01G025500,(1 of 2) PTHR31964//PTHR31964:SF39 - FAMILY NOT NAMED // ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN,yellow,NA,gene
Manes.01G026000.v8.1,Manes.01G026000,(1 of 26) PF03110 - SBP domain (SBP),red,NA,gene
