gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G000031.v8.1,Manes.01G000031,(1 of 1) PTHR23198//PTHR23198:SF4 - NUCLEOPORIN // NUCLEOPORIN AUTOPEPTIDASE,turquoise,NA,gene
Manes.01G000248.v8.1,Manes.01G000248,,turquoise,NA,gene
Manes.01G000279.v8.1,Manes.01G000279,,turquoise,NA,gene
Manes.01G000527.v8.1,Manes.01G000527,(1 of 7) PTHR14155:SF175 - E3 UBIQUITIN-PROTEIN LIGASE RHA2B-RELATED,turquoise,NA,gene
Manes.01G000300.v8.1,Manes.01G000300,(1 of 1) PTHR21433//PTHR21433:SF4 - TRANSMEMBRANE PROTEIN INDUCED BY TUMOR NECROSIS FACTOR ALPHA // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G001951.v8.1,Manes.01G001951,,turquoise,NA,gene
Manes.01G001800.v8.1,Manes.01G001800,(1 of 1) 2.4.1.149 - N-acetyllactosaminide beta-1;3-N-acetylglucosaminyltransferase / Poly-N-acetyllactosamine extension enzyme,turquoise,carb,gene
Manes.01G001700.v8.1,Manes.01G001700,(1 of 8) PTHR24012//PTHR24012:SF490 - FAMILY NOT NAMED // UBP1-ASSOCIATED PROTEIN 2C,turquoise,NA,gene
Manes.01G001100.v8.1,Manes.01G001100,(1 of 1) PTHR13430//PTHR13430:SF3 - UNCHARACTERIZED // AUTOPHAGY-RELATED PROTEIN 13,turquoise,NA,gene
Manes.01G003300.v8.1,Manes.01G003300,(1 of 4) PTHR11062:SF110 - EXOSTOSIN FAMILY PROTEIN,turquoise,NA,gene
Manes.01G003700.v8.1,Manes.01G003700,(1 of 1) PTHR23056:SF44 - CALCINEURIN B-LIKE PROTEIN 2,turquoise,NA,gene
Manes.01G003800.v8.1,Manes.01G003800,(1 of 2) PTHR11528//PTHR11528:SF49 - HEAT SHOCK PROTEIN 90 // SUBFAMILY NOT NAMED,turquoise,NA,gene
