TAG_type,locusName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction,Pathways,Pathways_Desc,GODescription,class,Description,GO,KOG,KO,Pfam,Panther,Best-hit-arabi-defline
non-genetic,Manes.12G111100,29.81246102,-0.911000322,0.158690464,-5.740737642,9.43E-09,0.000151512,-,PWY-6824; PWY-5466; PWY-7445; PWY-7214,justicidin B biosynthesis; matairesinol biosynthesis; luteolin triglucuronide degradation; baicalein degradation (hydrogen peroxide detoxification),peroxidase activity; response to oxidative stress; heme binding,NA,(1 of 2) PTHR31517:SF3 - PEROXIDASE 35-RELATED,GO:0004601 GO:0006979 GO:0020037 GO:0055114,,K00430,PF00141,PTHR31517 PTHR31517:SF3,root hair specific 19
non-genetic,Manes.11G017400,38.42599407,-0.794125407,0.144397454,-5.499580384,3.81E-08,0.000152973,-,,,,NA,(1 of 11) PF07911 - Protein of unknown function (DUF1677) (DUF1677),,,,PF07911,PTHR33108 PTHR33108:SF15,Protein of unknown function (DUF1677)
non-genetic,Manes.15G187800,441.0654375,-0.575194997,0.103824106,-5.540091003,3.02E-08,0.000152973,-,,,hydrolase activity,NA,(1 of 4) PTHR21562//PTHR21562:SF4 - NOTUM-RELATED // PECTINACETYLESTERASE FAMILY PROTEIN,GO:0016787,,,PF03283,PTHR21562 PTHR21562:SF4,Pectinacetylesterase family protein
non-genetic,Manes.17G010400,8.181494484,-0.981946849,0.17758561,-5.529428011,3.21E-08,0.000152973,-,,,,NA,,,,,,PTHR35297 PTHR35297:SF2,
non-genetic,Manes.02G146400,12.43346282,-0.926569428,0.176481912,-5.250223184,1.52E-07,0.000488346,-,PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY,gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation,glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process,carb,"(1 of 2) PTHR11469:SF9 - GLUCOSE-6-PHOSPHATE ISOMERASE 1, CHLOROPLASTIC",GO:0004347 GO:0006094 GO:0006096,,K01810,PF00342,PTHR11469 PTHR11469:SF9,phosphoglucose isomerase 1
non-genetic,Manes.01G006300,473.2573863,-0.571840518,0.110321374,-5.183406415,2.18E-07,0.000583636,-,,,,NA,(1 of 3) PTHR31533:SF2 - GPI-ANCHORED PROTEIN LORELEI-RELATED,,,,,PTHR31533 PTHR31533:SF2,LORELEI-LIKE-GPI-ANCHORED PROTEIN 1
non-genetic,Manes.16G094900,245.0423331,-0.708115852,0.138323217,-5.119284138,3.07E-07,0.000704221,-,,,serine-type endopeptidase activity; proteolysis,NA,(1 of 1) KOG1153 - Subtilisin-related protease/Vacuolar protease B,GO:0004252 GO:0006508,KOG1153,,PF00082 PF02225 PF05922,PTHR10795 PTHR10795:SF434,Subtilase family protein
non-genetic,Manes.11G012500,33.17238616,-0.881373008,0.177741672,-4.958730272,7.10E-07,0.001062225,-,PWY-1081,homogalacturonan degradation,enzyme inhibitor activity; cell wall; pectinesterase activity; cell wall modification,NA,(1 of 3) PTHR31707//PTHR31707:SF55 - FAMILY NOT NAMED // PECTINESTERASE 2-RELATED,GO:0004857 GO:0005618 GO:0030599 GO:0042545,,K01051,PF01095 PF04043,PTHR31707 PTHR31707:SF55,pectin methylesterase 3
non-genetic,Manes.11G085200,44.43674089,0.794282637,0.160330979,4.954018496,7.27E-07,0.001062225,+,,,,NA,(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408),,,,PF14364,PTHR33640 PTHR33640:SF3,(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)
non-genetic,Manes.18G022000,68.65086652,-0.602350801,0.120577355,-4.995554928,5.87E-07,0.001062225,-,,,"hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; carbohydrate binding",NA,(1 of 1) PTHR23421:SF51 - BETA-GALACTOSIDASE 5,GO:0004553 GO:0005975 GO:0030246,,,PF01301 PF02140,PTHR23421 PTHR23421:SF51,
non-genetic,Manes.01G251400,6.790934542,-1.031267083,0.210626052,-4.896199095,9.77E-07,0.001302381,-,PWY-7601,"arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)",lipid metabolic process; oxidoreductase activity,NA,(1 of 4) 1.14.19.4 - Delta(8)-fatty-acid desaturase / SLD,GO:0006629 GO:0016021 GO:0016491,KOG4232,K13076,PF00173 PF00487,PTHR19353 PTHR19353:SF28,Fatty acid/sphingolipid desaturase
