gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G000465.v8.1,Manes.01G000465,(1 of 1) PTHR11661//PTHR11661:SF7 - 60S RIBOSOMAL PROTEIN L12 // 50S RIBOSOMAL PROTEIN L11; CHLOROPLASTIC-RELATED,yellow,NA,gene
Manes.01G007100.v8.1,Manes.01G007100,(1 of 2) PTHR35767:SF1 - PROTEIN HAPLESS 8,yellow,NA,gene
Manes.01G008000.v8.1,Manes.01G008000,(1 of 2) K13342 - peroxin-5 (PEX5; PXR1),yellow,NA,gene
Manes.01G012600.v8.1,Manes.01G012600,(1 of 3) PTHR31086//PTHR31086:SF20 - FAMILY NOT NAMED // ALUMINUM-ACTIVATED MALATE TRANSPORTER 4-RELATED,yellow,NA,gene
Manes.01G012400.v8.1,Manes.01G012400,,yellow,NA,gene
Manes.01G020600.v8.1,Manes.01G020600,(1 of 1) K08735 - DNA mismatch repair protein MSH2 (MSH2),yellow,NA,gene
Manes.01G021200.v8.1,Manes.01G021200,(1 of 1) K13111 - WD40 repeat-containing protein SMU1 (SMU1),yellow,NA,gene
Manes.01G021500.v8.1,Manes.01G021500,,yellow,NA,gene
Manes.01G021800.v8.1,Manes.01G021800,(1 of 3) KOG4765 - Uncharacterized conserved protein,yellow,NA,gene
Manes.01G022750.v8.1,Manes.01G022750,(1 of 7) 6.2.1.1 - Acetate--CoA ligase / Acyl-activating enzyme,yellow,NA,gene
Manes.01G024300.v8.1,Manes.01G024300,(1 of 1) K04773 - protease IV [EC:3.4.21.-] (sppA),yellow,NA,gene
Manes.01G024400.v8.1,Manes.01G024400,(1 of 1) PTHR10741:SF5 - TRANSLIN-ASSOCIATED PROTEIN X,yellow,NA,gene
Manes.01G030700.v8.1,Manes.01G030700,(1 of 4) PTHR33167:SF3 - F16A14.15-RELATED,yellow,NA,gene
Manes.01G034800.v8.1,Manes.01G034800,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,yellow,NA,gene
Manes.01G040400.v8.1,Manes.01G040400,(1 of 5) K14293 - importin subunit beta-1 (KPNB1),yellow,NA,gene
Manes.01G037100.v8.1,Manes.01G037100,(1 of 2) PTHR22849//PTHR22849:SF37 - WDSAM1 PROTEIN // SUBFAMILY NOT NAMED,yellow,NA,gene
