"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.10G026300.v8.1",379.092462729187,0.348397332462949,0.056193128304421,6.19999887843117,5.64635631126872e-10,1.10877498884384e-05,"Manes.10G026300","","","nucleotidyltransferase activity",NA,"(1 of 1) PTHR12271//PTHR12271:SF40 - POLY A  POLYMERASE CID  PAP -RELATED // POLY(A) RNA POLYMERASE GLD2","GO:0016779","KOG2277","","PF01909","PTHR12271 PTHR12271:SF40","Nucleotidyltransferase family protein"
"2","Manes.02G127202.v8.1",79.0761690096769,1.73323229355477,0.291133785029525,5.95338769555375,2.62648107808454e-09,2.06848945843029e-05,"Manes.02G127202","","","",NA,"","","","","","",""
"3","Manes.05G081700.v8.1",12.5153623077857,1.33615212228528,0.225584838440599,5.92305817856247,3.16008981783922e-09,2.06848945843029e-05,"Manes.05G081700","","","DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 2) PTHR10015//PTHR10015:SF160 - HEAT SHOCK TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED","GO:0003700 GO:0005634 GO:0006355 GO:0043565","","","PF00447","PTHR10015 PTHR10015:SF160",""
"4","Manes.09G003900.v8.1",31.6322802174471,-0.439338829673759,0.075162823369641,-5.84516134410156,5.06077511547445e-09,2.4844610235643e-05,"Manes.09G003900","","","protein binding",NA,"(1 of 166) PF00646 - F-box domain (F-box)","GO:0005515","","","PF00646","PTHR31482 PTHR31482:SF2",""
"5","Manes.14G023900.v8.1",413.975432305512,0.444024497959068,0.07760127077618,5.72187147862227,1.05356996548282e-08,3.75337331615876e-05,"Manes.14G023900","","","protein binding",NA,"(1 of 108) PF00168 - C2 domain (C2)","GO:0005515","","","PF00168","PTHR32246 PTHR32246:SF17","Calcium-dependent lipid-binding (CaLB domain) family protein"
"6","Manes.15G033100.v8.1",507.002936833525,1.074390071986,0.188243517206748,5.70744792664494,1.14682690313961e-08,3.75337331615876e-05,"Manes.15G033100","","","",NA,"(1 of 1) PTHR14154//PTHR14154:SF5 - UPF0041 BRAIN PROTEIN 44-RELATED // EARLY LIGHT-INDUCED PROTEIN 1, CHLOROPLASTIC-RELATED","","","","PF00504","PTHR14154 PTHR14154:SF5","Chlorophyll A-B binding family protein"
"7","Manes.12G062800.v8.1",93.8294098799099,0.473822198283815,0.0839807907645719,5.64203068308927,1.68056140153455e-08,4.71445489170486e-05,"Manes.12G062800","TRNA-CHARGING-PWY","tRNA charging","nucleotide binding; aminoacyl-tRNA ligase activity; threonine-tRNA ligase activity; ATP binding; cytoplasm; tRNA aminoacylation for protein translation; threonyl-tRNA aminoacylation; tRNA aminoacylation",NA,"(1 of 1) PTHR11451:SF32 - THREONYL-TRNA SYNTHETASE / THREONINE--TRNA LIGASE-RELATED","GO:0000166 GO:0004812 GO:0004829 GO:0005524 GO:0005737 GO:0006418 GO:0006435 GO:0016876 GO:0043039","KOG1637","K01868","PF00587 PF03129 PF07973","PTHR11451 PTHR11451:SF32","threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative"
"8","Manes.04G146600.v8.1",58.5803567323908,-0.368445894816741,0.0655909187028903,-5.61733090651931,1.93929804921344e-08,4.76024947405053e-05,"Manes.04G146600","","","",NA,"(1 of 3) PTHR10338//PTHR10338:SF114 - VON WILLEBRAND FACTOR, TYPE A DOMAIN CONTAINING // SUBFAMILY NOT NAMED","","","","PF13768","PTHR10338 PTHR10338:SF114","(1 of 2) PTHR10338//PTHR10338:SF114 - VON WILLEBRAND FACTOR, TYPE A DOMAIN CONTAINING"
"9","Manes.01G214200.v8.1",19.1122584094565,-0.734554227424382,0.134206199846579,-5.47332558603182,4.41667564112296e-08,8.90796577257291e-05,"Manes.01G214200","","","",NA,"","","","","","",""
"10","Manes.06G063900.v8.1",65.0024695278405,-0.398030931234685,0.0728611681711503,-5.46286782418467,4.68503440484372e-08,8.90796577257291e-05,"Manes.06G063900","","","",NA,"","","","","","",""
