Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
ZISO,15-cis-zeta-carotene isomerase,carot,turquoise,83,(1 of 1) 5.2.1.12 - Zeta-carotene isomerase / 15-cis-zeta-carotene isomerase,Manes.01G001200.v8.1,gene,,,K15744,,,Manes.01G001200,PTHR35988 PTHR35988:SF2,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF07298,TRUE,Manes.01G001200
,pfkB-like carbohydrate kinase family protein,carb,blue,108,(1 of 2) PTHR10584:SF181 - PUTATIVE-RELATED,Manes.01G116600.v8.1,gene,GO:0004747 GO:0006014,ribokinase activity; D-ribose metabolic process,K00847,KOG2855,,Manes.01G116600,PTHR10584 PTHR10584:SF181,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.01G116600
PSY2,PHYTOENE SYNTHASE,carot,turquoise,210,(1 of 3) K02291 - phytoene synthase (crtB),Manes.01G124200.v8.1,gene,GO:0009058 GO:0016740,biosynthetic process; transferase activity,K02291,KOG1459,,Manes.01G124200,PTHR31480 PTHR31480:SF2,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF00494,TRUE,Manes.01G124200
,citrate synthase 2,carb,brown,143,(1 of 4) 2.3.3.1 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA),Manes.01G129000.v8.1,gene,GO:0046912,"acyltransferase activity, acyl groups converted into alkyl on transfer",K01647,,,Manes.01G129000,PTHR11739 PTHR11739:SF4,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00285,FALSE,Manes.01G129000
,,carb,black,123,(1 of 2) 3.2.1.3 - Glucan 1;4-alpha-glucosidase / Lysosomal alpha-glucosidase,Manes.01G162300.v8.1,gene,GO:0003824 GO:2001070,catalytic activity; starch binding,,,,Manes.01G162300,PTHR10357 PTHR10357:SF149,,,PF00686,FALSE,Manes.01G162300
Starch synthase,"Glycogen/starch synthases, ADP-glucose type",carb,turquoise,251,(1 of 3) K00703 - starch synthase (E2.4.1.21; glgA),Manes.01G184000.v8.1,gene,GO:0004373,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",K00703,,,Manes.01G184000,PTHR12526 PTHR12526:SF337,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00534 PF08323,FALSE,Manes.01G184000
,pyruvate dehydrogenase complex E1 alpha subunit,carb,green,66,(1 of 2) PTHR11516//PTHR11516:SF38 - PYRUVATE DEHYDROGENASE E1 COMPONENT; ALPHA SUBUNIT  BACTERIAL AND ORGANELLAR // SUBFAMILY NOT NAMED,Manes.01G194500.v8.1,gene,GO:0004739 GO:0006086 GO:0008152 GO:0016624 GO:0043231,"pyruvate dehydrogenase (acetyl-transferring) activity; acetyl-CoA biosynthetic process from pyruvate; metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; intracellular membrane-bounded organelle",K00161,,,Manes.01G194500,PTHR11516 PTHR11516:SF38,PWY-5173; PWY-5464; PYRUVDEHYD-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; pyruvate decarboxylation to acetyl CoA",PF00676,FALSE,Manes.01G194500
,,carb,blue,149,(1 of 7) K01177 - beta-amylase (E3.2.1.2),Manes.02G006200.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,K01177,,,Manes.02G006200,PTHR31352 PTHR31352:SF7,PWY-6724,starch degradation II,PF01373,FALSE,Manes.02G006200
Glycosyltransferase,"Glycosyl transferase, family 35",carb,turquoise,238,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,Manes.02G052200.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G052200,PTHR11468 PTHR11468:SF8,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G052200
,"Glycosyl transferase, family 35",carb,turquoise,172,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,Manes.02G052240.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G052240,PTHR11468 PTHR11468:SF8,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G052240
