"","gene_id","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.01G001800.v8.1","honeydew","Manes.01G001800","PWY-7434","carb","(1 of 1) 2.4.1.149 - N-acetyllactosaminide beta-1;3-N-acetylglucosaminyltransferase / Poly-N-acetyllactosamine extension enzyme","GO:0016020 GO:0016757","KOG2246","","PF02434","PTHR10811 PTHR10811:SF5","Protein of unknown function (DUF604)"
"2","Manes.01G006400.v8.1","skyblue3","Manes.01G006400","","carb","(1 of 1) K08905 - photosystem I subunit V (psaG)","GO:0009522 GO:0015979 GO:0016020","","K08905","PF01241","PTHR34195 PTHR34195:SF1","photosystem I subunit G"
"3","Manes.01G023200.v8.1","coral2","Manes.01G023200","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 1) PTHR11902//PTHR11902:SF8 - ENOLASE // ENOLASE 1; CHLOROPLASTIC","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF8","enolase 1"
"4","Manes.01G026300.v8.1","plum4","Manes.01G026300","","carb","(1 of 9) 5.4.99.30 - UDP-arabinopyranose mutase","GO:0016866 GO:0030244","","K13379","PF03214","PTHR31682 PTHR31682:SF3","reversibly glycosylated polypeptide 3"
"5","Manes.01G026800.v8.1","mediumpurple2","Manes.01G026800","PENTOSE-P-PWY; OXIDATIVEPENT-PWY","carb","(1 of 5) 3.1.1.31 - 6-phosphogluconolactonase","GO:0005975 GO:0006098 GO:0017057","KOG3147","K01057","PF01182","PTHR11054 PTHR11054:SF2","6-phosphogluconolactonase 1"
"6","Manes.01G028900.v8.1","grey","Manes.01G028900","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 1) PTHR10353//PTHR10353:SF26 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE 40","GO:0004553 GO:0005975","","K01188","PF00232","PTHR10353 PTHR10353:SF26","beta glucosidase 40"
"7","Manes.01G036300.v8.1","mediumpurple1","Manes.01G036300","","carb","(1 of 3) K14413 - beta-1;3-galactosyltransferase (GALT1)","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","K14413","PF00337 PF01762","PTHR11214 PTHR11214:SF129","galactosyltransferase1"
"8","Manes.01G038700.v8.1","turquoise","Manes.01G038700","PENTOSE-P-PWY; OXIDATIVEPENT-PWY; PWY-7204","carb","(1 of 1) 1.1.1.65//3.1.1.31 - Pyridoxine 4-dehydrogenase / Pyridoxine dehydrogenase // 6-phosphogluconolactonase","GO:0016491 GO:0055114","KOG1575","K05275","PF00248","PTHR11732 PTHR11732:SF248","NagB/RpiA/CoA transferase-like superfamily protein"
"9","Manes.01G048766.v8.1","brown4","Manes.01G048766","","carb","(1 of 2) PTHR11214//PTHR11214:SF7 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // SUBFAMILY NOT NAMED","GO:0006486 GO:0008378 GO:0016020","KOG2288","","PF01762 PF13334","PTHR11214 PTHR11214:SF7",""
"10","Manes.01G048600.v8.1","tan3","Manes.01G048600","","carb","(1 of 3) PTHR11122//PTHR11122:SF10 - APOSPORY-ASSOCIATED PROTEIN C-RELATED // APOSPORY-ASSOCIATED PROTEIN C-RELATED","GO:0005975 GO:0016853","","K01792","PF01263","PTHR11122 PTHR11122:SF10","Galactose mutarotase-like superfamily protein"
