"gene_id" "locusName" "Description" "colors"
"Manes.01G000465.v8.1" "Manes.01G000465" "(1 of 1) PTHR11661//PTHR11661:SF7 - 60S RIBOSOMAL PROTEIN L12 // 50S RIBOSOMAL PROTEIN L11, CHLOROPLASTIC-RELATED" "turquoise"
"Manes.01G001951.v8.1" "Manes.01G001951" NA "turquoise"
"Manes.01G003500.v8.1" "Manes.01G003500" "(1 of 9) PF00397 - WW domain (WW)" "turquoise"
"Manes.01G003700.v8.1" "Manes.01G003700" "(1 of 1) PTHR23056:SF44 - CALCINEURIN B-LIKE PROTEIN 2" "turquoise"
"Manes.01G004880.v8.1" "Manes.01G004880" "(1 of 1) K15171 - transcription elongation factor SPT4 (SUPT4H1, SPT4)" "turquoise"
"Manes.01G005233.v8.1" "Manes.01G005233" NA "turquoise"
"Manes.01G005584.v8.1" "Manes.01G005584" "(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1" "turquoise"
"Manes.01G008250.v8.1" "Manes.01G008250" "(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1" "turquoise"
"Manes.01G006200.v8.1" "Manes.01G006200" NA "turquoise"
"Manes.01G007100.v8.1" "Manes.01G007100" NA "turquoise"
"Manes.01G007600.v8.1" "Manes.01G007600" "(1 of 3) K18835 - WRKY transcription factor 2 (WRKY2)" "turquoise"
"Manes.01G007900.v8.1" "Manes.01G007900" "(1 of 14) PTHR13832//PTHR13832:SF286 - PROTEIN PHOSPHATASE 2C // PROTEIN PHOSPHATASE 2C 33-RELATED" "turquoise"
"Manes.01G008000.v8.1" "Manes.01G008000" "(1 of 2) K13342 - peroxin-5 (PEX5, PXR1)" "turquoise"
"Manes.01G009000.v8.1" "Manes.01G009000" NA "turquoise"
"Manes.01G009300.v8.1" "Manes.01G009300" NA "turquoise"
"Manes.01G010200.v8.1" "Manes.01G010200" NA "turquoise"
"Manes.01G012900.v8.1" "Manes.01G012900" "(1 of 2) K09313 - homeobox protein cut-like (CUTL)" "turquoise"
"Manes.01G012400.v8.1" "Manes.01G012400" NA "turquoise"
"Manes.01G011000.v8.1" "Manes.01G011000" "(1 of 1) PTHR31846:SF4 - CRS1 / YHBY (CRM) DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.01G013800.v8.1" "Manes.01G013800" NA "turquoise"
"Manes.01G014500.v8.1" "Manes.01G014500" "(1 of 2) PTHR31713//PTHR31713:SF15 - FAMILY NOT NAMED // PROTEIN SAR DEFICIENT 1" "turquoise"
"Manes.01G015500.v8.1" "Manes.01G015500" NA "turquoise"
"Manes.01G015600.v8.1" "Manes.01G015600" NA "turquoise"
"Manes.01G016600.v8.1" "Manes.01G016600" "(1 of 1) PTHR10314:SF110 - CYSTEINE SYNTHASE" "turquoise"
"Manes.01G017101.v8.1" "Manes.01G017101" NA "turquoise"
