gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G000031.v8.1,Manes.01G000031,(1 of 1) PTHR23198//PTHR23198:SF4 - NUCLEOPORIN // NUCLEOPORIN AUTOPEPTIDASE,turquoise,NA,gene
Manes.01G000155.v8.1,Manes.01G000155,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,purple,NA,gene
Manes.01G001900.v8.1,Manes.01G001900,(1 of 1) PTHR21654//PTHR21654:SF13 - FAMILY NOT NAMED // TRIHELIX TRANSCRIPTION FACTOR GTL1,turquoise,NA,gene
Manes.01G001951.v8.1,Manes.01G001951,,turquoise,NA,gene
Manes.01G001800.v8.1,Manes.01G001800,(1 of 1) 2.4.1.149 - N-acetyllactosaminide beta-1;3-N-acetylglucosaminyltransferase / Poly-N-acetyllactosamine extension enzyme,turquoise,NA,gene
Manes.01G001700.v8.1,Manes.01G001700,(1 of 8) PTHR24012//PTHR24012:SF490 - FAMILY NOT NAMED // UBP1-ASSOCIATED PROTEIN 2C,turquoise,NA,gene
Manes.01G001200.v8.1,Manes.01G001200,(1 of 1) 5.2.1.12 - Zeta-carotene isomerase / 15-cis-zeta-carotene isomerase,turquoise,carot,gene
Manes.01G001100.v8.1,Manes.01G001100,(1 of 1) PTHR13430//PTHR13430:SF3 - UNCHARACTERIZED // AUTOPHAGY-RELATED PROTEIN 13,black,NA,gene
Manes.01G003300.v8.1,Manes.01G003300,(1 of 4) PTHR11062:SF110 - EXOSTOSIN FAMILY PROTEIN,turquoise,NA,gene
Manes.01G003500.v8.1,Manes.01G003500,(1 of 9) PF00397 - WW domain (WW),turquoise,NA,gene
Manes.01G003700.v8.1,Manes.01G003700,(1 of 1) PTHR23056:SF44 - CALCINEURIN B-LIKE PROTEIN 2,turquoise,NA,gene
Manes.01G004880.v8.1,Manes.01G004880,(1 of 1) K15171 - transcription elongation factor SPT4 (SUPT4H1; SPT4),turquoise,NA,gene
Manes.01G005233.v8.1,Manes.01G005233,(1 of 3) PTHR22950//PTHR22950:SF228 - AMINO ACID TRANSPORTER // AMINO ACID PERMEASE 7-RELATED,turquoise,NA,gene
Manes.01G005500.v8.1,Manes.01G005500,(1 of 1) K06699 - proteasome activator subunit 4 (PSME4),black,NA,gene
Manes.01G005584.v8.1,Manes.01G005584,(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1,turquoise,NA,gene
Manes.01G005700.v8.1,Manes.01G005700,(1 of 7) PTHR13068//PTHR13068:SF18 - CGI-12 PROTEIN-RELATED // EMB|CAB62602.1,turquoise,NA,gene
Manes.01G006975.v8.1,Manes.01G006975,,turquoise,NA,gene
Manes.01G008250.v8.1,Manes.01G008250,(1 of 7) PTHR13068:SF18 - EMB|CAB62602.1,turquoise,NA,gene
Manes.01G006000.v8.1,Manes.01G006000,(1 of 7) K14945 - protein quaking (QKI),turquoise,NA,gene
Manes.01G006200.v8.1,Manes.01G006200,(1 of 2) PTHR23324:SF84 - PHOSPHATIDYLINOSITOL/PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH13-RELATED,black,NA,gene
Manes.01G007600.v8.1,Manes.01G007600,(1 of 3) K18835 - WRKY transcription factor 2 (WRKY2),turquoise,NA,gene
Manes.01G007900.v8.1,Manes.01G007900,(1 of 14) PTHR13832//PTHR13832:SF286 - PROTEIN PHOSPHATASE 2C // PROTEIN PHOSPHATASE 2C 33-RELATED,turquoise,NA,gene
Manes.01G008000.v8.1,Manes.01G008000,(1 of 2) K13342 - peroxin-5 (PEX5; PXR1),turquoise,NA,gene
Manes.01G008800.v8.1,Manes.01G008800,(1 of 1) K00297 - methylenetetrahydrofolate reductase (NADPH) (metF; MTHFR),turquoise,NA,gene
Manes.01G008900.v8.1,Manes.01G008900,(1 of 1) PTHR22884//PTHR22884:SF362 - SET DOMAIN PROTEINS // SUBFAMILY NOT NAMED,turquoise,NA,gene
Manes.01G009000.v8.1,Manes.01G009000,(1 of 1) K08342 - cysteine protease ATG4 (ATG4),turquoise,NA,gene
Manes.01G009300.v8.1,Manes.01G009300,(1 of 10) PF01535//PF13041//PF13812//PF14432 - PPR repeat (PPR) // PPR repeat family (PPR_2) // Pentatricopeptide repeat domain (PPR_3) // DYW family of nucleic acid deaminases (DYW_deaminase),turquoise,NA,gene
Manes.01G009800.v8.1,Manes.01G009800,(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN,purple,NA,gene
Manes.01G009900.v8.1,Manes.01G009900,(1 of 1) PTHR14217//PTHR14217:SF1 - FAMILY NOT NAMED // INOSITOL-TETRAKISPHOSPHATE 1-KINASE,black,NA,gene
