gene_id,locusName,Description,colors,class,gene_metabolite
Manes.01G000155.v8.1,Manes.01G000155,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,black,NA,gene
Manes.01G000279.v8.1,Manes.01G000279,,black,NA,gene
Manes.01G002500.v8.1,Manes.01G002500,(1 of 5) K14006 - protein transport protein SEC23 (SEC23),black,NA,gene
Manes.01G005233.v8.1,Manes.01G005233,(1 of 3) PTHR22950//PTHR22950:SF228 - AMINO ACID TRANSPORTER // AMINO ACID PERMEASE 7-RELATED,skyblue4,NA,gene
Manes.01G009800.v8.1,Manes.01G009800,(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN,black,NA,gene
Manes.01G012400.v8.1,Manes.01G012400,,black,NA,gene
Manes.01G012200.v8.1,Manes.01G012200,(1 of 3) PTHR31190:SF27 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR CRF1-RELATED,white,NA,gene
Manes.01G015400.v8.1,Manes.01G015400,(1 of 1) 2.4.1.227 - Undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase / Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase,bisque4,NA,gene
Manes.01G017151.v8.1,Manes.01G017151,(1 of 7) PF13191 - AAA ATPase domain (AAA_16),black,NA,gene
Manes.01G017500.v8.1,Manes.01G017500,,black,NA,gene
Manes.01G020300.v8.1,Manes.01G020300,,bisque4,NA,gene
Manes.01G022400.v8.1,Manes.01G022400,,black,NA,gene
Manes.01G024700.v8.1,Manes.01G024700,(1 of 2) PTHR31096:SF13 - ACT DOMAIN-CONTAINING PROTEIN 5,black,NA,gene
Manes.01G026800.v8.1,Manes.01G026800,(1 of 5) 3.1.1.31 - 6-phosphogluconolactonase,black,NA,gene
Manes.01G027100.v8.1,Manes.01G027100,(1 of 2) PTHR10693//PTHR10693:SF27 - RAS GTPASE-ACTIVATING PROTEIN-BINDING PROTEIN // NUCLEAR TRANSPORT FACTOR 2 AND RNA RECOGNITION MOTIF DOMAIN-CONTAINING PROTEIN,black,NA,gene
Manes.01G032000.v8.1,Manes.01G032000,(1 of 1) PTHR33133:SF1 - T24P13.3,lightcyan,NA,gene
Manes.01G034800.v8.1,Manes.01G034800,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,black,NA,gene
Manes.01G037300.v8.1,Manes.01G037300,(1 of 63) PF12937 - F-box-like (F-box-like),black,NA,gene
Manes.01G043000.v8.1,Manes.01G043000,(1 of 3) PTHR19308//PTHR19308:SF12 - PHOSPHATIDYLCHOLINE TRANSFER PROTEIN // SUBFAMILY NOT NAMED,lavenderblush2,NA,gene
Manes.01G043300.v8.1,Manes.01G043300,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),black,NA,gene
Manes.01G050300.v8.1,Manes.01G050300,,lavenderblush2,NA,gene
Manes.01G051530.v8.1,Manes.01G051530,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),black,NA,gene
Manes.01G048766.v8.1,Manes.01G048766,(1 of 2) PTHR11214//PTHR11214:SF7 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // SUBFAMILY NOT NAMED,skyblue4,NA,gene
Manes.01G045600.v8.1,Manes.01G045600,,plum3,NA,gene
Manes.01G048900.v8.1,Manes.01G048900,(1 of 2) PTHR11349//PTHR11349:SF53 - NUCLEOSIDE DIPHOSPHATE KINASE // NUCLEOSIDE DIPHOSPHATE KINASE-RELATED,lightcyan,NA,gene
Manes.01G052500.v8.1,Manes.01G052500,(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN,black,NA,gene
Manes.01G052600.v8.1,Manes.01G052600,(1 of 2) PTHR22765:SF50 - RING-H2 ZINC FINGER PROTEIN RHA4A,lightcyan,NA,gene
Manes.01G052108.v8.1,Manes.01G052108,(1 of 2) PTHR23322:SF1 - FAS-ASSOCIATED FACTOR 2,black,NA,gene
Manes.01G057400.v8.1,Manes.01G057400,(1 of 1) PTHR22912:SF97 - MONODEHYDROASCORBATE REDUCTASE; CHLOROPLASTIC,black,NA,gene
Manes.01G060400.v8.1,Manes.01G060400,(1 of 6) K12897 - transformer-2 protein (TRA2),lightcyan,NA,gene
Manes.01G069400.v8.1,Manes.01G069400,(1 of 10) K11254 - histone H4 (H4),black,NA,gene
Manes.01G070300.v8.1,Manes.01G070300,(1 of 2) PTHR10996:SF131 - GLYOXYLATE/HYDROXYPYRUVATE REDUCTASE HPR3,black,NA,gene
Manes.01G071400.v8.1,Manes.01G071400,(1 of 2) PTHR10634//PTHR10634:SF38 - AN1-TYPE ZINC FINGER PROTEIN // ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 1-RELATED,white,NA,gene
Manes.01G078200.v8.1,Manes.01G078200,(1 of 25) PF14547 - Hydrophobic seed protein (Hydrophob_seed),black,NA,gene
Manes.01G082400.v8.1,Manes.01G082400,(1 of 1) K08740 - DNA mismatch repair protein MSH4 (MSH4),black,NA,gene
Manes.01G084800.v8.1,Manes.01G084800,,black,NA,gene
Manes.01G085300.v8.1,Manes.01G085300,,lightcyan,NA,gene
Manes.01G085600.v8.1,Manes.01G085600,(1 of 3) PTHR27002//PTHR27002:SF34 - FAMILY NOT NAMED // G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE RLK1,black,NA,gene
Manes.01G086100.v8.1,Manes.01G086100,(1 of 2) PTHR31403:SF2 - PHOSPHOLIPASE A1-IBETA2; CHLOROPLASTIC,lightcyan,NA,gene
Manes.01G086200.v8.1,Manes.01G086200,(1 of 4) K13199 - plasminogen activator inhibitor 1 RNA-binding protein (SERBP1),black,NA,gene
Manes.01G087500.v8.1,Manes.01G087500,(1 of 1) PF00320//PF13919 - GATA zinc finger (GATA) // Asx homology domain (ASXH),black,NA,gene
Manes.01G087600.v8.1,Manes.01G087600,,lavenderblush2,NA,gene
Manes.01G088500.v8.1,Manes.01G088500,(1 of 2) PTHR14154//PTHR14154:SF14 - UPF0041 BRAIN PROTEIN 44-RELATED // SUBFAMILY NOT NAMED,white,NA,gene
Manes.01G090200.v8.1,Manes.01G090200,(1 of 1) PTHR22939//PTHR22939:SF99 - SERINE PROTEASE FAMILY S1C HTRA-RELATED // PROTEASE DO-LIKE 8; CHLOROPLASTIC,black,NA,gene
Manes.01G091600.v8.1,Manes.01G091600,(1 of 3) K14413 - beta-1;3-galactosyltransferase (GALT1),black,NA,gene
Manes.01G094700.v8.1,Manes.01G094700,(1 of 2) K15030 - translation initiation factor 3 subunit M (EIF3M),black,NA,gene
Manes.01G094800.v8.1,Manes.01G094800,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),black,NA,gene
Manes.01G101300.v8.1,Manes.01G101300,(1 of 3) PTHR33971:SF1 - GENOMIC DNA; CHROMOSOME 3; P1 CLONE:MRI12,black,NA,gene
Manes.01G103200.v8.1,Manes.01G103200,(1 of 4) PTHR11945//PTHR11945:SF155 - MADS BOX PROTEIN // AGAMOUS-LIKE MADS-BOX PROTEIN AGL8-RELATED,lightcyan,NA,gene
Manes.01G107300.v8.1,Manes.01G107300,(1 of 1) K12590 - exosome complex component RRP46 (RRP46; EXOSC5),black,NA,gene
Manes.01G108300.v8.1,Manes.01G108300,,lightcyan,NA,gene
Manes.01G115900.v8.1,Manes.01G115900,(1 of 1) KOG1421 - Predicted signaling-associated protein (contains a PDZ domain),black,NA,gene
Manes.01G116100.v8.1,Manes.01G116100,(1 of 1) PTHR11207//PTHR11207:SF8 - RIBONUCLEASE III // SUBFAMILY NOT NAMED,white,NA,gene
Manes.01G118000.v8.1,Manes.01G118000,(1 of 3) PTHR31448//PTHR31448:SF3 - FAMILY NOT NAMED // IFA-BINDING PROTEIN,plum3,NA,gene
Manes.01G119800.v8.1,Manes.01G119800,(1 of 2) K03247 - translation initiation factor 3 subunit H (EIF3H),lightcyan,NA,gene
Manes.01G122300.v8.1,Manes.01G122300,(1 of 2) 4.4.1.8 - Cystathionine beta-lyase / Cystine lyase,white,NA,gene
Manes.01G123700.v8.1,Manes.01G123700,(1 of 1) K03352 - anaphase-promoting complex subunit 5 (APC5),black,NA,gene
Manes.01G124200.v8.1,Manes.01G124200,(1 of 3) K02291 - phytoene synthase (crtB),black,carot,gene
Manes.01G124600.v8.1,Manes.01G124600,(1 of 1) PTHR11019//PTHR11019:SF112 - THIJ/PFPI // DJ-1/THIJ/PFPI FAMILY PROTEIN,skyblue4,NA,gene
Manes.01G124801.v8.1,Manes.01G124801,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,black,NA,gene
Manes.01G124900.v8.1,Manes.01G124900,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,black,NA,gene
Manes.01G126500.v8.1,Manes.01G126500,(1 of 1) K10867 - nijmegen breakage syndrome protein 1 (NBN; NBS1),white,NA,gene
Manes.01G127700.v8.1,Manes.01G127700,(1 of 3) PTHR32227//PTHR32227:SF127 - FAMILY NOT NAMED // CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN,skyblue4,NA,gene
Manes.01G129100.v8.1,Manes.01G129100,(1 of 1) K02433 - aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A (gatA; QRSL1),skyblue4,NA,gene
Manes.01G130300.v8.1,Manes.01G130300,(1 of 2) PF10392 - Golgi transport complex subunit 5 (COG5),white,NA,gene
