gene_id,locusName,Description,colors,class
Manes.01G000155.v8.1,Manes.01G000155,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,blue,NA
Manes.01G000279.v8.1,Manes.01G000279,NA,blue,NA
Manes.01G001951.v8.1,Manes.01G001951,NA,blue,NA
Manes.01G001600.v8.1,Manes.01G001600,(1 of 8) PTHR24012//PTHR24012:SF490 - FAMILY NOT NAMED // UBP1-ASSOCIATED PROTEIN 2C,magenta3,NA
Manes.01G005500.v8.1,Manes.01G005500,NA,blue,NA
Manes.01G006400.v8.1,Manes.01G006400,(1 of 1) K08905 - photosystem I subunit V (psaG),skyblue3,carb
Manes.01G009800.v8.1,Manes.01G009800,NA,blue,NA
Manes.01G012700.v8.1,Manes.01G012700,NA,blue,NA
Manes.01G012500.v8.1,Manes.01G012500,NA,red,NA
Manes.01G012400.v8.1,Manes.01G012400,NA,moccasin,NA
Manes.01G011300.v8.1,Manes.01G011300,(1 of 1) PTHR10759//PTHR10759:SF6 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED,blue,NA
Manes.01G011042.v8.1,Manes.01G011042,(1 of 2) PTHR12565:SF94 - TRANSCRIPTION FACTOR BEE 3,blue,NA
Manes.01G015800.v8.1,Manes.01G015800,(1 of 2) PTHR10682:SF10 - FI03258P,red,NA
Manes.01G016000.v8.1,Manes.01G016000,(1 of 2) 1.14.11.4 - Procollagen-lysine 5-dioxygenase / Procollagen-lysine;2-oxoglutarate 5-dioxygenase,moccasin,NA
Manes.01G016300.v8.1,Manes.01G016300,(1 of 3) K01866 - tyrosyl-tRNA synthetase (YARS; tyrS),blue,NA
Manes.01G017101.v8.1,Manes.01G017101,NA,blue,NA
Manes.01G017151.v8.1,Manes.01G017151,NA,blue,NA
Manes.01G017500.v8.1,Manes.01G017500,NA,blue,NA
Manes.01G020500.v8.1,Manes.01G020500,(1 of 4) PF10269 - Transmembrane Fragile-X-F protein (Tmemb_185A),blue,NA
Manes.01G022400.v8.1,Manes.01G022400,NA,blue,NA
Manes.01G022500.v8.1,Manes.01G022500,(1 of 5) PTHR31194//PTHR31194:SF14 - SHN  SHINE ; DNA BINDING / TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED,red,NA
Manes.01G026600.v8.1,Manes.01G026600,(1 of 1) K09564 - peptidyl-prolyl isomerase E (cyclophilin E) (PPIE),blue,NA
Manes.01G027100.v8.1,Manes.01G027100,(1 of 2) PTHR10693//PTHR10693:SF27 - RAS GTPASE-ACTIVATING PROTEIN-BINDING PROTEIN // NUCLEAR TRANSPORT FACTOR 2 AND RNA RECOGNITION MOTIF DOMAIN-CONTAINING PROTEIN,blue,NA
Manes.01G033600.v8.1,Manes.01G033600,(1 of 2) K02911 - large subunit ribosomal protein L32 (RP-L32; MRPL32; rpmF),red,NA
Manes.01G034200.v8.1,Manes.01G034200,(1 of 2) PTHR14304//PTHR14304:SF11 - P30 DBC PROTEIN // PROTEIN LST-3; ISOFORM A,red,NA
Manes.01G034800.v8.1,Manes.01G034800,NA,blue,NA
Manes.01G034900.v8.1,Manes.01G034900,(1 of 7) PTHR10891:SF574 - CALCIUM-BINDING PROTEIN CML30-RELATED,blue,NA
Manes.01G039500.v8.1,Manes.01G039500,(1 of 2) PTHR14221//PTHR14221:SF1 - WD REPEAT DOMAIN 44 // TRANSDUCIN/WD40 DOMAIN-CONTAINING PROTEIN,red,NA
Manes.01G039400.v8.1,Manes.01G039400,NA,red,NA
Manes.01G039300.v8.1,Manes.01G039300,(1 of 1) KOG1085 - Predicted methyltransferase (contains a SET domain),blue,NA
Manes.01G038000.v8.1,Manes.01G038000,(1 of 3) PTHR23074//PTHR23074:SF20 - AAA ATPASE // GH08677P,moccasin,NA
Manes.01G043300.v8.1,Manes.01G043300,NA,blue,NA
Manes.01G043900.v8.1,Manes.01G043900,NA,red,NA
Manes.01G044200.v8.1,Manes.01G044200,NA,skyblue3,NA
Manes.01G050700.v8.1,Manes.01G050700,NA,red,NA
Manes.01G051500.v8.1,Manes.01G051500,(1 of 1) PTHR33284//PTHR33284:SF1 - FAMILY NOT NAMED // RIBOSOMAL L25/TL5/CTC N-TERMINAL 5S RRNA BINDING DOMAIN-CONTAINING PROTEIN,blue,NA
Manes.01G051530.v8.1,Manes.01G051530,NA,blue,NA
Manes.01G048400.v8.1,Manes.01G048400,(1 of 3) K02881 - large subunit ribosomal protein L18 (RP-L18; MRPL18; rplR),magenta3,NA
Manes.01G047820.v8.1,Manes.01G047820,NA,blue,NA
Manes.01G049300.v8.1,Manes.01G049300,NA,skyblue3,NA
Manes.01G049601.v8.1,Manes.01G049601,NA,red,NA
Manes.01G045300.v8.1,Manes.01G045300,NA,blue,NA
Manes.01G052500.v8.1,Manes.01G052500,NA,blue,NA
Manes.01G052108.v8.1,Manes.01G052108,(1 of 2) PTHR23322:SF1 - FAS-ASSOCIATED FACTOR 2,blue,NA
Manes.01G053100.v8.1,Manes.01G053100,NA,red,NA
Manes.01G054600.v8.1,Manes.01G054600,NA,blue,NA
Manes.01G054800.v8.1,Manes.01G054800,(1 of 2) PTHR11214:SF106 - BETA-1;3-GALACTOSYLTRANSFERASE 6-RELATED,blue,carb
Manes.01G056000.v8.1,Manes.01G056000,(1 of 2) PTHR32227//PTHR32227:SF29 - FAMILY NOT NAMED // GLUCAN ENDO-1;3-BETA-GLUCOSIDASE 10-RELATED,blue,carb
Manes.01G056750.v8.1,Manes.01G056750,NA,magenta3,NA
Manes.01G057400.v8.1,Manes.01G057400,(1 of 1) PTHR22912:SF97 - MONODEHYDROASCORBATE REDUCTASE; CHLOROPLASTIC,blue,NA
Manes.01G057800.v8.1,Manes.01G057800,(1 of 2) PTHR11751//PTHR11751:SF380 - SUBGROUP I AMINOTRANSFERASE RELATED // 1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE 2-RELATED,moccasin,NA
Manes.01G062800.v8.1,Manes.01G062800,(1 of 2) 6.2.1.8 - Oxalate--CoA ligase / Oxalyl-CoA synthetase,blue,NA
Manes.01G063100.v8.1,Manes.01G063100,(1 of 18) PF07714//PF08263 - Protein tyrosine kinase (Pkinase_Tyr) // Leucine rich repeat N-terminal domain (LRRNT_2),blue,NA
Manes.01G070300.v8.1,Manes.01G070300,(1 of 2) PTHR10996:SF131 - GLYOXYLATE/HYDROXYPYRUVATE REDUCTASE HPR3,blue,NA
Manes.01G070700.v8.1,Manes.01G070700,(1 of 1) 3.6.1.21 - ADP-sugar diphosphatase / ADP-sugar pyrophosphatase,red,NA
Manes.01G071400.v8.1,Manes.01G071400,(1 of 2) PTHR10634//PTHR10634:SF38 - AN1-TYPE ZINC FINGER PROTEIN // ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 1-RELATED,skyblue3,NA
Manes.01G074000.v8.1,Manes.01G074000,(1 of 3) PTHR10366//PTHR10366:SF393 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED,blue,carb
Manes.01G074100.v8.1,Manes.01G074100,(1 of 1) PTHR10638:SF39 - AMINE OXIDASE-RELATED,blue,NA
Manes.01G078100.v8.1,Manes.01G078100,NA,red,NA
Manes.01G080300.v8.1,Manes.01G080300,NA,red,NA
Manes.01G080400.v8.1,Manes.01G080400,NA,skyblue3,NA
Manes.01G081800.v8.1,Manes.01G081800,NA,blue,NA
Manes.01G082400.v8.1,Manes.01G082400,(1 of 1) K08740 - DNA mismatch repair protein MSH4 (MSH4),blue,NA
Manes.01G084700.v8.1,Manes.01G084700,(1 of 2) 3.1.2.22 - Palmitoyl-protein hydrolase / Palmitoyl-protein thioesterase,red,NA
Manes.01G084800.v8.1,Manes.01G084800,NA,blue,NA
Manes.01G085600.v8.1,Manes.01G085600,(1 of 3) PTHR27002//PTHR27002:SF34 - FAMILY NOT NAMED // G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE RLK1,blue,NA
Manes.01G087050.v8.1,Manes.01G087050,(1 of 1) PTHR15680:SF10 - 50S RIBOSOMAL PROTEIN L19-1; CHLOROPLASTIC-RELATED,blue,NA
Manes.01G087400.v8.1,Manes.01G087400,NA,skyblue3,NA
Manes.01G087500.v8.1,Manes.01G087500,(1 of 1) PF00320//PF13919 - GATA zinc finger (GATA) // Asx homology domain (ASXH),blue,NA
Manes.01G088500.v8.1,Manes.01G088500,NA,blue,NA
Manes.01G090200.v8.1,Manes.01G090200,(1 of 1) PTHR22939//PTHR22939:SF99 - SERINE PROTEASE FAMILY S1C HTRA-RELATED // PROTEASE DO-LIKE 8; CHLOROPLASTIC,blue,NA
Manes.01G091600.v8.1,Manes.01G091600,(1 of 3) K14413 - beta-1;3-galactosyltransferase (GALT1),blue,carb
Manes.01G092400.v8.1,Manes.01G092400,NA,blue,NA
