gene_id,locusName,Description,colors,class
Manes.01G000155.v8.1,Manes.01G000155,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,brown,NA
Manes.01G000279.v8.1,Manes.01G000279,,brown,NA
Manes.01G001951.v8.1,Manes.01G001951,,brown,NA
Manes.01G001800.v8.1,Manes.01G001800,(1 of 1) 2.4.1.149 - N-acetyllactosaminide beta-1;3-N-acetylglucosaminyltransferase / Poly-N-acetyllactosamine extension enzyme,brown,carb
Manes.01G002500.v8.1,Manes.01G002500,(1 of 5) K14006 - protein transport protein SEC23 (SEC23),brown,NA
Manes.01G005500.v8.1,Manes.01G005500,(1 of 1) K06699 - proteasome activator subunit 4 (PSME4),brown,NA
Manes.01G010800.v8.1,Manes.01G010800,(1 of 7) PTHR13068//PTHR13068:SF18 - CGI-12 PROTEIN-RELATED // EMB|CAB62602.1,yellow,NA
Manes.01G009800.v8.1,Manes.01G009800,(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN,brown,NA
Manes.01G012500.v8.1,Manes.01G012500,,yellow,NA
Manes.01G012400.v8.1,Manes.01G012400,,brown,NA
Manes.01G011042.v8.1,Manes.01G011042,(1 of 2) PTHR12565:SF94 - TRANSCRIPTION FACTOR BEE 3,brown,NA
Manes.01G016300.v8.1,Manes.01G016300,(1 of 3) K01866 - tyrosyl-tRNA synthetase (YARS; tyrS),brown,NA
Manes.01G016600.v8.1,Manes.01G016600,(1 of 1) PTHR10314:SF110 - CYSTEINE SYNTHASE,brown,NA
Manes.01G017101.v8.1,Manes.01G017101,(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED,brown,NA
Manes.01G017151.v8.1,Manes.01G017151,(1 of 7) PF13191 - AAA ATPase domain (AAA_16),brown,NA
Manes.01G017500.v8.1,Manes.01G017500,,brown,NA
Manes.01G017700.v8.1,Manes.01G017700,(1 of 2) 3.1.2.2//3.1.2.20 - Palmitoyl-CoA hydrolase / Long-chain fatty-acyl-CoA hydrolase // Acyl-CoA hydrolase,yellow,NA
Manes.01G021100.v8.1,Manes.01G021100,(1 of 4) PTHR34359//PTHR34359:SF1 - FAMILY NOT NAMED // CLAVATA3/ESR (CLE)-RELATED PROTEIN 11-RELATED,yellow,NA
Manes.01G022400.v8.1,Manes.01G022400,,brown,NA
Manes.01G022500.v8.1,Manes.01G022500,(1 of 5) PTHR31194//PTHR31194:SF14 - SHN  SHINE ; DNA BINDING / TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED,brown,NA
Manes.01G024700.v8.1,Manes.01G024700,(1 of 2) PTHR31096:SF13 - ACT DOMAIN-CONTAINING PROTEIN 5,brown,NA
Manes.01G025500.v8.1,Manes.01G025500,(1 of 2) PTHR31964//PTHR31964:SF39 - FAMILY NOT NAMED // ADENINE NUCLEOTIDE ALPHA HYDROLASES-LIKE PROTEIN,brown,NA
Manes.01G026800.v8.1,Manes.01G026800,(1 of 5) 3.1.1.31 - 6-phosphogluconolactonase,yellow,carb
Manes.01G027100.v8.1,Manes.01G027100,(1 of 2) PTHR10693//PTHR10693:SF27 - RAS GTPASE-ACTIVATING PROTEIN-BINDING PROTEIN // NUCLEAR TRANSPORT FACTOR 2 AND RNA RECOGNITION MOTIF DOMAIN-CONTAINING PROTEIN,brown,NA
Manes.01G030500.v8.1,Manes.01G030500,(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2),skyblue3,NA
Manes.01G031700.v8.1,Manes.01G031700,(1 of 4) PTHR31558:SF1 - F7A19.6 PROTEIN-RELATED,skyblue3,NA
Manes.01G031900.v8.1,Manes.01G031900,(1 of 2) PTHR33133:SF7 - F26K24.10 PROTEIN,skyblue3,NA
Manes.01G033600.v8.1,Manes.01G033600,(1 of 2) K02911 - large subunit ribosomal protein L32 (RP-L32; MRPL32; rpmF),yellow,NA
Manes.01G033700.v8.1,Manes.01G033700,(1 of 3) PTHR31889//PTHR31889:SF2 - FAMILY NOT NAMED // FUCOSYLTRANSFERASE 2-RELATED,skyblue3,NA
Manes.01G034100.v8.1,Manes.01G034100,(1 of 1) KOG4555 - TPR repeat-containing protein,yellow,NA
Manes.01G034200.v8.1,Manes.01G034200,(1 of 2) PTHR14304//PTHR14304:SF11 - P30 DBC PROTEIN // PROTEIN LST-3; ISOFORM A,yellow,NA
Manes.01G034800.v8.1,Manes.01G034800,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,brown,NA
Manes.01G034900.v8.1,Manes.01G034900,(1 of 7) PTHR10891:SF574 - CALCIUM-BINDING PROTEIN CML30-RELATED,brown,NA
Manes.01G039400.v8.1,Manes.01G039400,(1 of 28) PF04398 - Protein of unknown function; DUF538 (DUF538),yellow,NA
Manes.01G038033.v8.1,Manes.01G038033,(1 of 1) KOG2948 - Predicted metal-binding protein,floralwhite,NA
Manes.01G038000.v8.1,Manes.01G038000,(1 of 3) PTHR23074//PTHR23074:SF20 - AAA ATPASE // GH08677P,brown,NA
Manes.01G043300.v8.1,Manes.01G043300,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),brown,NA
Manes.01G043800.v8.1,Manes.01G043800,,brown,NA
Manes.01G043900.v8.1,Manes.01G043900,(1 of 4) K03626 - nascent polypeptide-associated complex subunit alpha (EGD2; NACA),yellow,NA
Manes.01G044200.v8.1,Manes.01G044200,,floralwhite,NA
Manes.01G050700.v8.1,Manes.01G050700,(1 of 1) PTHR21495//PTHR21495:SF49 - NUCLEOPORIN-RELATED // SUBFAMILY NOT NAMED,yellow,NA
Manes.01G051500.v8.1,Manes.01G051500,(1 of 1) PTHR33284//PTHR33284:SF1 - FAMILY NOT NAMED // RIBOSOMAL L25/TL5/CTC N-TERMINAL 5S RRNA BINDING DOMAIN-CONTAINING PROTEIN,brown,NA
Manes.01G051530.v8.1,Manes.01G051530,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),brown,NA
Manes.01G046100.v8.1,Manes.01G046100,(1 of 1) PTHR37750:SF1 - COX19-LIKE CHCH FAMILY PROTEIN,yellow,NA
Manes.01G048000.v8.1,Manes.01G048000,(1 of 1) PTHR23257:SF454 - SERINE/THREONINE-PROTEIN KINASE QKGA-RELATED,yellow,NA
Manes.01G047820.v8.1,Manes.01G047820,,brown,NA
Manes.01G049300.v8.1,Manes.01G049300,,floralwhite,NA
Manes.01G049601.v8.1,Manes.01G049601,(1 of 4) PTHR31213//PTHR31213:SF4 - FAMILY NOT NAMED // ABSCISIC ACID RECEPTOR PYL7-RELATED,yellow,NA
Manes.01G045300.v8.1,Manes.01G045300,,brown,NA
Manes.01G052500.v8.1,Manes.01G052500,(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN,brown,NA
Manes.01G052600.v8.1,Manes.01G052600,(1 of 2) PTHR22765:SF50 - RING-H2 ZINC FINGER PROTEIN RHA4A,skyblue3,NA
Manes.01G052108.v8.1,Manes.01G052108,(1 of 2) PTHR23322:SF1 - FAS-ASSOCIATED FACTOR 2,brown,NA
Manes.01G053100.v8.1,Manes.01G053100,(1 of 2) PTHR10791//PTHR10791:SF41 - RAG1-ACTIVATING PROTEIN 1 // BIDIRECTIONAL SUGAR TRANSPORTER SWEET6-RELATED,yellow,NA
Manes.01G057400.v8.1,Manes.01G057400,(1 of 1) PTHR22912:SF97 - MONODEHYDROASCORBATE REDUCTASE; CHLOROPLASTIC,brown,NA
Manes.01G059500.v8.1,Manes.01G059500,(1 of 5) PTHR12174:SF41 - SIGNAL PEPTIDE PEPTIDASE-LIKE 4,yellow,NA
Manes.01G059600.v8.1,Manes.01G059600,(1 of 4) PTHR19139//PTHR19139:SF169 - AQUAPORIN TRANSPORTER // AQUAPORIN PIP1-4-RELATED,brown,NA
Manes.01G062800.v8.1,Manes.01G062800,(1 of 2) 6.2.1.8 - Oxalate--CoA ligase / Oxalyl-CoA synthetase,brown,NA
Manes.01G068400.v8.1,Manes.01G068400,(1 of 1) KOG1161//KOG2325 - Protein involved in vacuolar polyphosphate accumulation; contains SPX domain // Predicted transporter/transmembrane protein,skyblue3,NA
Manes.01G070300.v8.1,Manes.01G070300,(1 of 2) PTHR10996:SF131 - GLYOXYLATE/HYDROXYPYRUVATE REDUCTASE HPR3,brown,NA
Manes.01G070700.v8.1,Manes.01G070700,(1 of 1) 3.6.1.21 - ADP-sugar diphosphatase / ADP-sugar pyrophosphatase,yellow,NA
Manes.01G071400.v8.1,Manes.01G071400,(1 of 2) PTHR10634//PTHR10634:SF38 - AN1-TYPE ZINC FINGER PROTEIN // ZINC FINGER A20 AND AN1 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 1-RELATED,floralwhite,NA
Manes.01G074000.v8.1,Manes.01G074000,(1 of 3) PTHR10366//PTHR10366:SF393 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED,brown,carb
Manes.01G074100.v8.1,Manes.01G074100,(1 of 1) PTHR10638:SF39 - AMINE OXIDASE-RELATED,brown,NA
Manes.01G074700.v8.1,Manes.01G074700,,skyblue3,NA
Manes.01G078100.v8.1,Manes.01G078100,(1 of 25) PF14547 - Hydrophobic seed protein (Hydrophob_seed),yellow,NA
Manes.01G080300.v8.1,Manes.01G080300,(1 of 1) PTHR24074//PTHR24074:SF2//PTHR24078//PTHR24078:SF285 - FAMILY NOT NAMED // DNAJ HOMOLOG SUBFAMILY C MEMBER 11 HOMOLOG // DNAJ HOMOLOG SUBFAMILY C MEMBER // CHAPERONE PROTEIN DNAJ 13,yellow,NA
Manes.01G080400.v8.1,Manes.01G080400,,floralwhite,NA
Manes.01G080800.v8.1,Manes.01G080800,(1 of 1) PTHR22594//PTHR22594:SF6 - ASPARTYL/LYSYL-TRNA SYNTHETASE // ASPARAGINE--TRNA LIGASE; MITOCHONDRIAL,yellow,NA
Manes.01G081800.v8.1,Manes.01G081800,(1 of 8) PF08458 - Plant pleckstrin homology-like region (PH_2),brown,NA
Manes.01G082400.v8.1,Manes.01G082400,(1 of 1) K08740 - DNA mismatch repair protein MSH4 (MSH4),brown,NA
Manes.01G084700.v8.1,Manes.01G084700,(1 of 2) 3.1.2.22 - Palmitoyl-protein hydrolase / Palmitoyl-protein thioesterase,yellow,NA
Manes.01G084800.v8.1,Manes.01G084800,,brown,NA
Manes.01G087050.v8.1,Manes.01G087050,(1 of 1) PTHR15680:SF10 - 50S RIBOSOMAL PROTEIN L19-1; CHLOROPLASTIC-RELATED,brown,NA
Manes.01G087400.v8.1,Manes.01G087400,(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1,floralwhite,NA
Manes.01G087500.v8.1,Manes.01G087500,(1 of 1) PF00320//PF13919 - GATA zinc finger (GATA) // Asx homology domain (ASXH),brown,NA
Manes.01G087800.v8.1,Manes.01G087800,(1 of 2) PTHR31692//PTHR31692:SF10 - FAMILY NOT NAMED // EXPANSIN-LIKE B1,brown,NA
Manes.01G088500.v8.1,Manes.01G088500,(1 of 2) PTHR14154//PTHR14154:SF14 - UPF0041 BRAIN PROTEIN 44-RELATED // SUBFAMILY NOT NAMED,brown,NA
Manes.01G090200.v8.1,Manes.01G090200,(1 of 1) PTHR22939//PTHR22939:SF99 - SERINE PROTEASE FAMILY S1C HTRA-RELATED // PROTEASE DO-LIKE 8; CHLOROPLASTIC,brown,NA
Manes.01G091600.v8.1,Manes.01G091600,(1 of 3) K14413 - beta-1;3-galactosyltransferase (GALT1),brown,carb
Manes.01G092400.v8.1,Manes.01G092400,(1 of 1) PTHR12561//PTHR12561:SF9 - LIPOATE-PROTEIN LIGASE // BIOTIN/LIPOATE A/B PROTEIN LIGASE FAMILY PROTEIN,brown,NA
Manes.01G092700.v8.1,Manes.01G092700,(1 of 5) K14948 - polypyrimidine tract-binding protein 2 (PTBP2; NPTB),floralwhite,NA
Manes.01G093700.v8.1,Manes.01G093700,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),brown,NA
Manes.01G094800.v8.1,Manes.01G094800,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),brown,NA
Manes.01G098300.v8.1,Manes.01G098300,(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2),yellow,NA
Manes.01G099800.v8.1,Manes.01G099800,(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2),brown,NA
Manes.01G100000.v8.1,Manes.01G100000,(1 of 2) PTHR33021//PTHR33021:SF63 - FAMILY NOT NAMED // LAMIN-LIKE PROTEIN,yellow,NA
Manes.01G101300.v8.1,Manes.01G101300,(1 of 3) PTHR33971:SF1 - GENOMIC DNA; CHROMOSOME 3; P1 CLONE:MRI12,skyblue3,NA
Manes.01G104000.v8.1,Manes.01G104000,(1 of 6) K02936 - large subunit ribosomal protein L7Ae (RP-L7Ae; RPL7A),brown,NA
Manes.01G104200.v8.1,Manes.01G104200,(1 of 2) PTHR12565//PTHR12565:SF85 - STEROL REGULATORY ELEMENT-BINDING PROTEIN // TRANSCRIPTION FACTOR BIM3,yellow,NA
Manes.01G106000.v8.1,Manes.01G106000,(1 of 1) K16750 - biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC1S2),yellow,NA
Manes.01G107300.v8.1,Manes.01G107300,(1 of 1) K12590 - exosome complex component RRP46 (RRP46; EXOSC5),brown,NA
Manes.01G109600.v8.1,Manes.01G109600,(1 of 6) K10839 - UV excision repair protein RAD23 (RAD23; HR23),yellow,NA
Manes.01G115900.v8.1,Manes.01G115900,(1 of 1) KOG1421 - Predicted signaling-associated protein (contains a PDZ domain),brown,NA
Manes.01G118500.v8.1,Manes.01G118500,(1 of 2) PTHR19965:SF33 - THO COMPLEX SUBUNIT 4D,brown,NA
Manes.01G123700.v8.1,Manes.01G123700,(1 of 1) K03352 - anaphase-promoting complex subunit 5 (APC5),brown,NA
Manes.01G124801.v8.1,Manes.01G124801,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,brown,NA
Manes.01G124900.v8.1,Manes.01G124900,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,brown,NA
Manes.01G125000.v8.1,Manes.01G125000,(1 of 1) PTHR31384//PTHR31384:SF2//PTHR31384:SF33 - FAMILY NOT NAMED // AUXIN RESPONSE FACTOR 8 // SUBFAMILY NOT NAMED,skyblue3,NA
Manes.01G125500.v8.1,Manes.01G125500,(1 of 6) K17964 - leucine-rich PPR motif-containing protein; mitochondrial (LRPPRC),yellow,NA
Manes.01G126500.v8.1,Manes.01G126500,(1 of 1) K10867 - nijmegen breakage syndrome protein 1 (NBN; NBS1),skyblue3,NA
Manes.01G129900.v8.1,Manes.01G129900,(1 of 2) PTHR10015//PTHR10015:SF172 - HEAT SHOCK TRANSCRIPTION FACTOR // SUBFAMILY NOT NAMED,skyblue3,NA
Manes.01G130400.v8.1,Manes.01G130400,(1 of 2) PTHR31479//PTHR31479:SF3 - FAMILY NOT NAMED // GB|AAD29063.1,brown,NA
Manes.01G131100.v8.1,Manes.01G131100,(1 of 2) PTHR13683//PTHR13683:SF250 - ASPARTYL PROTEASES // ASPARTYL PROTEASE-LIKE PROTEIN,brown,NA
Manes.01G131702.v8.1,Manes.01G131702,(1 of 4) PTHR12862//PTHR12862:SF6 - BADF TYPE ATPASE DOMAIN-CONTAINING PROTEIN // ACTIN-LIKE ATPASE SUPERFAMILY PROTEIN,yellow,NA
Manes.01G132100.v8.1,Manes.01G132100,(1 of 1) PTHR23105//PTHR23105:SF51 - RIBOSOMAL PROTEIN L7AE FAMILY MEMBER // SUBFAMILY NOT NAMED,yellow,NA
Manes.01G132500.v8.1,Manes.01G132500,(1 of 1) PTHR18934:SF112 - DEA(D/H)-BOX RNA HELICASE FAMILY PROTEIN,yellow,NA
Manes.01G132600.v8.1,Manes.01G132600,(1 of 13) PF05097 - Protein of unknown function (DUF688) (DUF688),skyblue3,NA
Manes.01G134400.v8.1,Manes.01G134400,(1 of 2) K11093 - U1 small nuclear ribonucleoprotein 70kDa (SNRP70),yellow,NA
Manes.01G136850.v8.1,Manes.01G136850,(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT,brown,NA
Manes.01G137500.v8.1,Manes.01G137500,(1 of 3) PTHR10286//PTHR10286:SF13 - INORGANIC PYROPHOSPHATASE // INORGANIC PYROPHOSPHATASE-LIKE PROTEIN,brown,NA
Manes.01G138100.v8.1,Manes.01G138100,(1 of 1) PTHR31451//PTHR31451:SF8 - FAMILY NOT NAMED // MANNAN ENDO-1;4-BETA-MANNOSIDASE 3-RELATED,yellow,carb
Manes.01G138200.v8.1,Manes.01G138200,(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2),brown,NA
Manes.01G138400.v8.1,Manes.01G138400,(1 of 1) PTHR31009//PTHR31009:SF9 - S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN // SUBFAMILY NOT NAMED,brown,NA
Manes.01G140000.v8.1,Manes.01G140000,,yellow,NA
