"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.12G111100.v8.1",29.8124610249316,-0.91100032239615,0.158690464392684,-5.7407376421929,9.42650355321867e-09,0.000151512191610884,"Manes.12G111100","PWY-6824; PWY-5466; PWY-7445; PWY-7214","justicidin B biosynthesis; matairesinol biosynthesis; luteolin triglucuronide degradation; baicalein degradation (hydrogen peroxide detoxification)","peroxidase activity; response to oxidative stress; heme binding",NA,"(1 of 2) PTHR31517:SF3 - PEROXIDASE 35-RELATED","GO:0004601 GO:0006979 GO:0020037 GO:0055114","","K00430","PF00141","PTHR31517 PTHR31517:SF3","root hair specific 19"
"2","Manes.11G017400.v8.1",38.4259940673835,-0.794125407029742,0.144397454278236,-5.49958038387272,3.80696126067147e-08,0.000152973220856931,"Manes.11G017400","","","",NA,"(1 of 11) PF07911 - Protein of unknown function (DUF1677) (DUF1677)","","","","PF07911","PTHR33108 PTHR33108:SF15","Protein of unknown function (DUF1677)"
"3","Manes.15G187800.v8.1",441.065437487439,-0.575194997075879,0.103824106284059,-5.54009100258628,3.02314506239174e-08,0.000152973220856931,"Manes.15G187800","","","hydrolase activity",NA,"(1 of 4) PTHR21562//PTHR21562:SF4 - NOTUM-RELATED // PECTINACETYLESTERASE FAMILY PROTEIN","GO:0016787","","","PF03283","PTHR21562 PTHR21562:SF4","Pectinacetylesterase family protein"
"4","Manes.17G010400.v8.1",8.18149448429859,-0.981946848742043,0.177585610429693,-5.5294280114593,3.21276606319307e-08,0.000152973220856931,"Manes.17G010400","","","",NA,"","","","","","PTHR35297 PTHR35297:SF2",""
"5","Manes.02G146400.v8.1",12.4334628169405,-0.926569428107579,0.176481912410879,-5.25022318406416,1.51915036465334e-07,0.000488346076221461,"Manes.02G146400","PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation","glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process","carb","(1 of 2) PTHR11469:SF9 - GLUCOSE-6-PHOSPHATE ISOMERASE 1, CHLOROPLASTIC","GO:0004347 GO:0006094 GO:0006096","","K01810","PF00342","PTHR11469 PTHR11469:SF9","phosphoglucose isomerase 1"
"6","Manes.01G006300.v8.1",473.257386263423,-0.571840517615687,0.1103213739908,-5.18340641463888,2.17869572657166e-07,0.000583636273553106,"Manes.01G006300","","","",NA,"(1 of 3) PTHR31533:SF2 - GPI-ANCHORED PROTEIN LORELEI-RELATED","","","","","PTHR31533 PTHR31533:SF2","LORELEI-LIKE-GPI-ANCHORED PROTEIN 1"
"7","Manes.16G094900.v8.1",245.042333141893,-0.708115851931582,0.138323217251569,-5.11928413755537,3.06697589639042e-07,0.000704221479752618,"Manes.16G094900","","","serine-type endopeptidase activity; proteolysis",NA,"(1 of 1) KOG1153 - Subtilisin-related protease/Vacuolar protease B","GO:0004252 GO:0006508","KOG1153","","PF00082 PF02225 PF05922","PTHR10795 PTHR10795:SF434","Subtilase family protein"
"8","Manes.01G194000.v8.1",4180.52156653514,0.3476458142767,0.0699292544998026,4.97139311384595,6.647350871404e-07,0.00106222499970462,"Manes.01G194000","","","nucleic acid binding; zinc ion binding",NA,"(1 of 4) PTHR12374:SF26 - F25A4.19 PROTEIN","GO:0003676 GO:0008270","","","PF00249","PTHR12374 PTHR12374:SF26","myb-like transcription factor family protein"
"9","Manes.11G012500.v8.1",33.1723861612473,-0.88137300801985,0.177741671677933,-4.95873027241969,7.09554001459258e-07,0.00106222499970462,"Manes.11G012500","PWY-1081","homogalacturonan degradation","enzyme inhibitor activity; cell wall; pectinesterase activity; cell wall modification",NA,"(1 of 3) PTHR31707//PTHR31707:SF55 - FAMILY NOT NAMED // PECTINESTERASE 2-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","K01051","PF01095 PF04043","PTHR31707 PTHR31707:SF55","pectin methylesterase 3"
"10","Manes.11G085200.v8.1",44.4367408875185,0.79428263724641,0.160330979377226,4.95401849556239,7.26962918979083e-07,0.00106222499970462,"Manes.11G085200","","","",NA,"(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408)","","","","PF14364","PTHR33640 PTHR33640:SF3","(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)"
"11","Manes.18G022000.v8.1",68.6508665195423,-0.602350801184305,0.120577355234308,-4.99555492831804,5.86668221284069e-07,0.00106222499970462,"Manes.18G022000","","","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; carbohydrate binding",NA,"(1 of 1) PTHR23421:SF51 - BETA-GALACTOSIDASE 5","GO:0004553 GO:0005975 GO:0030246","","","PF01301 PF02140","PTHR23421 PTHR23421:SF51",""
"12","Manes.01G251400.v8.1",6.7909345422993,-1.03126708311796,0.210626051567699,-4.89619909523153,9.77080753128322e-07,0.00130238107576701,"Manes.01G251400","PWY-7601","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)","lipid metabolic process; oxidoreductase activity",NA,"(1 of 4) 1.14.19.4 - Delta(8)-fatty-acid desaturase / SLD","GO:0006629 GO:0016021 GO:0016491","KOG4232","K13076","PF00173 PF00487","PTHR19353 PTHR19353:SF28","Fatty acid/sphingolipid desaturase"
"13","Manes.11G027200.v8.1",42.5577376715404,-0.780768446236362,0.161205681597669,-4.84330600819004,1.2769639174546e-06,0.00130238107576701,"Manes.11G027200","","","monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding",NA,"(1 of 1) K12638 - 3-epi-6-deoxocathasterone 23-monooxygenase (CYP90D1)","GO:0004497 GO:0005506 GO:0016705 GO:0020037 GO:0055114","KOG0157","K12638","PF00067","PTHR24286 PTHR24286:SF30","cytochrome P450, family 90, subfamily D, polypeptide 1"
"14","Manes.11G096600.v8.1",240.445941053698,-0.610026048184729,0.126594788221318,-4.81872956032167,1.44475228739732e-06,0.00130238107576701,"Manes.11G096600","","","transporter activity; transport; membrane",NA,"(1 of 4) PTHR19139:SF152 - AQUAPORIN PIP2-7","GO:0005215 GO:0006810 GO:0016020","KOG0223","K09872","PF00230","PTHR19139 PTHR19139:SF152","plasma membrane intrinsic protein 2;8"
"15","Manes.12G060500.v8.1",120.958627180162,-0.688646368250909,0.142908342822519,-4.81879752189244,1.44426031599639e-06,0.00130238107576701,"Manes.12G060500","","","",NA,"(1 of 2) PTHR32077:SF3 - FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 7","","","","PF02469","PTHR32077 PTHR32077:SF3","FASCICLIN-like arabinoogalactan 7"
"16","Manes.12G146600.v8.1",2167.69606146207,-0.367016814748733,0.0760558400434288,-4.82562304931694,1.39566262594597e-06,0.00130238107576701,"Manes.12G146600","PWY-1001","cellulose biosynthesis","protein binding; zinc ion binding",NA,"(1 of 3) 2.4.1.12//2.4.1.29 - Cellulose synthase (UDP-forming) / UDP-glucose-cellulose glucosyltransferase // Cellulose synthase (GDP-forming) / GDP-glucose-cellulose glucosyltransferase","GO:0005515 GO:0008270","","K10999","PF13632 PF14569","PTHR13301 PTHR13301:SF43","cellulose synthase A2"
"17","Manes.12G148100.v8.1",1367.26567696401,-0.319298134465262,0.0655685395265629,-4.86968501617927,1.11776282270022e-06,0.00130238107576701,"Manes.12G148100","PWY-1001","cellulose biosynthesis","protein binding; zinc ion binding",NA,"(1 of 3) 2.4.1.29 - Cellulose synthase (GDP-forming) / GDP-glucose-cellulose glucosyltransferase","GO:0005515 GO:0008270","","K10999","PF13632 PF14569","PTHR13301 PTHR13301:SF43","cellulose synthase A2"
"18","Manes.13G017600.v8.1",97.0080445935067,0.435057549327888,0.0903201901295471,4.81683606626471,1.45852419360457e-06,0.00130238107576701,"Manes.13G017600","PWY-7511","protein ubiquitylation","ubiquitin-protein transferase activity; protein binding; protein ubiquitination",NA,"(1 of 2) PTHR22849//PTHR22849:SF8 - WDSAM1 PROTEIN // U-BOX DOMAIN-CONTAINING PROTEIN 45-RELATED","GO:0004842 GO:0005515 GO:0016567","","","PF04564","PTHR22849 PTHR22849:SF8","ARM repeat superfamily protein"
"19","Manes.13G141800.v8.1",1054.79285014328,0.357943785600303,0.0748499211444764,4.7821531422778,1.73427471580235e-06,0.00146710513195216,"Manes.13G141800","","","DNA binding; DNA-templated transcription; regulation of DNA-templated transcription",NA,"(1 of 1) PF00046//PF02791//PF05066//PF15613//PF15614 - Homeobox domain (Homeobox) // DDT domain (DDT) // HB1, ASXL, restriction endonuclease HTH domain (HARE-HTH) // WSTF, HB1, Itc1p, MBD9 motif 2 (WHIM2) // WSTF, HB1, Itc1p, MBD9 motif 3 (WHIM3)","GO:0003677 GO:0006351 GO:0006355","KOG0484","","PF00046 PF02791 PF05066 PF15613 PF15614","PTHR36968 PTHR36968:SF1","Homeodomain-like transcriptional regulator"
"20","Manes.02G199300.v8.1",19.1035087406167,-0.665536397991428,0.139912724169434,-4.75679679558997,1.96688979144781e-06,0.00148034585859702,"Manes.02G199300","","","protein kinase activity; protein tyrosine kinase activity; protein binding; ATP binding; protein phosphorylation",NA,"(1 of 2) PTHR27000//PTHR27000:SF97 - FAMILY NOT NAMED // LEUCINE-RICH RECEPTOR-LIKE PROTEIN KINASE","GO:0004672 GO:0004713 GO:0005515 GO:0005524 GO:0006468","KOG1187","","PF00069 PF00560 PF08263 PF13855","PTHR27000 PTHR27000:SF97","Leucine-rich receptor-like protein kinase family protein"
"21","Manes.04G149200.v8.1",20.1229528106585,-1.26799853925478,0.266902649024211,-4.75079038702145,2.0262308771937e-06,0.00148034585859702,"Manes.04G149200","","","response to auxin",NA,"(1 of 129) PF02519 - Auxin responsive protein (Auxin_inducible)","GO:0009733","","","PF02519","PTHR31374 PTHR31374:SF25","SAUR-like auxin-responsive protein family"
"22","Manes.09G113600.v8.1",1724.88976798376,0.211092138917076,0.0443914703768198,4.75524097591738,1.98209846802425e-06,0.00148034585859702,"Manes.09G113600","","","actin binding; cytoskeleton; actin cytoskeleton organization",NA,"(1 of 2) PTHR12902//PTHR12902:SF12 - WASP-1 // PROTEIN SCAR2-RELATED","GO:0003779 GO:0005856 GO:0030036","","","","PTHR12902 PTHR12902:SF12","SCAR homolog 2"
"23","Manes.01G087500.v8.1",176.934175390987,0.265252901094653,0.0560054947911112,4.73619422672705,2.17768896304885e-06,0.00152182585665583,"Manes.01G087500","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; zinc ion binding; sequence-specific DNA binding",NA,"(1 of 1) PF00320//PF13919 - GATA zinc finger (GATA) // Asx homology domain (ASXH)","GO:0003700 GO:0006355 GO:0008270 GO:0043565","","","PF00320 PF13919","PTHR10071 PTHR10071:SF159","GATA transcription factor 26"
"24","Manes.14G135400.v8.1",206.771849462071,-0.298201507433016,0.0632446321282214,-4.7150484934191,2.41653188867713e-06,0.00161837154361281,"Manes.14G135400","","","transmembrane transport",NA,"(1 of 2) PTHR31419:SF2 - AUXIN EFFLUX CARRIER FAMILY PROTEIN","GO:0016021 GO:0055085","KOG2722","","PF03547","PTHR31419 PTHR31419:SF2","Auxin efflux carrier family protein"
"25","Manes.12G062800.v8.1",93.6235783931325,0.4019168063018,0.085704194816558,4.68958149787261,2.73764383376611e-06,0.00162970923481936,"Manes.12G062800","TRNA-CHARGING-PWY","tRNA charging","nucleotide binding; aminoacyl-tRNA ligase activity; threonine-tRNA ligase activity; ATP binding; cytoplasm; tRNA aminoacylation for protein translation; threonyl-tRNA aminoacylation; tRNA aminoacylation",NA,"(1 of 1) PTHR11451:SF32 - THREONYL-TRNA SYNTHETASE / THREONINE--TRNA LIGASE-RELATED","GO:0000166 GO:0004812 GO:0004829 GO:0005524 GO:0005737 GO:0006418 GO:0006435 GO:0016876 GO:0043039","KOG1637","K01868","PF00587 PF03129 PF07973","PTHR11451 PTHR11451:SF32","threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative"
"26","Manes.17G110400.v8.1",157.336790878977,-0.370079284711544,0.0788541807463131,-4.69321069864577,2.68950233761618e-06,0.00162970923481936,"Manes.17G110400","","","protein binding; zinc ion binding",NA,"(1 of 3) PTHR10857:SF28 - E3 UBIQUITIN-PROTEIN LIGASE RGLG1-RELATED","GO:0005515 GO:0008270","KOG4172","K16280","PF07002 PF13920","PTHR10857 PTHR10857:SF28","RING domain ligase2"
"27","Manes.18G048400.v8.1",31.0629279599977,-0.365852895848072,0.0779890653622808,-4.69107937309652,2.71767507565224e-06,0.00162970923481936,"Manes.18G048400","PWY-7511","protein ubiquitylation","ubiquitin-protein transferase activity; protein ubiquitination",NA,"(1 of 5) PTHR22849//PTHR22849:SF6 - WDSAM1 PROTEIN // U-BOX DOMAIN-CONTAINING PROTEIN 30-RELATED","GO:0004842 GO:0016567","","","PF04564 PF05804","PTHR22849 PTHR22849:SF6",""
"28","Manes.08G099000.v8.1",529.033477650984,-0.705678253237174,0.151054924039828,-4.67166666510725,2.98765532989931e-06,0.0016558822109473,"Manes.08G099000","","","hydrolase activity, hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast",NA,"(1 of 3) PTHR31062//PTHR31062:SF15 - FAMILY NOT NAMED // XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 4-RELATED","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235","PF00722 PF06955","PTHR31062 PTHR31062:SF15","xyloglucan endotransglucosylase/hydrolase 5"
"29","Manes.18G050700.v8.1",169.61033591613,-0.768418549689905,0.164252092621971,-4.6782877309115,2.89280428115475e-06,0.0016558822109473,"Manes.18G050700","PWY-5936; PWY-1001","xyloglucan biosynthesis; cellulose biosynthesis","",NA,"(1 of 2) PTHR32044//PTHR32044:SF7 - FAMILY NOT NAMED // XYLOGLUCAN GLYCOSYLTRANSFERASE 12-RELATED","","","","PF13632","PTHR32044 PTHR32044:SF7","Cellulose-synthase-like C12"
"30","Manes.18G082000.v8.1",88.9940218790511,0.325131295666808,0.0698882304725666,4.65216093565901,3.28474557998703e-06,0.00175985719023772,"Manes.18G082000","","","protein kinase activity; protein binding; ATP binding; protein phosphorylation; zinc ion binding",NA,"(1 of 1) PTHR22844//PTHR22844:SF215 - F-BOX AND WD40 DOMAIN PROTEIN // SUBFAMILY NOT NAMED","GO:0004672 GO:0005515 GO:0005524 GO:0006468 GO:0008270","KOG0272 KOG0279 KOG0313","","PF00400 PF13639","PTHR22844 PTHR22844:SF215","zinc ion binding"
"31","Manes.01G185800.v8.1",37.7831186764597,0.461803547139901,0.0996057198965762,4.63631554110955,3.54674410178868e-06,0.00178676672765123,"Manes.01G185800","","","structural constituent of ribosome; intracellular anatomical structure; ribosome; translation",NA,"(1 of 1) PTHR10759//PTHR10759:SF9 - 60S RIBOSOMAL PROTEIN L34 // SUBFAMILY NOT NAMED","GO:0003735 GO:0005622 GO:0005840 GO:0006412","","","PF07891","PTHR10759 PTHR10759:SF9","Protein of unknown function (DUF1666)"
"32","Manes.14G081800.v8.1",247.896563152872,-0.335054603381353,0.0722770133126172,-4.63570073008071,3.55730325918244e-06,0.00178676672765123,"Manes.14G081800","PWY-5936","xyloglucan biosynthesis","glycosyltransferase activity",NA,"(1 of 2) PTHR31311//PTHR31311:SF4 - FAMILY NOT NAMED // GLYCOSYLTRANSFERASE 3-RELATED","GO:0016021 GO:0016757","KOG4748","K08238","PF05637","PTHR31311 PTHR31311:SF4","xyloglucan xylosyltransferase 5"
"33","Manes.04G103300.v8.1",172.857331364139,0.228434314111164,0.0494668309658277,4.61792901730392,3.8758877854911e-06,0.00183226895224113,"Manes.04G103300","","","",NA,"(1 of 1) PTHR12663//PTHR12663:SF5 - ANDROGEN INDUCED INHIBITOR OF PROLIFERATION  AS3  / PDS5-RELATED // SUBFAMILY NOT NAMED","","","","","PTHR12663 PTHR12663:SF5","Tudor/PWWP/MBT superfamily protein"
"34","Manes.17G014001.v8.1",41.868743205863,-0.462129900428121,0.100047236008595,-4.61911711772248,3.85376300027084e-06,0.00183226895224113,"Manes.17G014001","","","",NA,"","","","","","PTHR31696 PTHR31696:SF6",""
"35","Manes.17G106600.v8.1",45.3982478643411,0.749167739289312,0.162541140381288,4.60909611887748,4.04423342538135e-06,0.00185722753846156,"Manes.17G106600","","","",NA,"(1 of 5) PTHR33595:SF3 - EMB|CAB62340.1-RELATED","","","","","PTHR33595 PTHR33595:SF3","(1 of 6) PTHR33595:SF3 - EMB"
"36","Manes.06G046300.v8.1",114.033477764723,0.306617563781343,0.0667581083619033,4.59296363101145,4.36995243474784e-06,0.00190656979485423,"Manes.06G046300","","","",NA,"(1 of 1) PTHR21373:SF0 - N-ALPHA-ACETYLTRANSFERASE 35, NATC AUXILIARY SUBUNIT","","KOG2343","","PF04112","PTHR21373 PTHR21373:SF0","MAK10 homologue"
"37","Manes.09G169700.v8.1",167.033766075026,0.652688123977351,0.142134053681375,4.59206015076794,4.38891821126152e-06,0.00190656979485423,"Manes.09G169700","","","metal ion transport; metal ion binding",NA,"(1 of 4) PTHR22814//PTHR22814:SF75 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // HEAVY METAL TRANSPORT/DETOXIFICATION DOMAIN-CONTAINING PROTEIN","GO:0030001 GO:0046872","KOG1603","","PF00403","PTHR22814 PTHR22814:SF75","Heavy metal transport/detoxification superfamily protein"
"38","Manes.02G071900.v8.1",192.318031391106,-0.443688300024116,0.0972703242264883,-4.56139427469177,5.08150608806354e-06,0.00190893729412483,"Manes.02G071900","","","",NA,"(1 of 1) PTHR34201//PTHR34201:SF2 - FAMILY NOT NAMED // GLYCINE-RICH PROTEIN","","","","","PTHR34201 PTHR34201:SF2",""
"39","Manes.03G020500.v8.1",84.0417914635812,0.71547817049291,0.15694054432782,4.55891225277265,5.14192480318777e-06,0.00190893729412483,"Manes.03G020500","","","DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 2) PTHR10015//PTHR10015:SF187 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR C-1","GO:0003700 GO:0005634 GO:0006355 GO:0043565","","","PF00447","PTHR10015 PTHR10015:SF187","heat shock transcription factor  C1"
"40","Manes.08G108100.v8.1",158.485952696539,-0.365531220607108,0.0802382245374731,-4.55557463682906,5.22425609370198e-06,0.00190893729412483,"Manes.08G108100","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 1569) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","","PF00069","PTHR27001 PTHR27001:SF82","Protein kinase superfamily protein"
"41","Manes.13G017200.v8.1",163.047814102231,0.337954809180281,0.074185860176894,4.55551513960258,5.22573514225673e-06,0.00190893729412483,"Manes.13G017200","","","",NA,"(1 of 16) PF10358 - N-terminal C2 in EEIG1 and EHBP1 proteins (NT-C2)","","","","PF10358","PTHR31344 PTHR31344:SF5","(1 of 12) PF10358 - N-terminal C2 in EEIG1 and EHBP1 proteins (NT-C2)"
"42","Manes.13G097800.v8.1",964.89417572985,0.531918604952339,0.116727227805259,4.55693684287407,5.19050229290827e-06,0.00190893729412483,"Manes.13G097800","","","protein binding; zinc ion binding",NA,"(1 of 7) K10664 - E3 ubiquitin-protein ligase ATL6/9/15/31/42/55 [EC:6.3.2.19] (ATL6S)","GO:0005515 GO:0008270","","K10664","PF13639","PTHR14155",""
"43","Manes.18G038901.v8.1",123.477332895104,-0.629012556875392,0.137792093271152,-4.56493940938686,4.99638626673256e-06,0.00190893729412483,"Manes.18G038901","","","",NA,"(1 of 2) PTHR31852:SF44 - EMB|CAB53482.1","","","","PF03168","PTHR31852 PTHR31852:SF44","(1 of 2) PTHR31852:SF44 - EMB"
"44","Manes.18G047500.v8.1",73.8387282150701,-0.837387439239427,0.182909086671664,-4.57816205021351,4.69079248786249e-06,0.00190893729412483,"Manes.18G047500","","","",NA,"","","","","","PTHR33347 PTHR33347:SF1",""
"45","Manes.09G155200.v8.1",67.2387484904894,-0.556972143400653,0.122484585718629,-4.54728356333856,5.43427587038827e-06,0.00194100257921668,"Manes.09G155200","","","",NA,"(1 of 2) PTHR11034//PTHR11034:SF24 - N-MYC DOWNSTREAM REGULATED // SUBFAMILY NOT NAMED","","KOG2931","","PF03096","PTHR11034 PTHR11034:SF24",""
"46","Manes.04G149500.v8.1",190.364045071179,0.442401050844693,0.0978813881242224,4.51976682516228,6.190777820492e-06,0.00211711429593123,"Manes.04G149500","","","vacuole organization; phosphatidylinositol-3-phosphate biosynthetic process; phosphoric ester hydrolase activity",NA,"(1 of 2) PTHR11200//PTHR11200:SF122 - INOSITOL 5-PHOSPHATASE // PHOSPHOINOSITIDE PHOSPHATASE SAC3-RELATED","GO:0007033 GO:0036092 GO:0042578","","","PF02383","PTHR11200 PTHR11200:SF122","Phosphoinositide phosphatase family protein"
