"Abbreviation","Best-hit-arabi-defline","bicor","class","colors","cor_direction","Description","gene_id","gene_metabolite","GO","GODescription","interaction_class","name","Pathways","Pathways_Desc","selected","shared name","source_class","sourceNode","target_class","targetNode"
"","",,"NA","purple","","(1 of 2) PTHR31062//PTHR31062:SF16 - FAMILY NOT NAMED // XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 29-RELATED","Manes.15G192300.v8.1","gene","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","hydrolase activity","","Manes.15G192300","hydrolyzing O-glycosyl compounds; cell wall; carbohydrate metabolic process; xyloglucan metabolic process; xyloglucan:xyloglucosyl transferase activity; cell wall biogenesis; apoplast","","false","Manes.15G192300","","",,""
"","PLAC8 family protein",,"NA","purple","","(1 of 5) PTHR15907:SF47 - PROTEIN PLANT CADMIUM RESISTANCE 11-RELATED","Manes.14G099400.v8.1","gene","","","","Manes.14G099400","","","false","Manes.14G099400","","",,""
"","",,"NA","purple","","(1 of 3) PTHR22939//PTHR22939:SF90 - SERINE PROTEASE FAMILY S1C HTRA-RELATED // SUBFAMILY NOT NAMED","Manes.S095408.v8.1","gene","GO:0005515","protein binding","","Manes.S095408","","","false","Manes.S095408","","",,""
"","",,"NA","purple","","(1 of 599) PF13041 - PPR repeat family (PPR_2)","Manes.17G088500.v8.1","gene","","","","Manes.17G088500","","","false","Manes.17G088500","","",,""
"","(1 of 28) PF14009 - Domain of unknown function (DUF4228) (DUF4228)",,"NA","purple","","(1 of 53) PF14009 - Domain of unknown function (DUF4228) (DUF4228)","Manes.12G115700.v8.1","gene","","","","Manes.12G115700","","","false","Manes.12G115700","","",,""
"","methyl esterase 1",,"NA","purple","","(1 of 13) PTHR10992//PTHR10992:SF820 - ALPHA/BETA HYDROLASE FOLD-CONTAINING PROTEIN // METHYLESTERASE 1-RELATED","Manes.12G096000.v8.1","gene","","","","Manes.12G096000","","","false","Manes.12G096000","","",,""
"","",,"NA","purple","","(1 of 1) PTHR19965//PTHR19965:SF31 - RNA AND EXPORT FACTOR BINDING PROTEIN // SUBFAMILY NOT NAMED","Manes.07G113400.v8.1","gene","GO:0003676","nucleic acid binding","","Manes.07G113400","","","false","Manes.07G113400","","",,""
"","(1 of 936) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase",,"NA","purple","","(1 of 5) PTHR10688 - PWWP DOMAIN-CONTAINING PROTEIN","Manes.11G010500.v8.1","gene","","","","Manes.11G010500","","","false","Manes.11G010500","","",,""
"","",,"NA","purple","","(1 of 9) PF01439 - Metallothionein (Metallothio_2)","Manes.07G091300.v8.1","gene","GO:0046872","metal ion binding","","Manes.07G091300","","","false","Manes.07G091300","","",,""
"","",,"NA","purple","","","Manes.07G063671.v8.1","gene","","","","Manes.07G063671","","","false","Manes.07G063671","","",,""
