gene_id,locusName,Description,colors,class,gene_metabolite,GO,GODescription,Pathways,Pathways_Desc,Best-hit-arabi-defline
Manes.01G000155.v8.1,Manes.01G000155,(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9,purple,NA,gene,GO:0003677 GO:0006355,DNA binding; regulation of DNA-templated transcription,,,NAC transcription factor-like 9
Manes.01G009800.v8.1,Manes.01G009800,(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN,purple,NA,gene,,,,,(1 of 2) PTHR35485:SF1 - EXPRESSED PROTEIN
Manes.01G022400.v8.1,Manes.01G022400,,purple,NA,gene,,,,,
Manes.01G034800.v8.1,Manes.01G034800,(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED,purple,NA,gene,,,,,myb domain protein 110
Manes.01G038000.v8.1,Manes.01G038000,(1 of 3) PTHR23074//PTHR23074:SF20 - AAA ATPASE // GH08677P,purple,NA,gene,GO:0005524 GO:0016887,ATP binding; ATP hydrolysis activity,,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Manes.01G043300.v8.1,Manes.01G043300,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),purple,NA,gene,,,,,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Manes.01G044200.v8.1,Manes.01G044200,,purple,NA,gene,,,,,
Manes.01G051530.v8.1,Manes.01G051530,(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2),purple,NA,gene,,,,,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Manes.01G052500.v8.1,Manes.01G052500,(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN,purple,NA,gene,,,,,DCD (Development and Cell Death) domain protein
Manes.01G064900.v8.1,Manes.01G064900,,purple,NA,gene,,,,,CLAVATA3/ESR-RELATED 14
Manes.01G070300.v8.1,Manes.01G070300,(1 of 2) PTHR10996:SF131 - GLYOXYLATE/HYDROXYPYRUVATE REDUCTASE HPR3,purple,NA,gene,GO:0004616 GO:0008152 GO:0016616 GO:0051287 GO:0055114,phosphogluconate dehydrogenase (decarboxylating) activity; metabolic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding,,,D-isomer specific 2-hydroxyacid dehydrogenase family protein
Manes.01G080400.v8.1,Manes.01G080400,,purple,NA,gene,,,,,
Manes.01G085300.v8.1,Manes.01G085300,,purple,NA,gene,,,,,
Manes.01G087400.v8.1,Manes.01G087400,(1 of 2) PTHR23291:SF34 - BAX INHIBITOR 1,purple,NA,gene,,,,,BAX inhibitor 1
Manes.01G093700.v8.1,Manes.01G093700,(1 of 31) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr) // Di-glucose binding within endoplasmic reticulum (Malectin),purple,NA,gene,GO:0004672 GO:0004713 GO:0005524 GO:0006468,protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation,,,
Manes.01G124801.v8.1,Manes.01G124801,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,purple,NA,gene,,,,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Manes.01G124900.v8.1,Manes.01G124900,(1 of 2) PTHR10887//PTHR10887:SF358 - DNA2/NAM7 HELICASE FAMILY // P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN,purple,NA,gene,,,,,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Manes.01G136850.v8.1,Manes.01G136850,(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT,purple,NA,gene,GO:0003824 GO:0009058,catalytic activity; biosynthetic process,COA-PWY,coenzyme A biosynthesis I,4-phosphopantetheine adenylyltransferase
Manes.01G149000.v8.1,Manes.01G149000,(1 of 6) PTHR22835//PTHR22835:SF184 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // GDSL ESTERASE/LIPASE EXL1-RELATED,purple,NA,gene,GO:0016788,hydrolase activity, acting on ester bonds,LIPAS-PWY,triacylglycerol degradation,
Manes.01G150600.v8.1,Manes.01G150600,(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG),purple,NA,gene,GO:0005515 GO:0008270,protein binding; zinc ion binding,,,RING/U-box superfamily protein
Manes.01G164200.v8.1,Manes.01G164200,(1 of 2) 4.1.99.17 - Phosphomethylpyrimidine synthase,purple,NA,gene,GO:0009228 GO:0051536,thiamine biosynthetic process; iron-sulfur cluster binding,PWY-6890,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis,thiaminC
Manes.01G190700.v8.1,Manes.01G190700,(1 of 5) PTHR11654//PTHR11654:SF98 - OLIGOPEPTIDE TRANSPORTER-RELATED // PROTEIN NRT1/ PTR FAMILY 4.5-RELATED,purple,NA,gene,GO:0005215 GO:0006810 GO:0016020,transporter activity; transport; membrane,,,nitrate transporter 1:2
Manes.01G191500.v8.1,Manes.01G191500,(1 of 2) KOG0490 - Transcription factor; contains HOX domain,purple,NA,gene,GO:0003677 GO:0003700 GO:0006355 GO:0043565,DNA binding; DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding,,,
Manes.02G011000.v8.1,Manes.02G011000,,purple,NA,gene,,,,,
