"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.11G085200.v8.1",44.4367408875185,1.36000757238754,0.0949667956274058,14.3208746109895,1.62070617423034e-46,3.18258071433612e-42,"Manes.11G085200","","","",NA,"(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408)","","","","PF14364","PTHR33640 PTHR33640:SF3","(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)"
"2","Manes.08G105600.v8.1",255.306376396361,1.44760647867331,0.105424812071986,13.7311743812724,6.60540817269027e-43,6.48552001435594e-39,"Manes.08G105600","","","protein binding",NA,"(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2)","GO:0005515","","","PF00646 PF14299","PTHR32278 PTHR32278:SF6","F-box family protein"
"3","Manes.16G130900.v8.1",438.49678060841,0.474400445752656,0.0352672518719555,13.4515852688227,3.01341862858911e-41,1.97248338698681e-37,"Manes.16G130900","","","pyrimidine nucleotide biosynthetic process; cell cycle; positive regulation of Notch signaling pathway",NA,"(1 of 2) KOG1766 - Enhancer of rudimentary","GO:0006221 GO:0007049 GO:0045747","KOG1766","","PF01133","PTHR12373","enhancer of rudimentary protein, putative"
"4","Manes.01G150600.v8.1",127.698625583316,0.554823790148247,0.0418294587273902,13.263948590971,3.74638405011657e-40,1.56444544812974e-36,"Manes.01G150600","","","protein binding; zinc ion binding",NA,"(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG)","GO:0005515 GO:0008270","","","PF13488 PF13639","PTHR14155 PTHR14155:SF120","RING/U-box superfamily protein"
"5","Manes.13G137100.v8.1",276.137189391334,1.09790160052253,0.0828020773497266,13.2593485050549,3.9834125582567e-40,1.56444544812974e-36,"Manes.13G137100","","","",NA,"(1 of 1) PTHR31636//PTHR31636:SF53 - FAMILY NOT NAMED // SCARECROW-LIKE PROTEIN 15","","","","PF03514","PTHR31636 PTHR31636:SF53","GRAS family transcription factor"
"6","Manes.04G074700.v8.1",592.798091419372,0.823152949093869,0.062503491447378,13.1697114838278,1.31097689135089e-39,4.29060886924291e-36,"Manes.04G074700","","","",NA,"(1 of 4) PF06911 - Senescence-associated protein (Senescence)","","","","PF06911","PTHR21068 PTHR21068:SF22",""
"7","Manes.08G096900.v8.1",91.2643992458706,0.89148426479093,0.0679542301440982,13.1188928621592,2.5665705681903e-39,7.19996374965043e-36,"Manes.08G096900","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription",NA,"(1 of 2) PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED","GO:0003700 GO:0006355","","","PF00847","PTHR31241 PTHR31241:SF2",""
"8","Manes.08G117800.v8.1",2786.91553479566,0.527820759241436,0.0406268593358988,12.991916379198,1.35978961784864e-38,3.33777359071172e-35,"Manes.08G117800","","","",NA,"(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF)","","","","PF05755","PTHR33732 PTHR33732:SF3","Rubber elongation factor protein (REF)"
"9","Manes.09G098800.v8.1",242.514429101026,1.22576728635142,0.095326168071061,12.8586652663691,7.68929358965532e-38,1.67771842466735e-34,"Manes.09G098800","PWY-6842","glutathione-mediated detoxification II","protein binding",NA,"(1 of 9) PTHR11260//PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // GLUTATHIONE S-TRANSFERASE U1-RELATED","GO:0005515","KOG0406","K00799","PF00043 PF13417","PTHR11260 PTHR11260:SF303","glutathione S-transferase TAU 8"
"10","Manes.03G111200.v8.1",119.479672581762,0.715728921505461,0.0557083621663349,12.8477825172535,8.85112058152614e-38,1.73809454859429e-34,"Manes.03G111200","","","metabolic process; hexosyltransferase activity",NA,"(1 of 1) PTHR11926//PTHR11926:SF366 - GLUCOSYL/GLUCURONOSYL TRANSFERASES // SUBFAMILY NOT NAMED","GO:0008152 GO:0016758","KOG1192","","PF00201","PTHR11926 PTHR11926:SF366",""
"11","Manes.02G011000.v8.1",1001.94719363143,0.591608097758686,0.0466312852403883,12.6869352776552,6.98665463130179e-37,1.24724488177158e-33,"Manes.02G011000","","","",NA,"","","","","","",""
"12","Manes.18G101100.v8.1",609.855839069511,0.523616005482682,0.0414955252839791,12.6186137396565,1.66730419376656e-36,2.72840437108283e-33,"Manes.18G101100","","","",NA,"(1 of 2) PTHR10795//PTHR10795:SF316 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SERINE PROTEASE-LIKE PROTEIN-RELATED","","","","PF05922","PTHR10795 PTHR10795:SF316","Proteinase inhibitor, propeptide"
"13","Manes.06G110100.v8.1",1145.3421408911,0.50830895053543,0.0405033436234428,12.549802190682,3.98504273408292e-36,6.01956032070663e-33,"Manes.06G110100","","","protein binding; zinc ion binding",NA,"(1 of 2) K17987 - next to BRCA1 gene 1 protein (NBR1)","GO:0005515 GO:0008270","KOG4351","K17987","PF00564 PF00569 PF16158","PTHR20930 PTHR20930:SF0","ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein"
"14","Manes.08G134300.v8.1",48.62875314817,1.01992467397469,0.0828626216554656,12.3086218321142,8.14013028044236e-35,1.14176955940748e-31,"Manes.08G134300","","","calcium ion binding",NA,"","GO:0005509","","","","PTHR34574 PTHR34574:SF1","calcium-binding EF hand family protein"
"15","Manes.12G029366.v8.1",97.1885896401335,0.888547553512424,0.0722271743918769,12.3021225874282,8.82248182703737e-35,1.15498050425022e-31,"Manes.12G029366","","","",NA,"(1 of 1) KOG2681 - Metal-dependent phosphohydrolase","","KOG2681","K06941","PF01966","PTHR11373 PTHR11373:SF31",""
"16","Manes.18G077024.v8.1",151.787754859485,0.913857071998192,0.0748994986765627,12.2011106635638,3.06612929457946e-34,3.76309880985356e-31,"Manes.18G077024","","","protein binding",NA,"(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED","GO:0005515","","","PF14299","PTHR32278 PTHR32278:SF6","F-box family protein"
"17","Manes.05G160600.v8.1",33.8679432468801,1.31439521306253,0.108296621757712,12.1369918260532,6.72533351606175e-34,7.76855142675909e-31,"Manes.05G160600","","","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,"(1 of 3) PTHR32227:SF16 - GLUCAN ENDO-1,3-BETA-GLUCOSIDASE 7-RELATED","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF16","O-Glycosyl hydrolases family 17 protein"
"18","Manes.07G019300.v8.1",6727.04269461147,0.785417216979847,0.0648057907044245,12.1195530282485,8.32117070624405e-34,9.0779349532508e-31,"Manes.07G019300","","","protein binding",NA,"(1 of 1) PTHR10666//PTHR10666:SF155 - UBIQUITIN // POLYUBIQUITIN 4","GO:0005515","KOG0001","K08770","PF11976","PTHR10666 PTHR10666:SF155","ubiquitin 4"
"19","Manes.09G098760.v8.1",118.771244501217,0.976329458741431,0.0812854594373483,12.0111206296859,3.10607228203099e-33,3.21020744222329e-30,"Manes.09G098760","","","response to stress",NA,"(1 of 46) PF00582 - Universal stress protein family (Usp)","GO:0006950","","","PF00582","PTHR31964 PTHR31964:SF23","Adenine nucleotide alpha hydrolases-like superfamily protein"
"20","Manes.12G027800.v8.1",808.105257532367,0.607845224916238,0.0509558546792617,11.9288593772449,8.37126442172527e-33,8.21932597247095e-30,"Manes.12G027800","","","antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity",NA,"(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN)","GO:0016209 GO:0016491 GO:0047134 GO:0055114","KOG2501","K17609","PF00578 PF07649 PF13905","PTHR13871 PTHR13871:SF7","DC1 domain-containing protein"
"21","Manes.10G020100.v8.1",4820.66512944124,1.05073886162663,0.089112190012481,11.7911910983162,4.33368194955729e-32,3.95679423627996e-29,"Manes.10G020100","","","",NA,"(1 of 10) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED","","KOG0710","K13993","PF00011","PTHR11527 PTHR11527:SF152",""
"22","Manes.13G030800.v8.1",40.8934328831363,0.772641245189973,0.0655375881330573,11.7892840917692,4.43293136416759e-32,3.95679423627996e-29,"Manes.13G030800","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 1) PTHR23257:SF353 - KINASE-LIKE PROTEIN","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG0192","","PF07714","PTHR23257 PTHR23257:SF353",""
"23","Manes.05G140400.v8.1",46461.0571232275,0.456207893337494,0.0396322658793992,11.5110222243092,1.16094052889374e-30,9.91190833299404e-28,"Manes.05G140400","","","response to stress; response to water",NA,"(1 of 4) PF00257 - Dehydrin (Dehydrin)","GO:0006950 GO:0009415","","","PF00257","PTHR33346","cold-regulated 47"
"24","Manes.09G042800.v8.1",1065.22159232055,0.506728329581836,0.0440934030281856,11.4921574381075,1.44458457818596e-30,1.13469229447351e-27,"Manes.09G042800","","","",NA,"","","","","","PTHR35722",""
"25","Manes.10G141651.v8.1",191.85263047341,1.08495560844486,0.0944082672378493,11.4921673724977,1.44441843241231e-30,1.13469229447351e-27,"Manes.10G141651","","","ADP binding",NA,"(1 of 6) PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0043531","","","PF00931","PTHR23155 PTHR23155:SF414",""
"26","Manes.01G136850.v8.1",87.4586392537686,0.360767580514949,0.0319627347008021,11.2871312136472,1.51914340164847e-29,1.14736226839119e-26,"Manes.01G136850","COA-PWY","coenzyme A biosynthesis I","catalytic activity; biosynthetic process",NA,"(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT","GO:0003824 GO:0009058","","K02201","PF01467","PTHR10695 PTHR10695:SF33","4-phosphopantetheine adenylyltransferase"
"27","Manes.14G172800.v8.1",334.710347480938,0.414813152487718,0.037788057573405,10.9773610798048,4.91059426271522e-28,3.57145701988662e-25,"Manes.14G172800","","","endoplasmic reticulum; intracellular protein transport",NA,"(1 of 2) PTHR12701//PTHR12701:SF20 - BCR-ASSOCIATED PROTEIN, BAP // GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MIG5","GO:0005783 GO:0006886 GO:0016021","","","","PTHR12701 PTHR12701:SF20","B-cell receptor-associated 31-like"
"28","Manes.09G059028.v8.1",112.956806615063,0.584498101947832,0.0535386112423397,10.9173190784149,9.52663802465403e-28,6.68123538893325e-25,"Manes.09G059028","","","DNA-binding transcription factor activity; nucleus; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 2) PTHR10015//PTHR10015:SF164 - HEAT SHOCK TRANSCRIPTION FACTOR // HEAT STRESS TRANSCRIPTION FACTOR A-3","GO:0003700 GO:0005634 GO:0006355 GO:0043565","KOG0627","K09419","PF00447","PTHR10015 PTHR10015:SF164","heat shock transcription factor A3"
"29","Manes.01G043300.v8.1",27.2711518690322,0.819877630258318,0.0756873289575081,10.8324291734302,2.41657960976037e-27,1.63635771713326e-24,"Manes.01G043300","","","",NA,"(1 of 67) PF03168 - Late embryogenesis abundant protein (LEA_2)","","","","PF03168","PTHR31415 PTHR31415:SF20","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"
"30","Manes.12G049701.v8.1",40.7660826075011,1.05990833601412,0.0980400277813356,10.8109754760381,3.05405024078279e-27,1.99907948594172e-24,"Manes.12G049701","","","zinc ion binding; oxidoreductase activity",NA,"(1 of 12) 1.6.5.5 - NADPH:quinone reductase / Zeta-crystallin","GO:0008270 GO:0016491 GO:0055114","KOG1198","","PF08240 PF13602","PTHR11695 PTHR11695:SF507","Oxidoreductase, zinc-binding dehydrogenase family protein"
"31","Manes.13G008500.v8.1",5.91779164217932,1.78508364646863,0.165519029359159,10.7847638629827,4.06285432007634e-27,2.5736216220432e-24,"Manes.13G008500","","","",NA,"(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408)","","","","PF14364","PTHR35762 PTHR35762:SF2","(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)"
"32","Manes.08G161900.v8.1",197.669391091661,0.740415865625701,0.0688036009513625,10.7612952721632,5.24280166147803e-27,3.21727800707638e-24,"Manes.08G161900","","","nucleic acid binding; nucleobase-containing compound metabolic process; 3'-5' exonuclease activity",NA,"(1 of 11) PF01612 - 3'-5' exonuclease (DNA_pol_A_exo1)","GO:0003676 GO:0006139 GO:0008408","","","PF01612","PTHR13620",""
"33","Manes.04G155400.v8.1",842.416718117059,0.452257629054279,0.0420744496745225,10.7489850147258,5.99172994138457e-27,3.56544245027178e-24,"Manes.04G155400","","","cysteine-type endopeptidase inhibitor activity",NA,"(1 of 2) PTHR11413//PTHR11413:SF55 - CYSTATIN FAMILY MEMBER // CYSTEINE PROTEINASE INHIBITOR 6","GO:0004869","","","PF00031","PTHR11413 PTHR11413:SF55","cystatin B"
"34","Manes.01G000279.v8.1",53.4602044667397,0.995530198959233,0.092723947438088,10.7364950098134,6.8599514850315e-27,3.96202550916363e-24,"Manes.01G000279","","","",NA,"","","","","","",""
"35","Manes.15G141200.v8.1",114.582443468673,0.487793295612292,0.0455840609524367,10.7009618147287,1.00727197137418e-26,5.6513713433928e-24,"Manes.15G141200","","","endonuclease activity; DNA repair",NA,"(1 of 2) 3.1.21.7 - Deoxyribonuclease V / Escherichia coli endodeoxyribonuclease V","GO:0004519 GO:0006281","KOG4417","","PF04493","PTHR28511 PTHR28511:SF1","endonuclease V family protein"
"36","Manes.10G056200.v8.1",364.661564019204,0.415938323919257,0.039026581129961,10.6578212048387,1.60308968280208e-26,8.74440891699566e-24,"Manes.10G056200","","","",NA,"(1 of 3) PF08553 - VID27 cytoplasmic protein (VID27)","","","","PF08553","PTHR31913 PTHR31913:SF1","Vacuolar import/degradation, Vid27-related protein"
"37","Manes.01G000155.v8.1",267.390710581275,0.279461912488056,0.0263114989618234,10.6212843629145,2.3727375761791e-26,1.25928237252511e-23,"Manes.01G000155","","","DNA binding; regulation of DNA-templated transcription",NA,"(1 of 18) PTHR31989:SF21 - NAC TRANSCRIPTION FACTOR-LIKE 9","GO:0003677 GO:0006355","","","PF02365","PTHR31989 PTHR31989:SF21","NAC transcription factor-like 9"
"38","Manes.15G155400.v8.1",280.590721239208,0.721188953160149,0.0679556352157345,10.6126438355059,2.60278117648086e-26,1.34502142006723e-23,"Manes.15G155400","","","",NA,"(1 of 1) PTHR34278//PTHR34278:SF1 - FAMILY NOT NAMED // GB|AAC02775.1","","","","","PTHR34278 PTHR34278:SF1","(1 of 1) PTHR34278:SF1 - GB"
"39","Manes.02G033500.v8.1",52.9944587802519,0.734744893428644,0.0703852934866618,10.4388979150578,1.64711769759574e-25,8.29344877633016e-23,"Manes.02G033500","","","",NA,"(1 of 3) PTHR33593:SF2 - F5O11.5","","","","PF07279","PTHR33593 PTHR33593:SF2",""
"40","Manes.12G051600.v8.1",155.657081739651,0.576707074320459,0.0553879820189428,10.4121337029976,2.18273703507525e-25,1.07156017894432e-22,"Manes.12G051600","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 1) PTHR24351:SF69 - AGC (CAMP-DEPENDENT, CGMP-DEPENDENT AND PROTEIN KINASE C) KINASE FAMILY PROTEIN-RELATED","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG0610","","PF00069 PF07714","PTHR24351 PTHR24351:SF69","AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"
"41","Manes.18G077300.v8.1",554.466983716187,0.444656811764149,0.0431043278963283,10.3158275158264,5.97642187841503e-25,2.86241454698624e-22,"Manes.18G077300","","","protein binding",NA,"(1 of 6) PTHR32278:SF6 - F-BOX PROTEIN PP2-B1-RELATED","GO:0005515","","","PF00646 PF14299","PTHR32278 PTHR32278:SF6","F-box family protein"
"42","Manes.09G092548.v8.1",17.786835560323,1.22757741553384,0.1190284315315,10.3133125400293,6.13495277363287e-25,2.86838256228163e-22,"Manes.09G092548","","","",NA,"(1 of 1) PTHR31048:SF21 - PATHOGENESIS-RELATED THAUMATIN-LIKE PROTEIN","","","","PF00314","PTHR31048 PTHR31048:SF21","Pathogenesis-related thaumatin superfamily protein"
"43","Manes.18G084700.v8.1",263.344558278678,0.505027492619465,0.0490555639930824,10.2950094038401,7.42123246365468e-25,3.38908702066946e-22,"Manes.18G084700","","","",NA,"","","","","","PTHR34193 PTHR34193:SF1",""
"44","Manes.05G080800.v8.1",178.933085506999,0.46477349957598,0.0456124468380757,10.1896199786415,2.20624941092245e-24,9.84639083688277e-22,"Manes.05G080800","","","",NA,"(1 of 4) K06890 - uncharacterized protein (K06890)","","KOG2322","K06890","PF01027","PTHR23291 PTHR23291:SF31","Bax inhibitor-1 family protein"
"45","Manes.09G098300.v8.1",312.658009156574,0.245041841380775,0.0246629153116984,9.93563973617278,2.91300045472747e-23,1.24377087705766e-20,"Manes.09G098300","","","",NA,"(1 of 1) K06700 - proteasome inhibitor subunit 1 (PI31) (PSMF1)","","KOG4761","K06700","PF08577 PF11566","PTHR13266","proteasome inhibitor-related"
"46","Manes.09G170000.v8.1",276.034702220421,0.605205742151191,0.060912725470904,9.93562079963533,2.91355402274545e-23,1.24377087705766e-20,"Manes.09G170000","","","",NA,"(1 of 5) PF05755 - Rubber elongation factor protein (REF) (REF)","","","","PF05755","PTHR33732 PTHR33732:SF3","Rubber elongation factor protein (REF)"
"47","Manes.07G059900.v8.1",39.9656486041127,0.929781426099182,0.0936571072142029,9.92750527701739,3.16064092740284e-23,1.32054267854063e-20,"Manes.07G059900","","","protein binding",NA,"(1 of 2) PTHR32002:SF3 - PROTEIN NLP1-RELATED","GO:0005515","","","PF00564 PF02042","PTHR32002 PTHR32002:SF3",""
"48","Manes.01G052500.v8.1",755.902969252821,0.538840250787063,0.0543765143111544,9.90942978992182,3.78801856255433e-23,1.54969417735165e-20,"Manes.01G052500","","","",NA,"(1 of 2) PTHR10857//PTHR10857:SF54 - COPINE // DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN","","","","PF10539","PTHR10857 PTHR10857:SF54","DCD (Development and Cell Death) domain protein"
"49","Manes.08G086700.v8.1",2341.40433468214,0.603464355708251,0.0613753729519443,9.83235338025158,8.16871671235177e-23,3.27365489960105e-20,"Manes.08G086700","","","",NA,"(1 of 1) PTHR15852//PTHR15852:SF20 - FAMILY NOT NAMED // CHAPERONE PROTEIN DNAJ-LIKE PROTEIN","","KOG2813","","","PTHR15852 PTHR15852:SF20","chaperone protein dnaJ-related"
"50","Manes.02G202900.v8.1",98.0641130483942,0.474484426415074,0.0488580548695547,9.71148826292597,2.69374762660991e-22,1.05794244287477e-19,"Manes.02G202900","PWY-7279","aerobic respiration II (cytochrome c) (yeast)","oxidoreductase activity",NA,"(1 of 8) 1.6.5.9 - NADH:ubiquinone reductase (non-electrogenic) / Ubiquinone reductase","GO:0016491 GO:0055114","KOG2495","","PF00070","PTHR22912","FAD/NAD(P)-binding oxidoreductase family protein"
"51","Manes.12G027700.v8.1",675.591091940732,0.615537949296737,0.0634809632556767,9.69641791378603,3.12269686535357e-22,1.20236075186173e-19,"Manes.12G027700","","","antioxidant activity; oxidoreductase activity; protein-disulfide reductase (NAD(P)H) activity",NA,"(1 of 5) K17609 - nucleoredoxin [EC:1.8.1.8] (NXN)","GO:0016209 GO:0016491 GO:0047134 GO:0055114","KOG2501","K17609","PF00578 PF07649 PF13905","PTHR13871 PTHR13871:SF7",""
"52","Manes.18G107800.v8.1",182.065533350311,0.334776009555077,0.0346525174779879,9.66094338651539,4.41776751067762e-22,1.66830193475339e-19,"Manes.18G107800","","","protein binding",NA,"(1 of 5) PF00646//PF08268 - F-box domain (F-box) // F-box associated domain (FBA_3)","GO:0005515","","","PF00646 PF08268","PTHR31790 PTHR31790:SF9",""
"53","Manes.01G034800.v8.1",2.85927064406159,1.56708452250061,0.16258642445007,9.6384709104779,5.50011274520079e-22,2.03784365995298e-19,"Manes.01G034800","","","",NA,"(1 of 2) PTHR10641//PTHR10641:SF512 - MYB-LIKE DNA-BINDING PROTEIN MYB // MYB-DOMAIN TRANSCRIPTION FACTOR LOF1-RELATED","","","","PF00249","PTHR10641 PTHR10641:SF512","myb domain protein 110"
"54","Manes.04G141400.v8.1",91.3009800164829,0.435332742114985,0.0451799576222808,9.63552789833291,5.66003194463849e-22,2.05826013512715e-19,"Manes.04G141400","","","",NA,"(1 of 18) PF12023 - Domain of unknown function (DUF3511) (DUF3511)","","","","PF12023","PTHR33193 PTHR33193:SF5","Protein of unknown function (DUF3511)"
"55","Manes.14G023900.v8.1",410.59945293312,0.489576327612747,0.0509027367365082,9.61787831068846,6.72029927673991e-22,2.3993912163153e-19,"Manes.14G023900","","","protein binding",NA,"(1 of 108) PF00168 - C2 domain (C2)","GO:0005515","","","PF00168","PTHR32246 PTHR32246:SF17","Calcium-dependent lipid-binding (CaLB domain) family protein"
"56","Manes.15G162100.v8.1",32.0082333600448,0.880315616904643,0.0916140994801303,9.6089534460312,7.32900979576324e-22,2.56999580998934e-19,"Manes.15G162100","","","",NA,"(1 of 11) PF11820 - Protein of unknown function (DUF3339) (DUF3339)","","","","PF11820","PTHR33128 PTHR33128:SF14","Protein of unknown function (DUF 3339)"
"57","Manes.06G005300.v8.1",11.3803453770217,1.00538163222433,0.104739463153248,9.59888089891499,8.08171031503439e-22,2.78422009572509e-19,"Manes.06G005300","","","structural constituent of ribosome; intracellular anatomical structure; ribosome; translation",NA,"(1 of 5) PTHR10722 - 60S RIBOSOMAL PROTEIN L19","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG1696","","PF01280","PTHR10722",""
"58","Manes.09G180500.v8.1",66.0901484366321,0.700553504710798,0.0732065891943939,9.56954165492587,1.07380655358638e-21,3.63557574013375e-19,"Manes.09G180500","","","hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process",NA,"(1 of 2) PTHR32227:SF118 - CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF118","Carbohydrate-binding X8 domain superfamily protein"
