"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.08G105600.v8.1",255.306376396361,1.60513621709193,0.104389053572602,15.3764802166309,2.35401389104961e-53,4.80925037941435e-49,"Manes.08G105600","","","protein binding",NA,"(1 of 3) PF00646//PF14299 - F-box domain (F-box) // Phloem protein 2 (PP2)","GO:0005515","","","PF00646 PF14299","PTHR32278 PTHR32278:SF6","F-box family protein"
"2","Manes.04G074700.v8.1",592.798091419372,0.858216835167915,0.060490075740968,14.1877295515878,1.09135251540722e-45,1.11481659448847e-41,"Manes.04G074700","","","",NA,"(1 of 4) PF06911 - Senescence-associated protein (Senescence)","","","","PF06911","PTHR21068 PTHR21068:SF22",""
"3","Manes.11G085200.v8.1",44.4367408875185,1.27145424022317,0.0905971336525353,14.0341552647741,9.63374909816757e-45,6.56058313585211e-41,"Manes.11G085200","","","",NA,"(1 of 13) PF14364 - Domain of unknown function (DUF4408) (DUF4408)","","","","PF14364","PTHR33640 PTHR33640:SF3","(1 of 11) PF14364 - Domain of unknown function (DUF4408) (DUF4408)"
"4","Manes.09G098760.v8.1",118.771244501217,1.02732201126474,0.0742486206695202,13.8362437174064,1.54048766306915e-43,7.8680407391257e-40,"Manes.09G098760","","","response to stress",NA,"(1 of 46) PF00582 - Universal stress protein family (Usp)","GO:0006950","","","PF00582","PTHR31964 PTHR31964:SF23","Adenine nucleotide alpha hydrolases-like superfamily protein"
"5","Manes.13G137100.v8.1",276.137189391334,1.11344171335185,0.081490732139653,13.6634152635138,1.67919712773662e-42,6.86119946393181e-39,"Manes.13G137100","","","",NA,"(1 of 1) PTHR31636//PTHR31636:SF53 - FAMILY NOT NAMED // SCARECROW-LIKE PROTEIN 15","","","","PF03514","PTHR31636 PTHR31636:SF53","GRAS family transcription factor"
"6","Manes.09G042800.v8.1",1065.22159232055,0.53928919262285,0.0397815427867443,13.5562664201789,7.27456935271196e-42,2.47699086459842e-38,"Manes.09G042800","","","",NA,"","","","","","PTHR35722",""
"7","Manes.16G130900.v8.1",438.49678060841,0.47881301576753,0.0354958923788746,13.4892513944091,1.80928278338359e-41,5.28052103778954e-38,"Manes.16G130900","","","pyrimidine nucleotide biosynthetic process; cell cycle; positive regulation of Notch signaling pathway",NA,"(1 of 2) KOG1766 - Enhancer of rudimentary","GO:0006221 GO:0007049 GO:0045747","KOG1766","","PF01133","PTHR12373","enhancer of rudimentary protein, putative"
"8","Manes.09G098800.v8.1",242.514429101026,1.27875418795124,0.0953109293077717,13.416658480183,4.83005444727955e-41,1.23347515447402e-37,"Manes.09G098800","PWY-6842","glutathione-mediated detoxification II","protein binding",NA,"(1 of 9) PTHR11260//PTHR11260:SF303 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // GLUTATHIONE S-TRANSFERASE U1-RELATED","GO:0005515","KOG0406","K00799","PF00043 PF13417","PTHR11260 PTHR11260:SF303","glutathione S-transferase TAU 8"
"9","Manes.01G150600.v8.1",127.698625583316,0.557677835115356,0.0419364772622828,13.2981564385458,2.37246054746379e-40,5.38548544274281e-37,"Manes.01G150600","","","protein binding; zinc ion binding",NA,"(1 of 1) PF13441 - YMGG-like Gly-zipper (Gly-zipper_YMGG)","GO:0005515 GO:0008270","","","PF13488 PF13639","PTHR14155 PTHR14155:SF120","RING/U-box superfamily protein"
"10","Manes.01G136850.v8.1",87.4586392537686,0.372307570521115,0.028069503854175,13.2637745382072,3.75509171797125e-40,7.67165237981527e-37,"Manes.01G136850","COA-PWY","coenzyme A biosynthesis I","catalytic activity; biosynthetic process",NA,"(1 of 3) 2.7.7.3 - Pantetheine-phosphate adenylyltransferase / PPAT","GO:0003824 GO:0009058","","K02201","PF01467","PTHR10695 PTHR10695:SF33","4-phosphopantetheine adenylyltransferase"
