"","gene_id","TOM_PSY2","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline","gene_metabolite","cor","p"
"1","Manes.05G093400.v8.1",0.110034948800302,"turquoise","Manes.05G093400","",NA,"(1 of 3) K11644 - paired amphipathic helix protein Sin3a (SIN3A)","GO:0006355","KOG4204","K11644","PF02671 PF08295 PF16879","PTHR12346 PTHR12346:SF8","SIN3-like 4","gene",0.702489340506626,0
"2","Manes.12G137700.v8.1",0.0983391822574452,"turquoise","Manes.12G137700","",NA,"(1 of 1) PTHR33059:SF4 - F28K19.24-RELATED","","","","PF04570","PTHR33059 PTHR33059:SF4","Protein of unknown function (DUF581)","gene",0.691821318027803,0
"3","Manes.09G169000.v8.1",0.097425412562209,"turquoise","Manes.09G169000","",NA,"(1 of 2) PTHR10593:SF31 - C2H2-LIKE ZINC FINGER PROTEIN-RELATED","GO:0046872","","","PF12171","PTHR10593 PTHR10593:SF31","","gene",0.686846656404399,0
"4","Manes.07G105500.v8.1",0.0936092189846971,"turquoise","Manes.07G105500","",NA,"(1 of 1) PTHR22957//PTHR22957:SF269 - TBC1 DOMAIN FAMILY MEMBER GTPASE-ACTIVATING PROTEIN // RABGAP/TBC DOMAIN-CONTAINING PROTEIN","","KOG2058","","PF00566","PTHR22957 PTHR22957:SF269","Ypt/Rab-GAP domain of gyp1p superfamily protein","gene",0.682564056153575,0
"5","Manes.09G129500.v8.1",0.0914250016979673,"turquoise","Manes.09G129500","",NA,"","GO:0005515 GO:0008270","","","","PTHR33304 PTHR33304:SF1","RING/FYVE/PHD zinc finger superfamily protein","gene",0.6694609215813,0
"6","Manes.05G023250.v8.1",0.0896684761106213,"turquoise","Manes.05G023250","",NA,"(1 of 1) PTHR13793:SF92 - HISTONE-LYSINE N-METHYLTRANSFERASE ATX3","GO:0005515 GO:0008270","","","PF00628 PF00855 PF00856 PF13831 PF13832","PTHR13793 PTHR13793:SF92","SET domain protein 14","gene",0.672742191232652,0
"7","Manes.15G101300.v8.1",0.0888442670601314,"turquoise","Manes.15G101300","",NA,"(1 of 2) PTHR23115//PTHR23115:SF138 - TRANSLATION FACTOR // TRANSLATION INITIATION FACTOR IF-2, CHLOROPLASTIC","GO:0003743 GO:0003924 GO:0005525 GO:0005622 GO:0006413","","K02519","PF01926 PF11987","PTHR23115 PTHR23115:SF138","Translation initiation factor 2, small GTP-binding protein","gene",0.670767390090757,0
"8","Manes.08G115900.v8.1",0.0875626605945535,"turquoise","Manes.08G115900","",NA,"(1 of 4) K02883 - large subunit ribosomal protein L18e (RP-L18e, RPL18)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG1714","K02883","PF00828","PTHR10934","ribosomal protein L18","gene",-0.640209762323968,0
"9","Manes.08G161100.v8.1",0.0864132960832311,"turquoise","Manes.08G161100","",NA,"","GO:0005515 GO:0008270","","","","PTHR33304 PTHR33304:SF1","RING/FYVE/PHD zinc finger superfamily protein","gene",0.699985899215827,0
"10","Manes.17G000400.v8.1",0.0854284925244005,"turquoise","Manes.17G000400","",NA,"(1 of 1) K03018 - DNA-directed RNA polymerase III subunit RPC1 (RPC1, POLR3A)","GO:0003677 GO:0003899 GO:0006351","","K03018","PF00623 PF04983 PF04997 PF04998 PF05000","PTHR19376 PTHR19376:SF32","nuclear RNA polymerase C1","gene",0.723801275737117,0
"11","Manes.16G055900.v8.1",0.0849314935403883,"turquoise","Manes.16G055900","",NA,"(1 of 1) K05750 - NCK-associated protein 1 (NCKAP1, NAP125)","","","","PF09735","PTHR12093 PTHR12093:SF10","transcription activators","gene",0.713540277035116,0
"12","Manes.09G139100.v8.1",0.0847076486684446,"turquoise","Manes.09G139100","",NA,"(1 of 1) PTHR22870:SF175 - ANKYRIN REPEAT AND REGULATOR OF CHROMOSOME CONDENSATION (RCC1) DOMAIN-CONTAINING PROTEIN","GO:0005515","KOG1427","","PF00415 PF12796","PTHR22870 PTHR22870:SF175","ankyrin repeat family protein / regulator of chromosome condensation (RCC1) family protein","gene",0.70663905970088,0
"13","Manes.12G050800.v8.1",0.0839779749184628,"turquoise","Manes.12G050800","",NA,"(1 of 4) K02995 - small subunit ribosomal protein S8e (RP-S8e, RPS8)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG3283","K02995","PF01201","PTHR10394","Ribosomal protein S8e family protein","gene",-0.651663638495985,0
"14","Manes.02G024900.v8.1",0.0831009289353582,"turquoise","Manes.02G024900","",NA,"(1 of 2) PTHR34067//PTHR34067:SF1 - FAMILY NOT NAMED // METHYL-CPG-BINDING DOMAIN-CONTAINING PROTEIN 13","GO:0003677 GO:0005634","","","PF01429","PTHR34067 PTHR34067:SF1","methyl-CPG-binding domain protein 13","gene",0.704261824575792,0
"15","Manes.09G100900.v8.1",0.0830420284301794,"turquoise","Manes.09G100900","",NA,"(1 of 3) K02917 - large subunit ribosomal protein L35Ae (RP-L35Ae, RPL35A)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG0887","K02917","PF01247","PTHR10902","Ribosomal protein L35Ae family protein","gene",-0.638817562819757,0
"16","Manes.14G089400.v8.1",0.0823187598366659,"turquoise","Manes.14G089400","",NA,"(1 of 12) PF03909 - BSD domain (BSD)","","","","PF03909","PTHR31923 PTHR31923:SF1","","gene",0.726097140626888,0
"17","Manes.05G204400.v8.1",0.0818922675568607,"turquoise","Manes.05G204400","",NA,"(1 of 2) PTHR11689:SF77 - CHLORIDE CHANNEL PROTEIN CLC-F","GO:0005247 GO:0006821 GO:0016020 GO:0055085","KOG0475","","PF00571 PF00654","PTHR11689 PTHR11689:SF77","chloride channel F","gene",0.668524488691408,0
"18","Manes.01G253100.v8.1",0.0805553030043448,"turquoise","Manes.01G253100","",NA,"","","","","","PTHR34802","","gene",0.696383419321863,0
"19","Manes.07G057925.v8.1",0.0802929326031213,"turquoise","Manes.07G057925","",NA,"(1 of 1) PTHR35712:SF1 - MYOSIN HEAVY CHAIN-RELATED PROTEIN","","","","","PTHR35712","","gene",0.633618736781049,0
"20","Manes.15G173750.v8.1",0.0793949771722917,"turquoise","Manes.15G173750","",NA,"(1 of 2) PTHR19282//PTHR19282:SF262 - TETRASPANIN // SUBFAMILY NOT NAMED","GO:0016021","","","PF00335","PTHR19282 PTHR19282:SF262","tobamovirus multiplication 2A","gene",-0.657865595066466,0
