"","gene_id","colors","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline","gene_metabolite"
"1","Manes.01G001200.v8.1","turquoise","Manes.01G001200","CAROTENOID-PWY; PWY-6475","superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants)","","carot","(1 of 1) 5.2.1.12 - Zeta-carotene isomerase / 15-cis-zeta-carotene isomerase","","","K15744","PF07298","PTHR35988 PTHR35988:SF2","15-cis-zeta-carotene isomerase","gene"
"2","Manes.01G023200.v8.1","grey","Manes.01G023200","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process","carb","(1 of 1) PTHR11902//PTHR11902:SF8 - ENOLASE // ENOLASE 1; CHLOROPLASTIC","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF8","enolase 1","gene"
"3","Manes.01G026700.v8.1","grey","Manes.01G026700","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","","carb","(1 of 1) PTHR10584//PTHR10584:SF155 - SUGAR KINASE // FRUCTOKINASE-LIKE 2","","KOG2855","","PF00294","PTHR10584 PTHR10584:SF155","fructokinase-like 2","gene"
"4","Manes.01G069000.v8.1","blue","Manes.01G069000","PWY-922; PWY-5910","mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","hydroxymethylglutaryl-CoA synthase activity; isoprenoid biosynthetic process","carot","(1 of 2) 2.3.3.10 - Hydroxymethylglutaryl-CoA synthase / Hydroxymethylglutaryl coenzyme alpha-condensing enzyme","GO:0004421 GO:0008299","","K01641","PF01154 PF08540","PTHR11877 PTHR11877:SF20","hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase","gene"
"5","Manes.01G076500.v8.1","grey","Manes.01G076500","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process","carb","(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3; VACUOLAR-RELATED","GO:0004553 GO:0004564 GO:0004575 GO:0005975","","K01193","PF00251 PF08244 PF11837","PTHR31953 PTHR31953:SF17","Glycosyl hydrolases family 32 protein","gene"
"6","Manes.01G083600.v8.1","cyan","Manes.01G083600","PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity","carb","(1 of 3) K00001//K18857 - alcohol dehydrogenase (E1.1.1.1; adh) // alcohol dehydrogenase class-P (ADH1)","GO:0008270 GO:0016491 GO:0055114","","K00001 K18857","PF00107 PF08240","PTHR11695 PTHR11695:SF432","alcohol dehydrogenase 1","gene"
"7","Manes.01G091700.v8.1","grey","Manes.01G091700","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","carb","(1 of 3) PTHR12526//PTHR12526:SF337 - GLYCOSYLTRANSFERASE // STARCH SYNTHASE 2; CHLOROPLASTIC/AMYLOPLASTIC","GO:0004373","","","PF00534 PF08323","PTHR12526 PTHR12526:SF337","starch synthase 2","gene"
"8","Manes.01G116600.v8.1","blue","Manes.01G116600","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","ribokinase activity; D-ribose metabolic process","carb","(1 of 2) PTHR10584:SF181 - PUTATIVE-RELATED","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF181","pfkB-like carbohydrate kinase family protein","gene"
"9","Manes.01G123000.v8.1","darkred","Manes.01G123000","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343","sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis","UTP:glucose-1-phosphate uridylyltransferase activity; UDP-glucose metabolic process; metabolic process; uridylyltransferase activity","carb","(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2; galU; galF)","GO:0003983 GO:0006011 GO:0008152 GO:0070569","","K00963","PF01704","PTHR11952 PTHR11952:SF13","UDP-glucose pyrophosphorylase 2","gene"
"10","Manes.01G124200.v8.1","turquoise","Manes.01G124200","CAROTENOID-PWY; PWY-6475","superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants)","biosynthetic process; transferase activity","carot","(1 of 3) K02291 - phytoene synthase (crtB)","GO:0009058 GO:0016740","KOG1459","K02291","PF00494","PTHR31480 PTHR31480:SF2","PHYTOENE SYNTHASE","gene"
"11","Manes.01G129000.v8.1","brown","Manes.01G129000","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","acyltransferase activity, acyl groups converted into alkyl on transfer","carb","(1 of 4) 2.3.3.1 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA)","GO:0046912","","K01647","PF00285","PTHR11739 PTHR11739:SF4","citrate synthase 2","gene"
"12","Manes.01G134800.v8.1","grey","Manes.01G134800","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","tricarboxylic acid cycle; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; electron transport chain; flavin adenine dinucleotide binding","carb","(1 of 2) K00234 - succinate dehydrogenase (ubiquinone) flavoprotein subunit (SDHA; SDH1)","GO:0006099 GO:0016491 GO:0016627 GO:0022900 GO:0050660 GO:0055114","","K00234","PF00890 PF02910","PTHR11632 PTHR11632:SF54","succinate dehydrogenase 1-1","gene"
"13","Manes.01G153600.v8.1","red","Manes.01G153600","PWY-5464; PWY-5690; PWY-6549","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III","magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding","carb","(1 of 2) PTHR11835//PTHR11835:SF51 - DECARBOXYLATING DEHYDROGENASES-ISOCITRATE; ISOPROPYLMALATE; TARTRATE // ISOCITRATE DEHYDROGENASE [NAD] REGULATORY SUBUNIT 2; MITOCHONDRIAL-RELATED","GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114","","K00030","PF00180","PTHR11835 PTHR11835:SF51","isocitrate dehydrogenase 1","gene"
