"","locusName","Description","class","Pathways","Pathways_Desc","GODescription","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"1","Manes.01G004600","(1 of 2) PTHR11627//PTHR11627:SF19 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE-RELATED","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF19","Aldolase superfamily protein"
"2","Manes.01G023200","(1 of 1) PTHR11902//PTHR11902:SF8 - ENOLASE // ENOLASE 1, CHLOROPLASTIC","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF8","enolase 1"
"3","Manes.01G026700","(1 of 1) PTHR10584//PTHR10584:SF155 - SUGAR KINASE // FRUCTOKINASE-LIKE 2","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","","","KOG2855","","PF00294","PTHR10584 PTHR10584:SF155","fructokinase-like 2"
"4","Manes.01G055700","(1 of 2) K13679 - granule-bound starch synthase [EC:2.4.1.242] Glc a1-4 Glc (WAXY)","carbohydrate","PWY-622","starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","GO:0004373","","K13679","PF00534 PF08323","PTHR12526 PTHR12526:SF383","UDP-Glycosyltransferase superfamily protein"
"5","Manes.01G076500","(1 of 2) PTHR31953//PTHR31953:SF17 - FAMILY NOT NAMED // ACID BETA-FRUCTOFURANOSIDASE 3, VACUOLAR-RELATED","carbohydrate","PWY66-373; PWY-621","sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase)","hydrolase activity, hydrolyzing O-glycosyl compounds; beta-fructofuranosidase activity; sucrose alpha-glucosidase activity; carbohydrate metabolic process","GO:0004553 GO:0004564 GO:0004575 GO:0005975","","K01193","PF00251 PF08244 PF11837","PTHR31953 PTHR31953:SF17","Glycosyl hydrolases family 32 protein"
"6","Manes.01G079100","(1 of 2) 1.1.1.27 - L-lactate dehydrogenase / L-lactic dehydrogenase","carbohydrate","PWY-5481; ANAEROFRUCAT-PWY","pyruvate fermentation to lactate; homolactic fermentation","L-lactate dehydrogenase activity; cytoplasm; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process","GO:0004459 GO:0005737 GO:0016491 GO:0016616 GO:0019752 GO:0055114","","K00016","PF00056 PF02866","PTHR11540 PTHR11540:SF3","Lactate/malate dehydrogenase family protein"
"7","Manes.01G083600","(1 of 3) K00001//K18857 - alcohol dehydrogenase (E1.1.1.1, adh) // alcohol dehydrogenase class-P (ADH1)","carbohydrate","PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity","GO:0008270 GO:0016491 GO:0055114","","K00001 K18857","PF00107 PF08240","PTHR11695 PTHR11695:SF432","alcohol dehydrogenase 1"
"8","Manes.01G091700","(1 of 3) PTHR12526//PTHR12526:SF337 - GLYCOSYLTRANSFERASE // STARCH SYNTHASE 2, CHLOROPLASTIC/AMYLOPLASTIC","carbohydrate","GLYCOGENSYNTH-PWY; PWY-622","glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis","alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity","GO:0004373","","","PF00534 PF08323","PTHR12526 PTHR12526:SF337","starch synthase 2"
"9","Manes.01G116600","(1 of 2) PTHR10584:SF181 - PUTATIVE-RELATED","carbohydrate","PWY-4101; PWY-3801; PWY-621","D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase)","ribokinase activity; D-ribose metabolic process","GO:0004747 GO:0006014","KOG2855","K00847","PF00294","PTHR10584 PTHR10584:SF181","pfkB-like carbohydrate kinase family protein"
"10","Manes.01G123000","(1 of 3) K00963 - UTP--glucose-1-phosphate uridylyltransferase (UGP2, galU, galF)","carbohydrate","PWY-3801; PWY-6527; SUCSYN-PWY; PWY-7238; PWY-7343","sucrose degradation II (sucrose synthase); stachyose degradation; sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis","UTP:glucose-1-phosphate uridylyltransferase activity; UDP-glucose metabolic process; metabolic process; uridylyltransferase activity","GO:0003983 GO:0006011 GO:0008152 GO:0070569","","K00963","PF01704","PTHR11952 PTHR11952:SF13","UDP-glucose pyrophosphorylase 2"
"11","Manes.01G123800","(1 of 2) PTHR12526:SF379 - SUCROSE SYNTHASE 5","carbohydrate","PWY-3801","sucrose degradation II (sucrose synthase)","sucrose metabolic process; sucrose synthase activity","GO:0005985 GO:0016157","KOG0853","K00695","PF00534 PF00862","PTHR12526 PTHR12526:SF379",""
"12","Manes.01G129000","(1 of 4) 2.3.3.1 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA)","carbohydrate","GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561","glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation","acyltransferase activity, acyl groups converted into alkyl on transfer","GO:0046912","","K01647","PF00285","PTHR11739 PTHR11739:SF4","citrate synthase 2"
"13","Manes.01G134800","(1 of 2) K00234 - succinate dehydrogenase (ubiquinone) flavoprotein subunit (SDHA, SDH1)","carbohydrate","PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781","aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)","tricarboxylic acid cycle; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; electron transport chain; flavin adenine dinucleotide binding","GO:0006099 GO:0016491 GO:0016627 GO:0022900 GO:0050660 GO:0055114","","K00234","PF00890 PF02910","PTHR11632 PTHR11632:SF54","succinate dehydrogenase 1-1"
"14","Manes.01G143100","(1 of 3) PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE 2, CHLOROPLASTIC-RELATED","carbohydrate","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation","fructose-bisphosphate aldolase activity; glycolytic process","GO:0004332 GO:0006096","","","PF00274","PTHR11627 PTHR11627:SF15",""
"15","Manes.01G153600","(1 of 2) PTHR11835//PTHR11835:SF51 - DECARBOXYLATING DEHYDROGENASES-ISOCITRATE, ISOPROPYLMALATE, TARTRATE // ISOCITRATE DEHYDROGENASE [NAD] REGULATORY SUBUNIT 2, MITOCHONDRIAL-RELATED","carbohydrate","PWY-5464; PWY-5690; PWY-6549","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III","magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding","GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114","","K00030","PF00180","PTHR11835 PTHR11835:SF51","isocitrate dehydrogenase 1"
"16","Manes.01G162300","(1 of 2) 3.2.1.3 - Glucan 1,4-alpha-glucosidase / Lysosomal alpha-glucosidase","carbohydrate","","","catalytic activity; starch binding","GO:0003824 GO:2001070","","","PF00686","PTHR10357 PTHR10357:SF149",""
"17","Manes.01G165700","(1 of 1) PTHR11902//PTHR11902:SF13 - ENOLASE // CYTOSOLIC ENOLASE 3","carbohydrate","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","gluconeogenesis III; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation","phosphopyruvate hydratase complex; magnesium ion binding; phosphopyruvate hydratase activity; glycolytic process","GO:0000015 GO:0000287 GO:0004634 GO:0006096","","K01689","PF00113 PF03952","PTHR11902 PTHR11902:SF13","cytosolic enolase"
