"","gene_id","TOM_PSY2","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline","gene_metabolite","overall_cor","overall_p","geno_cor","geno_p","nongeno_cor","nongeno_p"
"1","Manes.05G093400.v8.1",0.110034948800302,"turquoise","Manes.05G093400","",NA,"(1 of 3) K11644 - paired amphipathic helix protein Sin3a (SIN3A)","GO:0006355","KOG4204","K11644","PF02671 PF08295 PF16879","PTHR12346 PTHR12346:SF8","SIN3-like 4","gene",0.702489340506626,0,0.418136537786251,0.037522070676872,0.72180119784328,0
"2","Manes.12G137700.v8.1",0.0983391822574452,"turquoise","Manes.12G137700","",NA,"(1 of 1) PTHR33059:SF4 - F28K19.24-RELATED","","","","PF04570","PTHR33059 PTHR33059:SF4","Protein of unknown function (DUF581)","gene",0.691821318027803,0,0.493897836133454,0.0120981170227497,0.707587712146147,0
"3","Manes.09G169000.v8.1",0.097425412562209,"turquoise","Manes.09G169000","",NA,"(1 of 2) PTHR10593:SF31 - C2H2-LIKE ZINC FINGER PROTEIN-RELATED","GO:0046872","","","PF12171","PTHR10593 PTHR10593:SF31","","gene",0.686846656404399,0,0.334422708995536,0.102269991786518,0.718144352591924,0
"4","Manes.07G105500.v8.1",0.0936092189846971,"turquoise","Manes.07G105500","",NA,"(1 of 1) PTHR22957//PTHR22957:SF269 - TBC1 DOMAIN FAMILY MEMBER GTPASE-ACTIVATING PROTEIN // RABGAP/TBC DOMAIN-CONTAINING PROTEIN","","KOG2058","","PF00566","PTHR22957 PTHR22957:SF269","Ypt/Rab-GAP domain of gyp1p superfamily protein","gene",0.682564056153575,0,0.157040842329908,0.453450489239516,0.70783474454386,0
"5","Manes.09G129500.v8.1",0.0914250016979673,"turquoise","Manes.09G129500","",NA,"","GO:0005515 GO:0008270","","","","PTHR33304 PTHR33304:SF1","RING/FYVE/PHD zinc finger superfamily protein","gene",0.6694609215813,0,0.3263400931405,0.111361006801415,0.685592003601919,0
"6","Manes.05G023250.v8.1",0.0896684761106213,"turquoise","Manes.05G023250","",NA,"(1 of 1) PTHR13793:SF92 - HISTONE-LYSINE N-METHYLTRANSFERASE ATX3","GO:0005515 GO:0008270","","","PF00628 PF00855 PF00856 PF13831 PF13832","PTHR13793 PTHR13793:SF92","SET domain protein 14","gene",0.672742191232652,0,0.250322344341034,0.227484465149858,0.705857607964444,0
"7","Manes.15G101300.v8.1",0.0888442670601314,"turquoise","Manes.15G101300","",NA,"(1 of 2) PTHR23115//PTHR23115:SF138 - TRANSLATION FACTOR // TRANSLATION INITIATION FACTOR IF-2, CHLOROPLASTIC","GO:0003743 GO:0003924 GO:0005525 GO:0005622 GO:0006413","","K02519","PF01926 PF11987","PTHR23115 PTHR23115:SF138","Translation initiation factor 2, small GTP-binding protein","gene",0.670767390090757,0,0.192993180839487,0.355333202323795,0.708555698085051,0
"8","Manes.08G115900.v8.1",0.0875626605945535,"turquoise","Manes.08G115900","",NA,"(1 of 4) K02883 - large subunit ribosomal protein L18e (RP-L18e, RPL18)","GO:0003735 GO:0005622 GO:0005840 GO:0006412","KOG1714","K02883","PF00828","PTHR10934","ribosomal protein L18","gene",-0.640209762323968,0,-0.200219552368611,0.337251592977902,-0.671942183800177,0
"9","Manes.08G161100.v8.1",0.0864132960832311,"turquoise","Manes.08G161100","",NA,"","GO:0005515 GO:0008270","","","","PTHR33304 PTHR33304:SF1","RING/FYVE/PHD zinc finger superfamily protein","gene",0.699985899215827,0,0.34398654703869,0.0922383703296181,0.709858054557066,0
"10","Manes.17G000400.v8.1",0.0854284925244005,"turquoise","Manes.17G000400","",NA,"(1 of 1) K03018 - DNA-directed RNA polymerase III subunit RPC1 (RPC1, POLR3A)","GO:0003677 GO:0003899 GO:0006351","","K03018","PF00623 PF04983 PF04997 PF04998 PF05000","PTHR19376 PTHR19376:SF32","nuclear RNA polymerase C1","gene",0.723801275737117,0,0.447004677392403,0.0250738319462789,0.738689345787071,0
